Experiment: Nash_Combination_Experiment_3
Generation: 69
Generation Type: u
Timestamp: 20231226_034744

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814] - Base Fitness: 0.1261575570235322, Adjusted Fitness: 0.1261575570235322
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: 0.12504628827773218, Adjusted Fitness: 0.12504628827773218
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814] - Base Fitness: 0.1261575570235322, Adjusted Fitness: 0.1261575570235322
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.691344238956814] - Base Fitness: 0.12380308232642256, Adjusted Fitness: 0.12380308232642256
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: -0.5654863021609579, Adjusted Fitness: -0.5654863021609579
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.8669593223967541, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.11863225242053146, Adjusted Fitness: 0.11863225242053146
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 8.827662008792327, 10.73580023119075] - Base Fitness: -0.16519579073982682, Adjusted Fitness: -0.16519579073982682
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.701238697913475] - Base Fitness: 0.12269322391634914, Adjusted Fitness: 0.12269322391634914
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: 0.12504628827773218, Adjusted Fitness: 0.12504628827773218
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 8.81043384131192, 10.691344238956814] - Base Fitness: -0.15967168889003272, Adjusted Fitness: -0.15967168889003272
[0.0126, 0.46, 0.1126231766796722, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814] - Base Fitness: -1.1655314203192426, Adjusted Fitness: -1.1655314203192426
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.73580023119075] - Base Fitness: 0.11874285420721738, Adjusted Fitness: 0.11874285420721738
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.729807372254026] - Base Fitness: 0.1214270691894638, Adjusted Fitness: 0.1214270691894638
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814] - Base Fitness: 0.1261575570235322, Adjusted Fitness: 0.1261575570235322
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: 0.12504628827773218, Adjusted Fitness: 0.12504628827773218
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08862572677027408, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: 0.10096653502390356, Adjusted Fitness: 0.10096653502390356
[0.0085, 0.46, 0.13, -0.9, 0.2161800126981799, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814] - Base Fitness: -1.0306210490117602, Adjusted Fitness: -1.0306210490117602
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.812068196155225, 10.73580023119075] - Base Fitness: 0.11961843123509812, Adjusted Fitness: 0.11961843123509812
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.70614595232321] - Base Fitness: 0.12218355939572206, Adjusted Fitness: 0.12218355939572206
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.803983877806077, 10.72809726452914] - Base Fitness: 0.12117021248712417, Adjusted Fitness: 0.12117021248712417
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.748414653492167, 10.691344238956814] - Base Fitness: 0.12844940336911106, Adjusted Fitness: 0.12844940336911106
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.79200268147861, 10.73580023119075] - Base Fitness: 0.1208079718175015, Adjusted Fitness: 0.1208079718175015
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: 0.12504628827773218, Adjusted Fitness: 0.12504628827773218
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814] - Base Fitness: 0.1261575570235322, Adjusted Fitness: 0.1261575570235322
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.803983877806077, 10.72809726452914] - Base Fitness: 0.12117021248712417, Adjusted Fitness: 0.12117021248712417
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: 0.12504628827773218, Adjusted Fitness: 0.12504628827773218
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: 0.12504628827773218, Adjusted Fitness: 0.12504628827773218
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814] - Base Fitness: 0.1261575570235322, Adjusted Fitness: 0.1261575570235322
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: 0.12504628827773218, Adjusted Fitness: 0.12504628827773218
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.829257966712834, 10.73580023119075] - Base Fitness: 0.11875827353184848, Adjusted Fitness: 0.11875827353184848
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.7205545734801] - Base Fitness: 0.12277145041063382, Adjusted Fitness: 0.12277145041063382
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.789913373910808, 10.72337709392352] - Base Fitness: -0.49950587350445, Adjusted Fitness: -0.49950587350445
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814] - Base Fitness: 0.1261575570235322, Adjusted Fitness: 0.1261575570235322
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 8.827662008792327, 10.73580023119075] - Base Fitness: -0.16519579073982682, Adjusted Fitness: -0.16519579073982682
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.812068196155225, 10.73580023119075] - Base Fitness: 0.11961843123509812, Adjusted Fitness: 0.11961843123509812
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.803983877806077, 10.72809726452914] - Base Fitness: 0.12117021248712417, Adjusted Fitness: 0.12117021248712417
[0.0085, 0.46, 0.13, -0.8906945181922801, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814] - Base Fitness: 0.12435723234833115, Adjusted Fitness: 0.12435723234833115
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.701913306026253] - Base Fitness: 0.12358882210501408, Adjusted Fitness: 0.12358882210501408
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075] - Base Fitness: 0.12097634816646341, Adjusted Fitness: 0.12097634816646341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.005, 8.808827238923172, 10.73580023119075] - Base Fitness: -0.7287371074048211, Adjusted Fitness: -0.7287371074048211
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.685612158999108] - Base Fitness: 0.12561671561950644, Adjusted Fitness: 0.12561671561950644

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814]:
  Angle -10: cl=-0.5597618818283081, cd=0.22734931111335754, cm=-0.18872760236263275
  Angle -9: cl=-0.5847132205963135, cd=0.1937529742717743, cm=-0.18607746064662933
  Angle -8: cl=-0.607374906539917, cd=0.15866851806640625, cm=-0.18436838686466217
  Angle -7: cl=-0.646334171295166, cd=0.12563660740852356, cm=-0.17689572274684906
  Angle -6: cl=-0.6048215627670288, cd=0.11271186918020248, cm=-0.16168732941150665
  Angle -5: cl=-0.5094299912452698, cd=0.10388591140508652, cm=-0.14803756773471832
  Angle -4: cl=-0.4149109721183777, cd=0.0988190546631813, cm=-0.13483954966068268
  Angle -3: cl=-0.31176459789276123, cd=0.09239891171455383, cm=-0.12038077414035797
  Angle -2: cl=-0.24349823594093323, cd=0.0868154764175415, cm=-0.09447057545185089
  Angle -1: cl=-0.1827942132949829, cd=0.08244573324918747, cm=-0.06503467261791229
  Angle 0: cl=-0.11361026763916016, cd=0.08222808688879013, cm=-0.03775273263454437
  Angle 1: cl=-0.031149452552199364, cd=0.08264455199241638, cm=-0.01578362286090851
  Angle 2: cl=0.052617594599723816, cd=0.0840170830488205, cm=-0.0008255839347839355
  Angle 3: cl=0.2974388301372528, cd=0.07072056829929352, cm=5.869567394256592e-05
  Angle 4: cl=0.3932605981826782, cd=0.07626248151063919, cm=0.004779204726219177
  Angle 5: cl=0.49096837639808655, cd=0.08457820862531662, cm=0.008180439472198486
  Angle 6: cl=0.5878251194953918, cd=0.09119916707277298, cm=0.009980306029319763
  Angle 7: cl=0.6783241629600525, cd=0.09777064621448517, cm=0.012265205383300781
  Angle 8: cl=0.76971834897995, cd=0.10255289822816849, cm=0.00879928469657898
  Angle 9: cl=0.8646089434623718, cd=0.10672890394926071, cm=0.0005343854427337646
  Angle 10: cl=0.9622973799705505, cd=0.11292067915201187, cm=-0.007385119795799255
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814]:
  Angle -10: cl=-0.559604287147522, cd=0.22725531458854675, cm=-0.1887136548757553
  Angle -9: cl=-0.584550678730011, cd=0.19361567497253418, cm=-0.18611548840999603
  Angle -8: cl=-0.6073022484779358, cd=0.15861184895038605, cm=-0.18440528213977814
  Angle -7: cl=-0.6463153958320618, cd=0.12558752298355103, cm=-0.17683906853199005
  Angle -6: cl=-0.6047569513320923, cd=0.11267370730638504, cm=-0.16164888441562653
  Angle -5: cl=-0.509535551071167, cd=0.10388170927762985, cm=-0.14796175062656403
  Angle -4: cl=-0.415030300617218, cd=0.09878572821617126, cm=-0.13476960361003876
  Angle -3: cl=-0.311630517244339, cd=0.09239578247070312, cm=-0.12033839523792267
  Angle -2: cl=-0.2435993254184723, cd=0.0868023931980133, cm=-0.09435872733592987
  Angle -1: cl=-0.18280541896820068, cd=0.08243633806705475, cm=-0.06489340960979462
  Angle 0: cl=-0.11395411193370819, cd=0.08224273473024368, cm=-0.03761141002178192
  Angle 1: cl=-0.03136076033115387, cd=0.08263028413057327, cm=-0.01570887863636017
  Angle 2: cl=0.052506595849990845, cd=0.08406881988048553, cm=-0.0007708519697189331
  Angle 3: cl=0.297098845243454, cd=0.07078616321086884, cm=0.00012829899787902832
  Angle 4: cl=0.39286985993385315, cd=0.07630932331085205, cm=0.00485074520111084
  Angle 5: cl=0.4906504154205322, cd=0.0846131443977356, cm=0.008209258317947388
  Angle 6: cl=0.5876268148422241, cd=0.09122848510742188, cm=0.010018229484558105
  Angle 7: cl=0.6781001687049866, cd=0.09781444072723389, cm=0.012299761176109314
  Angle 8: cl=0.7693827748298645, cd=0.10255561769008636, cm=0.008794516324996948
  Angle 9: cl=0.8644515872001648, cd=0.1067546159029007, cm=0.00043913722038269043
  Angle 10: cl=0.9621201157569885, cd=0.11299920827150345, cm=-0.007440164685249329
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.691344238956814]:
  Angle -10: cl=-0.5597618818283081, cd=0.22734931111335754, cm=-0.18872760236263275
  Angle -9: cl=-0.5847132205963135, cd=0.1937529742717743, cm=-0.18607746064662933
  Angle -8: cl=-0.607374906539917, cd=0.15866851806640625, cm=-0.18436838686466217
  Angle -7: cl=-0.646334171295166, cd=0.12563660740852356, cm=-0.17689572274684906
  Angle -6: cl=-0.6048215627670288, cd=0.11271186918020248, cm=-0.16168732941150665
  Angle -5: cl=-0.5094299912452698, cd=0.10388591140508652, cm=-0.14803756773471832
  Angle -4: cl=-0.4149109721183777, cd=0.0988190546631813, cm=-0.13483954966068268
  Angle -3: cl=-0.31176459789276123, cd=0.09239891171455383, cm=-0.12038077414035797
  Angle -2: cl=-0.24349823594093323, cd=0.0868154764175415, cm=-0.09447057545185089
  Angle -1: cl=-0.1827942132949829, cd=0.08244573324918747, cm=-0.06503467261791229
  Angle 0: cl=-0.11361026763916016, cd=0.08222808688879013, cm=-0.03775273263454437
  Angle 1: cl=-0.031149452552199364, cd=0.08264455199241638, cm=-0.01578362286090851
  Angle 2: cl=0.052617594599723816, cd=0.0840170830488205, cm=-0.0008255839347839355
  Angle 3: cl=0.2974388301372528, cd=0.07072056829929352, cm=5.869567394256592e-05
  Angle 4: cl=0.3932605981826782, cd=0.07626248151063919, cm=0.004779204726219177
  Angle 5: cl=0.49096837639808655, cd=0.08457820862531662, cm=0.008180439472198486
  Angle 6: cl=0.5878251194953918, cd=0.09119916707277298, cm=0.009980306029319763
  Angle 7: cl=0.6783241629600525, cd=0.09777064621448517, cm=0.012265205383300781
  Angle 8: cl=0.76971834897995, cd=0.10255289822816849, cm=0.00879928469657898
  Angle 9: cl=0.8646089434623718, cd=0.10672890394926071, cm=0.0005343854427337646
  Angle 10: cl=0.9622973799705505, cd=0.11292067915201187, cm=-0.007385119795799255
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.691344238956814]:
  Angle -10: cl=-0.5596158504486084, cd=0.22720180451869965, cm=-0.18871857225894928
  Angle -9: cl=-0.5844935178756714, cd=0.19354991614818573, cm=-0.1860823780298233
  Angle -8: cl=-0.6071672439575195, cd=0.15857023000717163, cm=-0.18440912663936615
  Angle -7: cl=-0.6463547348976135, cd=0.12555694580078125, cm=-0.17681927978992462
  Angle -6: cl=-0.6047478914260864, cd=0.11265473067760468, cm=-0.16159842908382416
  Angle -5: cl=-0.509543776512146, cd=0.10387925803661346, cm=-0.1479308158159256
  Angle -4: cl=-0.4151894152164459, cd=0.09879439324140549, cm=-0.13471929728984833
  Angle -3: cl=-0.31199994683265686, cd=0.09238021075725555, cm=-0.12024737894535065
  Angle -2: cl=-0.2438497543334961, cd=0.08678493648767471, cm=-0.09423930943012238
  Angle -1: cl=-0.182968869805336, cd=0.08242155611515045, cm=-0.06483025848865509
  Angle 0: cl=-0.11411412060260773, cd=0.08224756270647049, cm=-0.03753592073917389
  Angle 1: cl=-0.03177861124277115, cd=0.08261560648679733, cm=-0.015569791197776794
  Angle 2: cl=0.052329160273075104, cd=0.08411415666341782, cm=-0.0007641613483428955
  Angle 3: cl=0.2971172332763672, cd=0.07082502543926239, cm=0.0001320093870162964
  Angle 4: cl=0.3925827443599701, cd=0.0763394758105278, cm=0.004919782280921936
  Angle 5: cl=0.49035727977752686, cd=0.08468320965766907, cm=0.008258804678916931
  Angle 6: cl=0.5874263644218445, cd=0.09126737713813782, cm=0.010012775659561157
  Angle 7: cl=0.6780536770820618, cd=0.09786106646060944, cm=0.012345641851425171
  Angle 8: cl=0.7691209316253662, cd=0.10256866365671158, cm=0.008757248520851135
  Angle 9: cl=0.8644375205039978, cd=0.10675843060016632, cm=0.0004236549139022827
  Angle 10: cl=0.9619388580322266, cd=0.11302156746387482, cm=-0.00745759904384613
Genotype [0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.691344238956814]:
  Angle -10: cl=-0.537754476070404, cd=0.19944021105766296, cm=-0.182805135846138
  Angle -9: cl=-0.5698029398918152, cd=0.17025752365589142, cm=-0.17757771909236908
  Angle -8: cl=-0.5936747789382935, cd=0.14483164250850677, cm=-0.16926415264606476
  Angle -7: cl=-0.6224241256713867, cd=0.12528005242347717, cm=-0.1573306769132614
  Angle -6: cl=-0.6478358507156372, cd=0.10994616150856018, cm=-0.14335931837558746
  Angle -5: cl=-0.5651540160179138, cd=0.10170770436525345, cm=-0.12250657379627228
  Angle -4: cl=-0.4810987710952759, cd=0.09386256337165833, cm=-0.09871278703212738
  Angle -3: cl=-0.3956124186515808, cd=0.0860903263092041, cm=-0.07478760182857513
  Angle -2: cl=-0.3235699236392975, cd=0.0801890641450882, cm=-0.048336759209632874
  Angle -1: cl=-0.2726275622844696, cd=0.08516388386487961, cm=-0.029065385460853577
  Angle 0: cl=-0.21280761063098907, cd=0.09302153438329697, cm=-0.012650415301322937
  Angle 1: cl=-0.1372346431016922, cd=0.09986814856529236, cm=0.0015537738800048828
  Angle 2: cl=0.02673703245818615, cd=0.0968913733959198, cm=0.010811924934387207
  Angle 3: cl=0.15695206820964813, cd=0.09759192168712616, cm=0.01769152283668518
  Angle 4: cl=0.24707262217998505, cd=0.10211561620235443, cm=0.02157779037952423
  Angle 5: cl=0.34469354152679443, cd=0.10408978164196014, cm=0.015915200114250183
  Angle 6: cl=0.4400785267353058, cd=0.10543911159038544, cm=0.010913863778114319
  Angle 7: cl=0.539028525352478, cd=0.10668215155601501, cm=0.005534112453460693
  Angle 8: cl=0.650806725025177, cd=0.10536118596792221, cm=-0.01017780601978302
  Angle 9: cl=0.7646364569664001, cd=0.10381568223237991, cm=-0.03460825979709625
  Angle 10: cl=0.878718376159668, cd=0.10648778080940247, cm=-0.059075966477394104
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789913373910808, 10.73580023119075]:
  Angle -10: cl=-0.5595981478691101, cd=0.22727569937705994, cm=-0.18866972625255585
  Angle -9: cl=-0.5846367478370667, cd=0.19367772340774536, cm=-0.18602921068668365
  Angle -8: cl=-0.6073070168495178, cd=0.15864163637161255, cm=-0.18431760370731354
  Angle -7: cl=-0.6467653512954712, cd=0.12566068768501282, cm=-0.17676831781864166
  Angle -6: cl=-0.6051182150840759, cd=0.11271023750305176, cm=-0.16159071028232574
  Angle -5: cl=-0.5098038911819458, cd=0.10388700664043427, cm=-0.14799951016902924
  Angle -4: cl=-0.4151504635810852, cd=0.09878193587064743, cm=-0.1347561925649643
  Angle -3: cl=-0.31210193037986755, cd=0.09237503260374069, cm=-0.12026508152484894
  Angle -2: cl=-0.2439035177230835, cd=0.08678983151912689, cm=-0.09434838593006134
