Experiment: Nash_Combination_Experiment_30
Generation: 88
Generation Type: u
Timestamp: 20231226_120607

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8267562217591687, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.1815561680967736, Adjusted Fitness: 0.1815561680967736
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.490271505314706] - Base Fitness: 0.18659334307528996, Adjusted Fitness: 0.18659334307528996
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.5789582239756585, 10.537689804185625] - Base Fitness: 0.1789238307306813, Adjusted Fitness: 0.1789238307306813
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.015, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: -0.4677790954866401, Adjusted Fitness: -0.4677790954866401
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.5789582239756585, 10.51105775833641] - Base Fitness: 0.1818361902045291, Adjusted Fitness: 0.1818361902045291
[0.0085, 0.46, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18419958769887823, Adjusted Fitness: 0.18419958769887823
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.5789582239756585, 10.514254372273506] - Base Fitness: 0.18148600068362541, Adjusted Fitness: 0.18148600068362541
[0.0085, 0.46, 0.13, -0.8637824606989998, 0.24798958090139334, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: -0.12368411520758385, Adjusted Fitness: -0.12368411520758385
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.571421368023778, 10.51105775833641] - Base Fitness: 0.16483693148990194, Adjusted Fitness: 0.16483693148990194
[0.0085, 0.46, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.498488508544215, 10.51105775833641] - Base Fitness: 0.18540234089131824, Adjusted Fitness: 0.18540234089131824
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.483044910559885] - Base Fitness: 0.187553923824982, Adjusted Fitness: 0.187553923824982
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.483044910559885] - Base Fitness: 0.187553923824982, Adjusted Fitness: 0.187553923824982
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.4537878157927096, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.5789582239756585, 10.51105775833641] - Base Fitness: 0.1794762447997414, Adjusted Fitness: 0.1794762447997414
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.4330192170643692, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.005, 7.614503183581736, 10.483044910559885] - Base Fitness: -0.12781774221985345, Adjusted Fitness: -0.12781774221985345
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.006, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: -0.2855237367121928, Adjusted Fitness: -0.2855237367121928
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.46, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18419958769887823, Adjusted Fitness: 0.18419958769887823
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.07196764849588898, -0.003, 0.0025, 7.606902239998051, 10.558332579098403] - Base Fitness: 0.1895963198557275, Adjusted Fitness: 0.1895963198557275
[0.0085, 0.458648478414859, 0.13, -0.8267562217591687, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.1642028080721717, Adjusted Fitness: 0.1642028080721717
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.5789582239756585, 10.514254372273506] - Base Fitness: 0.1641960846108436, Adjusted Fitness: 0.1641960846108436
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.493991830156686, 10.50028522548167] - Base Fitness: 0.16989869295300486, Adjusted Fitness: 0.16989869295300486
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.015, 0.09652135486101687, -0.003, 0.0025, 7.508799530905425, 10.50028522548167] - Base Fitness: -0.45011552359385393, Adjusted Fitness: -0.45011552359385393
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1263029822205312, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.1665769007078642, Adjusted Fitness: 0.1665769007078642
[0.0085, 0.42438526275313226, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.10528210572828828, Adjusted Fitness: 0.10528210572828828
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0126, 0.458648478414859, 0.13, -0.9, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: -0.5393167452433887, Adjusted Fitness: -0.5393167452433887
[0.0126, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: -0.5270624326924132, Adjusted Fitness: -0.5270624326924132
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.21871729699113132, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: -0.962602507128853, Adjusted Fitness: -0.962602507128853
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 12049.776998500634
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.18440119823392848, Adjusted Fitness: 0.18440119823392848
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.5055942968266445, 10.51105775833641] - Base Fitness: 0.1680902340522619, Adjusted Fitness: 0.1680902340522619
[0.0085, 0.458648478414859, 0.13, -0.8836675064878946, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.1685528413113964, Adjusted Fitness: 0.1685528413113964

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8267562217591687, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641]:
  Angle -10: cl=-0.5639356374740601, cd=0.23201817274093628, cm=-0.18928982317447662
  Angle -9: cl=-0.5915427803993225, cd=0.19901612401008606, cm=-0.18586303293704987
  Angle -8: cl=-0.6141961216926575, cd=0.1639890968799591, cm=-0.18435253202915192
  Angle -7: cl=-0.6533656716346741, cd=0.12953002750873566, cm=-0.17891599237918854
  Angle -6: cl=-0.6093495488166809, cd=0.11491645872592926, cm=-0.16394762694835663
  Angle -5: cl=-0.5045489072799683, cd=0.10403311252593994, cm=-0.15091489255428314
  Angle -4: cl=-0.41239532828330994, cd=0.09905634820461273, cm=-0.13767005503177643
  Angle -3: cl=-0.3102448880672455, cd=0.09305837750434875, cm=-0.12381179630756378
  Angle -2: cl=-0.23314321041107178, cd=0.0875888392329216, cm=-0.10093854367733002
  Angle -1: cl=-0.17230358719825745, cd=0.0829092487692833, cm=-0.07176350057125092
  Angle 0: cl=-0.1020316481590271, cd=0.08219414949417114, cm=-0.04352007806301117
  Angle 1: cl=-0.018809249624609947, cd=0.0827556774020195, cm=-0.0215788334608078
  Angle 2: cl=0.06423942744731903, cd=0.08351106196641922, cm=-0.0062200576066970825
  Angle 3: cl=0.30067917704582214, cd=0.06828535348176956, cm=-0.0019632577896118164
  Angle 4: cl=0.4077966511249542, cd=0.07348333299160004, cm=0.0023195594549179077
  Angle 5: cl=0.5062841773033142, cd=0.08177006989717484, cm=0.005793347954750061
  Angle 6: cl=0.6003293991088867, cd=0.08879031240940094, cm=0.007885947823524475
  Angle 7: cl=0.6901729106903076, cd=0.09539645910263062, cm=0.010289758443832397
  Angle 8: cl=0.7803897857666016, cd=0.10160160809755325, cm=0.010897442698478699
  Angle 9: cl=0.8755479454994202, cd=0.10566899180412292, cm=0.002695217728614807
  Angle 10: cl=0.9744721055030823, cd=0.11096087843179703, cm=-0.005243375897407532
Genotype [0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.490271505314706]:
  Angle -10: cl=-0.5632900595664978, cd=0.23205053806304932, cm=-0.1892327219247818
  Angle -9: cl=-0.5914593935012817, cd=0.1991739124059677, cm=-0.18558482825756073
  Angle -8: cl=-0.6141662001609802, cd=0.16412004828453064, cm=-0.18399746716022491
  Angle -7: cl=-0.652445912361145, cd=0.1297415941953659, cm=-0.17868392169475555
  Angle -6: cl=-0.6093981862068176, cd=0.11506876349449158, cm=-0.16381023824214935
  Angle -5: cl=-0.5036450028419495, cd=0.1040094867348671, cm=-0.15089191496372223
  Angle -4: cl=-0.41081300377845764, cd=0.09895487874746323, cm=-0.13763009011745453
  Angle -3: cl=-0.30854886770248413, cd=0.09295306354761124, cm=-0.12381027638912201
  Angle -2: cl=-0.23140576481819153, cd=0.08744434267282486, cm=-0.10099218785762787
  Angle -1: cl=-0.17062999308109283, cd=0.08283761888742447, cm=-0.07178448140621185
  Angle 0: cl=-0.1011735051870346, cd=0.08214554935693741, cm=-0.04338155686855316
  Angle 1: cl=-0.017854204401373863, cd=0.08268086612224579, cm=-0.02140580117702484
  Angle 2: cl=0.06483351439237595, cd=0.08343933522701263, cm=-0.005964115262031555
  Angle 3: cl=0.3030974268913269, cd=0.06812296062707901, cm=-0.001798480749130249
  Angle 4: cl=0.4076974093914032, cd=0.07356472313404083, cm=0.0025707483291625977
  Angle 5: cl=0.506233274936676, cd=0.08185170590877533, cm=0.005979299545288086
  Angle 6: cl=0.5996365547180176, cd=0.08892621099948883, cm=0.008238285779953003
  Angle 7: cl=0.689730167388916, cd=0.09552490711212158, cm=0.010528147220611572
  Angle 8: cl=0.779952883720398, cd=0.10162138193845749, cm=0.010920315980911255
  Angle 9: cl=0.8748822212219238, cd=0.10565362125635147, cm=0.002713024616241455
  Angle 10: cl=0.9743101000785828, cd=0.11070706695318222, cm=-0.005275532603263855
Genotype [0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.5789582239756585, 10.537689804185625]:
  Angle -10: cl=-0.5629914402961731, cd=0.23179461061954498, cm=-0.18923558294773102
  Angle -9: cl=-0.5912683010101318, cd=0.19890519976615906, cm=-0.18556295335292816
  Angle -8: cl=-0.6139995455741882, cd=0.16384674608707428, cm=-0.18392176926136017
  Angle -7: cl=-0.652352511882782, cd=0.12952488660812378, cm=-0.1784822791814804
  Angle -6: cl=-0.609454870223999, cd=0.11487723141908646, cm=-0.16350357234477997
  Angle -5: cl=-0.5043073296546936, cd=0.10400616377592087, cm=-0.15070776641368866
  Angle -4: cl=-0.41143447160720825, cd=0.09892605245113373, cm=-0.13743363320827484
  Angle -3: cl=-0.3090706467628479, cd=0.09287235885858536, cm=-0.12350185215473175
  Angle -2: cl=-0.23231297731399536, cd=0.08736366033554077, cm=-0.10052825510501862
  Angle -1: cl=-0.1713644415140152, cd=0.08276256918907166, cm=-0.07134737074375153
  Angle 0: cl=-0.102479487657547, cd=0.0821191817522049, cm=-0.04295383393764496
  Angle 1: cl=-0.018988316878676414, cd=0.08266261965036392, cm=-0.020968273282051086
  Angle 2: cl=0.06371095031499863, cd=0.08340638130903244, cm=-0.005499258637428284
  Angle 3: cl=0.30248454213142395, cd=0.06829924136400223, cm=-0.0016474127769470215
  Angle 4: cl=0.405929833650589, cd=0.07374151051044464, cm=0.0028167814016342163
  Angle 5: cl=0.504641592502594, cd=0.08203491568565369, cm=0.006182581186294556
  Angle 6: cl=0.5983350872993469, cd=0.08906397968530655, cm=0.00840844213962555
  Angle 7: cl=0.6882078051567078, cd=0.09567859768867493, cm=0.010736852884292603
  Angle 8: cl=0.7785711288452148, cd=0.1016673669219017, cm=0.010782510042190552
  Angle 9: cl=0.8734355568885803, cd=0.10571222007274628, cm=0.0025838613510131836
  Angle 10: cl=0.9726508259773254, cd=0.11071658134460449, cm=-0.005367442965507507
Genotype [0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641]:
  Angle -10: cl=-0.5632431507110596, cd=0.2320161610841751, cm=-0.1892225295305252
  Angle -9: cl=-0.5914883017539978, cd=0.1991610825061798, cm=-0.18553616106510162
  Angle -8: cl=-0.6141902804374695, cd=0.16410169005393982, cm=-0.18399159610271454
  Angle -7: cl=-0.6526402831077576, cd=0.12972842156887054, cm=-0.17867468297481537
  Angle -6: cl=-0.6093994975090027, cd=0.11504162102937698, cm=-0.16375227272510529
  Angle -5: cl=-0.503730833530426, cd=0.10400697588920593, cm=-0.15084697306156158
  Angle -4: cl=-0.41115209460258484, cd=0.09897086024284363, cm=-0.13760189712047577
  Angle -3: cl=-0.3087874948978424, cd=0.092924565076828, cm=-0.12373153865337372
  Angle -2: cl=-0.23146021366119385, cd=0.08741741627454758, cm=-0.10092632472515106
  Angle -1: cl=-0.1706879436969757, cd=0.0828220322728157, cm=-0.07171790301799774
  Angle 0: cl=-0.10139228403568268, cd=0.08212743699550629, cm=-0.04328538477420807
  Angle 1: cl=-0.01823038049042225, cd=0.08266761898994446, cm=-0.02131091058254242
  Angle 2: cl=0.0646311417222023, cd=0.08342915028333664, cm=-0.00587792694568634
  Angle 3: cl=0.3028097450733185, cd=0.06816256046295166, cm=-0.0017584562301635742
  Angle 4: cl=0.40724650025367737, cd=0.07359717786312103, cm=0.002623036503791809
  Angle 5: cl=0.5056072473526001, cd=0.08188476413488388, cm=0.006055653095245361
  Angle 6: cl=0.5993824601173401, cd=0.08894149214029312, cm=0.008283808827400208
  Angle 7: cl=0.6893742680549622, cd=0.09553936123847961, cm=0.010584712028503418
  Angle 8: cl=0.7795777916908264, cd=0.10162752866744995, cm=0.01087711751461029
  Angle 9: cl=0.8743937015533447, cd=0.10566917806863785, cm=0.00269511342048645
  Angle 10: cl=0.9739201664924622, cd=0.11073441803455353, cm=-0.005266442894935608
Genotype [0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.015, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641]:
  Angle -10: cl=-0.551261305809021, cd=0.21364499628543854, cm=-0.18226690590381622
  Angle -9: cl=-0.5845714211463928, cd=0.18242111802101135, cm=-0.17717699706554413
  Angle -8: cl=-0.6162557601928711, cd=0.15175200998783112, cm=-0.17161457240581512
  Angle -7: cl=-0.6432371139526367, cd=0.12540805339813232, cm=-0.1628323644399643
  Angle -6: cl=-0.6260530352592468, cd=0.10938214510679245, cm=-0.15146572887897491
  Angle -5: cl=-0.5272098183631897, cd=0.10060204565525055, cm=-0.13671402633190155
  Angle -4: cl=-0.4315780699253082, cd=0.09349743276834488, cm=-0.11905451118946075
  Angle -3: cl=-0.34602996706962585, cd=0.08577883988618851, cm=-0.09564568102359772
  Angle -2: cl=-0.276255339384079, cd=0.0792732760310173, cm=-0.06931860744953156
  Angle -1: cl=-0.2231704294681549, cd=0.07625797390937805, cm=-0.040713414549827576
  Angle 0: cl=-0.16935652494430542, cd=0.08147047460079193, cm=-0.0219620019197464
  Angle 1: cl=-0.10437586903572083, cd=0.08956099301576614, cm=-0.0054012686014175415
  Angle 2: cl=-0.02550646848976612, cd=0.09560859203338623, cm=0.007591649889945984
  Angle 3: cl=0.17592564225196838, cd=0.08822958171367645, cm=0.012763440608978271
  Angle 4: cl=0.2633110284805298, cd=0.09383534640073776, cm=0.019464343786239624
  Angle 5: cl=0.35764405131340027, cd=0.09874846041202545, cm=0.021693497896194458
  Angle 6: cl=0.45209693908691406, cd=0.10040325671434402, cm=0.01603822410106659
  Angle 7: cl=0.5504341721534729, cd=0.10183057934045792, cm=0.010294124484062195
  Angle 8: cl=0.646397590637207, cd=0.10331881791353226, cm=0.0040766894817352295
  Angle 9: cl=0.7468783855438232, cd=0.10566823929548264, cm=-0.008646056056022644
  Angle 10: cl=0.8637695908546448, cd=0.10730012506246567, cm=-0.03126700222492218
Genotype [0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.09652135486101687, -0.003, 0.0025, 7.529466537603988, 10.51105775833641]:
  Angle -10: cl=-0.5632431507110596, cd=0.2320161610841751, cm=-0.1892225295305252
  Angle -9: cl=-0.5914883017539978, cd=0.1991610825061798, cm=-0.18553616106510162
  Angle -8: cl=-0.6141902804374695, cd=0.16410169005393982, cm=-0.18399159610271454
  Angle -7: cl=-0.6526402831077576, cd=0.12972842156887054, cm=-0.17867468297481537
  Angle -6: cl=-0.6093994975090027, cd=0.11504162102937698, cm=-0.16375227272510529
  Angle -5: cl=-0.503730833530426, cd=0.10400697588920593, cm=-0.15084697306156158
  Angle -4: cl=-0.41115209460258484, cd=0.09897086024284363, cm=-0.13760189712047577
  Angle -3: cl=-0.3087874948978424, cd=0.092924565076828, cm=-0.12373153865337372
  Angle -2: cl=-0.23146021366119385, cd=0.08741741627454758, cm=-0.10092632472515106
  Angle -1: cl=-0.1706879436969757, cd=0.0828220322728157, cm=-0.07171790301799774
  Angle 0: cl=-0.10139228403568268, cd=0.08212743699550629, cm=-0.04328538477420807
  Angle 1: cl=-0.01823038049042225, cd=0.08266761898994446, cm=-0.02131091058254242
  Angle 2: cl=0.0646311417222023, cd=0.08342915028333664, cm=-0.00587792694568634
  Angle 3: cl=0.3028097450733185, cd=0.06816256046295166, cm=-0.0017584562301635742
  Angle 4: cl=0.40724650025367737, cd=0.07359717786312103, cm=0.002623036503791809
  Angle 5: cl=0.5056072473526001, cd=0.08188476413488388, cm=0.006055653095245361
  Angle 6: cl=0.5993824601173401, cd=0.08894149214029312, cm=0.008283808827400208
  Angle 7: cl=0.6893742680549622, cd=0.09553936123847961, cm=0.010584712028503418
  Angle 8: cl=0.7795777916908264, cd=0.10162752866744995, cm=0.01087711751461029
  Angle 9: cl=0.8743937015533447, cd=0.10566917806863785, cm=0.00269511342048645
  Angle 10: cl=0.9739201664924622, cd=0.11073441803455353, cm=-0.005266442894935608
