Experiment: Nash_Combination_Experiment_30
Generation: 91
Generation Type: u
Timestamp: 20231226_120641

Genotypes and their Fitness Values:
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1147962424814034, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.17348757184251437, Adjusted Fitness: 0.17348757184251437
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.08135409048653479, -0.003, 0.0025, 7.562854207729138, 10.51105775833641] - Base Fitness: 0.19168280766900028, Adjusted Fitness: 0.19168280766900028
[0.0085, 0.458648478414859, 0.13, -0.8267562217591687, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.2002694134983778, Adjusted Fitness: 0.2002694134983778
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.46, 0.13, -0.8637824606989998, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.507571205474617] - Base Fitness: 0.20310395246578913, Adjusted Fitness: 0.20310395246578913
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.08416934375497286, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.19173231259712065, Adjusted Fitness: 0.19173231259712065
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.51412540535709] - Base Fitness: 0.20203677169607473, Adjusted Fitness: 0.20203677169607473
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.20248231169275033, Adjusted Fitness: 0.20248231169275033
[0.0085, 0.458648478414859, 0.13, -0.8267562217591687, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.2002694134983778, Adjusted Fitness: 0.2002694134983778
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.08135409048653479, -0.003, 0.0025, 7.529466537603988, 10.463922045486017] - Base Fitness: 0.198274227135696, Adjusted Fitness: 0.198274227135696
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.501808559620603] - Base Fitness: 0.16826570139938926, Adjusted Fitness: 0.16826570139938926
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.07196764849588898, -0.003, 0.0025, 7.480328821899673, 10.574174524130951] - Base Fitness: 0.19365259113433064, Adjusted Fitness: 0.19365259113433064
[0.0126, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.07196764849588898, -0.003, 0.0025, 7.529466537603988, 10.558332579098403] - Base Fitness: -0.5191808732264734, Adjusted Fitness: -0.5191808732264734
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.12301299387524436, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.465517232150312] - Base Fitness: -0.1001104145874786, Adjusted Fitness: -0.1001104145874786
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.07196764849588898, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.19834729070833132, Adjusted Fitness: 0.19834729070833132
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.015, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: -0.4677790954866401, Adjusted Fitness: -0.4677790954866401
[0.0126, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: -0.5416863438716348, Adjusted Fitness: -0.5416863438716348
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.529466537603988, 10.558332579098403] - Base Fitness: 0.2055347871322474, Adjusted Fitness: 0.2055347871322474
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.08135409048653479, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.1934301200980231, Adjusted Fitness: 0.1934301200980231
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.16535580550244858, -0.003, 0.0025, 7.5055942968266445, 10.51105775833641] - Base Fitness: 0.14513177531378615, Adjusted Fitness: 0.14513177531378615
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.08135409048653479, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.1934301200980231, Adjusted Fitness: 0.1934301200980231
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.015, 0.08135409048653479, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: -0.4439938034337947, Adjusted Fitness: -0.4439938034337947
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.41809239946412113, 0.13, -0.8637824606989998, 0.26, -0.023, 0.07196764849588898, -0.003, 0.0025, 7.529466537603988, 10.558332579098403] - Base Fitness: 0.10915176349313903, Adjusted Fitness: 0.10915176349313903
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.07196764849588898, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.19834729070833132, Adjusted Fitness: 0.19834729070833132
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.545911647747436, 10.51105775833641] - Base Fitness: 0.166286164729856, Adjusted Fitness: 0.166286164729856
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.07196764849588898, -0.003, 0.0025, 7.606902239998051, 10.51105775833641] - Base Fitness: 0.1950712944685099, Adjusted Fitness: 0.1950712944685099
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.20248231169275033, Adjusted Fitness: 0.20248231169275033
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.0816552682731024, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.19318616228924096, Adjusted Fitness: 0.19318616228924096
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16694331965804635, Adjusted Fitness: 17407.32047468807
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.606902239998051, 10.55194157124481] - Base Fitness: 0.1586293474600165, Adjusted Fitness: 0.1586293474600165
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.07196764849588898, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.19834729070833132, Adjusted Fitness: 0.19834729070833132
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.557321806695296, 10.51105775833641] - Base Fitness: 0.16574968972576384, Adjusted Fitness: 0.16574968972576384
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.10381915047930078, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.17998149266372326, Adjusted Fitness: 0.17998149266372326
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.623195924719781, 10.51105775833641] - Base Fitness: 0.19874528571025496, Adjusted Fitness: 0.19874528571025496
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.507571205474617] - Base Fitness: 0.20300060969934836, Adjusted Fitness: 0.20300060969934836
[0.0085, 0.458648478414859, 0.13, -0.890687636875136, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.16880601425888825, Adjusted Fitness: 0.16880601425888825
[0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.51105775833641] - Base Fitness: 0.20248231169275033, Adjusted Fitness: 0.20248231169275033

Detailed Results for Each Genotype:
Genotype [0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1147962424814034, -0.003, 0.0025, 7.529466537603988, 10.51105775833641]:
  Angle -10: cl=-0.5630255341529846, cd=0.2317344695329666, cm=-0.18914560973644257
  Angle -9: cl=-0.5914651155471802, cd=0.19882652163505554, cm=-0.18549229204654694
  Angle -8: cl=-0.6143893599510193, cd=0.16378600895404816, cm=-0.18385370075702667
  Angle -7: cl=-0.6525928974151611, cd=0.12939876317977905, cm=-0.1783406287431717
  Angle -6: cl=-0.6099127531051636, cd=0.11483148485422134, cm=-0.16334883868694305
  Angle -5: cl=-0.5047135353088379, cd=0.10400678217411041, cm=-0.15059532225131989
  Angle -4: cl=-0.4116380512714386, cd=0.09890850633382797, cm=-0.13732586801052094
  Angle -3: cl=-0.3092707395553589, cd=0.09283989667892456, cm=-0.12338830530643463
  Angle -2: cl=-0.23277071118354797, cd=0.08732306212186813, cm=-0.10039706528186798
  Angle -1: cl=-0.17192992568016052, cd=0.08270909637212753, cm=-0.0711585134267807
  Angle 0: cl=-0.10298025608062744, cd=0.08208000659942627, cm=-0.04280377924442291
  Angle 1: cl=-0.019928643479943275, cd=0.0826038122177124, cm=-0.020767197012901306
  Angle 2: cl=0.06290847808122635, cd=0.08335389196872711, cm=-0.005387529730796814
  Angle 3: cl=0.3017072379589081, cd=0.06835390627384186, cm=-0.0015821903944015503
  Angle 4: cl=0.40499019622802734, cd=0.07377646863460541, cm=0.0028968751430511475
  Angle 5: cl=0.5036191940307617, cd=0.08207511901855469, cm=0.006276950240135193
  Angle 6: cl=0.5973914265632629, cd=0.08910422772169113, cm=0.008510023355484009
  Angle 7: cl=0.6873480677604675, cd=0.09569171816110611, cm=0.010827198624610901
  Angle 8: cl=0.7779011726379395, cd=0.10166419297456741, cm=0.010784000158309937
  Angle 9: cl=0.8726358413696289, cd=0.10569941252470016, cm=0.0026108771562576294
  Angle 10: cl=0.9715705513954163, cd=0.1106739416718483, cm=-0.005362972617149353
Genotype [0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.08135409048653479, -0.003, 0.0025, 7.562854207729138, 10.51105775833641]:
  Angle -10: cl=-0.5633338093757629, cd=0.23212569952011108, cm=-0.18928946554660797
  Angle -9: cl=-0.5913456678390503, cd=0.1992790699005127, cm=-0.1856345385313034
  Angle -8: cl=-0.6140413880348206, cd=0.16426336765289307, cm=-0.18410317599773407
  Angle -7: cl=-0.6523845791816711, cd=0.12985169887542725, cm=-0.17880310118198395
  Angle -6: cl=-0.6088204979896545, cd=0.1150888204574585, cm=-0.16397564113140106
  Angle -5: cl=-0.5030947327613831, cd=0.10401405394077301, cm=-0.15104009211063385
  Angle -4: cl=-0.4104618728160858, cd=0.09897042065858841, cm=-0.13772998750209808
  Angle -3: cl=-0.3083570599555969, cd=0.0929739773273468, cm=-0.12386195361614227
  Angle -2: cl=-0.23098823428153992, cd=0.08750019967556, cm=-0.10121871531009674
  Angle -1: cl=-0.17015643417835236, cd=0.08287569135427475, cm=-0.0719495564699173
  Angle 0: cl=-0.10052706301212311, cd=0.08215436339378357, cm=-0.04356260597705841
  Angle 1: cl=-0.017094524577260017, cd=0.08273748308420181, cm=-0.0215766578912735
  Angle 2: cl=0.06570173799991608, cd=0.08346710354089737, cm=-0.006159886717796326
  Angle 3: cl=0.30339881777763367, cd=0.0681091919541359, cm=-0.0018615573644638062
  Angle 4: cl=0.4086669683456421, cd=0.07352593541145325, cm=0.00247231125831604
  Angle 5: cl=0.5070593953132629, cd=0.08181414753198624, cm=0.005906835198402405
  Angle 6: cl=0.6006118655204773, cd=0.088889941573143, cm=0.008153259754180908
  Angle 7: cl=0.6905894875526428, cd=0.09547614306211472, cm=0.010461509227752686
  Angle 8: cl=0.7810481190681458, cd=0.10163016617298126, cm=0.010878339409828186
  Angle 9: cl=0.8758491277694702, cd=0.10565062612295151, cm=0.002718791365623474
  Angle 10: cl=0.9749342799186707, cd=0.11073517054319382, cm=-0.00523771345615387
Genotype [0.0085, 0.458648478414859, 0.13, -0.8267562217591687, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.51105775833641]:
  Angle -10: cl=-0.5638360381126404, cd=0.23258288204669952, cm=-0.1895311325788498
  Angle -9: cl=-0.5917641520500183, cd=0.19974835216999054, cm=-0.18568886816501617
  Angle -8: cl=-0.614483654499054, cd=0.1647116094827652, cm=-0.1842028647661209
  Angle -7: cl=-0.6526848077774048, cd=0.1302243173122406, cm=-0.17915184795856476
  Angle -6: cl=-0.609184741973877, cd=0.11543470621109009, cm=-0.1643153876066208
  Angle -5: cl=-0.5027369260787964, cd=0.10412432998418808, cm=-0.15132273733615875
  Angle -4: cl=-0.40980756282806396, cd=0.0990094393491745, cm=-0.13810859620571136
  Angle -3: cl=-0.30786365270614624, cd=0.09305332601070404, cm=-0.12430067360401154
  Angle -2: cl=-0.2296842336654663, cd=0.08759534358978271, cm=-0.10188452899456024
  Angle -1: cl=-0.16868145763874054, cd=0.08296805620193481, cm=-0.07261715829372406
  Angle 0: cl=-0.09881699085235596, cd=0.08220317214727402, cm=-0.044200554490089417
  Angle 1: cl=-0.015605712309479713, cd=0.08274925500154495, cm=-0.02218000590801239
  Angle 2: cl=0.06742097437381744, cd=0.08352109044790268, cm=-0.0067818015813827515
  Angle 3: cl=0.3035004436969757, cd=0.06795289367437363, cm=-0.002114325761795044
  Angle 4: cl=0.410661906003952, cd=0.07325822114944458, cm=0.0021889060735702515
  Angle 5: cl=0.5090615749359131, cd=0.08155117183923721, cm=0.005641251802444458
  Angle 6: cl=0.6025698781013489, cd=0.08866951614618301, cm=0.00783945620059967
  Angle 7: cl=0.6922622919082642, cd=0.09526734054088593, cm=0.010241419076919556
  Angle 8: cl=0.7825086116790771, cd=0.10155315697193146, cm=0.011083140969276428
  Angle 9: cl=0.8773921132087708, cd=0.10557784140110016, cm=0.0028976351022720337
  Angle 10: cl=0.9768639206886292, cd=0.11062900722026825, cm=-0.005069419741630554
Genotype [0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641]:
  Angle -10: cl=-0.5631365180015564, cd=0.2315523773431778, cm=-0.18911193311214447
  Angle -9: cl=-0.5913693308830261, cd=0.19862505793571472, cm=-0.1854422241449356
  Angle -8: cl=-0.6143108606338501, cd=0.16357286274433136, cm=-0.18376202881336212
  Angle -7: cl=-0.6525426506996155, cd=0.12928053736686707, cm=-0.17820702493190765
  Angle -6: cl=-0.6102523803710938, cd=0.11475902050733566, cm=-0.16320104897022247
  Angle -5: cl=-0.5053873658180237, cd=0.10399578511714935, cm=-0.15041162073612213
  Angle -4: cl=-0.4119935631752014, cd=0.09888304769992828, cm=-0.1371392160654068
  Angle -3: cl=-0.30967357754707336, cd=0.09279674291610718, cm=-0.1231791228055954
  Angle -2: cl=-0.23351210355758667, cd=0.08728158473968506, cm=-0.1000620573759079
  Angle -1: cl=-0.1727571189403534, cd=0.08265185356140137, cm=-0.07086597383022308
  Angle 0: cl=-0.10417519509792328, cd=0.08204156160354614, cm=-0.042467907071113586
  Angle 1: cl=-0.020889831706881523, cd=0.08255089074373245, cm=-0.020475611090660095
  Angle 2: cl=0.062149129807949066, cd=0.08332228660583496, cm=-0.005080357193946838
  Angle 3: cl=0.3012098968029022, cd=0.06845980137586594, cm=-0.0014629065990447998
  Angle 4: cl=0.4035714864730835, cd=0.0738992691040039, cm=0.0030332952737808228
  Angle 5: cl=0.502162516117096, cd=0.0821726992726326, cm=0.0064428746700286865
  Angle 6: cl=0.596377968788147, cd=0.08920750021934509, cm=0.008647352457046509
  Angle 7: cl=0.686328113079071, cd=0.09579035639762878, cm=0.010933861136436462
  Angle 8: cl=0.7767621278762817, cd=0.10168829560279846, cm=0.010723143815994263
  Angle 9: cl=0.8713638186454773, cd=0.10572773218154907, cm=0.00252339243888855
  Angle 10: cl=0.9705307483673096, cd=0.11068956553936005, cm=-0.005448654294013977
Genotype [0.0085, 0.458648478414859, 0.13, -0.8637824606989998, 0.26, -0.023, 0.1257333255884781, -0.003, 0.0025, 7.529466537603988, 10.51105775833641]:
  Angle -10: cl=-0.5631365180015564, cd=0.2315523773431778, cm=-0.18911193311214447
  Angle -9: cl=-0.5913693308830261, cd=0.19862505793571472, cm=-0.1854422241449356
  Angle -8: cl=-0.6143108606338501, cd=0.16357286274433136, cm=-0.18376202881336212
  Angle -7: cl=-0.6525426506996155, cd=0.12928053736686707, cm=-0.17820702493190765
  Angle -6: cl=-0.6102523803710938, cd=0.11475902050733566, cm=-0.16320104897022247
  Angle -5: cl=-0.5053873658180237, cd=0.10399578511714935, cm=-0.15041162073612213
  Angle -4: cl=-0.4119935631752014, cd=0.09888304769992828, cm=-0.1371392160654068
  Angle -3: cl=-0.30967357754707336, cd=0.09279674291610718, cm=-0.1231791228055954
  Angle -2: cl=-0.23351210355758667, cd=0.08728158473968506, cm=-0.1000620573759079
  Angle -1: cl=-0.1727571189403534, cd=0.08265185356140137, cm=-0.07086597383022308
  Angle 0: cl=-0.10417519509792328, cd=0.08204156160354614, cm=-0.042467907071113586
  Angle 1: cl=-0.020889831706881523, cd=0.08255089074373245, cm=-0.020475611090660095
  Angle 2: cl=0.062149129807949066, cd=0.08332228660583496, cm=-0.005080357193946838
  Angle 3: cl=0.3012098968029022, cd=0.06845980137586594, cm=-0.0014629065990447998
  Angle 4: cl=0.4035714864730835, cd=0.0738992691040039, cm=0.0030332952737808228
  Angle 5: cl=0.502162516117096, cd=0.0821726992726326, cm=0.0064428746700286865
  Angle 6: cl=0.596377968788147, cd=0.08920750021934509, cm=0.008647352457046509
  Angle 7: cl=0.686328113079071, cd=0.09579035639762878, cm=0.010933861136436462
  Angle 8: cl=0.7767621278762817, cd=0.10168829560279846, cm=0.010723143815994263
  Angle 9: cl=0.8713638186454773, cd=0.10572773218154907, cm=0.00252339243888855
  Angle 10: cl=0.9705307483673096, cd=0.11068956553936005, cm=-0.005448654294013977
Genotype [0.0085, 0.46, 0.13, -0.8637824606989998, 0.26, -0.023, 0.06439381207465748, -0.003, 0.0025, 7.529466537603988, 10.507571205474617]:
  Angle -10: cl=-0.564175009727478, cd=0.23249828815460205, cm=-0.18943728506565094
  Angle -9: cl=-0.5910978317260742, cd=0.19954335689544678, cm=-0.18597768247127533
  Angle -8: cl=-0.6141919493675232, cd=0.16459353268146515, cm=-0.18463177978992462
  Angle -7: cl=-0.6530460119247437, cd=0.12997673451900482, cm=-0.1794586032629013
  Angle -6: cl=-0.6087947487831116, cd=0.11533395200967789, cm=-0.16461779177188873
  Angle -5: cl=-0.5026000738143921, cd=0.10406872630119324, cm=-0.15147878229618073
  Angle -4: cl=-0.4108034372329712, cd=0.09914201498031616, cm=-0.13817445933818817
  Angle -3: cl=-0.3090018033981323, cd=0.09322107583284378, cm=-0.12443794310092926
  Angle -2: cl=-0.23101583123207092, cd=0.08779527992010117, cm=-0.10193975269794464
  Angle -1: cl=-0.1699567288160324, cd=0.08309951424598694, cm=-0.07271017134189606
  Angle 0: cl=-0.09907521307468414, cd=0.08231915533542633, cm=-0.044481828808784485
  Angle 1: cl=-0.01577397994697094, cd=0.08286226540803909, cm=-0.022562310099601746
  Angle 2: cl=0.06758055835962296, cd=0.08365146070718765, cm=-0.007196590304374695
  Angle 3: cl=0.30273523926734924, cd=0.06801873445510864, cm=-0.0023971647024154663
  Angle 4: cl=0.41218334436416626, cd=0.07315399497747421, cm=0.0018444359302520752
  Angle 5: cl=0.5105862021446228, cd=0.0814402848482132, cm=0.005297347903251648
  Angle 6: cl=0.6040234565734863, cd=0.08852389454841614, cm=0.0074334293603897095
  Angle 7: cl=0.6939998269081116, cd=0.09510833770036697, cm=0.009877592325210571
  Angle 8: cl=0.784244179725647, cd=0.10154086351394653, cm=0.011069297790527344
  Angle 9: cl=0.8793572187423706, cd=0.10560809820890427, cm=0.0028703510761260986
  Angle 10: cl=0.9784106016159058, cd=0.11101692914962769, cm=-0.005050823092460632
