Experiment: Nash_Combination_Experiment_31
Generation: 75
Generation Type: v
Timestamp: 20231226_121902

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7535505768019888, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.47844083661537, 10.449825841310155] - Base Fitness: -0.2890170325896806, Adjusted Fitness: -0.2890170325896806
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.09820318792593688, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.13028022976271308, Adjusted Fitness: 0.13028022976271308
[0.0085, 0.46, 0.13, -0.7553891513008627, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.16252691005050446, Adjusted Fitness: 0.16252691005050446
[0.0085, 0.448352045710531, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.15015853707737817, Adjusted Fitness: 0.15015853707737817
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7528275417664975, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1622552074079537, Adjusted Fitness: 0.1622552074079537
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.25574182575725446, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.06319868467811515, Adjusted Fitness: 0.06558471264311715
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.408226274916148] - Base Fitness: 0.16606447885467768, Adjusted Fitness: 0.16606447885467768
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: -0.471101980387757, Adjusted Fitness: -0.4424900857185987
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.08880397234159099, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.13610315997378422, Adjusted Fitness: 0.13610315997378422
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7418541771809639, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.16173903942932893, Adjusted Fitness: 0.16173903942932893
[0.0126, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: -0.5414265799232554, Adjusted Fitness: -0.5169064176829269
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.11, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: -0.5655831779762718, Adjusted Fitness: -0.5354600315921344
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.11446863042473246, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: -0.4116057038254125, Adjusted Fitness: -0.411337708267345
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.432897660464011, 10.468713576147637] - Base Fitness: 0.16127193958341454, Adjusted Fitness: 0.16127193958341454
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.1603078535922608, Adjusted Fitness: 0.22783063078545568
[0.0085, 0.46, 0.13, -0.7052527142629224, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209] - Base Fitness: 0.15906917341864568, Adjusted Fitness: 0.15906917341864568

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209]:
  Angle -10: cl=-0.5611727833747864, cd=0.22905786335468292, cm=-0.18883104622364044
  Angle -9: cl=-0.5867485404014587, cd=0.19558101892471313, cm=-0.18610705435276031
  Angle -8: cl=-0.6095518469810486, cd=0.16059163212776184, cm=-0.18467457592487335
  Angle -7: cl=-0.6488119959831238, cd=0.12708602845668793, cm=-0.1778785139322281
  Angle -6: cl=-0.6054155230522156, cd=0.11340175569057465, cm=-0.16260983049869537
  Angle -5: cl=-0.5066807866096497, cd=0.10393448919057846, cm=-0.14933566749095917
  Angle -4: cl=-0.41332072019577026, cd=0.09893442690372467, cm=-0.13604412972927094
  Angle -3: cl=-0.3105946183204651, cd=0.09271427243947983, cm=-0.12183786928653717
  Angle -2: cl=-0.23919910192489624, cd=0.08717910200357437, cm=-0.0970163494348526
  Angle -1: cl=-0.17818871140480042, cd=0.08272222429513931, cm=-0.06763564050197601
  Angle 0: cl=-0.10859569907188416, cd=0.08230582624673843, cm=-0.04008565843105316
  Angle 1: cl=-0.025229284539818764, cd=0.08277781307697296, cm=-0.018224671483039856
  Angle 2: cl=0.058398663997650146, cd=0.08355866372585297, cm=-0.0027804672718048096
  Angle 3: cl=0.3048645853996277, cd=0.06915875524282455, cm=-0.001065373420715332
  Angle 4: cl=0.4009566903114319, cd=0.0752018466591835, cm=0.003676801919937134
  Angle 5: cl=0.4988958537578583, cd=0.08350513875484467, cm=0.007002323865890503
  Angle 6: cl=0.594883143901825, cd=0.09025292843580246, cm=0.008973166346549988
  Angle 7: cl=0.6847610473632812, cd=0.09684590995311737, cm=0.011324480175971985
  Angle 8: cl=0.7756482362747192, cd=0.10222150385379791, cm=0.009532272815704346
  Angle 9: cl=0.8708726167678833, cd=0.10638536512851715, cm=0.001254841685295105
  Angle 10: cl=0.9690607190132141, cd=0.11240296810865402, cm=-0.00658784806728363
Genotype [0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209]:
  Angle -10: cl=-0.5611727833747864, cd=0.22905786335468292, cm=-0.18883104622364044
  Angle -9: cl=-0.5867485404014587, cd=0.19558101892471313, cm=-0.18610705435276031
  Angle -8: cl=-0.6095518469810486, cd=0.16059163212776184, cm=-0.18467457592487335
  Angle -7: cl=-0.6488119959831238, cd=0.12708602845668793, cm=-0.1778785139322281
  Angle -6: cl=-0.6054155230522156, cd=0.11340175569057465, cm=-0.16260983049869537
  Angle -5: cl=-0.5066807866096497, cd=0.10393448919057846, cm=-0.14933566749095917
  Angle -4: cl=-0.41332072019577026, cd=0.09893442690372467, cm=-0.13604412972927094
  Angle -3: cl=-0.3105946183204651, cd=0.09271427243947983, cm=-0.12183786928653717
  Angle -2: cl=-0.23919910192489624, cd=0.08717910200357437, cm=-0.0970163494348526
  Angle -1: cl=-0.17818871140480042, cd=0.08272222429513931, cm=-0.06763564050197601
  Angle 0: cl=-0.10859569907188416, cd=0.08230582624673843, cm=-0.04008565843105316
  Angle 1: cl=-0.025229284539818764, cd=0.08277781307697296, cm=-0.018224671483039856
  Angle 2: cl=0.058398663997650146, cd=0.08355866372585297, cm=-0.0027804672718048096
  Angle 3: cl=0.3048645853996277, cd=0.06915875524282455, cm=-0.001065373420715332
  Angle 4: cl=0.4009566903114319, cd=0.0752018466591835, cm=0.003676801919937134
  Angle 5: cl=0.4988958537578583, cd=0.08350513875484467, cm=0.007002323865890503
  Angle 6: cl=0.594883143901825, cd=0.09025292843580246, cm=0.008973166346549988
  Angle 7: cl=0.6847610473632812, cd=0.09684590995311737, cm=0.011324480175971985
  Angle 8: cl=0.7756482362747192, cd=0.10222150385379791, cm=0.009532272815704346
  Angle 9: cl=0.8708726167678833, cd=0.10638536512851715, cm=0.001254841685295105
  Angle 10: cl=0.9690607190132141, cd=0.11240296810865402, cm=-0.00658784806728363
Genotype [0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209]:
  Angle -10: cl=-0.5611727833747864, cd=0.22905786335468292, cm=-0.18883104622364044
  Angle -9: cl=-0.5867485404014587, cd=0.19558101892471313, cm=-0.18610705435276031
  Angle -8: cl=-0.6095518469810486, cd=0.16059163212776184, cm=-0.18467457592487335
  Angle -7: cl=-0.6488119959831238, cd=0.12708602845668793, cm=-0.1778785139322281
  Angle -6: cl=-0.6054155230522156, cd=0.11340175569057465, cm=-0.16260983049869537
  Angle -5: cl=-0.5066807866096497, cd=0.10393448919057846, cm=-0.14933566749095917
  Angle -4: cl=-0.41332072019577026, cd=0.09893442690372467, cm=-0.13604412972927094
  Angle -3: cl=-0.3105946183204651, cd=0.09271427243947983, cm=-0.12183786928653717
  Angle -2: cl=-0.23919910192489624, cd=0.08717910200357437, cm=-0.0970163494348526
  Angle -1: cl=-0.17818871140480042, cd=0.08272222429513931, cm=-0.06763564050197601
  Angle 0: cl=-0.10859569907188416, cd=0.08230582624673843, cm=-0.04008565843105316
  Angle 1: cl=-0.025229284539818764, cd=0.08277781307697296, cm=-0.018224671483039856
  Angle 2: cl=0.058398663997650146, cd=0.08355866372585297, cm=-0.0027804672718048096
  Angle 3: cl=0.3048645853996277, cd=0.06915875524282455, cm=-0.001065373420715332
  Angle 4: cl=0.4009566903114319, cd=0.0752018466591835, cm=0.003676801919937134
  Angle 5: cl=0.4988958537578583, cd=0.08350513875484467, cm=0.007002323865890503
  Angle 6: cl=0.594883143901825, cd=0.09025292843580246, cm=0.008973166346549988
  Angle 7: cl=0.6847610473632812, cd=0.09684590995311737, cm=0.011324480175971985
  Angle 8: cl=0.7756482362747192, cd=0.10222150385379791, cm=0.009532272815704346
  Angle 9: cl=0.8708726167678833, cd=0.10638536512851715, cm=0.001254841685295105
  Angle 10: cl=0.9690607190132141, cd=0.11240296810865402, cm=-0.00658784806728363
Genotype [0.0085, 0.46, 0.13, -0.7535505768019888, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.47844083661537, 10.449825841310155]:
  Angle -10: cl=-0.5647921562194824, cd=0.1872389316558838, cm=-0.1750022917985916
  Angle -9: cl=-0.6043553352355957, cd=0.16158853471279144, cm=-0.16764576733112335
  Angle -8: cl=-0.6330636143684387, cd=0.13337545096874237, cm=-0.163459911942482
  Angle -7: cl=-0.6388372778892517, cd=0.1101553738117218, cm=-0.15748648345470428
  Angle -6: cl=-0.5618932247161865, cd=0.10027643293142319, cm=-0.1355191022157669
  Angle -5: cl=-0.4784771800041199, cd=0.09277833998203278, cm=-0.1101420670747757
  Angle -4: cl=-0.3980647325515747, cd=0.08731941878795624, cm=-0.08443127572536469
  Angle -3: cl=-0.32951295375823975, cd=0.08355521410703659, cm=-0.058812275528907776
  Angle -2: cl=-0.2760293483734131, cd=0.08812069892883301, cm=-0.03850431740283966
  Angle -1: cl=-0.2183355838060379, cd=0.09504933655261993, cm=-0.021700188517570496
  Angle 0: cl=-0.15638014674186707, cd=0.10263016074895859, cm=-0.004248276352882385
  Angle 1: cl=-0.09360085427761078, cd=0.10879121720790863, cm=0.009865179657936096
  Angle 2: cl=0.07454406470060349, cd=0.10340788960456848, cm=0.014878273010253906
  Angle 3: cl=0.15992219746112823, cd=0.10578024387359619, cm=0.014558404684066772
  Angle 4: cl=0.24504317343235016, cd=0.10786714404821396, cm=0.00933791697025299
  Angle 5: cl=0.3427358865737915, cd=0.11003477871417999, cm=0.0033821165561676025
  Angle 6: cl=0.4483756721019745, cd=0.11130277067422867, cm=-0.00407804548740387
  Angle 7: cl=0.574485182762146, cd=0.10912144184112549, cm=-0.02130068838596344
  Angle 8: cl=0.6993937492370605, cd=0.10698164999485016, cm=-0.04028348624706268
  Angle 9: cl=0.8115397691726685, cd=0.10574350506067276, cm=-0.06390716135501862
  Angle 10: cl=0.9280793070793152, cd=0.10439563542604446, cm=-0.08742491900920868
Genotype [0.0085, 0.46, 0.13, -0.7232794941121009, 0.26, -0.023, 0.09820318792593688, -0.003, 0.0025, 8.47844083661537, 10.456539460206209]:
  Angle -10: cl=-0.5612971186637878, cd=0.22824925184249878, cm=-0.1887027472257614
  Angle -9: cl=-0.5867632031440735, cd=0.19477327167987823, cm=-0.18600206077098846
  Angle -8: cl=-0.6095251441001892, cd=0.15971295535564423, cm=-0.18425963819026947
  Angle -7: cl=-0.6487878561019897, cd=0.12634198367595673, cm=-0.1771773248910904
  Angle -6: cl=-0.6064243316650391, cd=0.11306022852659225, cm=-0.1618773490190506
  Angle -5: cl=-0.5092231631278992, cd=0.1038772463798523, cm=-0.14846087992191315
  Angle -4: cl=-0.4148642420768738, cd=0.0987849161028862, cm=-0.13525690138339996
  Angle -3: cl=-0.3122134506702423, cd=0.09250173717737198, cm=-0.12093822658061981
  Angle -2: cl=-0.24205273389816284, cd=0.08691482245922089, cm=-0.09553246200084686
  Angle -1: cl=-0.18130001425743103, cd=0.08243045210838318, cm=-0.06625451147556305
  Angle 0: cl=-0.11249786615371704, cd=0.08214834332466125, cm=-0.03873305022716522
  Angle 1: cl=-0.029747383669018745, cd=0.08254310488700867, cm=-0.016836777329444885
  Angle 2: cl=0.05403859168291092, cd=0.08340100944042206, cm=-0.0014369189739227295
  Angle 3: cl=0.2994494140148163, cd=0.06997109949588776, cm=-0.00043366849422454834
  Angle 4: cl=0.39487922191619873, cd=0.07569066435098648, cm=0.004355311393737793
  Angle 5: cl=0.49288663268089294, cd=0.08399675786495209, cm=0.007726162672042847
  Angle 6: cl=0.5897659659385681, cd=0.09066484123468399, cm=0.009564310312271118
  Angle 7: cl=0.6798234581947327, cd=0.09727545082569122, cm=0.011859357357025146
  Angle 8: cl=0.7706089615821838, cd=0.10232093930244446, cm=0.009301334619522095
  Angle 9: cl=0.8656377196311951, cd=0.10650000721216202, cm=0.0009927898645401
  Angle 10: cl=0.9638039469718933, cd=0.11238256841897964, cm=-0.006885990500450134
Genotype [0.0085, 0.46, 0.13, -0.7553891513008627, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.47844083661537, 10.456539460206209]:
  Angle -10: cl=-0.5610915422439575, cd=0.2290833443403244, cm=-0.18883155286312103
  Angle -9: cl=-0.5867104530334473, cd=0.19556571543216705, cm=-0.1861448734998703
  Angle -8: cl=-0.6094055771827698, cd=0.1605851799249649, cm=-0.18465594947338104
  Angle -7: cl=-0.6485851407051086, cd=0.12703824043273926, cm=-0.17785929143428802
  Angle -6: cl=-0.6046857237815857, cd=0.11334880441427231, cm=-0.16260667145252228
  Angle -5: cl=-0.5064414143562317, cd=0.10393532365560532, cm=-0.14937423169612885
  Angle -4: cl=-0.41311487555503845, cd=0.09894569963216782, cm=-0.1360776275396347
  Angle -3: cl=-0.31051528453826904, cd=0.0927245244383812, cm=-0.12187661230564117
  Angle -2: cl=-0.2391383945941925, cd=0.0872034952044487, cm=-0.09700416028499603
  Angle -1: cl=-0.1780289262533188, cd=0.08273766934871674, cm=-0.06764645874500275
  Angle 0: cl=-0.1083436906337738, cd=0.08232362568378448, cm=-0.04008500277996063
  Angle 1: cl=-0.025089072063565254, cd=0.0827789455652237, cm=-0.018185600638389587
  Angle 2: cl=0.05864720046520233, cd=0.0835806354880333, cm=-0.002798229455947876
  Angle 3: cl=0.30512282252311707, cd=0.06915335357189178, cm=-0.0010910630226135254
