Experiment: Nash_Combination_Experiment_33
Generation: 16
Generation Type: u
Timestamp: 20231226_131052

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.002618740590387925, 7.195959934473375, 10.181735037493183] - Base Fitness: -0.21295538447264506, Adjusted Fitness: -0.2102290586130232
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.002618740590387925, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.23805843454959544, Adjusted Fitness: 0.24292808276142208
[0.0085, 0.46, 0.13, -0.8799714268066913, 0.26, -0.023, 0.05, -0.003, 0.005, 7.195959934473375, 10.307402447507364] - Base Fitness: -0.02619084147402312, Adjusted Fitness: -0.021842046723092
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.0, 10.521828867370859] - Base Fitness: -0.400434954494406, Adjusted Fitness: -0.39934041985124696
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.023, 0.11879723749138558, -0.003, 0.0025, 7.195959934473375, 10.307402447507364] - Base Fitness: 0.17824129965006047, Adjusted Fitness: 0.18367504917692326
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.023, 0.11879723749138558, -0.003, 0.0025, 7.195959934473375, 10.262859882167977] - Base Fitness: 0.18307152241277622, Adjusted Fitness: 0.18854154322068878
[0.0085, 0.46, 0.13, -0.7, 0.2591700992193661, -0.023, 0.05, -0.003, 0.002618740590387925, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.22113852340706006, Adjusted Fitness: 0.2260322293528788
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.023, 0.07530858279331915, -0.003, 0.0025, 7.0, 10.521828867370859] - Base Fitness: 0.11041290391073257, Adjusted Fitness: 0.11577175781780491
[0.0085, 0.46, 0.12905854267070366, -0.9, 0.26, -0.023, 0.05, -0.003, 0.002618740590387925, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.21387180881304116, Adjusted Fitness: 0.21881917878650395
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 11.090800927090173] - Base Fitness: 0.1505506841239823, Adjusted Fitness: 0.15592596036386508
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.023, 0.06623700639389046, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.22230292455059344, Adjusted Fitness: 0.239606817739057
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.02292380194374835, 0.05, -0.003, 0.0025517799921896006, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.13905081390517177, Adjusted Fitness: 0.14999197394025085
[0.0085, 0.4408722986218043, 0.13, -0.8799714268066913, 0.26, -0.023, 0.11879723749138558, -0.003, 0.0025, 7.792573482823068, 10.181735037493183] - Base Fitness: 0.17316319780444916, Adjusted Fitness: 0.17864231738941
[0.0085, 0.4408722986218043, 0.13, -0.9, 0.26, -0.02292380194374835, 0.11879723749138558, -0.003, 0.0025, 7.195959934473375, 11.810962395888637] - Base Fitness: 0.02219265574271641, Adjusted Fitness: 0.026890470213835508
[0.0126, 0.4408722986218043, 0.13, -0.7, 0.2, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: -2.153282100853972, Adjusted Fitness: -2.153282100853972
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 0.2735936308318481
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.02292380194374835, 0.05, -0.003, 0.0025, 7.792573482823068, 11.090800927090173] - Base Fitness: 0.1302183470752886, Adjusted Fitness: 0.13564468779947134
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.002618740590387925, 7.195959934473375, 10.307402447507364] - Base Fitness: 0.2244386693368259, Adjusted Fitness: 0.22926857453875016
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.11879723749138558, -0.003, 0.002618740590387925, 7.195959934473375, 10.307402447507364] - Base Fitness: -0.43923567566969024, Adjusted Fitness: -0.43804969598221044
[0.0085, 0.46, 0.12905854267070366, -0.9, 0.26, -0.023, 0.11879723749138558, -0.003, 0.0025, 7.0, 10.181735037493183] - Base Fitness: 0.19599540831452034, Adjusted Fitness: 0.20130874399813783
[0.0085, 0.4408722986218043, 0.13, -0.9, 0.26, -0.023, 0.11879723749138558, -0.003, 0.002618740590387925, 7.792573482823068, 10.181735037493183] - Base Fitness: 0.16147928542085385, Adjusted Fitness: 0.16691338958996862
[0.0085, 0.4408722986218043, 0.12905854267070366, -0.7, 0.2591700992193661, -0.023, 0.05, -0.003, 0.002618740590387925, 7.195959934473375, 10.307402447507364] - Base Fitness: 0.1529110350946932, Adjusted Fitness: 0.1583099148442831
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.023, 0.06623700639389046, -0.003, 0.0025, 7.195959934473375, 10.0] - Base Fitness: 0.24201558730874978, Adjusted Fitness: 0.271275929561781
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.792573482823068, 10.307402447507364] - Base Fitness: -0.4286140510088198, Adjusted Fitness: -0.42779518826574875
[0.0085, 0.46, 0.13, -0.9, 0.2591700992193661, -0.023, 0.05, -0.003, 0.002618740590387925, 7.792573482823068, 10.307402447507364] - Base Fitness: 0.1927132235999975, Adjusted Fitness: 0.19808624612436335
[0.0085, 0.41, 0.13, -0.9, 0.2591700992193661, -0.023, 0.05, -0.003, 0.002618740590387925, 7.792573482823068, 10.181735037493183] - Base Fitness: 0.09056235425594135, Adjusted Fitness: 0.09587733167170052
[0.0085, 0.46, 0.12905854267070366, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.241286620834106, Adjusted Fitness: 0.24597883963913592
[0.0085, 0.4408722986218043, 0.13, -0.9, 0.26, -0.02292380194374835, 0.05, -0.003, 0.0025517799921896006, 7.792573482823068, 10.181735037493183] - Base Fitness: 0.20275450365578118, Adjusted Fitness: 0.20768138101491154
[0.0085, 0.41, 0.13, -0.7, 0.2591700992193661, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.307402447507364] - Base Fitness: 0.10600604897172441, Adjusted Fitness: 0.1169445286091346
[0.0085, 0.4408722986218043, 0.13, -0.8799714268066913, 0.26, -0.023, 0.11879723749138558, -0.003634571912296325, 0.0025, 7.792573482823068, 10.521828867370859] - Base Fitness: 0.014713820818643376, Adjusted Fitness: 0.01940449933941258
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.181735037493183] - Base Fitness: 0.24177464173578989, Adjusted Fitness: 0.24646098291443388
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.02292380194374835, 0.11879723749138558, -0.003, 0.0025, 7.195959934473375, 10.521828867370859] - Base Fitness: 0.1489960952697559, Adjusted Fitness: 0.15445530195808369
[0.0085, 0.46, 0.13, -0.7, 0.2591700992193661, -0.023, 0.05, -0.003, 0.0025517799921896006, 7.792573482823068, 11.090800927090173] - Base Fitness: 0.09963398348920899, Adjusted Fitness: 0.11067481274792328
[0.0085, 0.4408722986218043, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.24542076792598944, Adjusted Fitness: 0.24984045381848113
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.002618740590387925, 7.792573482823068, 10.181735037493183] - Base Fitness: 0.21185838385673078, Adjusted Fitness: 0.21683593998919676
[0.0085, 0.46, 0.13, -0.9, 0.2591700992193661, -0.023, 0.05, -0.003, 0.002618740590387925, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.23429125968424666, Adjusted Fitness: 0.24490409827715723
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.0, 10.521828867370859] - Base Fitness: -0.13578797465279493, Adjusted Fitness: -0.13240229200203762
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025517799921896006, 7.792573482823068, 11.090800927090173] - Base Fitness: 0.09596342645590987, Adjusted Fitness: 0.1013291351830733
[0.0085, 0.46, 0.13, -0.7, 0.2591700992193661, -0.023, 0.05, -0.003, 0.0025517799921896006, 7.195959934473375, 11.090800927090173] - Base Fitness: 0.12846062051258791, Adjusted Fitness: 0.13387061264243216
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.023, 0.11879723749138558, -0.003, 0.002618740590387925, 7.195959934473375, 10.0] - Base Fitness: 0.198740405069705, Adjusted Fitness: 0.20394406042125063
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.02292380194374835, 0.05, -0.003, 0.0025517799921896006, 7.195959934473375, 10.521828867370859] - Base Fitness: 0.18369207913383453, Adjusted Fitness: 0.18903028711554182
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.023, 0.11879723749138558, -0.003634571912296325, 0.0025, 7.792573482823068, 10.307402447507364] - Base Fitness: -0.03248303534456916, Adjusted Fitness: -0.028138280920446058
[0.0085, 0.46, 0.13, -0.7, 0.2591700992193661, -0.023, 0.05, -0.003, 0.0025, 7.792573482823068, 11.090800927090173] - Base Fitness: 0.1052920567294905, Adjusted Fitness: 0.1106824692895913
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.015, 0.05, -0.003, 0.002618740590387925, 7.195959934473375, 10.0] - Base Fitness: -0.3817151986760336, Adjusted Fitness: -0.3804971433762901
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.02292380194374835, 0.11879723749138558, -0.003, 0.002618740590387925, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.19407514739233292, Adjusted Fitness: 0.1993833184454775
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.792573482823068, 11.090800927090173] - Base Fitness: 0.12299078578587747, Adjusted Fitness: 0.12835633839013633
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.2591700992193661, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.0] - Base Fitness: 0.2341918009721555, Adjusted Fitness: 0.23911305157805846
[0.0085, 0.46, 0.12905854267070366, -0.7, 0.26, -0.023, 0.05, -0.003, 0.002618740590387925, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.20103420625523644, Adjusted Fitness: 0.20600448590344686
[0.0085, 0.41, 0.13, -0.7, 0.26, -0.021612567730804735, 0.05, -0.003, 0.0025, 7.0, 10.521828867370859] - Base Fitness: 0.0024524238065863203, Adjusted Fitness: 0.007075218615549243
[0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.021612567730804735, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.12266516933074027, Adjusted Fitness: 0.12803847747209562

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.002618740590387925, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5644074082374573, cd=0.18984663486480713, cm=-0.17575706541538239
  Angle -9: cl=-0.6067712903022766, cd=0.16433537006378174, cm=-0.16863970458507538
  Angle -8: cl=-0.6358127593994141, cd=0.13564559817314148, cm=-0.16427399218082428
  Angle -7: cl=-0.6383441686630249, cd=0.11143465340137482, cm=-0.15979422628879547
  Angle -6: cl=-0.5475102066993713, cd=0.10135386884212494, cm=-0.1430814415216446
  Angle -5: cl=-0.4645257890224457, cd=0.09285876899957657, cm=-0.11800913512706757
  Angle -4: cl=-0.38470664620399475, cd=0.08734920620918274, cm=-0.09242500364780426
  Angle -3: cl=-0.3142731189727783, cd=0.08323360234498978, cm=-0.06606625020503998
  Angle -2: cl=-0.26129862666130066, cd=0.08426989614963531, cm=-0.04192452132701874
  Angle -1: cl=-0.20388147234916687, cd=0.09122569113969803, cm=-0.024059578776359558
  Angle 0: cl=-0.14172591269016266, cd=0.09891684353351593, cm=-0.006239786744117737
  Angle 1: cl=-0.08443401008844376, cd=0.10635688155889511, cm=0.008349329233169556
  Angle 2: cl=0.08919905871152878, cd=0.10016480833292007, cm=0.013331517577171326
  Angle 3: cl=0.1721019446849823, cd=0.10435106605291367, cm=0.017796039581298828
  Angle 4: cl=0.25956445932388306, cd=0.10643821209669113, cm=0.0125027596950531
  Angle 5: cl=0.35747793316841125, cd=0.1087065264582634, cm=0.006283238530158997
  Angle 6: cl=0.4594232439994812, cd=0.11060643941164017, cm=0.0005114078521728516
  Angle 7: cl=0.5736730098724365, cd=0.11035529524087906, cm=-0.01113833487033844
  Angle 8: cl=0.699343204498291, cd=0.10814757645130157, cm=-0.02995733916759491
  Angle 9: cl=0.8156747221946716, cd=0.10585607588291168, cm=-0.05265532433986664
  Angle 10: cl=0.930367112159729, cd=0.10356748849153519, cm=-0.07298074662685394
Genotype [0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.002618740590387925, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5660485625267029, cd=0.23420555889606476, cm=-0.1899288147687912
  Angle -9: cl=-0.5924488306045532, cd=0.20133356750011444, cm=-0.18613271415233612
  Angle -8: cl=-0.6151864528656006, cd=0.1664479374885559, cm=-0.18499906361103058
  Angle -7: cl=-0.6539214253425598, cd=0.13142921030521393, cm=-0.18048344552516937
  Angle -6: cl=-0.6086066961288452, cd=0.11668572574853897, cm=-0.16585390269756317
  Angle -5: cl=-0.5020384788513184, cd=0.10460007190704346, cm=-0.1525256484746933
  Angle -4: cl=-0.40883976221084595, cd=0.09929734468460083, cm=-0.13950814306735992
  Angle -3: cl=-0.30714547634124756, cd=0.09352745860815048, cm=-0.12601979076862335
  Angle -2: cl=-0.2261536717414856, cd=0.08818141371011734, cm=-0.10457508265972137
  Angle -1: cl=-0.16496628522872925, cd=0.08339827507734299, cm=-0.07539178431034088
  Angle 0: cl=-0.09314386546611786, cd=0.08252710103988647, cm=-0.047263845801353455
  Angle 1: cl=-0.009792560711503029, cd=0.08285321295261383, cm=-0.02498723566532135
  Angle 2: cl=0.07413297891616821, cd=0.0837637409567833, cm=-0.009823009371757507
  Angle 3: cl=0.30374839901924133, cd=0.06874923408031464, cm=-0.004703208804130554
  Angle 4: cl=0.4206704795360565, cd=0.07210973650217056, cm=0.000588342547416687
  Angle 5: cl=0.5193231701850891, cd=0.08037648350000381, cm=0.00402262806892395
  Angle 6: cl=0.6112090349197388, cd=0.08762267231941223, cm=0.006420731544494629
  Angle 7: cl=0.7011614441871643, cd=0.09422002732753754, cm=0.008826866745948792
  Angle 8: cl=0.7911572456359863, cd=0.10083232074975967, cm=0.010582834482192993
  Angle 9: cl=0.8860743641853333, cd=0.10530570894479752, cm=0.003565579652786255
  Angle 10: cl=0.9855889081954956, cd=0.11093678325414658, cm=-0.004335507750511169
Genotype [0.0085, 0.46, 0.13, -0.8799714268066913, 0.26, -0.023, 0.05, -0.003, 0.005, 7.195959934473375, 10.307402447507364]:
  Angle -10: cl=-0.5435589551925659, cd=0.22578617930412292, cm=-0.18600042164325714
  Angle -9: cl=-0.5648645162582397, cd=0.19234712421894073, cm=-0.1842566579580307
  Angle -8: cl=-0.5872999429702759, cd=0.15739400684833527, cm=-0.18304063379764557
  Angle -7: cl=-0.6200912594795227, cd=0.12715759873390198, cm=-0.17345546185970306
  Angle -6: cl=-0.6033048033714294, cd=0.11183260381221771, cm=-0.16062785685062408
  Angle -5: cl=-0.5176492929458618, cd=0.10379738360643387, cm=-0.14609692990779877
  Angle -4: cl=-0.4185890853404999, cd=0.09795989841222763, cm=-0.13313697278499603
  Angle -3: cl=-0.31869032979011536, cd=0.09105244278907776, cm=-0.1169990748167038
  Angle -2: cl=-0.25779762864112854, cd=0.08538057655096054, cm=-0.08891789615154266
  Angle -1: cl=-0.1977023184299469, cd=0.08080052584409714, cm=-0.05943243205547333
  Angle 0: cl=-0.12836064398288727, cd=0.08102200925350189, cm=-0.032401904463768005
  Angle 1: cl=-0.058028630912303925, cd=0.08235741406679153, cm=-0.01059560477733612
  Angle 2: cl=0.026869185268878937, cd=0.08726263791322708, cm=0.0008030086755752563
  Angle 3: cl=0.2635199725627899, cd=0.0749361589550972, cm=0.001849055290222168
  Angle 4: cl=0.35348784923553467, cd=0.08053004741668701, cm=0.007288336753845215
  Angle 5: cl=0.447153240442276, cd=0.08708513528108597, cm=0.010770335793495178
  Angle 6: cl=0.5482900142669678, cd=0.09421436488628387, cm=0.013331398367881775
  Angle 7: cl=0.6397034525871277, cd=0.1004079207777977, cm=0.014715507626533508
  Angle 8: cl=0.731176495552063, cd=0.10362600535154343, cm=0.007267981767654419
  Angle 9: cl=0.8257145881652832, cd=0.10775771737098694, cm=-0.000996410846710205
  Angle 10: cl=0.9200692772865295, cd=0.1163853257894516, cm=-0.009627655148506165
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.0, 10.521828867370859]:
  Angle -10: cl=-0.5540654063224792, cd=0.21718886494636536, cm=-0.18283827602863312
  Angle -9: cl=-0.5873991250991821, cd=0.18610019981861115, cm=-0.17775742709636688
  Angle -8: cl=-0.6170361042022705, cd=0.15317779779434204, cm=-0.17261461913585663
  Angle -7: cl=-0.6448456048965454, cd=0.12616665661334991, cm=-0.16441495716571808
  Angle -6: cl=-0.6297320127487183, cd=0.11069321632385254, cm=-0.15254856646060944
  Angle -5: cl=-0.5241676568984985, cd=0.10082996636629105, cm=-0.13865388929843903
  Angle -4: cl=-0.42318081855773926, cd=0.0941954106092453, cm=-0.12388505041599274
  Angle -3: cl=-0.3376597762107849, cd=0.08650856465101242, cm=-0.10056756436824799
  Angle -2: cl=-0.2682590186595917, cd=0.08003931492567062, cm=-0.07441924512386322
  Angle -1: cl=-0.212540403008461, cd=0.07667753845453262, cm=-0.04539473354816437
  Angle 0: cl=-0.15919579565525055, cd=0.07900722324848175, cm=-0.023813650012016296
  Angle 1: cl=-0.09504997730255127, cd=0.08718699216842651, cm=-0.007061794400215149
  Angle 2: cl=-0.01905227266252041, cd=0.09344432502985, cm=0.006186917424201965
  Angle 3: cl=0.1905406266450882, cd=0.0851370319724083, cm=0.010498046875
  Angle 4: cl=0.2789250612258911, cd=0.09066632390022278, cm=0.017200857400894165
  Angle 5: cl=0.3728678822517395, cd=0.09646520018577576, cm=0.021483123302459717
  Angle 6: cl=0.4681800901889801, cd=0.0988275334239006, cm=0.017519399523735046
  Angle 7: cl=0.5662102103233337, cd=0.10030384361743927, cm=0.011694476008415222
  Angle 8: cl=0.6610478162765503, cd=0.10271512717008591, cm=0.005464538931846619
  Angle 9: cl=0.7521252632141113, cd=0.10638471692800522, cm=-0.0028965920209884644
  Angle 10: cl=0.8692022562026978, cd=0.10851701349020004, cm=-0.023683026432991028
Genotype [0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.023, 0.11879723749138558, -0.003, 0.0025, 7.195959934473375, 10.307402447507364]:
  Angle -10: cl=-0.5602333545684814, cd=0.23389019072055817, cm=-0.18874438107013702
  Angle -9: cl=-0.5968058705329895, cd=0.2030855268239975, cm=-0.18159867823123932
  Angle -8: cl=-0.6209749579429626, cd=0.16834159195423126, cm=-0.17911551892757416
  Angle -7: cl=-0.649103045463562, cd=0.13389229774475098, cm=-0.17481787502765656
  Angle -6: cl=-0.6161585450172424, cd=0.1178261786699295, cm=-0.16139598190784454
  Angle -5: cl=-0.5060362815856934, cd=0.10608141124248505, cm=-0.14878742396831512
  Angle -4: cl=-0.3949274718761444, cd=0.09745422005653381, cm=-0.13740111887454987
  Angle -3: cl=-0.29122233390808105, cd=0.0909176617860794, cm=-0.12289129197597504
  Angle -2: cl=-0.20957894623279572, cd=0.08509793132543564, cm=-0.10200084745883942
  Angle -1: cl=-0.1505061686038971, cd=0.08132334798574448, cm=-0.07252152264118195
  Angle 0: cl=-0.08922529220581055, cd=0.08098772913217545, cm=-0.04247106611728668
  Angle 1: cl=-0.011263793334364891, cd=0.08155228942632675, cm=-0.018698468804359436
  Angle 2: cl=0.07012420147657394, cd=0.08226141333580017, cm=-0.002922073006629944
  Angle 3: cl=0.3081779479980469, cd=0.06850931793451309, cm=0.0007833242416381836
  Angle 4: cl=0.3968646824359894, cd=0.07427103072404861, cm=0.006119340658187866
  Angle 5: cl=0.4932820796966553, cd=0.08264219015836716, cm=0.009562268853187561
  Angle 6: cl=0.5832740664482117, cd=0.0902148112654686, cm=0.012529909610748291
  Angle 7: cl=0.674320638179779, cd=0.09689230471849442, cm=0.014327242970466614
  Angle 8: cl=0.7649881839752197, cd=0.10159309208393097, cm=0.011460140347480774
  Angle 9: cl=0.8570755124092102, cd=0.10522698611021042, cm=0.003309473395347595
  Angle 10: cl=0.9564347863197327, cd=0.10980905592441559, cm=-0.004810616374015808
Genotype [0.0085, 0.4408722986218043, 0.13, -0.7, 0.26, -0.023, 0.11879723749138558, -0.003, 0.0025, 7.195959934473375, 10.262859882167977]:
  Angle -10: cl=-0.5602263808250427, cd=0.23397599160671234, cm=-0.1888251155614853
  Angle -9: cl=-0.5968212485313416, cd=0.20314672589302063, cm=-0.18160121142864227
  Angle -8: cl=-0.6208623051643372, cd=0.168381929397583, cm=-0.17916522920131683
  Angle -7: cl=-0.6488467454910278, cd=0.1339373141527176, cm=-0.17491348087787628
  Angle -6: cl=-0.6157305836677551, cd=0.11786752194166183, cm=-0.16148443520069122
  Angle -5: cl=-0.5058046579360962, cd=0.10611923038959503, cm=-0.14889873564243317
  Angle -4: cl=-0.3947042226791382, cd=0.09747578948736191, cm=-0.13750000298023224
  Angle -3: cl=-0.29097282886505127, cd=0.0909513607621193, cm=-0.12295617163181305
  Angle -2: cl=-0.20914973318576813, cd=0.08514624089002609, cm=-0.10216884315013885
  Angle -1: cl=-0.1500164419412613, cd=0.0813741385936737, cm=-0.07272468507289886
  Angle 0: cl=-0.08878788352012634, cd=0.08102478832006454, cm=-0.04264800250530243
  Angle 1: cl=-0.010686254128813744, cd=0.08158347755670547, cm=-0.0188264399766922
  Angle 2: cl=0.07073099911212921, cd=0.08229935169219971, cm=-0.0031065791845321655
  Angle 3: cl=0.3092365860939026, cd=0.06841384619474411, cm=0.0007135570049285889
  Angle 4: cl=0.397710382938385, cd=0.07420371472835541, cm=0.006034687161445618
  Angle 5: cl=0.49421608448028564, cd=0.08257291465997696, cm=0.00942528247833252
