Experiment: Nash_Combination_Experiment_34
Generation: 90
Generation Type: v
Timestamp: 20231226_134409

Genotypes and their Fitness Values:
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.01469359502003, 10.159732947027141] - Base Fitness: 0.15293994665784003, Adjusted Fitness: 0.15293994665784003
[0.0085, 0.46, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1669411115994324, Adjusted Fitness: 0.1800185500115871
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.11694584824631696, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1686098607642567, Adjusted Fitness: 0.1686098607642567
[0.0085, 0.44644751359854146, 0.13, -0.7755846690279345, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.15190114527302043, Adjusted Fitness: 0.15190114527302043
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.46, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1669411115994324, Adjusted Fitness: 0.1800185500115871
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.2301563435430452, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: -0.6237677066546107, Adjusted Fitness: -0.6237677066546107
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.46, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1669411115994324, Adjusted Fitness: 0.1800185500115871
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.46, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.134071750140363] - Base Fitness: 0.16972000373884424, Adjusted Fitness: 0.16972000373884424
[0.0085, 0.44644751359854146, 0.13, -0.812889882828588, 0.26, -0.023, 0.09967949457776365, -0.003, 0.0025, 8.066871153986174, 10.159732947027141] - Base Fitness: 0.17833142309351524, Adjusted Fitness: 0.17833142309351524
[0.0126, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: -0.5343516579827509, Adjusted Fitness: -0.5343516579827509
[0.0085, 0.44644751359854146, 0.13, -0.8013531116536399, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.15338162484580867, Adjusted Fitness: 0.15338162484580867
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.11745186652629219, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.16809456448463828, Adjusted Fitness: 0.16809456448463828
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.005, 8.023898584154383, 10.159732947027141] - Base Fitness: -0.12848054801315192, Adjusted Fitness: -0.1229030058984366
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.46, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1669411115994324, Adjusted Fitness: 0.1800185500115871
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.015, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: -0.4629721395633864, Adjusted Fitness: -0.4629721395633864
[0.0085, 0.44644751359854146, 0.13, -0.8119706366216645, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.15414312481938103, Adjusted Fitness: 0.15414312481938103
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.46, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1669411115994324, Adjusted Fitness: 0.1800185500115871
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.138801736092216] - Base Fitness: 0.15505117294046625, Adjusted Fitness: 0.15505117294046625
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.11, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: -0.5572544928962782, Adjusted Fitness: -0.5572544928962782
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1525837281080279, Adjusted Fitness: 1049465.0043934088
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.2404164566600482, -0.023, 0.15968163938692786, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: -0.3493099017402933, Adjusted Fitness: -0.3493099017402933
[0.0085, 0.4493478702340521, 0.13, -0.7688487091299671, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.15606778646717953, Adjusted Fitness: 0.15606778646717953
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.14082172772271] - Base Fitness: 0.15481716760474692, Adjusted Fitness: 0.15481716760474692
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.21023636070221224, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: -1.205980714661201, Adjusted Fitness: -1.205980714661201
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.09967949457776365, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1784354939143134, Adjusted Fitness: 0.1784354939143134
[0.0126, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: -0.5343516579827509, Adjusted Fitness: -0.5343516579827509
[0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.09967949457776365, -0.003, 0.0025, 8.023898584154383, 10.159732947027141] - Base Fitness: 0.1784354939143134, Adjusted Fitness: 0.1784354939143134

Detailed Results for Each Genotype:
Genotype [0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141]:
  Angle -10: cl=-0.5573220252990723, cd=0.2299766093492508, cm=-0.1881531924009323
  Angle -9: cl=-0.5916439294815063, cd=0.19858600199222565, cm=-0.18271563947200775
  Angle -8: cl=-0.6140561103820801, cd=0.16317853331565857, cm=-0.18057845532894135
  Angle -7: cl=-0.6458982825279236, cd=0.12987782061100006, cm=-0.17456229031085968
  Angle -6: cl=-0.6108454465866089, cd=0.11531269550323486, cm=-0.1605142205953598
  Angle -5: cl=-0.5019002556800842, cd=0.10406527668237686, cm=-0.14799831807613373
  Angle -4: cl=-0.4016534090042114, cd=0.0978057011961937, cm=-0.13559697568416595
  Angle -3: cl=-0.2979293167591095, cd=0.09119095653295517, cm=-0.12085418403148651
  Angle -2: cl=-0.2237749993801117, cd=0.08539710193872452, cm=-0.09726475179195404
  Angle -1: cl=-0.1639663577079773, cd=0.08149977773427963, cm=-0.06781889498233795
  Angle 0: cl=-0.09910140931606293, cd=0.08121690154075623, cm=-0.03882886469364166
  Angle 1: cl=-0.02083919383585453, cd=0.08194255083799362, cm=-0.015798255801200867
  Angle 2: cl=0.06111649423837662, cd=0.08299761265516281, cm=-0.0005170702934265137
  Angle 3: cl=0.30125755071640015, cd=0.07040537148714066, cm=0.0012512505054473877
  Angle 4: cl=0.3920718729496002, cd=0.07589975744485855, cm=0.0064574480056762695
  Angle 5: cl=0.4889490604400635, cd=0.08416804671287537, cm=0.009828835725784302
  Angle 6: cl=0.5813100337982178, cd=0.0913815125823021, cm=0.01231992244720459
  Angle 7: cl=0.6731727123260498, cd=0.09794889390468597, cm=0.014206960797309875
  Angle 8: cl=0.7643712759017944, cd=0.10222826898097992, cm=0.009878262877464294
  Angle 9: cl=0.8574432730674744, cd=0.10609935224056244, cm=0.001618310809135437
  Angle 10: cl=0.9574149250984192, cd=0.11069198697805405, cm=-0.006422683596611023
Genotype [0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141]:
  Angle -10: cl=-0.5573220252990723, cd=0.2299766093492508, cm=-0.1881531924009323
  Angle -9: cl=-0.5916439294815063, cd=0.19858600199222565, cm=-0.18271563947200775
  Angle -8: cl=-0.6140561103820801, cd=0.16317853331565857, cm=-0.18057845532894135
  Angle -7: cl=-0.6458982825279236, cd=0.12987782061100006, cm=-0.17456229031085968
  Angle -6: cl=-0.6108454465866089, cd=0.11531269550323486, cm=-0.1605142205953598
  Angle -5: cl=-0.5019002556800842, cd=0.10406527668237686, cm=-0.14799831807613373
  Angle -4: cl=-0.4016534090042114, cd=0.0978057011961937, cm=-0.13559697568416595
  Angle -3: cl=-0.2979293167591095, cd=0.09119095653295517, cm=-0.12085418403148651
  Angle -2: cl=-0.2237749993801117, cd=0.08539710193872452, cm=-0.09726475179195404
  Angle -1: cl=-0.1639663577079773, cd=0.08149977773427963, cm=-0.06781889498233795
  Angle 0: cl=-0.09910140931606293, cd=0.08121690154075623, cm=-0.03882886469364166
  Angle 1: cl=-0.02083919383585453, cd=0.08194255083799362, cm=-0.015798255801200867
  Angle 2: cl=0.06111649423837662, cd=0.08299761265516281, cm=-0.0005170702934265137
  Angle 3: cl=0.30125755071640015, cd=0.07040537148714066, cm=0.0012512505054473877
  Angle 4: cl=0.3920718729496002, cd=0.07589975744485855, cm=0.0064574480056762695
  Angle 5: cl=0.4889490604400635, cd=0.08416804671287537, cm=0.009828835725784302
  Angle 6: cl=0.5813100337982178, cd=0.0913815125823021, cm=0.01231992244720459
  Angle 7: cl=0.6731727123260498, cd=0.09794889390468597, cm=0.014206960797309875
  Angle 8: cl=0.7643712759017944, cd=0.10222826898097992, cm=0.009878262877464294
  Angle 9: cl=0.8574432730674744, cd=0.10609935224056244, cm=0.001618310809135437
  Angle 10: cl=0.9574149250984192, cd=0.11069198697805405, cm=-0.006422683596611023
Genotype [0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.01469359502003, 10.159732947027141]:
  Angle -10: cl=-0.5573233366012573, cd=0.23002953827381134, cm=-0.18814997375011444
  Angle -9: cl=-0.5917048454284668, cd=0.19864416122436523, cm=-0.18272189795970917
  Angle -8: cl=-0.6141685247421265, cd=0.16323374211788177, cm=-0.18063418567180634
  Angle -7: cl=-0.6459386348724365, cd=0.1299068182706833, cm=-0.1745963841676712
  Angle -6: cl=-0.6108821630477905, cd=0.11532793194055557, cm=-0.1605241745710373
  Angle -5: cl=-0.5020119547843933, cd=0.10408296436071396, cm=-0.1480167657136917
  Angle -4: cl=-0.4016309082508087, cd=0.09781304746866226, cm=-0.13558460772037506
  Angle -3: cl=-0.297941118478775, cd=0.09119520336389542, cm=-0.12087835371494293
  Angle -2: cl=-0.22366297245025635, cd=0.085406094789505, cm=-0.0973091870546341
  Angle -1: cl=-0.16390550136566162, cd=0.08151230961084366, cm=-0.06784112751483917
  Angle 0: cl=-0.09898589551448822, cd=0.08120400458574295, cm=-0.03886817395687103
  Angle 1: cl=-0.02064654417335987, cd=0.08194055408239365, cm=-0.015866711735725403
  Angle 2: cl=0.06117517501115799, cd=0.08297164738178253, cm=-0.0005694031715393066
  Angle 3: cl=0.30124232172966003, cd=0.07037682086229324, cm=0.0012694299221038818
  Angle 4: cl=0.3922984302043915, cd=0.07585561275482178, cm=0.006439030170440674
  Angle 5: cl=0.48897871375083923, cd=0.08416010439395905, cm=0.009842485189437866
  Angle 6: cl=0.5813744068145752, cd=0.09133388102054596, cm=0.012331575155258179
  Angle 7: cl=0.6732434630393982, cd=0.09792782366275787, cm=0.014199048280715942
  Angle 8: cl=0.7644851803779602, cd=0.10222369432449341, cm=0.009861364960670471
  Angle 9: cl=0.8575440645217896, cd=0.10608947277069092, cm=0.0016376972198486328
  Angle 10: cl=0.9574565887451172, cd=0.11067839711904526, cm=-0.006406322121620178
Genotype [0.0085, 0.46, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141]:
  Angle -10: cl=-0.5619889497756958, cd=0.22974473237991333, cm=-0.18886716663837433
  Angle -9: cl=-0.5883980393409729, cd=0.19624066352844238, cm=-0.18601475656032562
  Angle -8: cl=-0.6113696694374084, cd=0.16134190559387207, cm=-0.18454478681087494
  Angle -7: cl=-0.6503229141235352, cd=0.12752553820610046, cm=-0.17805291712284088
  Angle -6: cl=-0.6064361333847046, cd=0.11364559829235077, cm=-0.16272537410259247
  Angle -5: cl=-0.5064354538917542, cd=0.10392744094133377, cm=-0.14960022270679474
  Angle -4: cl=-0.41332781314849854, cd=0.09893909841775894, cm=-0.13628222048282623
  Angle -3: cl=-0.310981810092926, cd=0.09282193332910538, cm=-0.12224216759204865
  Angle -2: cl=-0.23791328072547913, cd=0.08731814473867416, cm=-0.09790785610675812
  Angle -1: cl=-0.17710068821907043, cd=0.08270344138145447, cm=-0.06864728033542633
  Angle 0: cl=-0.10708042979240417, cd=0.08221155405044556, cm=-0.04094381630420685
  Angle 1: cl=-0.02394758351147175, cd=0.08267859369516373, cm=-0.019092991948127747
  Angle 2: cl=0.05943693965673447, cd=0.08349800109863281, cm=-0.003755226731300354
  Angle 3: cl=0.30711960792541504, cd=0.06848402321338654, cm=-0.0014977753162384033
  Angle 4: cl=0.40296292304992676, cd=0.07466704398393631, cm=0.003267243504524231
  Angle 5: cl=0.5012803673744202, cd=0.08296570926904678, cm=0.0066351741552352905
  Angle 6: cl=0.5968741774559021, cd=0.08978492766618729, cm=0.008553847670555115
  Angle 7: cl=0.6866579055786133, cd=0.09636339545249939, cm=0.010954365134239197
  Angle 8: cl=0.7774322032928467, cd=0.102020762860775, cm=0.009950563311576843
  Angle 9: cl=0.8724281191825867, cd=0.10615197569131851, cm=0.001720920205116272
  Angle 10: cl=0.9709356427192688, cd=0.11216940730810165, cm=-0.00615517795085907
Genotype [0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.11694584824631696, -0.003, 0.0025, 8.023898584154383, 10.159732947027141]:
  Angle -10: cl=-0.5572715401649475, cd=0.23054219782352448, cm=-0.18845917284488678
  Angle -9: cl=-0.5917853116989136, cd=0.19912420213222504, cm=-0.18285857141017914
  Angle -8: cl=-0.6141490340232849, cd=0.16369396448135376, cm=-0.18079297244548798
  Angle -7: cl=-0.6458977460861206, cd=0.13031277060508728, cm=-0.17498712241649628
  Angle -6: cl=-0.6101437211036682, cd=0.11547692120075226, cm=-0.16087470948696136
  Angle -5: cl=-0.5017104148864746, cd=0.10427608340978622, cm=-0.14828895032405853
  Angle -4: cl=-0.4007970094680786, cd=0.09788727015256882, cm=-0.13603870570659637
  Angle -3: cl=-0.29709452390670776, cd=0.0913110226392746, cm=-0.12139101326465607
  Angle -2: cl=-0.22182846069335938, cd=0.08552388846874237, cm=-0.09807004034519196
  Angle -1: cl=-0.16236703097820282, cd=0.08163635432720184, cm=-0.06859762966632843
  Angle 0: cl=-0.09735530614852905, cd=0.08130327612161636, cm=-0.0395704060792923
  Angle 1: cl=-0.01813182793557644, cd=0.08204790204763412, cm=-0.016600623726844788
  Angle 2: cl=0.0635773092508316, cd=0.08267831057310104, cm=-0.0008886903524398804
  Angle 3: cl=0.3043554127216339, cd=0.06995350867509842, cm=0.0009113401174545288
  Angle 4: cl=0.3954213559627533, cd=0.07557471096515656, cm=0.006101250648498535
  Angle 5: cl=0.4922564625740051, cd=0.08392532914876938, cm=0.009491980075836182
  Angle 6: cl=0.5843625664710999, cd=0.09113553911447525, cm=0.011952370405197144
  Angle 7: cl=0.6760811805725098, cd=0.09770958870649338, cm=0.01388406753540039
  Angle 8: cl=0.7670584321022034, cd=0.10217367112636566, cm=0.01001758873462677
  Angle 9: cl=0.860221266746521, cd=0.10601983219385147, cm=0.0017930716276168823
  Angle 10: cl=0.9601241946220398, cd=0.11063367873430252, cm=-0.0062447041273117065
Genotype [0.0085, 0.44644751359854146, 0.13, -0.7755846690279345, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141]:
  Angle -10: cl=-0.5573317408561707, cd=0.22996309399604797, cm=-0.18814362585544586
  Angle -9: cl=-0.5916639566421509, cd=0.1985684186220169, cm=-0.18271587789058685
  Angle -8: cl=-0.6141014099121094, cd=0.16321434080600739, cm=-0.18060915172100067
  Angle -7: cl=-0.6459519267082214, cd=0.12989026308059692, cm=-0.1745425909757614
  Angle -6: cl=-0.6108967661857605, cd=0.11530935019254684, cm=-0.1604987531900406
  Angle -5: cl=-0.501929521560669, cd=0.1040659099817276, cm=-0.14799289405345917
  Angle -4: cl=-0.40163156390190125, cd=0.09780193865299225, cm=-0.13558711111545563
  Angle -3: cl=-0.29793262481689453, cd=0.0911874994635582, cm=-0.12085263431072235
  Angle -2: cl=-0.22379085421562195, cd=0.08539380878210068, cm=-0.09725962579250336
  Angle -1: cl=-0.16406986117362976, cd=0.08149748295545578, cm=-0.0677822083234787
  Angle 0: cl=-0.09915803372859955, cd=0.0812101736664772, cm=-0.03880591690540314
  Angle 1: cl=-0.020993271842598915, cd=0.08193332701921463, cm=-0.01578141748905182
  Angle 2: cl=0.06112939864397049, cd=0.08299054205417633, cm=-0.0005544871091842651
  Angle 3: cl=0.30115368962287903, cd=0.07040637731552124, cm=0.0012329518795013428
  Angle 4: cl=0.3920096158981323, cd=0.07590039819478989, cm=0.006464794278144836
  Angle 5: cl=0.4887506067752838, cd=0.08418276160955429, cm=0.009855106472969055
  Angle 6: cl=0.5812391638755798, cd=0.09136983752250671, cm=0.0123157799243927
  Angle 7: cl=0.6730610728263855, cd=0.09794656187295914, cm=0.014217585325241089
  Angle 8: cl=0.7642408013343811, cd=0.10222326219081879, cm=0.009854987263679504
  Angle 9: cl=0.8573867678642273, cd=0.10609350353479385, cm=0.0016135722398757935
  Angle 10: cl=0.9570944905281067, cd=0.11069131642580032, cm=-0.006379976868629456
Genotype [0.0085, 0.44644751359854146, 0.13, -0.7885711183837952, 0.26, -0.023, 0.14391930187097704, -0.003, 0.0025, 8.023898584154383, 10.159732947027141]:
