Experiment: Nash_Combination_Experiment_37
Generation: 85
Generation Type: u
Timestamp: 20231226_143937

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.018966535301210244, 0.05, -0.003, 0.0025, 7.6292107023749915, 10.40097088558724] - Base Fitness: -0.10810679608591692, Adjusted Fitness: -0.10717318363962225
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.424168066023402] - Base Fitness: 0.22201776570929382, Adjusted Fitness: 0.22427680931487337
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.4155038500086935, Adjusted Fitness: -0.40424308380620355
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.42527072067299] - Base Fitness: 0.22200426359332215, Adjusted Fitness: 0.22395558219339975
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.588417342292967, 10.40097088558724] - Base Fitness: 0.22267342901806883, Adjusted Fitness: 0.22327568905151546
[0.0085, 0.46, 0.13, -0.9, 0.2277210662159163, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.6203157562738787, Adjusted Fitness: -0.6115471931332956
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.4155038500086935, Adjusted Fitness: -0.40424308380620355
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.11246360559317807, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.519521247113302, 10.40097088558724] - Base Fitness: -0.41940020625292884, Adjusted Fitness: -0.4187774427605925
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.0640853424069895, -0.003, 0.0025, 7.595952147217402, 10.40097088558724] - Base Fitness: 0.21431386779048506, Adjusted Fitness: 0.2170797779657837
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08153581096950846, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.2063949512550135, Adjusted Fitness: 0.20925364066699648
[0.0085, 0.4293522329896071, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.1775404397398668, Adjusted Fitness: 0.1813305245444193
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.23665929562849636, Adjusted Fitness: -0.20435359750500273
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.012369087694452024, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.37728095039075] - Base Fitness: -0.45626877880654515, Adjusted Fitness: -0.4555422235754047
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.52127303023163, 10.40097088558724] - Base Fitness: 0.22569159023725216, Adjusted Fitness: 0.22582615529532038
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.415253508792997] - Base Fitness: 0.2230366605821263, Adjusted Fitness: 0.22363442513274204
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.4337975967592699
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.524935894894991, 10.40097088558724] - Base Fitness: 0.2255758824910642, Adjusted Fitness: 0.22577137350564574
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.415253508792997] - Base Fitness: 0.2230366605821263, Adjusted Fitness: 0.22363442513274204
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.50450984599654, Adjusted Fitness: -0.4905908023061654

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.018966535301210244, 0.05, -0.003, 0.0025, 7.6292107023749915, 10.40097088558724]:
  Angle -10: cl=-0.5570401549339294, cd=0.22358961403369904, cm=-0.18605397641658783
  Angle -9: cl=-0.588348388671875, cd=0.19189420342445374, cm=-0.18174459040164948
  Angle -8: cl=-0.6112363338470459, cd=0.15655873715877533, cm=-0.17919965088367462
  Angle -7: cl=-0.6434077024459839, cd=0.12535855174064636, cm=-0.16962380707263947
  Angle -6: cl=-0.6210702061653137, cd=0.11203527450561523, cm=-0.15621159970760345
  Angle -5: cl=-0.5162537097930908, cd=0.10228041559457779, cm=-0.14325128495693207
  Angle -4: cl=-0.4178789258003235, cd=0.09658472239971161, cm=-0.12994275987148285
  Angle -3: cl=-0.3179899752140045, cd=0.08979871869087219, cm=-0.11349086463451385
  Angle -2: cl=-0.2518968880176544, cd=0.08368507772684097, cm=-0.08694683015346527
  Angle -1: cl=-0.19271451234817505, cd=0.07955703884363174, cm=-0.05755288898944855
  Angle 0: cl=-0.12879571318626404, cd=0.07890743762254715, cm=-0.03080548346042633
  Angle 1: cl=-0.0642189234495163, cd=0.08224133402109146, cm=-0.009601995348930359
  Angle 2: cl=0.020094100385904312, cd=0.08780159056186676, cm=0.0020401328802108765
  Angle 3: cl=0.2522403299808502, cd=0.07655156403779984, cm=0.004853144288063049
  Angle 4: cl=0.34119361639022827, cd=0.08218280225992203, cm=0.010430365800857544
  Angle 5: cl=0.43799468874931335, cd=0.08817131817340851, cm=0.014270499348640442
  Angle 6: cl=0.5350648164749146, cd=0.09381327778100967, cm=0.01608249545097351
  Angle 7: cl=0.6297886371612549, cd=0.09925675392150879, cm=0.014867439866065979
  Angle 8: cl=0.7216578722000122, cd=0.10240411013364792, cm=0.007648184895515442
  Angle 9: cl=0.8144052624702454, cd=0.10631560534238815, cm=-0.000644490122795105
  Angle 10: cl=0.9129825234413147, cd=0.11126427352428436, cm=-0.009886935353279114
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.424168066023402]:
  Angle -10: cl=-0.5646277666091919, cd=0.23278343677520752, cm=-0.18966828286647797
  Angle -9: cl=-0.5909879803657532, cd=0.19974905252456665, cm=-0.18617646396160126
  Angle -8: cl=-0.6139450073242188, cd=0.164839968085289, cm=-0.18491245806217194
  Angle -7: cl=-0.6526328921318054, cd=0.13024774193763733, cm=-0.17980621755123138
  Angle -6: cl=-0.607487678527832, cd=0.11551935970783234, cm=-0.1650058776140213
  Angle -5: cl=-0.5009667277336121, cd=0.10409180819988251, cm=-0.1519143134355545
  Angle -4: cl=-0.4099459648132324, cd=0.09922844171524048, cm=-0.1385674923658371
  Angle -3: cl=-0.3078559339046478, cd=0.09334170818328857, cm=-0.12485159933567047
  Angle -2: cl=-0.22940751910209656, cd=0.08795535564422607, cm=-0.10259117186069489
  Angle -1: cl=-0.16855332255363464, cd=0.0832638293504715, cm=-0.0733538419008255
  Angle 0: cl=-0.09671508520841599, cd=0.0824078842997551, cm=-0.04514147341251373
  Angle 1: cl=-0.0134067852050066, cd=0.08295930922031403, cm=-0.023213043808937073
  Angle 2: cl=0.0701279565691948, cd=0.08378379046916962, cm=-0.007948622107505798
  Angle 3: cl=0.3055900037288666, cd=0.06814782321453094, cm=-0.003122106194496155
  Angle 4: cl=0.4159702658653259, cd=0.07295607775449753, cm=0.0014867782592773438
  Angle 5: cl=0.5146872997283936, cd=0.08122134953737259, cm=0.004847243428230286
  Angle 6: cl=0.6075782775878906, cd=0.08833897858858109, cm=0.007086366415023804
  Angle 7: cl=0.6973780989646912, cd=0.09492871910333633, cm=0.00958964228630066
  Angle 8: cl=0.7876099348068237, cd=0.10152377188205719, cm=0.011113360524177551
  Angle 9: cl=0.8827676177024841, cd=0.10558078438043594, cm=0.002952292561531067
  Angle 10: cl=0.9819303154945374, cd=0.11121433228254318, cm=-0.004945322871208191
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724]:
  Angle -10: cl=-0.5515874624252319, cd=0.21508149802684784, cm=-0.18283464014530182
  Angle -9: cl=-0.5848851203918457, cd=0.1840161383152008, cm=-0.17770583927631378
  Angle -8: cl=-0.6147007346153259, cd=0.1518401950597763, cm=-0.1726197749376297
  Angle -7: cl=-0.6418554186820984, cd=0.12557175755500793, cm=-0.16381581127643585
  Angle -6: cl=-0.6266438364982605, cd=0.10984379798173904, cm=-0.1520252376794815
  Angle -5: cl=-0.5254405736923218, cd=0.10081364959478378, cm=-0.13768024742603302
  Angle -4: cl=-0.4264446496963501, cd=0.09392483532428741, cm=-0.12148092687129974
  Angle -3: cl=-0.341349720954895, cd=0.08622907847166061, cm=-0.0980343371629715
  Angle -2: cl=-0.272294819355011, cd=0.07980548590421677, cm=-0.07163991034030914
  Angle -1: cl=-0.21770791709423065, cd=0.07659845054149628, cm=-0.0428379625082016
  Angle 0: cl=-0.16340160369873047, cd=0.08033382892608643, cm=-0.02283783257007599
  Angle 1: cl=-0.09857365489006042, cd=0.08843602240085602, cm=-0.006260082125663757
  Angle 2: cl=-0.022020114585757256, cd=0.09468214213848114, cm=0.006906405091285706
  Angle 3: cl=0.18717268109321594, cd=0.08655153214931488, cm=0.01148281991481781
  Angle 4: cl=0.2742936909198761, cd=0.09214451164007187, cm=0.01809726655483246
  Angle 5: cl=0.3692728281021118, cd=0.09779926389455795, cm=0.02212180197238922
  Angle 6: cl=0.46446824073791504, cd=0.09958620369434357, cm=0.01660647988319397
  Angle 7: cl=0.5626992583274841, cd=0.1010248064994812, cm=0.010853424668312073
  Angle 8: cl=0.6579683423042297, cd=0.10311661660671234, cm=0.004572018980979919
  Angle 9: cl=0.7525785565376282, cd=0.1063060313463211, cm=-0.005253329873085022
  Angle 10: cl=0.8703747391700745, cd=0.10804775357246399, cm=-0.027747973799705505
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724]:
  Angle -10: cl=-0.5644794702529907, cd=0.2327803671360016, cm=-0.18968825042247772
  Angle -9: cl=-0.5909633636474609, cd=0.19977813959121704, cm=-0.18620862066745758
  Angle -8: cl=-0.6139582395553589, cd=0.16486546397209167, cm=-0.18493585288524628
  Angle -7: cl=-0.6525542140007019, cd=0.13028304278850555, cm=-0.17983020842075348
  Angle -6: cl=-0.6074259281158447, cd=0.11556684970855713, cm=-0.16509367525577545
  Angle -5: cl=-0.5006110668182373, cd=0.10408864170312881, cm=-0.15199361741542816
  Angle -4: cl=-0.4098004698753357, cd=0.09923570603132248, cm=-0.138611301779747
  Angle -3: cl=-0.3078724145889282, cd=0.09336545318365097, cm=-0.12491638958454132
  Angle -2: cl=-0.2294011414051056, cd=0.08797670900821686, cm=-0.10266254842281342
  Angle -1: cl=-0.16824890673160553, cd=0.08328120410442352, cm=-0.07342042028903961
  Angle 0: cl=-0.09632780402898788, cd=0.0824396163225174, cm=-0.04526384174823761
  Angle 1: cl=-0.012909280136227608, cd=0.08297250419855118, cm=-0.023326918482780457
  Angle 2: cl=0.0704408511519432, cd=0.08379790931940079, cm=-0.008023902773857117
  Angle 3: cl=0.3063702881336212, cd=0.06811219453811646, cm=-0.0032364577054977417
  Angle 4: cl=0.4165920317173004, cd=0.0729183480143547, cm=0.0014071613550186157
  Angle 5: cl=0.5150676965713501, cd=0.08119034022092819, cm=0.004808381199836731
  Angle 6: cl=0.6081421971321106, cd=0.08830509334802628, cm=0.007023438811302185
  Angle 7: cl=0.6979313492774963, cd=0.09489501267671585, cm=0.009486079216003418
  Angle 8: cl=0.7881826758384705, cd=0.10151802748441696, cm=0.011109277606010437
  Angle 9: cl=0.8833270072937012, cd=0.10559308528900146, cm=0.002952367067337036
  Angle 10: cl=0.9822182655334473, cd=0.11125585436820984, cm=-0.0049049705266952515
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724]:
  Angle -10: cl=-0.5644794702529907, cd=0.2327803671360016, cm=-0.18968825042247772
  Angle -9: cl=-0.5909633636474609, cd=0.19977813959121704, cm=-0.18620862066745758
  Angle -8: cl=-0.6139582395553589, cd=0.16486546397209167, cm=-0.18493585288524628
  Angle -7: cl=-0.6525542140007019, cd=0.13028304278850555, cm=-0.17983020842075348
  Angle -6: cl=-0.6074259281158447, cd=0.11556684970855713, cm=-0.16509367525577545
  Angle -5: cl=-0.5006110668182373, cd=0.10408864170312881, cm=-0.15199361741542816
  Angle -4: cl=-0.4098004698753357, cd=0.09923570603132248, cm=-0.138611301779747
  Angle -3: cl=-0.3078724145889282, cd=0.09336545318365097, cm=-0.12491638958454132
  Angle -2: cl=-0.2294011414051056, cd=0.08797670900821686, cm=-0.10266254842281342
  Angle -1: cl=-0.16824890673160553, cd=0.08328120410442352, cm=-0.07342042028903961
  Angle 0: cl=-0.09632780402898788, cd=0.0824396163225174, cm=-0.04526384174823761
  Angle 1: cl=-0.012909280136227608, cd=0.08297250419855118, cm=-0.023326918482780457
  Angle 2: cl=0.0704408511519432, cd=0.08379790931940079, cm=-0.008023902773857117
  Angle 3: cl=0.3063702881336212, cd=0.06811219453811646, cm=-0.0032364577054977417
  Angle 4: cl=0.4165920317173004, cd=0.0729183480143547, cm=0.0014071613550186157
  Angle 5: cl=0.5150676965713501, cd=0.08119034022092819, cm=0.004808381199836731
  Angle 6: cl=0.6081421971321106, cd=0.08830509334802628, cm=0.007023438811302185
  Angle 7: cl=0.6979313492774963, cd=0.09489501267671585, cm=0.009486079216003418
  Angle 8: cl=0.7881826758384705, cd=0.10151802748441696, cm=0.011109277606010437
  Angle 9: cl=0.8833270072937012, cd=0.10559308528900146, cm=0.002952367067337036
  Angle 10: cl=0.9822182655334473, cd=0.11125585436820984, cm=-0.0049049705266952515
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724]:
  Angle -10: cl=-0.5644794702529907, cd=0.2327803671360016, cm=-0.18968825042247772
  Angle -9: cl=-0.5909633636474609, cd=0.19977813959121704, cm=-0.18620862066745758
  Angle -8: cl=-0.6139582395553589, cd=0.16486546397209167, cm=-0.18493585288524628
  Angle -7: cl=-0.6525542140007019, cd=0.13028304278850555, cm=-0.17983020842075348
  Angle -6: cl=-0.6074259281158447, cd=0.11556684970855713, cm=-0.16509367525577545
  Angle -5: cl=-0.5006110668182373, cd=0.10408864170312881, cm=-0.15199361741542816
  Angle -4: cl=-0.4098004698753357, cd=0.09923570603132248, cm=-0.138611301779747
  Angle -3: cl=-0.3078724145889282, cd=0.09336545318365097, cm=-0.12491638958454132
  Angle -2: cl=-0.2294011414051056, cd=0.08797670900821686, cm=-0.10266254842281342
  Angle -1: cl=-0.16824890673160553, cd=0.08328120410442352, cm=-0.07342042028903961
