Experiment: Nash_Combination_Experiment_37
Generation: 85
Generation Type: v
Timestamp: 20231226_143939

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.602866770630866] - Base Fitness: 0.21323012223963744, Adjusted Fitness: 0.21323012223963744
[0.0085, 0.46, 0.12467811340376206, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.0049889250556935235, Adjusted Fitness: 0.0049889250556935235
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.3023145631958215, 10.583728738146887] - Base Fitness: 0.21443183169277172, Adjusted Fitness: 0.21443183169277172
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.11, -0.8893483008502112, 0.22058874936528183, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: -1.4971720703321811, Adjusted Fitness: -1.4971720703321811
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.4215644813779532, Adjusted Fitness: -0.4078008813930366
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.06666262431758864, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.20602678103290845, Adjusted Fitness: 0.20602678103290845
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.326714209655487, 10.583728738146887] - Base Fitness: 0.21331814951251635, Adjusted Fitness: 0.21331814951251635
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0126, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.005, 7.28541642935124, 10.582197421305988] - Base Fitness: -0.7000756192370231, Adjusted Fitness: -0.7000756192370231
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.08079339249825213, -0.003, 0.005, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.07947398994328359, Adjusted Fitness: -0.07947398994328359
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.4215644813779532, Adjusted Fitness: -0.4078008813930366
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.005, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.06076638492774539, Adjusted Fitness: 0.026872403585562026
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.4215644813779532, Adjusted Fitness: -0.4078008813930366
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.11, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.5114670548547012, Adjusted Fitness: -0.48167655548656296
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.334046452705947, 10.583728738146887] - Base Fitness: 0.21310488266113425, Adjusted Fitness: 0.21310488266113425
[0.0085, 0.42709097383501204, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.162447425673407, Adjusted Fitness: 0.162447425673407
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.307147999045862, 10.583728738146887] - Base Fitness: 0.21404352016393172, Adjusted Fitness: 0.21404352016393172
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.24383396030999568, Adjusted Fitness: -0.20146804071538327
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.08079339249825213, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.19787729050940414, Adjusted Fitness: 0.19787729050940414
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.24955387704592, 10.583728738146887] - Base Fitness: 0.21669950528843093, Adjusted Fitness: 0.21669950528843093
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.24383396030999568, Adjusted Fitness: -0.20146804071538327
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.055472292544318805, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2122350844304289, Adjusted Fitness: 0.2122350844304289
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.2152378116299292, Adjusted Fitness: 725.6437848502376
[0.0085, 0.46, 0.11, -0.8893483008502112, 0.26, -0.023, 0.08079339249825213, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.5289243019205893, Adjusted Fitness: -0.5289243019205893
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.24791851726264594, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: -0.062277149739378326, Adjusted Fitness: -0.062277149739378326
[0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.08079339249825213, -0.003, 0.0025, 7.28541642935124, 10.583728738146887] - Base Fitness: 0.19787729050940414, Adjusted Fitness: 0.19787729050940414

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.602866770630866]:
  Angle -10: cl=-0.5653903484344482, cd=0.2336081564426422, cm=-0.18977688252925873
  Angle -9: cl=-0.5926634669303894, cd=0.200747549533844, cm=-0.18596462905406952
  Angle -8: cl=-0.6154178380966187, cd=0.16578148305416107, cm=-0.18466778099536896
  Angle -7: cl=-0.6543313264846802, cd=0.1309095025062561, cm=-0.17992226779460907
  Angle -6: cl=-0.6099051237106323, cd=0.11620219796895981, cm=-0.16515155136585236
  Angle -5: cl=-0.5030742287635803, cd=0.10442277044057846, cm=-0.1520007699728012
  Angle -4: cl=-0.41027820110321045, cd=0.09920595586299896, cm=-0.13883541524410248
  Angle -3: cl=-0.3084836006164551, cd=0.0933704674243927, cm=-0.12524233758449554
  Angle -2: cl=-0.22844374179840088, cd=0.08795560151338577, cm=-0.10344104468822479
  Angle -1: cl=-0.16744162142276764, cd=0.08321504294872284, cm=-0.07425974309444427
  Angle 0: cl=-0.0965096652507782, cd=0.08239898830652237, cm=-0.045943841338157654
  Angle 1: cl=-0.013289270922541618, cd=0.08279209583997726, cm=-0.023785635828971863
  Angle 2: cl=0.07028824090957642, cd=0.08368805050849915, cm=-0.008531436324119568
  Angle 3: cl=0.3010684847831726, cd=0.06854376196861267, cm=-0.003410741686820984
  Angle 4: cl=0.41505807638168335, cd=0.0725460797548294, cm=0.0013731718063354492
  Angle 5: cl=0.5140690207481384, cd=0.08080507069826126, cm=0.0047475844621658325
  Angle 6: cl=0.6066383719444275, cd=0.08801539987325668, cm=0.007058948278427124
  Angle 7: cl=0.6964811682701111, cd=0.09459690749645233, cm=0.009483739733695984
  Angle 8: cl=0.7866899371147156, cd=0.10126261413097382, cm=0.011326119303703308
  Angle 9: cl=0.8813865780830383, cd=0.10535157471895218, cm=0.0033869296312332153
  Angle 10: cl=0.9809859395027161, cd=0.11055035144090652, cm=-0.004585102200508118
Genotype [0.0085, 0.46, 0.12467811340376206, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887]:
  Angle -10: cl=-0.5773691534996033, cd=0.23386062681674957, cm=-0.18997754156589508
  Angle -9: cl=-0.6166201233863831, cd=0.20295506715774536, cm=-0.18345196545124054
  Angle -8: cl=-0.6389154195785522, cd=0.16761468350887299, cm=-0.18183200061321259
  Angle -7: cl=-0.6781631112098694, cd=0.13144229352474213, cm=-0.17793495953083038
  Angle -6: cl=-0.6312403678894043, cd=0.11902422457933426, cm=-0.16347990930080414
  Angle -5: cl=-0.5272923111915588, cd=0.10626359283924103, cm=-0.14962302148342133
  Angle -4: cl=-0.41752442717552185, cd=0.09779813140630722, cm=-0.1384267956018448
  Angle -3: cl=-0.3146623373031616, cd=0.09154753386974335, cm=-0.12419505417346954
  Angle -2: cl=-0.22881636023521423, cd=0.08572494238615036, cm=-0.10310561954975128
  Angle -1: cl=-0.16947923600673676, cd=0.0813702791929245, cm=-0.07397784292697906
  Angle 0: cl=-0.10794857144355774, cd=0.0806756466627121, cm=-0.043934956192970276
  Angle 1: cl=-0.03007032908499241, cd=0.08090730756521225, cm=-0.020817413926124573
  Angle 2: cl=0.05340016633272171, cd=0.08182978630065918, cm=-0.005464240908622742
  Angle 3: cl=0.26186704635620117, cd=0.07016436010599136, cm=-0.0004405975341796875
  Angle 4: cl=0.3840945065021515, cd=0.07220835238695145, cm=0.003558531403541565
  Angle 5: cl=0.48185959458351135, cd=0.08038660138845444, cm=0.006997615098953247
  Angle 6: cl=0.5706847906112671, cd=0.0879063829779625, cm=0.009820640087127686
  Angle 7: cl=0.6606002449989319, cd=0.09447913616895676, cm=0.012174174189567566
  Angle 8: cl=0.750441312789917, cd=0.10092693567276001, cm=0.014089047908782959
  Angle 9: cl=0.84344083070755, cd=0.10465945303440094, cm=0.00609782338142395
  Angle 10: cl=0.9430931210517883, cd=0.10922698676586151, cm=-0.0017924904823303223
Genotype [0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.3023145631958215, 10.583728738146887]:
  Angle -10: cl=-0.5654014348983765, cd=0.2335781753063202, cm=-0.1898016482591629
  Angle -9: cl=-0.5926419496536255, cd=0.2007029503583908, cm=-0.18598847091197968
  Angle -8: cl=-0.6153331995010376, cd=0.16574585437774658, cm=-0.1846882551908493
  Angle -7: cl=-0.6541651487350464, cd=0.13089323043823242, cm=-0.17994512617588043
  Angle -6: cl=-0.6094396114349365, cd=0.11612413823604584, cm=-0.16517262160778046
  Angle -5: cl=-0.5029338002204895, cd=0.10438339412212372, cm=-0.15201683342456818
  Angle -4: cl=-0.41024458408355713, cd=0.09919527173042297, cm=-0.1388348489999771
  Angle -3: cl=-0.3085360825061798, cd=0.09337829053401947, cm=-0.12521125376224518
  Angle -2: cl=-0.22824272513389587, cd=0.0879705399274826, cm=-0.10347197949886322
  Angle -1: cl=-0.16742882132530212, cd=0.08321969211101532, cm=-0.07424826920032501
  Angle 0: cl=-0.09640319645404816, cd=0.08240794390439987, cm=-0.04589368402957916
  Angle 1: cl=-0.01325143687427044, cd=0.08281806111335754, cm=-0.02375967800617218
  Angle 2: cl=0.07048125565052032, cd=0.08369564265012741, cm=-0.00852106511592865
  Angle 3: cl=0.3011833727359772, cd=0.06857576966285706, cm=-0.0034681111574172974
  Angle 4: cl=0.41547682881355286, cd=0.07256582379341125, cm=0.0013618916273117065
  Angle 5: cl=0.5142205953598022, cd=0.08082596957683563, cm=0.004737406969070435
  Angle 6: cl=0.6067566871643066, cd=0.08803004026412964, cm=0.007067590951919556
  Angle 7: cl=0.6966089606285095, cd=0.09461314976215363, cm=0.009502813220024109
  Angle 8: cl=0.7868121862411499, cd=0.10127291828393936, cm=0.01129603385925293
  Angle 9: cl=0.881613552570343, cd=0.1053977683186531, cm=0.0033109337091445923
  Angle 10: cl=0.9810598492622375, cd=0.11060569435358047, cm=-0.004600957036018372
Genotype [0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887]:
  Angle -10: cl=-0.5653526782989502, cd=0.23365288972854614, cm=-0.18979619443416595
  Angle -9: cl=-0.5926862359046936, cd=0.20080240070819855, cm=-0.18598826229572296
  Angle -8: cl=-0.6153309345245361, cd=0.16585640609264374, cm=-0.18468208611011505
  Angle -7: cl=-0.6544497013092041, cd=0.13092203438282013, cm=-0.18000514805316925
  Angle -6: cl=-0.6095266938209534, cd=0.11620255559682846, cm=-0.16522766649723053
  Angle -5: cl=-0.5030314326286316, cd=0.10443441569805145, cm=-0.15200914442539215
  Angle -4: cl=-0.41016101837158203, cd=0.09921812266111374, cm=-0.1388884335756302
  Angle -3: cl=-0.3083440959453583, cd=0.09338395297527313, cm=-0.12528382241725922
  Angle -2: cl=-0.22814130783081055, cd=0.08797600865364075, cm=-0.10353265702724457
  Angle -1: cl=-0.1673649102449417, cd=0.08324020355939865, cm=-0.07432104647159576
  Angle 0: cl=-0.09634453058242798, cd=0.08242051303386688, cm=-0.04603968560695648
  Angle 1: cl=-0.013114800676703453, cd=0.08281770348548889, cm=-0.023810163140296936
  Angle 2: cl=0.07059204578399658, cd=0.08370538800954819, cm=-0.008639112114906311
  Angle 3: cl=0.3013198971748352, cd=0.06856963038444519, cm=-0.003495827317237854
  Angle 4: cl=0.41556257009506226, cd=0.07252287119626999, cm=0.0013115108013153076
  Angle 5: cl=0.5144718289375305, cd=0.08078163117170334, cm=0.004700258374214172
  Angle 6: cl=0.6069923043251038, cd=0.08798018097877502, cm=0.007028907537460327
  Angle 7: cl=0.6969272494316101, cd=0.0945751890540123, cm=0.009424462914466858
  Angle 8: cl=0.7869372963905334, cd=0.10122773796319962, cm=0.011277943849563599
  Angle 9: cl=0.8817766308784485, cd=0.1053648516535759, cm=0.0033647119998931885
  Angle 10: cl=0.9813451766967773, cd=0.11054528504610062, cm=-0.004581466317176819
Genotype [0.0085, 0.46, 0.11, -0.8893483008502112, 0.22058874936528183, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887]:
  Angle -10: cl=-0.6301599144935608, cd=0.19826596975326538, cm=-0.1774498075246811
  Angle -9: cl=-0.6676307916641235, cd=0.16930262744426727, cm=-0.17076103389263153
  Angle -8: cl=-0.7096532583236694, cd=0.14366544783115387, cm=-0.16279830038547516
  Angle -7: cl=-0.732337236404419, cd=0.11938975006341934, cm=-0.1541125625371933
  Angle -6: cl=-0.6767940521240234, cd=0.10935269296169281, cm=-0.1404549926519394
  Angle -5: cl=-0.6054596900939941, cd=0.0972776710987091, cm=-0.12152288854122162
  Angle -4: cl=-0.5350933074951172, cd=0.08912666887044907, cm=-0.09707118570804596
  Angle -3: cl=-0.45566049218177795, cd=0.08144097775220871, cm=-0.07250253856182098
  Angle -2: cl=-0.37280696630477905, cd=0.07800076901912689, cm=-0.050748780369758606
  Angle -1: cl=-0.30676165223121643, cd=0.08373899012804031, cm=-0.03372932970523834
  Angle 0: cl=-0.2601012885570526, cd=0.0903494656085968, cm=-0.015620604157447815
  Angle 1: cl=-0.2032316029071808, cd=0.0982041209936142, cm=0.00279216468334198
  Angle 2: cl=-0.12850576639175415, cd=0.10288670659065247, cm=0.015668585896492004
  Angle 3: cl=0.06444089859724045, cd=0.09330179542303085, cm=0.0183640718460083
  Angle 4: cl=0.144691601395607, cd=0.09782959520816803, cm=0.02459314465522766
  Angle 5: cl=0.22486187517642975, cd=0.10070422291755676, cm=0.026466190814971924
  Angle 6: cl=0.3084946274757385, cd=0.10231073945760727, cm=0.022081002593040466
  Angle 7: cl=0.39414727687835693, cd=0.10435598343610764, cm=0.016685470938682556
  Angle 8: cl=0.48238304257392883, cd=0.10616627335548401, cm=0.010227411985397339
  Angle 9: cl=0.5702730417251587, cd=0.10817506164312363, cm=0.0023520290851593018
  Angle 10: cl=0.6800292730331421, cd=0.10703737288713455, cm=-0.0133771151304245
Genotype [0.0085, 0.46, 0.13, -0.8893483008502112, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.28541642935124, 10.583728738146887]:
  Angle -10: cl=-0.5653526782989502, cd=0.23365288972854614, cm=-0.18979619443416595
  Angle -9: cl=-0.5926862359046936, cd=0.20080240070819855, cm=-0.18598826229572296
  Angle -8: cl=-0.6153309345245361, cd=0.16585640609264374, cm=-0.18468208611011505
  Angle -7: cl=-0.6544497013092041, cd=0.13092203438282013, cm=-0.18000514805316925
  Angle -6: cl=-0.6095266938209534, cd=0.11620255559682846, cm=-0.16522766649723053
  Angle -5: cl=-0.5030314326286316, cd=0.10443441569805145, cm=-0.15200914442539215
  Angle -4: cl=-0.41016101837158203, cd=0.09921812266111374, cm=-0.1388884335756302
  Angle -3: cl=-0.3083440959453583, cd=0.09338395297527313, cm=-0.12528382241725922
  Angle -2: cl=-0.22814130783081055, cd=0.08797600865364075, cm=-0.10353265702724457
  Angle -1: cl=-0.1673649102449417, cd=0.08324020355939865, cm=-0.07432104647159576
  Angle 0: cl=-0.09634453058242798, cd=0.08242051303386688, cm=-0.04603968560695648
  Angle 1: cl=-0.013114800676703453, cd=0.08281770348548889, cm=-0.023810163140296936
  Angle 2: cl=0.07059204578399658, cd=0.08370538800954819, cm=-0.008639112114906311
