Experiment: Nash_Combination_Experiment_37
Generation: 94
Generation Type: u
Timestamp: 20231226_144059

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.055464135972228476, Adjusted Fitness: -0.034879108023725236
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.4863571207536515, 10.359706752244154] - Base Fitness: -0.23008010054865202, Adjusted Fitness: -0.23008010054865202
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.526465596495157, 10.418384684757754] - Base Fitness: 0.22362049044474241, Adjusted Fitness: 0.22362049044474241
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.526465596495157, 10.40097088558724] - Base Fitness: 0.22548658953450934, Adjusted Fitness: 0.22560609153969896
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.48626870070598, 10.40097088558724] - Base Fitness: -0.2340977743388834, Adjusted Fitness: -0.2340977743388834
[0.0085, 0.41658796840213497, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.595406176385644, 10.44019660108578] - Base Fitness: 0.1282685820559844, Adjusted Fitness: 0.1282685820559844
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.526465596495157, 10.40097088558724] - Base Fitness: 0.22548658953450934, Adjusted Fitness: 0.22560609153969896
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.4863571207536515, 10.40097088558724] - Base Fitness: 0.2270382811387362, Adjusted Fitness: 0.2270382811387362
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.8630239959737195, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.2216954648948791, Adjusted Fitness: 0.2216954648948791
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.8916720427573435, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22430212970227884, Adjusted Fitness: 0.22430212970227884
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532257944187363, 10.40097088558724] - Base Fitness: 0.22521665859076972, Adjusted Fitness: 0.22521665859076972
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.415157485487569] - Base Fitness: 0.22306972579015927, Adjusted Fitness: 0.22306972579015927
[0.0085, 0.46, 0.13, -0.8905616003908428, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.4863571207536515, 10.40097088558724] - Base Fitness: 0.2265757239695806, Adjusted Fitness: 0.2265757239695806
[0.0085, 0.46, 0.13, -0.8905616003908428, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22419336959656502, Adjusted Fitness: 0.22419336959656502
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.8905616003908428, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.4863571207536515, 10.40097088558724] - Base Fitness: 0.2265757239695806, Adjusted Fitness: 0.2265757239695806
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.8932016584290645, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.41589941513135376, Adjusted Fitness: -0.41589941513135376
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.055464135972228476, Adjusted Fitness: -0.034879108023725236
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.526465596495157, 10.40097088558724] - Base Fitness: 0.22548658953450934, Adjusted Fitness: 0.22560609153969896
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.5873434037133585, 10.40097088558724] - Base Fitness: -0.23810294210003974, Adjusted Fitness: -0.23810294210003974
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.526465596495157, 10.384467343284262] - Base Fitness: 0.22723627669572524, Adjusted Fitness: 0.22723627669572524
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.10996495868247129, Adjusted Fitness: 0.10996495868247129
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.526465596495157, 10.40097088558724] - Base Fitness: 0.22548658953450934, Adjusted Fitness: 0.22560609153969896
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.526465596495157, 10.40097088558724] - Base Fitness: 0.22548658953450934, Adjusted Fitness: 0.22560609153969896
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.413837292306294] - Base Fitness: 0.22314458298282366, Adjusted Fitness: 0.22314458298282366
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.50450984599654, Adjusted Fitness: -0.49051838253654706
[0.0085, 0.46, 0.13, -0.9, 0.21835511894841145, -0.023, 0.05, -0.006, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: -1.2488144345647323, Adjusted Fitness: -1.2488144345647323
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.358000608636896] - Base Fitness: 0.2296623400749126, Adjusted Fitness: 0.2296623400749126
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.560899352617388, 10.40097088558724] - Base Fitness: -0.23722066262917088, Adjusted Fitness: -0.23722066262917088
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.09853846265892319, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: -0.5321765589145218, Adjusted Fitness: -0.5321765589145218
[0.0085, 0.44279475959625403, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.20664761937059142, Adjusted Fitness: 0.20664761937059142
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724] - Base Fitness: 0.22489948814863533, Adjusted Fitness: 0.5738835884971978

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.5463863040291885, 10.40097088558724]:
  Angle -10: cl=-0.5417304039001465, cd=0.22414356470108032, cm=-0.18606136739253998
  Angle -9: cl=-0.5631218552589417, cd=0.1906723827123642, cm=-0.18435414135456085
  Angle -8: cl=-0.585684061050415, cd=0.15572866797447205, cm=-0.1827363520860672
  Angle -7: cl=-0.6178011894226074, cd=0.12674403190612793, cm=-0.17258195579051971
  Angle -6: cl=-0.6021310687065125, cd=0.11117658019065857, cm=-0.15999649465084076
  Angle -5: cl=-0.5191769599914551, cd=0.10362068563699722, cm=-0.1450560837984085
  Angle -4: cl=-0.41984379291534424, cd=0.09772378206253052, cm=-0.1318785697221756
  Angle -3: cl=-0.32272565364837646, cd=0.09075994044542313, cm=-0.11470051109790802
  Angle -2: cl=-0.2617892622947693, cd=0.08508527278900146, cm=-0.08662937581539154
  Angle -1: cl=-0.2017526626586914, cd=0.08062846958637238, cm=-0.057014092803001404
  Angle 0: cl=-0.13271868228912354, cd=0.08080815523862839, cm=-0.03035856783390045
  Angle 1: cl=-0.06329262256622314, cd=0.08347400277853012, cm=-0.009791538119316101
  Angle 2: cl=0.02182556316256523, cd=0.08839640766382217, cm=0.0016405284404754639
  Angle 3: cl=0.2573380768299103, cd=0.07630957663059235, cm=0.00274735689163208
  Angle 4: cl=0.3471737802028656, cd=0.08190850913524628, cm=0.008137300610542297
  Angle 5: cl=0.44149649143218994, cd=0.08790487796068192, cm=0.011526286602020264
  Angle 6: cl=0.5424456000328064, cd=0.0950252115726471, cm=0.014183402061462402
  Angle 7: cl=0.634294331073761, cd=0.10066144168376923, cm=0.014047503471374512
  Angle 8: cl=0.7260226607322693, cd=0.10391274094581604, cm=0.006604522466659546
  Angle 9: cl=0.8204817771911621, cd=0.10805743932723999, cm=-0.001512378454208374
  Angle 10: cl=0.9136845469474792, cd=0.11711898446083069, cm=-0.010583654046058655
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.4863571207536515, 10.359706752244154]:
  Angle -10: cl=-0.565215528011322, cd=0.18931865692138672, cm=-0.17568175494670868
  Angle -9: cl=-0.6070874333381653, cd=0.1636175662279129, cm=-0.1685732752084732
  Angle -8: cl=-0.6360083222389221, cd=0.13522252440452576, cm=-0.16408465802669525
  Angle -7: cl=-0.6378811001777649, cd=0.11105410009622574, cm=-0.15960080921649933
  Angle -6: cl=-0.5508354902267456, cd=0.10115145891904831, cm=-0.14164863526821136
  Angle -5: cl=-0.4674374461174011, cd=0.09287764877080917, cm=-0.11646918952465057
  Angle -4: cl=-0.387567937374115, cd=0.087387315928936, cm=-0.09090159833431244
  Angle -3: cl=-0.3172207176685333, cd=0.08331327140331268, cm=-0.06462447345256805
  Angle -2: cl=-0.26391640305519104, cd=0.08504705131053925, cm=-0.041199877858161926
  Angle -1: cl=-0.20680180191993713, cd=0.0919938012957573, cm=-0.023616120219230652
  Angle 0: cl=-0.14447230100631714, cd=0.09964822232723236, cm=-0.005840197205543518
  Angle 1: cl=-0.08623931556940079, cd=0.10680551826953888, cm=0.008718445897102356
  Angle 2: cl=0.08589087426662445, cd=0.10085191577672958, cm=0.013761460781097412
  Angle 3: cl=0.16927696764469147, cd=0.10462768375873566, cm=0.01714673638343811
  Angle 4: cl=0.25607624650001526, cd=0.10668584704399109, cm=0.011954277753829956
  Angle 5: cl=0.35438400506973267, cd=0.10895168781280518, cm=0.005730122327804565
  Angle 6: cl=0.4563627243041992, cd=0.11082568764686584, cm=1.7598271369934082e-05
  Angle 7: cl=0.5736841559410095, cd=0.11006224900484085, cm=-0.013148412108421326
  Angle 8: cl=0.6992324590682983, cd=0.10787581652402878, cm=-0.031948164105415344
  Angle 9: cl=0.8151422142982483, cd=0.10584273934364319, cm=-0.05476893484592438
  Angle 10: cl=0.9298688769340515, cd=0.10370912402868271, cm=-0.0758882611989975
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.526465596495157, 10.418384684757754]:
  Angle -10: cl=-0.5648223757743835, cd=0.23290473222732544, cm=-0.18972741067409515
  Angle -9: cl=-0.5911309719085693, cd=0.1998744010925293, cm=-0.18617908656597137
  Angle -8: cl=-0.6141101121902466, cd=0.16496722400188446, cm=-0.18491317331790924
  Angle -7: cl=-0.6526766419410706, cd=0.13031868636608124, cm=-0.17985598742961884
  Angle -6: cl=-0.6076435446739197, cd=0.11561042815446854, cm=-0.16507406532764435
  Angle -5: cl=-0.5007901787757874, cd=0.10409419983625412, cm=-0.1519690901041031
  Angle -4: cl=-0.40979087352752686, cd=0.09923925995826721, cm=-0.13863636553287506
  Angle -3: cl=-0.30796360969543457, cd=0.0933513417840004, cm=-0.12495435774326324
  Angle -2: cl=-0.22936037182807922, cd=0.08796869963407516, cm=-0.10268326103687286
  Angle -1: cl=-0.16822582483291626, cd=0.08327052742242813, cm=-0.07346270978450775
  Angle 0: cl=-0.09660889953374863, cd=0.08242036402225494, cm=-0.045251742005348206
  Angle 1: cl=-0.012842739000916481, cd=0.08296681195497513, cm=-0.023368045687675476
  Angle 2: cl=0.07040449231863022, cd=0.0838126689195633, cm=-0.008079037070274353
  Angle 3: cl=0.30570825934410095, cd=0.06819288432598114, cm=-0.0032404810190200806
  Angle 4: cl=0.4164823293685913, cd=0.07289440929889679, cm=0.0014151185750961304
  Angle 5: cl=0.5149589776992798, cd=0.08117356896400452, cm=0.0048226118087768555
  Angle 6: cl=0.607991635799408, cd=0.08828556537628174, cm=0.007036179304122925
  Angle 7: cl=0.6979859471321106, cd=0.0948825553059578, cm=0.009494125843048096
  Angle 8: cl=0.7880721688270569, cd=0.10150104016065598, cm=0.0111447274684906
  Angle 9: cl=0.8830501437187195, cd=0.10556426644325256, cm=0.002987980842590332
  Angle 10: cl=0.9821680784225464, cd=0.11118371039628983, cm=-0.004891946911811829
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.526465596495157, 10.40097088558724]:
  Angle -10: cl=-0.5648240447044373, cd=0.23291648924350739, cm=-0.18974561989307404
  Angle -9: cl=-0.5912495255470276, cd=0.1998831033706665, cm=-0.1861816793680191
  Angle -8: cl=-0.6140791773796082, cd=0.16496577858924866, cm=-0.18495960533618927
  Angle -7: cl=-0.6527555584907532, cd=0.13034769892692566, cm=-0.17991815507411957
  Angle -6: cl=-0.607520580291748, cd=0.11562221497297287, cm=-0.16510121524333954
  Angle -5: cl=-0.5005903840065002, cd=0.10409177094697952, cm=-0.15202082693576813
  Angle -4: cl=-0.40980634093284607, cd=0.09924734383821487, cm=-0.1386628895998001
  Angle -3: cl=-0.30789223313331604, cd=0.09336933493614197, cm=-0.12496058642864227
  Angle -2: cl=-0.22914695739746094, cd=0.08798697590827942, cm=-0.10275949537754059
  Angle -1: cl=-0.16805057227611542, cd=0.08326734602451324, cm=-0.07351456582546234
  Angle 0: cl=-0.09612982720136642, cd=0.08243930339813232, cm=-0.045391663908958435
  Angle 1: cl=-0.012852000072598457, cd=0.08296994864940643, cm=-0.023392125964164734
  Angle 2: cl=0.07082130759954453, cd=0.08381719887256622, cm=-0.008143350481987
  Angle 3: cl=0.30590200424194336, cd=0.06820850074291229, cm=-0.0033313781023025513
  Angle 4: cl=0.4168723225593567, cd=0.07287155091762543, cm=0.0013714432716369629
  Angle 5: cl=0.515360951423645, cd=0.08114763349294662, cm=0.004752665758132935
  Angle 6: cl=0.6084015369415283, cd=0.08825646340847015, cm=0.0069882869720458984
  Angle 7: cl=0.6982030868530273, cd=0.09487007558345795, cm=0.009470760822296143
  Angle 8: cl=0.7883495092391968, cd=0.10149340331554413, cm=0.011166498064994812
  Angle 9: cl=0.8833504319190979, cd=0.10557115823030472, cm=0.003002643585205078
  Angle 10: cl=0.9827798008918762, cd=0.11124429851770401, cm=-0.004912510514259338
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724]:
  Angle -10: cl=-0.5644794702529907, cd=0.2327803671360016, cm=-0.18968825042247772
  Angle -9: cl=-0.5909633636474609, cd=0.19977813959121704, cm=-0.18620862066745758
  Angle -8: cl=-0.6139582395553589, cd=0.16486546397209167, cm=-0.18493585288524628
  Angle -7: cl=-0.6525542140007019, cd=0.13028304278850555, cm=-0.17983020842075348
  Angle -6: cl=-0.6074259281158447, cd=0.11556684970855713, cm=-0.16509367525577545
  Angle -5: cl=-0.5006110668182373, cd=0.10408864170312881, cm=-0.15199361741542816
  Angle -4: cl=-0.4098004698753357, cd=0.09923570603132248, cm=-0.138611301779747
  Angle -3: cl=-0.3078724145889282, cd=0.09336545318365097, cm=-0.12491638958454132
  Angle -2: cl=-0.2294011414051056, cd=0.08797670900821686, cm=-0.10266254842281342
  Angle -1: cl=-0.16824890673160553, cd=0.08328120410442352, cm=-0.07342042028903961
  Angle 0: cl=-0.09632780402898788, cd=0.0824396163225174, cm=-0.04526384174823761
  Angle 1: cl=-0.012909280136227608, cd=0.08297250419855118, cm=-0.023326918482780457
  Angle 2: cl=0.0704408511519432, cd=0.08379790931940079, cm=-0.008023902773857117
  Angle 3: cl=0.3063702881336212, cd=0.06811219453811646, cm=-0.0032364577054977417
  Angle 4: cl=0.4165920317173004, cd=0.0729183480143547, cm=0.0014071613550186157
  Angle 5: cl=0.5150676965713501, cd=0.08119034022092819, cm=0.004808381199836731
  Angle 6: cl=0.6081421971321106, cd=0.08830509334802628, cm=0.007023438811302185
  Angle 7: cl=0.6979313492774963, cd=0.09489501267671585, cm=0.009486079216003418
  Angle 8: cl=0.7881826758384705, cd=0.10151802748441696, cm=0.011109277606010437
  Angle 9: cl=0.8833270072937012, cd=0.10559308528900146, cm=0.002952367067337036
  Angle 10: cl=0.9822182655334473, cd=0.11125585436820984, cm=-0.0049049705266952515
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5463863040291885, 10.40097088558724]:
  Angle -10: cl=-0.5644794702529907, cd=0.2327803671360016, cm=-0.18968825042247772
  Angle -9: cl=-0.5909633636474609, cd=0.19977813959121704, cm=-0.18620862066745758
  Angle -8: cl=-0.6139582395553589, cd=0.16486546397209167, cm=-0.18493585288524628
  Angle -7: cl=-0.6525542140007019, cd=0.13028304278850555, cm=-0.17983020842075348
  Angle -6: cl=-0.6074259281158447, cd=0.11556684970855713, cm=-0.16509367525577545
  Angle -5: cl=-0.5006110668182373, cd=0.10408864170312881, cm=-0.15199361741542816
  Angle -4: cl=-0.4098004698753357, cd=0.09923570603132248, cm=-0.138611301779747
  Angle -3: cl=-0.3078724145889282, cd=0.09336545318365097, cm=-0.12491638958454132
  Angle -2: cl=-0.2294011414051056, cd=0.08797670900821686, cm=-0.10266254842281342
  Angle -1: cl=-0.16824890673160553, cd=0.08328120410442352, cm=-0.07342042028903961
