Experiment: Nash_Combination_Experiment_39
Generation: 57
Generation Type: u
Timestamp: 20231226_150839

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.12200606543074416, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.505428307522361, 10.16570839712766] - Base Fitness: -0.3156962567006218, Adjusted Fitness: -0.3156962567006218
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.076150119296406] - Base Fitness: 0.2614965774638226, Adjusted Fitness: 0.261534700087038
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.150422001284573] - Base Fitness: -0.4646518445767652, Adjusted Fitness: -0.4646518445767652
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.8523276215535128, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.24900641763997414, Adjusted Fitness: 0.24900641763997414
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.550599964182454, 10.16570839712766] - Base Fitness: 0.24972846073585003, Adjusted Fitness: 0.24972846073585003
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.4296797271183401, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.505428307522361, 10.16570839712766] - Base Fitness: -0.0679478839051577, Adjusted Fitness: -0.0679478839051577
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.2522748265080804, Adjusted Fitness: 0.3528817184068292
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.521784303716281, 10.16570839712766] - Base Fitness: 0.2512579536217103, Adjusted Fitness: 0.2512579536217103
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.521784303716281, 10.16570839712766] - Base Fitness: 0.2512579536217103, Adjusted Fitness: 0.2512579536217103
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08294957597903624, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.2331985140369144, Adjusted Fitness: 0.2331985140369144
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.866082188355948, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.2498581232347527, Adjusted Fitness: 0.2498581232347527
[0.0085, 0.46, 0.13, -0.866082188355948, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.505428307522361, 10.12848455457775] - Base Fitness: 0.254154758714744, Adjusted Fitness: 0.254154758714744
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.501638867603862, 10.16570839712766] - Base Fitness: 0.25235904265274656, Adjusted Fitness: 0.25235904265274656
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.2522748265080804, Adjusted Fitness: 0.3528817184068292
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.456346731666869, 0.13, -0.866082188355948, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.505428307522361, 10.16570839712766] - Base Fitness: -0.39089630457521274, Adjusted Fitness: -0.39089630457521274
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08294957597903624, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.2331985140369144, Adjusted Fitness: 0.2331985140369144
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.12848455457775] - Base Fitness: 0.25601608104288437, Adjusted Fitness: 0.2560982120955748
[0.0085, 0.46, 0.13, -0.9, 0.22673443950558803, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: -0.6236196539721071, Adjusted Fitness: -0.6236196539721071
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.2522748265080804, Adjusted Fitness: 0.3528817184068292
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.0817453829226345, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.23362044893585593, Adjusted Fitness: 0.23362044893585593
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.123332613071451] - Base Fitness: 0.2566306138658705, Adjusted Fitness: 0.2566390167804697
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.505428307522361, 10.16570839712766] - Base Fitness: -0.026951456373360737, Adjusted Fitness: -0.026951456373360737
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.2522748265080804, Adjusted Fitness: 0.3528817184068292
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.474805703107528, 10.16570839712766] - Base Fitness: 0.25332329455643776, Adjusted Fitness: 0.25332329455643776
[0.0085, 0.46, 0.13, -0.8398575062255574, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.2482699363393306, Adjusted Fitness: 0.2482699363393306
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08294957597903624, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.2331985140369144, Adjusted Fitness: 0.2331985140369144
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766] - Base Fitness: 0.25194982248604625, Adjusted Fitness: 27.480322279052256

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.12200606543074416, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.505428307522361, 10.16570839712766]:
  Angle -10: cl=-0.5637487173080444, cd=0.2242213487625122, cm=-0.18512608110904694
  Angle -9: cl=-0.5980156660079956, cd=0.19379988312721252, cm=-0.18081353604793549
  Angle -8: cl=-0.6208639740943909, cd=0.1586829423904419, cm=-0.1789843887090683
  Angle -7: cl=-0.6567872762680054, cd=0.1260618418455124, cm=-0.17007537186145782
  Angle -6: cl=-0.6270108819007874, cd=0.1135597750544548, cm=-0.1576053649187088
  Angle -5: cl=-0.5271411538124084, cd=0.1024647057056427, cm=-0.1444218009710312
  Angle -4: cl=-0.42772701382637024, cd=0.09522425383329391, cm=-0.1307561844587326
  Angle -3: cl=-0.3333952724933624, cd=0.08813487738370895, cm=-0.11263073980808258
  Angle -2: cl=-0.2606572210788727, cd=0.08185393363237381, cm=-0.0869055837392807
  Angle -1: cl=-0.20073775947093964, cd=0.07807901501655579, cm=-0.056899115443229675
  Angle 0: cl=-0.14451293647289276, cd=0.07860685139894485, cm=-0.02817787230014801
  Angle 1: cl=-0.07787464559078217, cd=0.08316688239574432, cm=-0.00958050787448883
  Angle 2: cl=0.0005409698933362961, cd=0.08842406421899796, cm=0.002714380621910095
  Angle 3: cl=0.22446370124816895, cd=0.07684829086065292, cm=0.004467755556106567
  Angle 4: cl=0.3103961646556854, cd=0.08240236341953278, cm=0.010281726717948914
  Angle 5: cl=0.3980900049209595, cd=0.08865410089492798, cm=0.014698505401611328
  Angle 6: cl=0.4943750202655792, cd=0.09448849409818649, cm=0.017780065536499023
  Angle 7: cl=0.5850663185119629, cd=0.10019439458847046, cm=0.017753630876541138
  Angle 8: cl=0.675216794013977, cd=0.10316234827041626, cm=0.010414063930511475
  Angle 9: cl=0.7665645480155945, cd=0.10688384622335434, cm=0.002022162079811096
  Angle 10: cl=0.8650879859924316, cd=0.11154958605766296, cm=-0.006491318345069885
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766]:
  Angle -10: cl=-0.5650292038917542, cd=0.23328670859336853, cm=-0.18989290297031403
  Angle -9: cl=-0.5910546183586121, cd=0.2002585083246231, cm=-0.1864060014486313
  Angle -8: cl=-0.6137646436691284, cd=0.1653866171836853, cm=-0.18534214794635773
  Angle -7: cl=-0.6525796055793762, cd=0.13066904246807098, cm=-0.18040774762630463
  Angle -6: cl=-0.6060852408409119, cd=0.11598844081163406, cm=-0.16570650041103363
  Angle -5: cl=-0.49882620573043823, cd=0.10418321192264557, cm=-0.15244601666927338
  Angle -4: cl=-0.4081723392009735, cd=0.09935508668422699, cm=-0.13912366330623627
  Angle -3: cl=-0.30654874444007874, cd=0.09354718029499054, cm=-0.1255715936422348
  Angle -2: cl=-0.2269536852836609, cd=0.08821883052587509, cm=-0.1036764532327652
  Angle -1: cl=-0.16571347415447235, cd=0.08348933607339859, cm=-0.07443408668041229
  Angle 0: cl=-0.09299100190401077, cd=0.0826057717204094, cm=-0.046432897448539734
  Angle 1: cl=-0.009499626234173775, cd=0.08306723833084106, cm=-0.024382099509239197
  Angle 2: cl=0.07417265325784683, cd=0.08395535498857498, cm=-0.00919272005558014
  Angle 3: cl=0.31003135442733765, cd=0.06836071610450745, cm=-0.004465058445930481
  Angle 4: cl=0.42256656289100647, cd=0.07253773510456085, cm=0.0007543414831161499
  Angle 5: cl=0.5208575129508972, cd=0.08080389350652695, cm=0.0041806697845458984
  Angle 6: cl=0.6132523417472839, cd=0.08795878291130066, cm=0.006442144513130188
  Angle 7: cl=0.7031124830245972, cd=0.09454970061779022, cm=0.00889521837234497
  Angle 8: cl=0.79325932264328, cd=0.10119670629501343, cm=0.010663419961929321
  Angle 9: cl=0.8883466124534607, cd=0.10551976412534714, cm=0.0031478554010391235
  Angle 10: cl=0.9877001047134399, cd=0.11155092716217041, cm=-0.004711523652076721
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.076150119296406]:
  Angle -10: cl=-0.5651324391365051, cd=0.23337648808956146, cm=-0.18996883928775787
  Angle -9: cl=-0.5907482504844666, cd=0.20030368864536285, cm=-0.1864558607339859
  Angle -8: cl=-0.6138544082641602, cd=0.1655273288488388, cm=-0.18551789224147797
  Angle -7: cl=-0.652506411075592, cd=0.13081909716129303, cm=-0.1806105524301529
  Angle -6: cl=-0.6057048439979553, cd=0.11612497270107269, cm=-0.16589708626270294
  Angle -5: cl=-0.49813205003738403, cd=0.1041908711194992, cm=-0.15262190997600555
  Angle -4: cl=-0.4076337516307831, cd=0.09939014911651611, cm=-0.13929937779903412
  Angle -3: cl=-0.30606260895729065, cd=0.09359688311815262, cm=-0.12580130994319916
  Angle -2: cl=-0.22615614533424377, cd=0.08830266445875168, cm=-0.10399751365184784
  Angle -1: cl=-0.16498179733753204, cd=0.08356352150440216, cm=-0.074761763215065
  Angle 0: cl=-0.09196574985980988, cd=0.08268053084611893, cm=-0.046834275126457214
  Angle 1: cl=-0.008190998807549477, cd=0.08310944586992264, cm=-0.024741992354393005
  Angle 2: cl=0.07567746937274933, cd=0.08402317017316818, cm=-0.00961737334728241
  Angle 3: cl=0.31122905015945435, cd=0.0684393122792244, cm=-0.004888191819190979
  Angle 4: cl=0.4243791401386261, cd=0.07241083681583405, cm=0.0005499273538589478
  Angle 5: cl=0.5227334499359131, cd=0.08069570362567902, cm=0.0039633214473724365
  Angle 6: cl=0.6151114106178284, cd=0.08783640712499619, cm=0.006240129470825195
  Angle 7: cl=0.7048825621604919, cd=0.09443869441747665, cm=0.008718162775039673
  Angle 8: cl=0.7950835227966309, cd=0.10109312832355499, cm=0.010435536503791809
  Angle 9: cl=0.8904801607131958, cd=0.10551238059997559, cm=0.003184095025062561
  Angle 10: cl=0.989548921585083, cd=0.11161736398935318, cm=-0.004668578505516052
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766]:
  Angle -10: cl=-0.5650292038917542, cd=0.23328670859336853, cm=-0.18989290297031403
  Angle -9: cl=-0.5910546183586121, cd=0.2002585083246231, cm=-0.1864060014486313
  Angle -8: cl=-0.6137646436691284, cd=0.1653866171836853, cm=-0.18534214794635773
  Angle -7: cl=-0.6525796055793762, cd=0.13066904246807098, cm=-0.18040774762630463
  Angle -6: cl=-0.6060852408409119, cd=0.11598844081163406, cm=-0.16570650041103363
  Angle -5: cl=-0.49882620573043823, cd=0.10418321192264557, cm=-0.15244601666927338
  Angle -4: cl=-0.4081723392009735, cd=0.09935508668422699, cm=-0.13912366330623627
  Angle -3: cl=-0.30654874444007874, cd=0.09354718029499054, cm=-0.1255715936422348
  Angle -2: cl=-0.2269536852836609, cd=0.08821883052587509, cm=-0.1036764532327652
  Angle -1: cl=-0.16571347415447235, cd=0.08348933607339859, cm=-0.07443408668041229
  Angle 0: cl=-0.09299100190401077, cd=0.0826057717204094, cm=-0.046432897448539734
  Angle 1: cl=-0.009499626234173775, cd=0.08306723833084106, cm=-0.024382099509239197
  Angle 2: cl=0.07417265325784683, cd=0.08395535498857498, cm=-0.00919272005558014
  Angle 3: cl=0.31003135442733765, cd=0.06836071610450745, cm=-0.004465058445930481
  Angle 4: cl=0.42256656289100647, cd=0.07253773510456085, cm=0.0007543414831161499
  Angle 5: cl=0.5208575129508972, cd=0.08080389350652695, cm=0.0041806697845458984
  Angle 6: cl=0.6132523417472839, cd=0.08795878291130066, cm=0.006442144513130188
  Angle 7: cl=0.7031124830245972, cd=0.09454970061779022, cm=0.00889521837234497
  Angle 8: cl=0.79325932264328, cd=0.10119670629501343, cm=0.010663419961929321
  Angle 9: cl=0.8883466124534607, cd=0.10551976412534714, cm=0.0031478554010391235
  Angle 10: cl=0.9877001047134399, cd=0.11155092716217041, cm=-0.004711523652076721
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766]:
  Angle -10: cl=-0.5650292038917542, cd=0.23328670859336853, cm=-0.18989290297031403
  Angle -9: cl=-0.5910546183586121, cd=0.2002585083246231, cm=-0.1864060014486313
  Angle -8: cl=-0.6137646436691284, cd=0.1653866171836853, cm=-0.18534214794635773
  Angle -7: cl=-0.6525796055793762, cd=0.13066904246807098, cm=-0.18040774762630463
  Angle -6: cl=-0.6060852408409119, cd=0.11598844081163406, cm=-0.16570650041103363
  Angle -5: cl=-0.49882620573043823, cd=0.10418321192264557, cm=-0.15244601666927338
  Angle -4: cl=-0.4081723392009735, cd=0.09935508668422699, cm=-0.13912366330623627
  Angle -3: cl=-0.30654874444007874, cd=0.09354718029499054, cm=-0.1255715936422348
  Angle -2: cl=-0.2269536852836609, cd=0.08821883052587509, cm=-0.1036764532327652
  Angle -1: cl=-0.16571347415447235, cd=0.08348933607339859, cm=-0.07443408668041229
  Angle 0: cl=-0.09299100190401077, cd=0.0826057717204094, cm=-0.046432897448539734
  Angle 1: cl=-0.009499626234173775, cd=0.08306723833084106, cm=-0.024382099509239197
  Angle 2: cl=0.07417265325784683, cd=0.08395535498857498, cm=-0.00919272005558014
  Angle 3: cl=0.31003135442733765, cd=0.06836071610450745, cm=-0.004465058445930481
  Angle 4: cl=0.42256656289100647, cd=0.07253773510456085, cm=0.0007543414831161499
  Angle 5: cl=0.5208575129508972, cd=0.08080389350652695, cm=0.0041806697845458984
  Angle 6: cl=0.6132523417472839, cd=0.08795878291130066, cm=0.006442144513130188
  Angle 7: cl=0.7031124830245972, cd=0.09454970061779022, cm=0.00889521837234497
  Angle 8: cl=0.79325932264328, cd=0.10119670629501343, cm=0.010663419961929321
  Angle 9: cl=0.8883466124534607, cd=0.10551976412534714, cm=0.0031478554010391235
  Angle 10: cl=0.9877001047134399, cd=0.11155092716217041, cm=-0.004711523652076721
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025052995185309043, 7.505428307522361, 10.16570839712766]:
  Angle -10: cl=-0.5650292038917542, cd=0.23328670859336853, cm=-0.18989290297031403
  Angle -9: cl=-0.5910546183586121, cd=0.2002585083246231, cm=-0.1864060014486313
  Angle -8: cl=-0.6137646436691284, cd=0.1653866171836853, cm=-0.18534214794635773
  Angle -7: cl=-0.6525796055793762, cd=0.13066904246807098, cm=-0.18040774762630463
  Angle -6: cl=-0.6060852408409119, cd=0.11598844081163406, cm=-0.16570650041103363
  Angle -5: cl=-0.49882620573043823, cd=0.10418321192264557, cm=-0.15244601666927338
  Angle -4: cl=-0.4081723392009735, cd=0.09935508668422699, cm=-0.13912366330623627
  Angle -3: cl=-0.30654874444007874, cd=0.09354718029499054, cm=-0.1255715936422348
  Angle -2: cl=-0.2269536852836609, cd=0.08821883052587509, cm=-0.1036764532327652
  Angle -1: cl=-0.16571347415447235, cd=0.08348933607339859, cm=-0.07443408668041229
  Angle 0: cl=-0.09299100190401077, cd=0.0826057717204094, cm=-0.046432897448539734
  Angle 1: cl=-0.009499626234173775, cd=0.08306723833084106, cm=-0.024382099509239197
  Angle 2: cl=0.07417265325784683, cd=0.08395535498857498, cm=-0.00919272005558014
