Experiment: Nash_Combination_Experiment_4
Generation: 24
Generation Type: v
Timestamp: 20231226_035713

Genotypes and their Fitness Values:
[0.0085, 0.44796429429601137, 0.11, -0.8890490462892165, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: -0.5542180659521736, Adjusted Fitness: -0.5442812248061364
[0.0085, 0.44796429429601137, 0.11, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: -0.5538405632189815, Adjusted Fitness: -0.5538405632189815
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.16796328609511796, Adjusted Fitness: 0.16796328609511796
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.057957094117642174, Adjusted Fitness: 0.05846832159554966
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.571473227719828, 10.462295549112655] - Base Fitness: 0.15468626198644042, Adjusted Fitness: 0.15468626198644042
[0.0085, 0.4529451066218694, 0.13, -0.9, 0.258907005738915, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.13935963074412455, Adjusted Fitness: 0.13935963074412455
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.613640674272542, 10.372262809768925] - Base Fitness: 0.16264128404475267, Adjusted Fitness: 0.16264128404475267
[0.0126, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: -0.532024073200237, Adjusted Fitness: -0.532024073200237
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1736899862495278, Adjusted Fitness: 0.1736899862495278
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1736899862495278, Adjusted Fitness: 0.1736899862495278
[0.0126, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: -0.532024073200237, Adjusted Fitness: -0.532024073200237
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.258907005738915, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.385998293943304] - Base Fitness: 0.13894027216753596, Adjusted Fitness: 0.13894027216753596
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.571473227719828, 10.462295549112655] - Base Fitness: 0.1550650033789299, Adjusted Fitness: 0.1550650033789299
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.16796328609511796, Adjusted Fitness: 0.16796328609511796
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.015, 0.06813607686621338, -0.003, 0.0025, 8.613571711177174, 10.372262809768925] - Base Fitness: -0.4673835038711045, Adjusted Fitness: -0.4673835038711045
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.0906993946829828, -0.003, 0.0025, 8.631497579901136, 10.462295549112655] - Base Fitness: 0.13582143694501755, Adjusted Fitness: 0.13582143694501755
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.26, -0.023, 0.0906993946829828, -0.003, 0.0025, 8.631497579901136, 10.462295549112655] - Base Fitness: 0.12803317413377135, Adjusted Fitness: 0.12803317413377135
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.558757491837914, 10.422112587153324] - Base Fitness: 0.16027128335769786, Adjusted Fitness: 0.16027128335769786
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15784913993481683, Adjusted Fitness: 0.15784913993481683
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15784913993481683, Adjusted Fitness: 0.15784913993481683
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15830694866334394, Adjusted Fitness: 0.15830694866334394
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1736899862495278, Adjusted Fitness: 0.1736899862495278
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.0906993946829828, -0.003, 0.0025, 8.631497579901136, 10.429585609999071] - Base Fitness: 0.14022637092163207, Adjusted Fitness: 0.14022637092163207
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.0906993946829828, -0.003, 0.0025, 8.631497579901136, 10.462295549112655] - Base Fitness: 0.12761750935693122, Adjusted Fitness: 0.12862365570020065
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.005, 8.589814308876353, 10.429585609999071] - Base Fitness: -0.12437551555669944, Adjusted Fitness: -0.12216224855254562
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15784913993481683, Adjusted Fitness: 0.15784913993481683
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.16371972976905072, Adjusted Fitness: 0.16371972976905072
[0.0085, 0.46, 0.12022876068998312, -0.8941820903827322, 0.26, -0.023, 0.0906993946829828, -0.003, 0.0025, 8.631497579901136, 10.462295549112655] - Base Fitness: -0.22854639463914173, Adjusted Fitness: -0.22737483642581233
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.2534687566578323, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.009249634953862152, Adjusted Fitness: 0.011074410663605084
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.429585609999071] - Base Fitness: 0.1572340129993867, Adjusted Fitness: 0.1572340129993867
[0.0085, 0.4529451066218694, 0.12638664088278356, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.005, 8.589814308876353, 10.422112587153324] - Base Fitness: -0.2507034580387345, Adjusted Fitness: -0.24893604376401515
[0.0085, 0.4529451066218694, 0.13, -0.9, 0.258907005738915, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.13935963074412455, Adjusted Fitness: 0.13935963074412455
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.613640674272542, 10.372262809768925] - Base Fitness: 0.1726176052362141, Adjusted Fitness: 0.1726176052362141
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.551260629441725, 10.422112587153324] - Base Fitness: 0.16031290791526753, Adjusted Fitness: 0.16031290791526753
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15784913993481683, Adjusted Fitness: 0.15784913993481683
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.26, -0.015, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.462295549112655] - Base Fitness: -0.45910589524217654, Adjusted Fitness: -0.45910589524217654
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.600292242145224, 10.422112587153324] - Base Fitness: 0.16722098017022868, Adjusted Fitness: 0.16722098017022868
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.429585609999071] - Base Fitness: 0.16713849424696894, Adjusted Fitness: 0.16713849424696894
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15830694866334394, Adjusted Fitness: 0.15830694866334394
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15784913993481683, Adjusted Fitness: 0.15784913993481683
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15784913993481683, Adjusted Fitness: 0.15784913993481683
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.16796328609511796, Adjusted Fitness: 0.16796328609511796
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.16796328609511796, Adjusted Fitness: 0.16796328609511796
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0036134877677653407, 8.569707964908563, 10.372262809768925] - Base Fitness: 0.04540019042224413, Adjusted Fitness: 0.04758647168667088
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15830694866334394, Adjusted Fitness: 0.15830694866334394
[0.0085, 0.44796429429601137, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.15784913993481683, Adjusted Fitness: 0.15784913993481683
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.16796328609511796, Adjusted Fitness: 0.16796328609511796
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.258907005738915, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.429585609999071] - Base Fitness: 0.1341518943550956, Adjusted Fitness: 0.1341518943550956
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324] - Base Fitness: 0.16796328609511796, Adjusted Fitness: 0.16796328609511796
[0.0085, 0.44796429429601137, 0.13, -0.9, 0.258907005738915, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.14039905894371077, Adjusted Fitness: 0.14039905894371077

Detailed Results for Each Genotype:
Genotype [0.0085, 0.44796429429601137, 0.11, -0.8890490462892165, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324]:
  Angle -10: cl=-0.6117862462997437, cd=0.22769324481487274, cm=-0.18699871003627777
  Angle -9: cl=-0.6486201286315918, cd=0.19735901057720184, cm=-0.1793374866247177
  Angle -8: cl=-0.6904738545417786, cd=0.1663728505373001, cm=-0.17380614578723907
  Angle -7: cl=-0.7130025029182434, cd=0.13622300326824188, cm=-0.1668342798948288
  Angle -6: cl=-0.6624841094017029, cd=0.1228862851858139, cm=-0.15391995012760162
  Angle -5: cl=-0.5658167004585266, cd=0.10863996297121048, cm=-0.14243505895137787
  Angle -4: cl=-0.45138072967529297, cd=0.0965365469455719, cm=-0.12948302924633026
  Angle -3: cl=-0.3273622691631317, cd=0.08492695540189743, cm=-0.11599968373775482
  Angle -2: cl=-0.23832815885543823, cd=0.07778698205947876, cm=-0.0932811051607132
  Angle -1: cl=-0.17671890556812286, cd=0.0746103897690773, cm=-0.06545035541057587
  Angle 0: cl=-0.11895483732223511, cd=0.07437445968389511, cm=-0.03534938395023346
  Angle 1: cl=-0.06335844099521637, cd=0.07871149480342865, cm=-0.011751756072044373
  Angle 2: cl=0.0032636113464832306, cd=0.08459606766700745, cm=0.00235748291015625
  Angle 3: cl=0.18655548989772797, cd=0.07670360803604126, cm=0.006424710154533386
  Angle 4: cl=0.2910030782222748, cd=0.07942863553762436, cm=0.012660428881645203
  Angle 5: cl=0.370643675327301, cd=0.08499380946159363, cm=0.01778329908847809
  Angle 6: cl=0.454986572265625, cd=0.09062349796295166, cm=0.021114662289619446
  Angle 7: cl=0.5396848917007446, cd=0.09752818942070007, cm=0.02335292100906372
  Angle 8: cl=0.6285310387611389, cd=0.10103057324886322, cm=0.017942950129508972
  Angle 9: cl=0.7192841172218323, cd=0.10414290428161621, cm=0.010589897632598877
  Angle 10: cl=0.8143988847732544, cd=0.10818888247013092, cm=0.002540960907936096
Genotype [0.0085, 0.44796429429601137, 0.11, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324]:
  Angle -10: cl=-0.6117763519287109, cd=0.22770938277244568, cm=-0.18699012696743011
  Angle -9: cl=-0.6486133933067322, cd=0.1973457783460617, cm=-0.17934159934520721
  Angle -8: cl=-0.6904808282852173, cd=0.16635939478874207, cm=-0.17381168901920319
  Angle -7: cl=-0.7129843235015869, cd=0.13622350990772247, cm=-0.1668340116739273
  Angle -6: cl=-0.6624184846878052, cd=0.12288396060466766, cm=-0.15392424166202545
  Angle -5: cl=-0.5658109188079834, cd=0.10864274203777313, cm=-0.14244018495082855
  Angle -4: cl=-0.4513470232486725, cd=0.09653584659099579, cm=-0.12948645651340485
  Angle -3: cl=-0.3273458480834961, cd=0.08493063598871231, cm=-0.11600624024868011
  Angle -2: cl=-0.2382878065109253, cd=0.07778622955083847, cm=-0.09329672157764435
  Angle -1: cl=-0.1767168641090393, cd=0.07461345940828323, cm=-0.06544952094554901
  Angle 0: cl=-0.1189221739768982, cd=0.07438038289546967, cm=-0.03534404933452606
  Angle 1: cl=-0.06335826963186264, cd=0.0787111148238182, cm=-0.011749878525733948
  Angle 2: cl=0.003319922834634781, cd=0.084597148001194, cm=0.0023639798164367676
  Angle 3: cl=0.18659739196300507, cd=0.07670050114393234, cm=0.006422132253646851
  Angle 4: cl=0.29111477732658386, cd=0.07943344861268997, cm=0.012664645910263062
  Angle 5: cl=0.3706808090209961, cd=0.08499052375555038, cm=0.01778542995452881
  Angle 6: cl=0.45500272512435913, cd=0.09062448889017105, cm=0.021112695336341858
  Angle 7: cl=0.539870023727417, cd=0.09752731025218964, cm=0.023351222276687622
  Angle 8: cl=0.628585934638977, cd=0.10103221237659454, cm=0.017940521240234375
  Angle 9: cl=0.7193127870559692, cd=0.10414810478687286, cm=0.010580599308013916
  Angle 10: cl=0.814495325088501, cd=0.10819032043218613, cm=0.0025312602519989014
Genotype [0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324]:
  Angle -10: cl=-0.5606889724731445, cd=0.22861453890800476, cm=-0.18883545696735382
  Angle -9: cl=-0.5853677988052368, cd=0.19495889544487, cm=-0.1862645000219345
  Angle -8: cl=-0.6082988381385803, cd=0.159996896982193, cm=-0.1848011463880539
  Angle -7: cl=-0.6470662951469421, cd=0.12667261064052582, cm=-0.1778285950422287
  Angle -6: cl=-0.603465735912323, cd=0.11315499246120453, cm=-0.16254113614559174
  Angle -5: cl=-0.5062079429626465, cd=0.10391747951507568, cm=-0.14910192787647247
  Angle -4: cl=-0.41284170746803284, cd=0.09897541999816895, cm=-0.13588814437389374
  Angle -3: cl=-0.31000614166259766, cd=0.09271951764822006, cm=-0.1216505914926529
  Angle -2: cl=-0.23944628238677979, cd=0.0872088223695755, cm=-0.0965583473443985
  Angle -1: cl=-0.17853713035583496, cd=0.08275951445102692, cm=-0.06715299189090729
  Angle 0: cl=-0.10850203037261963, cd=0.08237973600625992, cm=-0.03969292342662811
  Angle 1: cl=-0.02491452358663082, cd=0.08287721872329712, cm=-0.01788763701915741
  Angle 2: cl=0.058677785098552704, cd=0.08364452421665192, cm=-0.0024422258138656616
  Angle 3: cl=0.3058323562145233, cd=0.06937484443187714, cm=-0.0009359568357467651
  Angle 4: cl=0.40201258659362793, cd=0.07544254511594772, cm=0.003749743103981018
  Angle 5: cl=0.49980324506759644, cd=0.08375286310911179, cm=0.007108643651008606
  Angle 6: cl=0.5960603356361389, cd=0.0904504656791687, cm=0.008983850479125977
  Angle 7: cl=0.6861235499382019, cd=0.09705018997192383, cm=0.011313468217849731
  Angle 8: cl=0.7768537402153015, cd=0.1023373231291771, cm=0.009300559759140015
  Angle 9: cl=0.872068464756012, cd=0.10651655495166779, cm=0.0010175108909606934
  Angle 10: cl=0.9701414108276367, cd=0.11287285387516022, cm=-0.006821736693382263
Genotype [0.0085, 0.41, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324]:
  Angle -10: cl=-0.5554848313331604, cd=0.2290745973587036, cm=-0.18524803221225739
  Angle -9: cl=-0.5892363786697388, cd=0.19806286692619324, cm=-0.17732436954975128
  Angle -8: cl=-0.6234965920448303, cd=0.16635629534721375, cm=-0.17200927436351776
  Angle -7: cl=-0.6580619812011719, cd=0.13380397856235504, cm=-0.16472046077251434
  Angle -6: cl=-0.621995747089386, cd=0.12083065509796143, cm=-0.15408189594745636
  Angle -5: cl=-0.5017151832580566, cd=0.10724358260631561, cm=-0.14250735938549042
  Angle -4: cl=-0.37829843163490295, cd=0.09475705772638321, cm=-0.1292242854833603
  Angle -3: cl=-0.26282986998558044, cd=0.08586259186267853, cm=-0.11553139984607697
  Angle -2: cl=-0.18565227091312408, cd=0.08004055917263031, cm=-0.09208174049854279
  Angle -1: cl=-0.12859706580638885, cd=0.07773102819919586, cm=-0.06306754052639008
  Angle 0: cl=-0.06827334314584732, cd=0.07769358903169632, cm=-0.03294239938259125
  Angle 1: cl=-0.007719805464148521, cd=0.07943262159824371, cm=-0.006266698241233826
  Angle 2: cl=0.06844526529312134, cd=0.08496192842721939, cm=0.00569508969783783
  Angle 3: cl=0.27915647625923157, cd=0.07639757543802261, cm=0.009551942348480225
  Angle 4: cl=0.35950276255607605, cd=0.08278452605009079, cm=0.015113890171051025
  Angle 5: cl=0.4405251741409302, cd=0.08907748013734818, cm=0.020347267389297485
  Angle 6: cl=0.5293753147125244, cd=0.09483630955219269, cm=0.020857691764831543
  Angle 7: cl=0.6210032105445862, cd=0.09903928637504578, cm=0.015553802251815796
  Angle 8: cl=0.7135487198829651, cd=0.10269785672426224, cm=0.009223416447639465
  Angle 9: cl=0.8042545318603516, cd=0.1064104288816452, cm=0.000945746898651123
  Angle 10: cl=0.8987020254135132, cd=0.11032253503799438, cm=-0.007163479924201965
Genotype [0.0085, 0.44796429429601137, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.571473227719828, 10.462295549112655]:
  Angle -10: cl=-0.5555441379547119, cd=0.22885428369045258, cm=-0.18820418417453766
  Angle -9: cl=-0.5882619619369507, cd=0.197037011384964, cm=-0.18337084352970123
  Angle -8: cl=-0.6107203960418701, cd=0.16166459023952484, cm=-0.18125678598880768
  Angle -7: cl=-0.6431276798248291, cd=0.1287825107574463, cm=-0.1746731847524643
  Angle -6: cl=-0.6080708503723145, cd=0.11467139422893524, cm=-0.1604461818933487
  Angle -5: cl=-0.5000194311141968, cd=0.10360690951347351, cm=-0.1480165272951126
  Angle -4: cl=-0.4025925099849701, cd=0.09794298559427261, cm=-0.1351756900548935
  Angle -3: cl=-0.29865965247154236, cd=0.0912703424692154, cm=-0.1203070729970932
  Angle -2: cl=-0.22702404856681824, cd=0.08548442274332047, cm=-0.09591983258724213
  Angle -1: cl=-0.16712138056755066, cd=0.08167112618684769, cm=-0.06637908518314362
  Angle 0: cl=-0.10128018260002136, cd=0.08147425204515457, cm=-0.03782229125499725
  Angle 1: cl=-0.022514929994940758, cd=0.08214665204286575, cm=-0.01490066945552826
  Angle 2: cl=0.059919267892837524, cd=0.08370549231767654, cm=-3.0115246772766113e-05
  Angle 3: cl=0.3002093434333801, cd=0.07110913097858429, cm=0.00148715078830719
  Angle 4: cl=0.3919200003147125, cd=0.07660994678735733, cm=0.006605431437492371
  Angle 5: cl=0.4883834421634674, cd=0.08483262360095978, cm=0.009959056973457336
  Angle 6: cl=0.581965982913971, cd=0.09188122302293777, cm=0.012317657470703125
  Angle 7: cl=0.673537015914917, cd=0.09843523055315018, cm=0.014294669032096863
  Angle 8: cl=0.7651438117027283, cd=0.1025177612900734, cm=0.009212911128997803
  Angle 9: cl=0.858392596244812, cd=0.10643971711397171, cm=0.000967368483543396
  Angle 10: cl=0.9583343267440796, cd=0.11105085909366608, cm=-0.00707380473613739
Genotype [0.0085, 0.4529451066218694, 0.13, -0.9, 0.258907005738915, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.422112587153324]:
  Angle -10: cl=-0.5568452477455139, cd=0.22798866033554077, cm=-0.18815456330776215
  Angle -9: cl=-0.5869908332824707, cd=0.19548399746418, cm=-0.18444053828716278
  Angle -8: cl=-0.6094297766685486, cd=0.16020795702934265, cm=-0.18232403695583344
  Angle -7: cl=-0.644901692867279, cd=0.1273510903120041, cm=-0.17548532783985138
  Angle -6: cl=-0.6066362261772156, cd=0.11371564120054245, cm=-0.16081728041172028
  Angle -5: cl=-0.5048060417175293, cd=0.10373663157224655, cm=-0.1479327231645584
  Angle -4: cl=-0.4082900583744049, cd=0.09828288853168488, cm=-0.13480554521083832
  Angle -3: cl=-0.30475640296936035, cd=0.0917501151561737, cm=-0.12018029391765594
  Angle -2: cl=-0.2346249222755432, cd=0.08604385703802109, cm=-0.0950372964143753
  Angle -1: cl=-0.17441818118095398, cd=0.08193846791982651, cm=-0.0655820220708847
  Angle 0: cl=-0.10708712041378021, cd=0.08175095915794373, cm=-0.037601128220558167
  Angle 1: cl=-0.02728903479874134, cd=0.08228674530982971, cm=-0.015051290392875671
  Angle 2: cl=0.05569235235452652, cd=0.08395159244537354, cm=-0.00032204389572143555
  Angle 3: cl=0.2984584867954254, cd=0.07099825888872147, cm=0.0009566694498062134
  Angle 4: cl=0.3922950029373169, cd=0.07646486908197403, cm=0.005879715085029602
  Angle 5: cl=0.4893307387828827, cd=0.08475388586521149, cm=0.009230732917785645
  Angle 6: cl=0.5841291546821594, cd=0.09159182012081146, cm=0.011369988322257996
  Angle 7: cl=0.6756780743598938, cd=0.09816525876522064, cm=0.01340821385383606
  Angle 8: cl=0.7667686343193054, cd=0.10252951085567474, cm=0.00908556580543518
  Angle 9: cl=0.8610947728157043, cd=0.10657855123281479, cm=0.0008020251989364624
  Angle 10: cl=0.9599223732948303, cd=0.11122746765613556, cm=-0.007228866219520569
