Experiment: Nash_Combination_Experiment_4
Generation: 32
Generation Type: v
Timestamp: 20231226_035817

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1736899862495278, Adjusted Fitness: 0.1751153723510544
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.17712564463305408
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.539069594908616, 10.380735878981486] - Base Fitness: 0.1765569925436386, Adjusted Fitness: 0.1765569925436386
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1745762897403832, Adjusted Fitness: 0.1745762897403832
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.17712564463305408
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17629209616953795, Adjusted Fitness: 0.17629209616953795
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.006, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: -0.27917926868815984, Adjusted Fitness: -0.27772514157682954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17657087276213962, Adjusted Fitness: 0.17657087276213962
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.40048770721773] - Base Fitness: 0.17380778496674043, Adjusted Fitness: 0.17380778496674043
[0.0085, 0.46, 0.13, -0.8807350464400437, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17530501153908035, Adjusted Fitness: 0.17530501153908035
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.006, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.2770065011245113, Adjusted Fitness: -0.2770065011245113
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.5252603420588416, Adjusted Fitness: -0.5252603420588416
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1745762897403832, Adjusted Fitness: 0.1745762897403832
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.406110104860227] - Base Fitness: 0.172345059788033, Adjusted Fitness: 0.17375699662494465
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: -0.5516884767429594, Adjusted Fitness: -0.5323722383670674
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17657087276213962, Adjusted Fitness: 0.17657087276213962
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1741846411029696, Adjusted Fitness: 0.1741846411029696
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17657087276213962, Adjusted Fitness: 0.17657087276213962
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17629209616953795, Adjusted Fitness: 0.17629209616953795
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.380735878981486] - Base Fitness: 0.17615955009621762, Adjusted Fitness: 0.17615955009621762
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17657087276213962, Adjusted Fitness: 0.17657087276213962
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1741846411029696, Adjusted Fitness: 0.1741846411029696
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1741846411029696, Adjusted Fitness: 0.1741846411029696
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17629209616953795, Adjusted Fitness: 0.17629209616953795
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17657087276213962, Adjusted Fitness: 0.17657087276213962
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1745762897403832, Adjusted Fitness: 0.1745762897403832
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.17712564463305408
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.17712564463305408
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.380735878981486] - Base Fitness: 0.17560389975021665, Adjusted Fitness: 0.17560389975021665
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.17712564463305408
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.17712564463305408
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.380735878981486] - Base Fitness: 0.17521954878444643, Adjusted Fitness: 0.17521954878444643
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1745762897403832, Adjusted Fitness: 0.1745762897403832
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.9292716256279345, Adjusted Fitness: -0.9245039968857462
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.545379532693026, 10.380735878981486] - Base Fitness: -0.27714098773559376, Adjusted Fitness: -0.27714098773559376
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.17712564463305408
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.2768309651947637, Adjusted Fitness: -0.2768309651947637
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17629209616953795, Adjusted Fitness: 0.17629209616953795
[0.0085, 0.46, 0.13, -0.9, 0.22978373743981276, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: -0.6034705722318895, Adjusted Fitness: -0.5955035254403974
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17657087276213962, Adjusted Fitness: 0.17657087276213962
[0.0085, 0.46, 0.13, -0.8862466989255708, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17563391131311812, Adjusted Fitness: 0.17563391131311812
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.380735878981486] - Base Fitness: 0.17615955009621762, Adjusted Fitness: 0.17615955009621762
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1736899862495278, Adjusted Fitness: 0.1751153723510544
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.17712564463305408
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.006, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.27685036971243854, Adjusted Fitness: -0.27685036971243854
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.07466791223126955, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.16166735290982998, Adjusted Fitness: 0.16410398954138386
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.380735878981486] - Base Fitness: 0.17615955009621762, Adjusted Fitness: 0.17615955009621762
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17657087276213962, Adjusted Fitness: 0.17657087276213962
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.589814308876353, 10.372262809768925] - Base Fitness: 0.1745762897403832, Adjusted Fitness: 0.1745762897403832
[0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.063770282517323, -0.003, 0.0025, 8.545379532693026, 10.380735878981486] - Base Fitness: 0.16738793870673754, Adjusted Fitness: 0.16875030433283622

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.589814308876353, 10.372262809768925]:
  Angle -10: cl=-0.5607737898826599, cd=0.22866953909397125, cm=-0.18887586891651154
  Angle -9: cl=-0.5854427814483643, cd=0.1950305551290512, cm=-0.18632788956165314
  Angle -8: cl=-0.6082808375358582, cd=0.1600726693868637, cm=-0.18490876257419586
  Angle -7: cl=-0.6470044255256653, cd=0.12673665583133698, cm=-0.17792536318302155
  Angle -6: cl=-0.6032604575157166, cd=0.11319536715745926, cm=-0.16267620027065277
  Angle -5: cl=-0.5055851936340332, cd=0.10392086207866669, cm=-0.14925433695316315
  Angle -4: cl=-0.41255301237106323, cd=0.09898211807012558, cm=-0.13594980537891388
  Angle -3: cl=-0.3098598122596741, cd=0.09274975210428238, cm=-0.12173543870449066
  Angle -2: cl=-0.2390221357345581, cd=0.08726227283477783, cm=-0.09672869741916656
  Angle -1: cl=-0.17811919748783112, cd=0.0828031525015831, cm=-0.06730113923549652
  Angle 0: cl=-0.10784271359443665, cd=0.08240469545125961, cm=-0.03988783061504364
  Angle 1: cl=-0.02429639734327793, cd=0.08289799839258194, cm=-0.018074944615364075
  Angle 2: cl=0.05941183865070343, cd=0.08368559926748276, cm=-0.002647221088409424
  Angle 3: cl=0.30689388513565063, cd=0.069248266518116, cm=-0.0010678023099899292
  Angle 4: cl=0.4032108187675476, cd=0.07536997646093369, cm=0.0036244839429855347
  Angle 5: cl=0.5008004307746887, cd=0.08368872106075287, cm=0.006987974047660828
  Angle 6: cl=0.5973299145698547, cd=0.09039981663227081, cm=0.008860275149345398
  Angle 7: cl=0.687238872051239, cd=0.09698883444070816, cm=0.011190026998519897
  Angle 8: cl=0.7779359817504883, cd=0.10234291851520538, cm=0.009294107556343079
  Angle 9: cl=0.8732025623321533, cd=0.10650039464235306, cm=0.0010468214750289917
  Angle 10: cl=0.9713190197944641, cd=0.11295879632234573, cm=-0.006811782717704773
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925]:
  Angle -10: cl=-0.560894787311554, cd=0.22881841659545898, cm=-0.18886615335941315
  Angle -9: cl=-0.5856745839118958, cd=0.19526709616184235, cm=-0.18634001910686493
  Angle -8: cl=-0.6084409952163696, cd=0.16031840443611145, cm=-0.18491454422473907
  Angle -7: cl=-0.6473472118377686, cd=0.12695717811584473, cm=-0.1780695766210556
  Angle -6: cl=-0.6033498644828796, cd=0.11327339708805084, cm=-0.1627533882856369
  Angle -5: cl=-0.5053385496139526, cd=0.10393407940864563, cm=-0.1493483930826187
  Angle -4: cl=-0.4123099148273468, cd=0.09900770336389542, cm=-0.13610224425792694
  Angle -3: cl=-0.3096346855163574, cd=0.09279358386993408, cm=-0.12192709743976593
  Angle -2: cl=-0.2386610507965088, cd=0.08729512244462967, cm=-0.09696198999881744
  Angle -1: cl=-0.1776915043592453, cd=0.08282386511564255, cm=-0.06756506860256195
  Angle 0: cl=-0.10721418261528015, cd=0.08240463584661484, cm=-0.04015637934207916
  Angle 1: cl=-0.023620737716555595, cd=0.08291439712047577, cm=-0.018355652689933777
  Angle 2: cl=0.06007800251245499, cd=0.08369135111570358, cm=-0.0029299408197402954
  Angle 3: cl=0.30769112706184387, cd=0.06908570975065231, cm=-0.0011783689260482788
  Angle 4: cl=0.403865784406662, cd=0.07525872439146042, cm=0.0035451948642730713
  Angle 5: cl=0.5017348527908325, cd=0.08356045186519623, cm=0.006838992238044739
  Angle 6: cl=0.5978447794914246, cd=0.09030147641897202, cm=0.008778586983680725
  Angle 7: cl=0.6875926852226257, cd=0.09688913077116013, cm=0.011143416166305542
  Angle 8: cl=0.7787123322486877, cd=0.10229788720607758, cm=0.00936707854270935
  Angle 9: cl=0.8739646673202515, cd=0.10647256672382355, cm=0.001097649335861206
  Angle 10: cl=0.971876323223114, cd=0.11288674175739288, cm=-0.006723031401634216
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.539069594908616, 10.380735878981486]:
  Angle -10: cl=-0.5608819723129272, cd=0.22885118424892426, cm=-0.18886534869670868
  Angle -9: cl=-0.58572918176651, cd=0.1952836811542511, cm=-0.18632130324840546
  Angle -8: cl=-0.6085976958274841, cd=0.16035698354244232, cm=-0.1849292367696762
  Angle -7: cl=-0.647408664226532, cd=0.12695330381393433, cm=-0.17806540429592133
  Angle -6: cl=-0.6034275889396667, cd=0.1132751926779747, cm=-0.16273780167102814
  Angle -5: cl=-0.5053578615188599, cd=0.10393750667572021, cm=-0.14934571087360382
  Angle -4: cl=-0.4122552275657654, cd=0.09900444746017456, cm=-0.1361052542924881
  Angle -3: cl=-0.3096100687980652, cd=0.09278019517660141, cm=-0.12191008031368256
  Angle -2: cl=-0.2386477291584015, cd=0.08728756755590439, cm=-0.09696640074253082
  Angle -1: cl=-0.17768116295337677, cd=0.08281892538070679, cm=-0.06759540736675262
  Angle 0: cl=-0.10719746351242065, cd=0.08239476382732391, cm=-0.040154263377189636
  Angle 1: cl=-0.02369803749024868, cd=0.08290638029575348, cm=-0.01835198700428009
  Angle 2: cl=0.059951819479465485, cd=0.08370118588209152, cm=-0.00291500985622406
  Angle 3: cl=0.3075562119483948, cd=0.06909118592739105, cm=-0.0011867284774780273
  Angle 4: cl=0.40375396609306335, cd=0.07525230944156647, cm=0.0035338550806045532
  Angle 5: cl=0.5016394257545471, cd=0.08354789018630981, cm=0.006840020418167114
  Angle 6: cl=0.5977911949157715, cd=0.0902956947684288, cm=0.008770182728767395
  Angle 7: cl=0.6875167489051819, cd=0.09688980132341385, cm=0.011159509420394897
  Angle 8: cl=0.7785914540290833, cd=0.10230333358049393, cm=0.009371176362037659
  Angle 9: cl=0.8739572167396545, cd=0.10647575557231903, cm=0.001111343502998352
  Angle 10: cl=0.9716225862503052, cd=0.11284259706735611, cm=-0.006698444485664368
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.589814308876353, 10.372262809768925]:
  Angle -10: cl=-0.5608044862747192, cd=0.2286590188741684, cm=-0.18889619410037994
  Angle -9: cl=-0.5854953527450562, cd=0.19502069056034088, cm=-0.1863299161195755
  Angle -8: cl=-0.6082674264907837, cd=0.16010750830173492, cm=-0.18490855395793915
  Angle -7: cl=-0.6469470262527466, cd=0.1267879456281662, cm=-0.1779318004846573
  Angle -6: cl=-0.6032368540763855, cd=0.11320555955171585, cm=-0.16268087923526764
  Angle -5: cl=-0.505469560623169, cd=0.10391970723867416, cm=-0.14925061166286469
  Angle -4: cl=-0.41239574551582336, cd=0.0989779531955719, cm=-0.13597522675991058
  Angle -3: cl=-0.30983278155326843, cd=0.09274476021528244, cm=-0.12174288928508759
  Angle -2: cl=-0.2389587163925171, cd=0.08726579695940018, cm=-0.09673668444156647
  Angle -1: cl=-0.178016796708107, cd=0.08280778676271439, cm=-0.06731550395488739
  Angle 0: cl=-0.10767926275730133, cd=0.08239758014678955, cm=-0.03990994393825531
  Angle 1: cl=-0.024191806092858315, cd=0.08291782438755035, cm=-0.018138065934181213
  Angle 2: cl=0.05955024063587189, cd=0.083698570728302, cm=-0.002670764923095703
  Angle 3: cl=0.307011216878891, cd=0.06923560053110123, cm=-0.0010621845722198486
  Angle 4: cl=0.40336140990257263, cd=0.07535944879055023, cm=0.003611549735069275
  Angle 5: cl=0.501066267490387, cd=0.0836813673377037, cm=0.006953537464141846
  Angle 6: cl=0.5974721908569336, cd=0.09038412570953369, cm=0.008829742670059204
  Angle 7: cl=0.6873407959938049, cd=0.09697309881448746, cm=0.011198088526725769
  Angle 8: cl=0.7781222462654114, cd=0.10233835875988007, cm=0.009317383170127869
  Angle 9: cl=0.8732717037200928, cd=0.10650846362113953, cm=0.0010452419519424438
  Angle 10: cl=0.9714316725730896, cd=0.11298736929893494, cm=-0.0068085044622421265
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925]:
  Angle -10: cl=-0.560894787311554, cd=0.22881841659545898, cm=-0.18886615335941315
  Angle -9: cl=-0.5856745839118958, cd=0.19526709616184235, cm=-0.18634001910686493
  Angle -8: cl=-0.6084409952163696, cd=0.16031840443611145, cm=-0.18491454422473907
  Angle -7: cl=-0.6473472118377686, cd=0.12695717811584473, cm=-0.1780695766210556
  Angle -6: cl=-0.6033498644828796, cd=0.11327339708805084, cm=-0.1627533882856369
  Angle -5: cl=-0.5053385496139526, cd=0.10393407940864563, cm=-0.1493483930826187
  Angle -4: cl=-0.4123099148273468, cd=0.09900770336389542, cm=-0.13610224425792694
  Angle -3: cl=-0.3096346855163574, cd=0.09279358386993408, cm=-0.12192709743976593
  Angle -2: cl=-0.2386610507965088, cd=0.08729512244462967, cm=-0.09696198999881744
  Angle -1: cl=-0.1776915043592453, cd=0.08282386511564255, cm=-0.06756506860256195
  Angle 0: cl=-0.10721418261528015, cd=0.08240463584661484, cm=-0.04015637934207916
  Angle 1: cl=-0.023620737716555595, cd=0.08291439712047577, cm=-0.018355652689933777
  Angle 2: cl=0.06007800251245499, cd=0.08369135111570358, cm=-0.0029299408197402954
  Angle 3: cl=0.30769112706184387, cd=0.06908570975065231, cm=-0.0011783689260482788
  Angle 4: cl=0.403865784406662, cd=0.07525872439146042, cm=0.0035451948642730713
  Angle 5: cl=0.5017348527908325, cd=0.08356045186519623, cm=0.006838992238044739
  Angle 6: cl=0.5978447794914246, cd=0.09030147641897202, cm=0.008778586983680725
  Angle 7: cl=0.6875926852226257, cd=0.09688913077116013, cm=0.011143416166305542
  Angle 8: cl=0.7787123322486877, cd=0.10229788720607758, cm=0.00936707854270935
  Angle 9: cl=0.8739646673202515, cd=0.10647256672382355, cm=0.001097649335861206
  Angle 10: cl=0.971876323223114, cd=0.11288674175739288, cm=-0.006723031401634216
Genotype [0.0085, 0.46, 0.13, -0.8941820903827322, 0.26, -0.023, 0.05073639756322962, -0.003, 0.0025, 8.545379532693026, 10.372262809768925]:
  Angle -10: cl=-0.5609009861946106, cd=0.22881263494491577, cm=-0.1888629049062729
  Angle -9: cl=-0.5856832265853882, cd=0.19524571299552917, cm=-0.18631722033023834
  Angle -8: cl=-0.6084532141685486, cd=0.16032584011554718, cm=-0.18489815294742584
  Angle -7: cl=-0.6473862528800964, cd=0.12690287828445435, cm=-0.17807374894618988
  Angle -6: cl=-0.6033719778060913, cd=0.11326827108860016, cm=-0.16272898018360138
  Angle -5: cl=-0.5053671598434448, cd=0.10393767058849335, cm=-0.14933808147907257
  Angle -4: cl=-0.4123944938182831, cd=0.09900892525911331, cm=-0.1360643357038498
  Angle -3: cl=-0.3096648156642914, cd=0.09277623891830444, cm=-0.12188003957271576
  Angle -2: cl=-0.238664448261261, cd=0.08729194849729538, cm=-0.09697611629962921
  Angle -1: cl=-0.17774251103401184, cd=0.08282285183668137, cm=-0.06755600869655609
  Angle 0: cl=-0.10731536149978638, cd=0.08239173144102097, cm=-0.040115609765052795
  Angle 1: cl=-0.023637397214770317, cd=0.08289480209350586, cm=-0.018342986702919006
  Angle 2: cl=0.05984136462211609, cd=0.08368150889873505, cm=-0.002885475754737854
