Experiment: Nash_Combination_Experiment_4
Generation: 58
Generation Type: v
Timestamp: 20231226_040136

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.565356161611318, 10.372262809768925] - Base Fitness: 0.17584105314991458, Adjusted Fitness: 0.17584105314991458
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.451317522130621] - Base Fitness: 0.16784086997458025, Adjusted Fitness: 0.16784086997458025
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.451317522130621] - Base Fitness: 0.16784086997458025, Adjusted Fitness: 0.16784086997458025
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.411880187990683] - Base Fitness: 0.17251728395462623, Adjusted Fitness: 0.17251728395462623
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.56647663891542, 10.372262809768925] - Base Fitness: 0.17572217152367162, Adjusted Fitness: 0.17572217152367162
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.4272032241923975, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.12147157198290714, Adjusted Fitness: 0.12209088710158969
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.7994903160147582, Adjusted Fitness: -0.7935061859269634
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.5249459359961781, Adjusted Fitness: -0.509247349601936
[0.0126, 0.46, 0.13, -0.8795848493114009, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.5258658506850565, Adjusted Fitness: -0.5258658506850565
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.58491958166211, 10.372262809768925] - Base Fitness: 0.17476636174843066, Adjusted Fitness: 0.17476636174843066
[0.0126, 0.46, 0.13, -0.8762204758151289, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -1.0502132069145533, Adjusted Fitness: -1.0467363057357564
[0.0085, 0.46, 0.13, -0.8814426236832277, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.56647663891542, 10.372262809768925] - Base Fitness: 0.17471926684540345, Adjusted Fitness: 0.17471926684540345
[0.0085, 0.46, 0.13, -0.9, 0.24872796236311256, -0.023, 0.07516684450002016, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.10954741995604475, Adjusted Fitness: -0.10819767852410705
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 8.545379532693026, 10.368264186854205] - Base Fitness: -0.10858724740181758, Adjusted Fitness: -0.10820949764668066
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.27654770786156746, Adjusted Fitness: -0.2637995569791426
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.362370623123349] - Base Fitness: 0.1781554889848056, Adjusted Fitness: 0.1781554889848056
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.340609392815644] - Base Fitness: 0.18075875546085468, Adjusted Fitness: 0.18075875546085468
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.340609392815644] - Base Fitness: 0.18075875546085468, Adjusted Fitness: 0.18075875546085468
[0.0085, 0.4401600340763572, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.15273192231419896, Adjusted Fitness: 0.15366384093619442
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08752212847217222, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.15384827841238255, Adjusted Fitness: 0.15384827841238255
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.020494265667038845, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.03071443146687659, Adjusted Fitness: -0.03071443146687659
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.340609392815644] - Base Fitness: 0.18075875546085468, Adjusted Fitness: 0.18075875546085468
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.059932478794953094, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17116006190315752, Adjusted Fitness: 0.17116006190315752
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: 0.17712564463305408, Adjusted Fitness: 0.19345193987550807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 8.585988530293248, 10.372262809768925] - Base Fitness: -0.111791294704879, Adjusted Fitness: -0.10878524789451297
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925] - Base Fitness: -0.45453715866359296, Adjusted Fitness: -0.45386906809289157

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925]:
  Angle -10: cl=-0.560894787311554, cd=0.22881841659545898, cm=-0.18886615335941315
  Angle -9: cl=-0.5856745839118958, cd=0.19526709616184235, cm=-0.18634001910686493
  Angle -8: cl=-0.6084409952163696, cd=0.16031840443611145, cm=-0.18491454422473907
  Angle -7: cl=-0.6473472118377686, cd=0.12695717811584473, cm=-0.1780695766210556
  Angle -6: cl=-0.6033498644828796, cd=0.11327339708805084, cm=-0.1627533882856369
  Angle -5: cl=-0.5053385496139526, cd=0.10393407940864563, cm=-0.1493483930826187
  Angle -4: cl=-0.4123099148273468, cd=0.09900770336389542, cm=-0.13610224425792694
  Angle -3: cl=-0.3096346855163574, cd=0.09279358386993408, cm=-0.12192709743976593
  Angle -2: cl=-0.2386610507965088, cd=0.08729512244462967, cm=-0.09696198999881744
  Angle -1: cl=-0.1776915043592453, cd=0.08282386511564255, cm=-0.06756506860256195
  Angle 0: cl=-0.10721418261528015, cd=0.08240463584661484, cm=-0.04015637934207916
  Angle 1: cl=-0.023620737716555595, cd=0.08291439712047577, cm=-0.018355652689933777
  Angle 2: cl=0.06007800251245499, cd=0.08369135111570358, cm=-0.0029299408197402954
  Angle 3: cl=0.30769112706184387, cd=0.06908570975065231, cm=-0.0011783689260482788
  Angle 4: cl=0.403865784406662, cd=0.07525872439146042, cm=0.0035451948642730713
  Angle 5: cl=0.5017348527908325, cd=0.08356045186519623, cm=0.006838992238044739
  Angle 6: cl=0.5978447794914246, cd=0.09030147641897202, cm=0.008778586983680725
  Angle 7: cl=0.6875926852226257, cd=0.09688913077116013, cm=0.011143416166305542
  Angle 8: cl=0.7787123322486877, cd=0.10229788720607758, cm=0.00936707854270935
  Angle 9: cl=0.8739646673202515, cd=0.10647256672382355, cm=0.001097649335861206
  Angle 10: cl=0.971876323223114, cd=0.11288674175739288, cm=-0.006723031401634216
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925]:
  Angle -10: cl=-0.560894787311554, cd=0.22881841659545898, cm=-0.18886615335941315
  Angle -9: cl=-0.5856745839118958, cd=0.19526709616184235, cm=-0.18634001910686493
  Angle -8: cl=-0.6084409952163696, cd=0.16031840443611145, cm=-0.18491454422473907
  Angle -7: cl=-0.6473472118377686, cd=0.12695717811584473, cm=-0.1780695766210556
  Angle -6: cl=-0.6033498644828796, cd=0.11327339708805084, cm=-0.1627533882856369
  Angle -5: cl=-0.5053385496139526, cd=0.10393407940864563, cm=-0.1493483930826187
  Angle -4: cl=-0.4123099148273468, cd=0.09900770336389542, cm=-0.13610224425792694
  Angle -3: cl=-0.3096346855163574, cd=0.09279358386993408, cm=-0.12192709743976593
  Angle -2: cl=-0.2386610507965088, cd=0.08729512244462967, cm=-0.09696198999881744
  Angle -1: cl=-0.1776915043592453, cd=0.08282386511564255, cm=-0.06756506860256195
  Angle 0: cl=-0.10721418261528015, cd=0.08240463584661484, cm=-0.04015637934207916
  Angle 1: cl=-0.023620737716555595, cd=0.08291439712047577, cm=-0.018355652689933777
  Angle 2: cl=0.06007800251245499, cd=0.08369135111570358, cm=-0.0029299408197402954
  Angle 3: cl=0.30769112706184387, cd=0.06908570975065231, cm=-0.0011783689260482788
  Angle 4: cl=0.403865784406662, cd=0.07525872439146042, cm=0.0035451948642730713
  Angle 5: cl=0.5017348527908325, cd=0.08356045186519623, cm=0.006838992238044739
  Angle 6: cl=0.5978447794914246, cd=0.09030147641897202, cm=0.008778586983680725
  Angle 7: cl=0.6875926852226257, cd=0.09688913077116013, cm=0.011143416166305542
  Angle 8: cl=0.7787123322486877, cd=0.10229788720607758, cm=0.00936707854270935
  Angle 9: cl=0.8739646673202515, cd=0.10647256672382355, cm=0.001097649335861206
  Angle 10: cl=0.971876323223114, cd=0.11288674175739288, cm=-0.006723031401634216
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.565356161611318, 10.372262809768925]:
  Angle -10: cl=-0.5608439445495605, cd=0.22875504195690155, cm=-0.18889789283275604
  Angle -9: cl=-0.5854442715644836, cd=0.1951604038476944, cm=-0.18632109463214874
  Angle -8: cl=-0.6083143353462219, cd=0.1602095365524292, cm=-0.1849212497472763
  Angle -7: cl=-0.6471933722496033, cd=0.12683437764644623, cm=-0.1780243068933487
  Angle -6: cl=-0.603112518787384, cd=0.11321282386779785, cm=-0.1626756340265274
  Angle -5: cl=-0.5053180456161499, cd=0.10393895208835602, cm=-0.14932169020175934
  Angle -4: cl=-0.4125249683856964, cd=0.09900747239589691, cm=-0.13604091107845306
  Angle -3: cl=-0.3097077012062073, cd=0.09278388321399689, cm=-0.12182669341564178
  Angle -2: cl=-0.23865047097206116, cd=0.08728064596652985, cm=-0.09686850011348724
  Angle -1: cl=-0.17782887816429138, cd=0.08281608670949936, cm=-0.06746812164783478
  Angle 0: cl=-0.10753177106380463, cd=0.08241131901741028, cm=-0.04000447690486908
  Angle 1: cl=-0.023939678445458412, cd=0.0829053670167923, cm=-0.018206998705863953
  Angle 2: cl=0.059734418988227844, cd=0.08369355648756027, cm=-0.002789512276649475
  Angle 3: cl=0.3075079023838043, cd=0.069159135222435, cm=-0.0011461526155471802
  Angle 4: cl=0.40352100133895874, cd=0.07530102878808975, cm=0.0035970062017440796
  Angle 5: cl=0.5013716816902161, cd=0.08360961079597473, cm=0.006912663578987122
  Angle 6: cl=0.5977295637130737, cd=0.09035353362560272, cm=0.008806198835372925
  Angle 7: cl=0.6873297095298767, cd=0.09693945199251175, cm=0.011183053255081177
  Angle 8: cl=0.7781862616539001, cd=0.10231763124465942, cm=0.009358912706375122
  Angle 9: cl=0.8736489415168762, cd=0.1064918041229248, cm=0.0010530203580856323
  Angle 10: cl=0.9716161489486694, cd=0.11294128745794296, cm=-0.006745055317878723
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925]:
  Angle -10: cl=-0.560894787311554, cd=0.22881841659545898, cm=-0.18886615335941315
  Angle -9: cl=-0.5856745839118958, cd=0.19526709616184235, cm=-0.18634001910686493
  Angle -8: cl=-0.6084409952163696, cd=0.16031840443611145, cm=-0.18491454422473907
  Angle -7: cl=-0.6473472118377686, cd=0.12695717811584473, cm=-0.1780695766210556
  Angle -6: cl=-0.6033498644828796, cd=0.11327339708805084, cm=-0.1627533882856369
  Angle -5: cl=-0.5053385496139526, cd=0.10393407940864563, cm=-0.1493483930826187
  Angle -4: cl=-0.4123099148273468, cd=0.09900770336389542, cm=-0.13610224425792694
  Angle -3: cl=-0.3096346855163574, cd=0.09279358386993408, cm=-0.12192709743976593
  Angle -2: cl=-0.2386610507965088, cd=0.08729512244462967, cm=-0.09696198999881744
  Angle -1: cl=-0.1776915043592453, cd=0.08282386511564255, cm=-0.06756506860256195
  Angle 0: cl=-0.10721418261528015, cd=0.08240463584661484, cm=-0.04015637934207916
  Angle 1: cl=-0.023620737716555595, cd=0.08291439712047577, cm=-0.018355652689933777
  Angle 2: cl=0.06007800251245499, cd=0.08369135111570358, cm=-0.0029299408197402954
  Angle 3: cl=0.30769112706184387, cd=0.06908570975065231, cm=-0.0011783689260482788
  Angle 4: cl=0.403865784406662, cd=0.07525872439146042, cm=0.0035451948642730713
  Angle 5: cl=0.5017348527908325, cd=0.08356045186519623, cm=0.006838992238044739
  Angle 6: cl=0.5978447794914246, cd=0.09030147641897202, cm=0.008778586983680725
  Angle 7: cl=0.6875926852226257, cd=0.09688913077116013, cm=0.011143416166305542
  Angle 8: cl=0.7787123322486877, cd=0.10229788720607758, cm=0.00936707854270935
  Angle 9: cl=0.8739646673202515, cd=0.10647256672382355, cm=0.001097649335861206
  Angle 10: cl=0.971876323223114, cd=0.11288674175739288, cm=-0.006723031401634216
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.451317522130621]:
  Angle -10: cl=-0.5607489943504333, cd=0.22877328097820282, cm=-0.18888063728809357
  Angle -9: cl=-0.5857637524604797, cd=0.19514550268650055, cm=-0.186318501830101
  Angle -8: cl=-0.6086313724517822, cd=0.1601973921060562, cm=-0.18480347096920013
  Angle -7: cl=-0.6473391652107239, cd=0.12681671977043152, cm=-0.1778842955827713
  Angle -6: cl=-0.6039873957633972, cd=0.11325820535421371, cm=-0.16262130439281464
  Angle -5: cl=-0.5061118602752686, cd=0.1039276197552681, cm=-0.1492040902376175
  Angle -4: cl=-0.41276639699935913, cd=0.09895273298025131, cm=-0.13593436777591705
  Angle -3: cl=-0.31009554862976074, cd=0.09272586554288864, cm=-0.12174217402935028
  Angle -2: cl=-0.23923316597938538, cd=0.08720904588699341, cm=-0.09668682515621185
  Angle -1: cl=-0.17839239537715912, cd=0.08276732265949249, cm=-0.06729008257389069
  Angle 0: cl=-0.10820402204990387, cd=0.08239282667636871, cm=-0.03985781967639923
  Angle 1: cl=-0.024638695642352104, cd=0.08285454660654068, cm=-0.01799534261226654
  Angle 2: cl=0.05897000432014465, cd=0.08366288989782333, cm=-0.002599745988845825
  Angle 3: cl=0.3057807981967926, cd=0.06929328292608261, cm=-0.0009884834289550781
  Angle 4: cl=0.4019958972930908, cd=0.07536011189222336, cm=0.0036813467741012573
  Angle 5: cl=0.49972620606422424, cd=0.08368358016014099, cm=0.00707283616065979
  Angle 6: cl=0.5960930585861206, cd=0.09039009362459183, cm=0.00896298885345459
  Angle 7: cl=0.6860263347625732, cd=0.09699361771345139, cm=0.011288449168205261
  Angle 8: cl=0.7770156264305115, cd=0.10231516510248184, cm=0.00932207703590393
  Angle 9: cl=0.8721322417259216, cd=0.10648022592067719, cm=0.0010728389024734497
  Angle 10: cl=0.9701738357543945, cd=0.11277198046445847, cm=-0.006766840815544128
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.545379532693026, 10.372262809768925]:
  Angle -10: cl=-0.560894787311554, cd=0.22881841659545898, cm=-0.18886615335941315
  Angle -9: cl=-0.5856745839118958, cd=0.19526709616184235, cm=-0.18634001910686493
  Angle -8: cl=-0.6084409952163696, cd=0.16031840443611145, cm=-0.18491454422473907
  Angle -7: cl=-0.6473472118377686, cd=0.12695717811584473, cm=-0.1780695766210556
  Angle -6: cl=-0.6033498644828796, cd=0.11327339708805084, cm=-0.1627533882856369
  Angle -5: cl=-0.5053385496139526, cd=0.10393407940864563, cm=-0.1493483930826187
  Angle -4: cl=-0.4123099148273468, cd=0.09900770336389542, cm=-0.13610224425792694
  Angle -3: cl=-0.3096346855163574, cd=0.09279358386993408, cm=-0.12192709743976593
  Angle -2: cl=-0.2386610507965088, cd=0.08729512244462967, cm=-0.09696198999881744
