Experiment: Nash_Combination_Experiment_40
Generation: 72
Generation Type: v
Timestamp: 20231226_152737

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.021443130701436518, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.13849058009106788, Adjusted Fitness: 0.13849058009106788
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.18981728455438] - Base Fitness: 0.2705294776042961, Adjusted Fitness: 0.2705294776042961
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.11, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: -0.46899633195450957, Adjusted Fitness: -0.46899633195450957
[0.0126, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.260599654270615] - Base Fitness: -0.45590337909011325, Adjusted Fitness: -0.45590337909011325
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8977239676769873, 0.24430821885385978, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.26686334294005] - Base Fitness: -0.10407624632813081, Adjusted Fitness: -0.10407624632813081
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8977239676769873, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.18981728455438] - Base Fitness: 0.27057618432573977, Adjusted Fitness: 0.27057618432573977
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0126, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: -0.46104305592774547, Adjusted Fitness: -0.46104305592774547
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8932573925575717, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.236904768225939] - Base Fitness: 0.2657504957880766, Adjusted Fitness: 0.2657504957880766
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8932573925575717, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2576906363571863, Adjusted Fitness: 0.2577799384211586
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.18981728455438] - Base Fitness: 0.2705294776042961, Adjusted Fitness: 0.2705294776042961
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.225050685122302] - Base Fitness: 0.2668051343805423, Adjusted Fitness: 0.2668051343805423
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.016882911405221628, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: -0.23286532822064013, Adjusted Fitness: -0.23286532822064013
[0.0085, 0.46, 0.12382117124485208, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.016180054909798427, Adjusted Fitness: 0.016180054909798427
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8707286580133434, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2557843384395369, Adjusted Fitness: 0.2559128027492821
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.18981728455438] - Base Fitness: 0.27068615343817676, Adjusted Fitness: 0.27068615343817676
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.345459788374562] - Base Fitness: 0.2539306280077833, Adjusted Fitness: 0.254148796016329
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.236904768225939] - Base Fitness: 0.2658809515637335, Adjusted Fitness: 0.2658809515637335
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.45574840705156955, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.283080670309085] - Base Fitness: 0.2588016990389933, Adjusted Fitness: 0.2588016990389933
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.24430821885385978, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.26686334294005] - Base Fitness: -0.10426647339118392, Adjusted Fitness: -0.10426647339118392
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.07858873636053126, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.24192564341239614, Adjusted Fitness: 0.2420305585159614
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.225050685122302] - Base Fitness: 0.2668051343805423, Adjusted Fitness: 0.2668051343805423
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.018411616684641, 10.311205533614222] - Base Fitness: -0.38052212900133975, Adjusted Fitness: -0.38052212900133975
[0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222] - Base Fitness: 0.2578331325164584, Adjusted Fitness: 0.3002946890258441

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.021443130701436518, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222]:
  Angle -10: cl=-0.5621834993362427, cd=0.2320335954427719, cm=-0.1887362152338028
  Angle -9: cl=-0.5930899381637573, cd=0.19952622056007385, cm=-0.18445591628551483
  Angle -8: cl=-0.6160373091697693, cd=0.16428281366825104, cm=-0.18249262869358063
  Angle -7: cl=-0.6518210172653198, cd=0.13017645478248596, cm=-0.1772766262292862
  Angle -6: cl=-0.6133742332458496, cd=0.1148824393749237, cm=-0.16247503459453583
  Angle -5: cl=-0.5074954032897949, cd=0.1039312332868576, cm=-0.1499723345041275
  Angle -4: cl=-0.41087543964385986, cd=0.09851650148630142, cm=-0.13704074919223785
  Angle -3: cl=-0.3086067736148834, cd=0.09241227805614471, cm=-0.12305717170238495
  Angle -2: cl=-0.23191627860069275, cd=0.086815245449543, cm=-0.10019351541996002
  Angle -1: cl=-0.17196521162986755, cd=0.08185084164142609, cm=-0.07123185694217682
  Angle 0: cl=-0.10527276992797852, cd=0.0812729075551033, cm=-0.04254768788814545
  Angle 1: cl=-0.024348212406039238, cd=0.08158614486455917, cm=-0.0202072411775589
  Angle 2: cl=0.058633625507354736, cd=0.08231867849826813, cm=-0.004492834210395813
  Angle 3: cl=0.2947096526622772, cd=0.06885778903961182, cm=-0.0010416805744171143
  Angle 4: cl=0.3968861997127533, cd=0.07375141978263855, cm=0.0035530924797058105
  Angle 5: cl=0.49555182456970215, cd=0.08207039535045624, cm=0.00701846182346344
  Angle 6: cl=0.5891865491867065, cd=0.08916069567203522, cm=0.009349092841148376
  Angle 7: cl=0.6794880628585815, cd=0.09574093669652939, cm=0.01147027313709259
  Angle 8: cl=0.7699851393699646, cd=0.10138725489377975, cm=0.01084338128566742
  Angle 9: cl=0.863886833190918, cd=0.10536649823188782, cm=0.0026294440031051636
  Angle 10: cl=0.9638499617576599, cd=0.1099666878581047, cm=-0.005399361252784729
Genotype [0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222]:
  Angle -10: cl=-0.56699538230896, cd=0.23513592779636383, cm=-0.1903596967458725
  Angle -9: cl=-0.5939303040504456, cd=0.20240509510040283, cm=-0.1861833781003952
  Angle -8: cl=-0.6166713237762451, cd=0.16750460863113403, cm=-0.1851203590631485
  Angle -7: cl=-0.6552800536155701, cd=0.13223551213741302, cm=-0.18111054599285126
  Angle -6: cl=-0.6088333129882812, cd=0.11751861125230789, cm=-0.16651730239391327
  Angle -5: cl=-0.5022367835044861, cd=0.10497373342514038, cm=-0.15294434130191803
  Angle -4: cl=-0.40775683522224426, cd=0.09943950921297073, cm=-0.14018873870372772
  Angle -3: cl=-0.3063533902168274, cd=0.09374400973320007, cm=-0.12679509818553925
  Angle -2: cl=-0.22301194071769714, cd=0.08843681961297989, cm=-0.10616610944271088
  Angle -1: cl=-0.16206097602844238, cd=0.08360635489225388, cm=-0.07698248326778412
  Angle 0: cl=-0.08994805067777634, cd=0.08272338658571243, cm=-0.048858627676963806
  Angle 1: cl=-0.006607251241803169, cd=0.08290266245603561, cm=-0.026320263743400574
  Angle 2: cl=0.07811718434095383, cd=0.08394396305084229, cm=-0.011313125491142273
  Angle 3: cl=0.3043099045753479, cd=0.06934487819671631, cm=-0.006005898118019104
  Angle 4: cl=0.42590054869651794, cd=0.07150834053754807, cm=-3.8743019104003906e-07
  Angle 5: cl=0.5244687795639038, cd=0.07975028455257416, cm=0.00349310040473938
  Angle 6: cl=0.6157210469245911, cd=0.08709385991096497, cm=0.005928173661231995
  Angle 7: cl=0.7055061459541321, cd=0.09369292110204697, cm=0.008374497294425964
  Angle 8: cl=0.795569896697998, cd=0.10023809224367142, cm=0.010022908449172974
  Angle 9: cl=0.8905661106109619, cd=0.1050853580236435, cm=0.004005923867225647
  Angle 10: cl=0.9904219508171082, cd=0.11049223691225052, cm=-0.003910467028617859
Genotype [0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.18981728455438]:
  Angle -10: cl=-0.5671528577804565, cd=0.23521152138710022, cm=-0.19046370685100555
  Angle -9: cl=-0.5937888026237488, cd=0.20257163047790527, cm=-0.18625704944133759
  Angle -8: cl=-0.6164933443069458, cd=0.16771219670772552, cm=-0.18526320159435272
  Angle -7: cl=-0.6550090312957764, cd=0.13239750266075134, cm=-0.1812809556722641
  Angle -6: cl=-0.6079400777816772, cd=0.11765754967927933, cm=-0.16676868498325348
  Angle -5: cl=-0.5014267563819885, cd=0.10504336655139923, cm=-0.15316571295261383
  Angle -4: cl=-0.40707969665527344, cd=0.09946615248918533, cm=-0.1403520554304123
  Angle -3: cl=-0.3056564927101135, cd=0.09381882846355438, cm=-0.12709330022335052
  Angle -2: cl=-0.22254928946495056, cd=0.08852948993444443, cm=-0.10636501014232635
  Angle -1: cl=-0.1612376719713211, cd=0.0837021917104721, cm=-0.07733471691608429
  Angle 0: cl=-0.08838437497615814, cd=0.08282186836004257, cm=-0.04937379062175751
  Angle 1: cl=-0.004871943965554237, cd=0.08295156806707382, cm=-0.026765838265419006
  Angle 2: cl=0.07983711361885071, cd=0.08403877913951874, cm=-0.011856302618980408
  Angle 3: cl=0.3059453070163727, cd=0.06947694718837738, cm=-0.006564036011695862
  Angle 4: cl=0.42858850955963135, cd=0.07133354991674423, cm=-0.0002652108669281006
  Angle 5: cl=0.5274638533592224, cd=0.0795973539352417, cm=0.0031621605157852173
  Angle 6: cl=0.6182751059532166, cd=0.08693667501211166, cm=0.005641654133796692
  Angle 7: cl=0.7080292105674744, cd=0.09353071451187134, cm=0.008125334978103638
  Angle 8: cl=0.7979410886764526, cd=0.10010766983032227, cm=0.009699270129203796
  Angle 9: cl=0.8929826617240906, cd=0.10507726669311523, cm=0.004053980112075806
  Angle 10: cl=0.992756187915802, cd=0.11066529899835587, cm=-0.003853514790534973
Genotype [0.0085, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222]:
  Angle -10: cl=-0.56699538230896, cd=0.23513592779636383, cm=-0.1903596967458725
  Angle -9: cl=-0.5939303040504456, cd=0.20240509510040283, cm=-0.1861833781003952
  Angle -8: cl=-0.6166713237762451, cd=0.16750460863113403, cm=-0.1851203590631485
  Angle -7: cl=-0.6552800536155701, cd=0.13223551213741302, cm=-0.18111054599285126
  Angle -6: cl=-0.6088333129882812, cd=0.11751861125230789, cm=-0.16651730239391327
  Angle -5: cl=-0.5022367835044861, cd=0.10497373342514038, cm=-0.15294434130191803
  Angle -4: cl=-0.40775683522224426, cd=0.09943950921297073, cm=-0.14018873870372772
  Angle -3: cl=-0.3063533902168274, cd=0.09374400973320007, cm=-0.12679509818553925
  Angle -2: cl=-0.22301194071769714, cd=0.08843681961297989, cm=-0.10616610944271088
  Angle -1: cl=-0.16206097602844238, cd=0.08360635489225388, cm=-0.07698248326778412
  Angle 0: cl=-0.08994805067777634, cd=0.08272338658571243, cm=-0.048858627676963806
  Angle 1: cl=-0.006607251241803169, cd=0.08290266245603561, cm=-0.026320263743400574
  Angle 2: cl=0.07811718434095383, cd=0.08394396305084229, cm=-0.011313125491142273
  Angle 3: cl=0.3043099045753479, cd=0.06934487819671631, cm=-0.006005898118019104
  Angle 4: cl=0.42590054869651794, cd=0.07150834053754807, cm=-3.8743019104003906e-07
  Angle 5: cl=0.5244687795639038, cd=0.07975028455257416, cm=0.00349310040473938
  Angle 6: cl=0.6157210469245911, cd=0.08709385991096497, cm=0.005928173661231995
  Angle 7: cl=0.7055061459541321, cd=0.09369292110204697, cm=0.008374497294425964
  Angle 8: cl=0.795569896697998, cd=0.10023809224367142, cm=0.010022908449172974
  Angle 9: cl=0.8905661106109619, cd=0.1050853580236435, cm=0.004005923867225647
  Angle 10: cl=0.9904219508171082, cd=0.11049223691225052, cm=-0.003910467028617859
Genotype [0.0085, 0.46, 0.11, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.311205533614222]:
  Angle -10: cl=-0.6173601746559143, cd=0.23476825654506683, cm=-0.1894904226064682
  Angle -9: cl=-0.6521021127700806, cd=0.20433984696865082, cm=-0.18117107450962067
  Angle -8: cl=-0.6963133811950684, cd=0.1733037382364273, cm=-0.17527182400226593
  Angle -7: cl=-0.718917727470398, cd=0.1407729685306549, cm=-0.17132382094860077
  Angle -6: cl=-0.6678756475448608, cd=0.12732093036174774, cm=-0.1584378331899643
  Angle -5: cl=-0.5741974115371704, cd=0.11203519999980927, cm=-0.14476479589939117
  Angle -4: cl=-0.46301135420799255, cd=0.09953871369361877, cm=-0.13375289738178253
  Angle -3: cl=-0.3290967047214508, cd=0.08702114969491959, cm=-0.12236489355564117
  Angle -2: cl=-0.2295338213443756, cd=0.08003836870193481, cm=-0.10385839641094208
  Angle -1: cl=-0.16933171451091766, cd=0.07585500180721283, cm=-0.0760916918516159
  Angle 0: cl=-0.10939908027648926, cd=0.07543466240167618, cm=-0.046188101172447205
  Angle 1: cl=-0.050306931138038635, cd=0.07606840878725052, cm=-0.019023045897483826
  Angle 2: cl=0.016189392656087875, cd=0.07947896420955658, cm=-0.0022216886281967163
  Angle 3: cl=0.1637037843465805, cd=0.07577873766422272, cm=0.0030563771724700928
  Angle 4: cl=0.3192299008369446, cd=0.07255057990550995, cm=0.007247641682624817
  Angle 5: cl=0.40213578939437866, cd=0.07796261459589005, cm=0.012196898460388184
  Angle 6: cl=0.48632293939590454, cd=0.08563774079084396, cm=0.015009179711341858
  Angle 7: cl=0.5695922374725342, cd=0.09324587136507034, cm=0.01857060194015503
  Angle 8: cl=0.6588519215583801, cd=0.09952924400568008, cm=0.020674288272857666
  Angle 9: cl=0.7485814690589905, cd=0.10274283587932587, cm=0.01397693157196045
  Angle 10: cl=0.8434225916862488, cd=0.10679929703474045, cm=0.005915001034736633
Genotype [0.0126, 0.46, 0.13, -0.8949614007366111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.260599654270615]:
  Angle -10: cl=-0.5454353094100952, cd=0.20665186643600464, cm=-0.18331094086170197
  Angle -9: cl=-0.5756102204322815, cd=0.17432737350463867, cm=-0.17882709205150604
  Angle -8: cl=-0.6024982929229736, cd=0.14643652737140656, cm=-0.17205055058002472
  Angle -7: cl=-0.631220817565918, cd=0.12200937420129776, cm=-0.16118063032627106
  Angle -6: cl=-0.6394240856170654, cd=0.10998286306858063, cm=-0.1474272459745407
  Angle -5: cl=-0.5495076775550842, cd=0.1027110293507576, cm=-0.13179616630077362
  Angle -4: cl=-0.46179717779159546, cd=0.09516934305429459, cm=-0.10974051058292389
  Angle -3: cl=-0.3762826919555664, cd=0.08734942227602005, cm=-0.08605845272541046
  Angle -2: cl=-0.3055555522441864, cd=0.08113302290439606, cm=-0.05936817824840546
  Angle -1: cl=-0.25022509694099426, cd=0.07920729368925095, cm=-0.03312636911869049
