Experiment: Nash_Combination_Experiment_44
Generation: 14
Generation Type: v
Timestamp: 20231226_162342

Genotypes and their Fitness Values:
[0.00851006504474954, 0.4579547834882616, 0.13, -0.9, 0.26, -0.02274474441496117, 0.12268371858632102, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.2293053991892678, Adjusted Fitness: 0.23214200406162983
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7347748824288918, 0.26, -0.023, 0.05, -0.003, 0.0033771002868581406, 7.221678372969383, 10.0] - Base Fitness: 0.1764383962729705, Adjusted Fitness: 0.17890525115781358
[0.00851006504474954, 0.4579547834882616, 0.13, -0.9, 0.26, -0.02274474441496117, 0.12268371858632102, -0.003, 0.004614833201925076, 7.0, 10.0] - Base Fitness: -0.00496348745059467, Adjusted Fitness: -0.0026380344512211946
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.12268371858632102, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.2356479454204668, Adjusted Fitness: 0.2385087155104733
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.2665351043994805, Adjusted Fitness: 0.2804652952568609
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.2, -0.02274474441496117, 0.12268371858632102, -0.003, 0.004614833201925076, 7.0, 10.0] - Base Fitness: -1.6625101310469987, Adjusted Fitness: -1.6625101310469987
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.023, 0.05, -0.003, 0.004614833201925076, 7.221678372969383, 10.0] - Base Fitness: 0.03643971060925574, Adjusted Fitness: 0.04226934497712682
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.12268371858632102, -0.003, 0.0025, 7.221678372969383, 11.091432639361502] - Base Fitness: 0.1056663995032287, Adjusted Fitness: 0.1122017639096646
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.2665351043994805, Adjusted Fitness: 0.2804652952568609
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.02274474441496117, 0.05, -0.003, 0.0033771002868581406, 7.0, 10.0] - Base Fitness: 0.16660706106308198, Adjusted Fitness: 0.1723970726929851
[0.0085, 0.4579547834882616, 0.13, -0.7, 0.26, -0.021638008659023655, 0.05, -0.003, 0.0033771002868581406, 7.0, 10.0] - Base Fitness: 0.07871074601356785, Adjusted Fitness: 0.08141411999597163
[0.0085, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.02274474441496117, 0.05, -0.003, 0.0033771002868581406, 7.0, 10.0] - Base Fitness: 0.16802143620416765, Adjusted Fitness: 0.17074143475218423
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.021638008659023655, 0.05, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.16308981380639218, Adjusted Fitness: 0.19323841385077625
[0.0085, 0.4579547834882616, 0.13, -0.7347748824288918, 0.26, -0.02274474441496117, 0.05, -0.003, 0.0033771002868581406, 7.221678372969383, 10.0] - Base Fitness: 0.15832549000673452, Adjusted Fitness: 0.16501782747364419
[0.0085, 0.4579547834882616, 0.13, -0.7, 0.26, -0.02274474441496117, 0.05, -0.003, 0.005, 7.221678372969383, 10.0] - Base Fitness: -0.02716353368571119, Adjusted Fitness: -0.025007859974663357
[0.0085, 0.4579547834882616, 0.13, -0.7, 0.26, -0.02274474441496117, 0.05, -0.003, 0.004614833201925076, 7.221678372969383, 10.0] - Base Fitness: 0.016277667648010356, Adjusted Fitness: 0.018719963780420106
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.12268371858632102, -0.003, 0.0033771002868581406, 7.0, 10.0] - Base Fitness: 0.14195988658304992, Adjusted Fitness: 0.14484737650883933
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.12268371858632102, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.22596919602418145, Adjusted Fitness: 0.22881111093318934
[0.00851006504474954, 0.46, 0.13, -0.7, 0.26, -0.021638008659023655, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.1731058273966372, Adjusted Fitness: 0.1755998369708771
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7347748824288918, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.2782041065263929, Adjusted Fitness: 0.28065180715774624
[0.00851006504474954, 0.4579547834882616, 0.13, -0.9, 0.26, -0.021638008659023655, 0.12268371858632102, -0.003, 0.004614833201925076, 7.221678372969383, 10.0] - Base Fitness: -0.10792587775179227, Adjusted Fitness: -0.10635462191011255
[0.00851006504474954, 0.4579547834882616, 0.13, -0.9, 0.26, -0.02274474441496117, 0.12268371858632102, -0.003, 0.0033771002868581406, 7.221678372969383, 10.0] - Base Fitness: 0.12205608989128898, Adjusted Fitness: 0.12484001148800367
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.12268371858632102, -0.003, 0.0033771002868581406, 7.221678372969383, 10.0] - Base Fitness: 0.13057998172534804, Adjusted Fitness: 0.14310247121951364
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.021638008659023655, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.17268472622442207, Adjusted Fitness: 0.1752758000705119
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.12268371858632102, -0.003, 0.0033771002868581406, 7.221678372969383, 10.0] - Base Fitness: 0.13057998172534804, Adjusted Fitness: 0.14310247121951364
[0.008578610606597975, 0.4579547834882616, 0.13, -0.7, 0.26, -0.021638008659023655, 0.05, -0.003, 0.0025, 7.221678372969383, 11.105207769735005] - Base Fitness: 0.02794942300927403, Adjusted Fitness: 0.03411058583656141
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.023, 0.05, -0.003, 0.004614833201925076, 7.0, 10.0] - Base Fitness: 0.04852937694880473, Adjusted Fitness: 0.06383031405109221
[0.0126, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.12268371858632102, -0.003, 0.0033771002868581406, 7.221678372969383, 10.0] - Base Fitness: -0.5683157415966562, Adjusted Fitness: -0.5683157415966562
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.021638008659023655, 0.12268371858632102, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.12266410190293817, Adjusted Fitness: 0.12543631679291192
[0.0085, 0.4579547834882616, 0.13, -0.7, 0.26, -0.02274474441496117, 0.05, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.24933033344388084, Adjusted Fitness: 0.2521239226750652
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7347748824288918, 0.26, -0.021638008659023655, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.17526407688216566, Adjusted Fitness: 0.17774995196596918
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.02274474441496117, 0.2, -0.003, 0.0033771002868581406, 7.0, 10.0] - Base Fitness: 0.07713761877521437, Adjusted Fitness: 0.07991717997624606
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.02274474441496117, 0.05, -0.003, 0.004614833201925076, 7.0, 10.0] - Base Fitness: 0.02794682248921131, Adjusted Fitness: 0.03046620053177497
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.021638008659023655, 0.05, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.16308981380639218, Adjusted Fitness: 0.19323841385077625
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7347748824288918, 0.26, -0.021638008659023655, 0.12268371858632102, -0.003, 0.0025, 7.0, 11.105207769735005] - Base Fitness: 0.012520616632184603, Adjusted Fitness: 0.014934403839183982
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.021638008659023655, 0.05, -0.003, 0.0033771002868581406, 10.0, 10.0] - Base Fitness: -0.09209111129601863, Adjusted Fitness: -0.09058015108505388
[0.00851006504474954, 0.4579547834882616, 0.13, -0.9, 0.26, -0.015, 0.12268371858632102, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: -0.40135082271852657, Adjusted Fitness: -0.40135082271852657
[0.00851006504474954, 0.4579547834882616, 0.13, -0.9, 0.26, -0.021638008659023655, 0.12268371858632102, -0.003, 0.004614833201925076, 7.087295428227415, 10.0] - Base Fitness: -0.10030987171933997, Adjusted Fitness: -0.09878826786895152
[0.0126, 0.4579547834882616, 0.13, -0.7347748824288918, 0.26, -0.02274474441496117, 0.05, -0.003, 0.0033771002868581406, 7.0, 10.0] - Base Fitness: -0.5377020117266029, Adjusted Fitness: -0.5377020117266029
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7347748824288918, 0.26, -0.02274474441496117, 0.12268371858632102, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.20904251184999487, Adjusted Fitness: 0.21171538719719393
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.023, 0.05, -0.003, 0.0033771002868581406, 7.0, 10.0] - Base Fitness: 0.18598632558813055, Adjusted Fitness: 0.1943278447526679
[0.008578610606597975, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.12268371858632102, -0.003, 0.004614833201925076, 7.221678372969383, 10.0] - Base Fitness: -0.022855736965573185, Adjusted Fitness: -0.020667268468215292
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.02274474441496117, 0.12268371858632102, -0.003, 0.0033771002868581406, 7.221678372969383, 10.0] - Base Fitness: 0.1093514658274266, Adjusted Fitness: 0.11547802332199911
[0.00851006504474954, 0.4579547834882616, 0.12962528288206296, -0.7347748824288918, 0.26, -0.023, 0.05, -0.003, 0.0025, 10.0, 10.0] - Base Fitness: 0.10778905059361567, Adjusted Fitness: 0.1142006386004762
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.021638008659023655, 0.05, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.16480264828539487, Adjusted Fitness: 0.1740517233471055
[0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.221678372969383, 10.0] - Base Fitness: 0.2665351043994805, Adjusted Fitness: 0.2804652952568609
[0.00851006504474954, 0.4579547834882616, 0.13, -0.9, 0.26, -0.021638008659023655, 0.2, -0.003, 0.004614833201925076, 7.221678372969383, 10.0] - Base Fitness: -0.1550440404669501, Adjusted Fitness: -0.15394213908234114
[0.0085, 0.4579547834882616, 0.13, -0.7347748824288918, 0.26, -0.023, 0.12268371858632102, -0.006, 0.0033771002868581406, 7.221678372969383, 10.0] - Base Fitness: -0.3156756446832274, Adjusted Fitness: -0.3156756446832274
[0.008578610606597975, 0.4579547834882616, 0.13, -0.7, 0.26, -0.02274474441496117, 0.05, -0.003, 0.0033771002868581406, 7.0, 10.0] - Base Fitness: 0.15118983504880154, Adjusted Fitness: 0.15415689888122008
[0.008578610606597975, 0.4579547834882616, 0.13, -0.7285915992335892, 0.26, -0.021638008659023655, 0.05, -0.006, 0.0025, 7.0, 10.0] - Base Fitness: -0.28774335154686187, Adjusted Fitness: -0.28774335154686187

Detailed Results for Each Genotype:
Genotype [0.00851006504474954, 0.4579547834882616, 0.13, -0.9, 0.26, -0.02274474441496117, 0.12268371858632102, -0.003, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.5648694634437561, cd=0.23385149240493774, cm=-0.18975238502025604
  Angle -9: cl=-0.5934082865715027, cd=0.2011764943599701, cm=-0.1853691190481186
  Angle -8: cl=-0.616372287273407, cd=0.16621987521648407, cm=-0.18395091593265533
  Angle -7: cl=-0.6532770395278931, cd=0.1315087378025055, cm=-0.17950908839702606
  Angle -6: cl=-0.6096689105033875, cd=0.1165413111448288, cm=-0.16492007672786713
  Angle -5: cl=-0.5033636689186096, cd=0.10469833761453629, cm=-0.15167637169361115
  Angle -4: cl=-0.40732112526893616, cd=0.09904739260673523, cm=-0.1389165073633194
  Angle -3: cl=-0.30548617243766785, cd=0.09318792819976807, cm=-0.12529753148555756
  Angle -2: cl=-0.22468772530555725, cd=0.08779742568731308, cm=-0.10384862124919891
  Angle -1: cl=-0.16417615115642548, cd=0.08299139887094498, cm=-0.0746757835149765
  Angle 0: cl=-0.09404980391263962, cd=0.082212895154953, cm=-0.046329960227012634
  Angle 1: cl=-0.010673301294445992, cd=0.08257009088993073, cm=-0.02398519217967987
  Angle 2: cl=0.07257665693759918, cd=0.08344992995262146, cm=-0.008679792284965515
  Angle 3: cl=0.30673375725746155, cd=0.06802394241094589, cm=-0.003594830632209778
  Angle 4: cl=0.4172053635120392, cd=0.07243238389492035, cm=0.001442059874534607
  Angle 5: cl=0.5158282518386841, cd=0.08067868649959564, cm=0.004832729697227478
  Angle 6: cl=0.6080225706100464, cd=0.08795382082462311, cm=0.007184803485870361
  Angle 7: cl=0.6978204846382141, cd=0.09453804045915604, cm=0.00956869125366211
  Angle 8: cl=0.7880051732063293, cd=0.10119003057479858, cm=0.01141907274723053
  Angle 9: cl=0.882678210735321, cd=0.1052626296877861, cm=0.0034736543893814087
  Angle 10: cl=0.9825916886329651, cd=0.11030091345310211, cm=-0.004480049014091492
Genotype [0.00851006504474954, 0.4579547834882616, 0.13, -0.7347748824288918, 0.26, -0.023, 0.05, -0.003, 0.0033771002868581406, 7.221678372969383, 10.0]:
  Angle -10: cl=-0.5593130588531494, cd=0.23181751370429993, cm=-0.18829046189785004
  Angle -9: cl=-0.5838883519172668, cd=0.1988746076822281, cm=-0.18506212532520294
  Angle -8: cl=-0.6066278219223022, cd=0.16398414969444275, cm=-0.18384812772274017
  Angle -7: cl=-0.6425843834877014, cd=0.13050110638141632, cm=-0.17808206379413605
  Angle -6: cl=-0.6067979335784912, cd=0.1146937906742096, cm=-0.16333259642124176
  Angle -5: cl=-0.5033350586891174, cd=0.10400733351707458, cm=-0.1507841795682907
  Angle -4: cl=-0.40954142808914185, cd=0.0987573117017746, cm=-0.1376372128725052
  Angle -3: cl=-0.3069208860397339, cd=0.09258619695901871, cm=-0.12353761494159698
  Angle -2: cl=-0.23282286524772644, cd=0.08713153749704361, cm=-0.099885955452919
  Angle -1: cl=-0.17196832597255707, cd=0.08233495056629181, cm=-0.070572629570961
  Angle 0: cl=-0.10324868559837341, cd=0.08193856477737427, cm=-0.04227380454540253
  Angle 1: cl=-0.02147454209625721, cd=0.08220671117305756, cm=-0.020003393292427063
  Angle 2: cl=0.061999522149562836, cd=0.08282017707824707, cm=-0.004595443606376648
  Angle 3: cl=0.30467528104782104, cd=0.0682363212108612, cm=-0.0018410086631774902
  Angle 4: cl=0.4004099667072296, cd=0.07424470037221909, cm=0.0029731839895248413
  Angle 5: cl=0.498272567987442, cd=0.08260028064250946, cm=0.006286516785621643
  Angle 6: cl=0.5934507250785828, cd=0.08978411555290222, cm=0.008748069405555725
  Angle 7: cl=0.6833249926567078, cd=0.09639625251293182, cm=0.01112605631351471
  Angle 8: cl=0.7737339735031128, cd=0.10206209868192673, cm=0.010291531682014465
  Angle 9: cl=0.8682931065559387, cd=0.10613923519849777, cm=0.0019531995058059692
  Angle 10: cl=0.9672203660011292, cd=0.11215642094612122, cm=-0.0059522539377212524
Genotype [0.00851006504474954, 0.4579547834882616, 0.13, -0.9, 0.26, -0.02274474441496117, 0.12268371858632102, -0.003, 0.004614833201925076, 7.0, 10.0]:
  Angle -10: cl=-0.5462809801101685, cd=0.2265450358390808, cm=-0.18610142171382904
  Angle -9: cl=-0.5702348351478577, cd=0.19341303408145905, cm=-0.1837085336446762
  Angle -8: cl=-0.5922619104385376, cd=0.15836597979068756, cm=-0.18215827643871307
  Angle -7: cl=-0.6266144514083862, cd=0.1272597312927246, cm=-0.17325346171855927
  Angle -6: cl=-0.6056731939315796, cd=0.11238636076450348, cm=-0.1602621227502823
  Angle -5: cl=-0.5146889090538025, cd=0.10362081229686737, cm=-0.1464265137910843
  Angle -4: cl=-0.4163154661655426, cd=0.09787232428789139, cm=-0.13342241942882538
  Angle -3: cl=-0.3141627609729767, cd=0.09099593758583069, cm=-0.11799053847789764
  Angle -2: cl=-0.2522660195827484, cd=0.08527781069278717, cm=-0.09019164741039276
  Angle -1: cl=-0.1921052187681198, cd=0.08067705482244492, cm=-0.060702934861183167
  Angle 0: cl=-0.12375487387180328, cd=0.08090825378894806, cm=-0.03347064554691315
  Angle 1: cl=-0.053156301379203796, cd=0.08147910237312317, cm=-0.01088644564151764
  Angle 2: cl=0.03118126094341278, cd=0.08651162683963776, cm=0.0005084127187728882
  Angle 3: cl=0.2684995234012604, cd=0.0741502121090889, cm=0.0018023252487182617
  Angle 4: cl=0.3582385182380676, cd=0.07976654917001724, cm=0.007271468639373779
  Angle 5: cl=0.4518331289291382, cd=0.08663609623908997, cm=0.0108766108751297
  Angle 6: cl=0.552551805973053, cd=0.0936608538031578, cm=0.013232961297035217
  Angle 7: cl=0.644000768661499, cd=0.10011070966720581, cm=0.01515740156173706
  Angle 8: cl=0.7352721691131592, cd=0.10330116748809814, cm=0.007796809077262878
  Angle 9: cl=0.8295865058898926, cd=0.10738831013441086, cm=-0.0005657076835632324
  Angle 10: cl=0.9250094294548035, cd=0.11473380774259567, cm=-0.009129568934440613
Genotype [0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.12268371858632102, -0.003, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.5659664869308472, cd=0.23440055549144745, cm=-0.18995149433612823
  Angle -9: cl=-0.5945542454719543, cd=0.20177781581878662, cm=-0.18562014400959015
  Angle -8: cl=-0.617275059223175, cd=0.16678711771965027, cm=-0.18426339328289032
  Angle -7: cl=-0.655087947845459, cd=0.13176210224628448, cm=-0.18004800379276276
  Angle -6: cl=-0.6097386479377747, cd=0.11701995879411697, cm=-0.16545195877552032
  Angle -5: cl=-0.5037363767623901, cd=0.10490196943283081, cm=-0.15212683379650116
  Angle -4: cl=-0.4075654149055481, cd=0.09914180636405945, cm=-0.13940440118312836
  Angle -3: cl=-0.305852472782135, cd=0.09334016591310501, cm=-0.12587465345859528
  Angle -2: cl=-0.22401851415634155, cd=0.08796393126249313, cm=-0.10472126305103302
  Angle -1: cl=-0.16310830414295197, cd=0.08322250097990036, cm=-0.07560794055461884
  Angle 0: cl=-0.09250573813915253, cd=0.08243002742528915, cm=-0.04726128280162811
  Angle 1: cl=-0.009189432486891747, cd=0.08266682922840118, cm=-0.02480657398700714
  Angle 2: cl=0.0743742287158966, cd=0.08364229649305344, cm=-0.00964750349521637
  Angle 3: cl=0.3054826259613037, cd=0.06852567940950394, cm=-0.0044737309217453
  Angle 4: cl=0.4199402928352356, cd=0.07205647230148315, cm=0.0009506195783615112
  Angle 5: cl=0.5185701847076416, cd=0.08031404763460159, cm=0.00437144935131073
  Angle 6: cl=0.6100893020629883, cd=0.08761481195688248, cm=0.006762593984603882
  Angle 7: cl=0.6999597549438477, cd=0.09421050548553467, cm=0.009192079305648804
  Angle 8: cl=0.7899235486984253, cd=0.10081256181001663, cm=0.01093427836894989
  Angle 9: cl=0.8847581148147583, cd=0.10517299175262451, cm=0.003765121102333069
  Angle 10: cl=0.9846299886703491, cd=0.11009538173675537, cm=-0.004173651337623596
Genotype [0.00851006504474954, 0.4579547834882616, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.221678372969383, 10.0]:
  Angle -10: cl=-0.5659011602401733, cd=0.23470215499401093, cm=-0.1901920884847641
  Angle -9: cl=-0.5934479832649231, cd=0.20206284523010254, cm=-0.18590907752513885
  Angle -8: cl=-0.6162645816802979, cd=0.1671731323003769, cm=-0.18480421602725983
  Angle -7: cl=-0.6538794040679932, cd=0.13214559853076935, cm=-0.18070699274539948
  Angle -6: cl=-0.6078996658325195, cd=0.1173611655831337, cm=-0.16609342396259308
  Angle -5: cl=-0.5011166334152222, cd=0.10499263554811478, cm=-0.15262950956821442
  Angle -4: cl=-0.40547484159469604, cd=0.09927470237016678, cm=-0.1399470716714859
  Angle -3: cl=-0.3038584291934967, cd=0.0935128927230835, cm=-0.12643690407276154
  Angle -2: cl=-0.2214905470609665, cd=0.08819115161895752, cm=-0.10560710728168488
  Angle -1: cl=-0.16057273745536804, cd=0.08347204327583313, cm=-0.07643364369869232
  Angle 0: cl=-0.08883094787597656, cd=0.08263510465621948, cm=-0.0482340008020401
  Angle 1: cl=-0.005307963117957115, cd=0.08285528421401978, cm=-0.025719448924064636
  Angle 2: cl=0.07884995639324188, cd=0.08389081060886383, cm=-0.010628417134284973
  Angle 3: cl=0.30979982018470764, cd=0.06879467517137527, cm=-0.005557432770729065
  Angle 4: cl=0.4258353114128113, cd=0.07182971388101578, cm=0.0004031360149383545
  Angle 5: cl=0.5242822766304016, cd=0.08008706569671631, cm=0.0038109272718429565
  Angle 6: cl=0.6154236793518066, cd=0.08743227273225784, cm=0.006249517202377319
  Angle 7: cl=0.705073893070221, cd=0.09402191638946533, cm=0.008727207779884338
  Angle 8: cl=0.7953136563301086, cd=0.10062197595834732, cm=0.01044069230556488
  Angle 9: cl=0.8900697231292725, cd=0.10517729073762894, cm=0.0038074105978012085
  Angle 10: cl=0.9899551272392273, cd=0.11049062758684158, cm=-0.004134252667427063
Genotype [0.00851006504474954, 0.4579547834882616, 0.13, -0.7285915992335892, 0.2, -0.02274474441496117, 0.12268371858632102, -0.003, 0.004614833201925076, 7.0, 10.0]:
  Angle -10: cl=-0.555243968963623, cd=0.19282366335391998, cm=-0.16894231736660004
  Angle -9: cl=-0.5853467583656311, cd=0.16617287695407867, cm=-0.16269011795520782
  Angle -8: cl=-0.6176841259002686, cd=0.1531066596508026, cm=-0.143060103058815
  Angle -7: cl=-0.6447649002075195, cd=0.14128628373146057, cm=-0.11781962215900421
  Angle -6: cl=-0.6745926737785339, cd=0.12361745536327362, cm=-0.0947987288236618
  Angle -5: cl=-0.6709240078926086, cd=0.10569561272859573, cm=-0.0676918774843216
  Angle -4: cl=-0.6352747678756714, cd=0.09794196486473083, cm=-0.05135013163089752
  Angle -3: cl=-0.5717234015464783, cd=0.10027390718460083, cm=-0.042969390749931335
  Angle -2: cl=-0.5353544354438782, cd=0.10128816217184067, cm=-0.03169660270214081
  Angle -1: cl=-0.48130249977111816, cd=0.10562942922115326, cm=-0.014527842402458191
  Angle 0: cl=-0.41589707136154175, cd=0.10909172892570496, cm=-0.001046985387802124
  Angle 1: cl=-0.3393157124519348, cd=0.11217989027500153, cm=0.010537639260292053
  Angle 2: cl=-0.1929280310869217, cd=0.10873965919017792, cm=0.014265760779380798
  Angle 3: cl=-0.03500818461179733, cd=0.1064295843243599, cm=0.01169528067111969
  Angle 4: cl=0.06968796998262405, cd=0.10709387809038162, cm=0.004138126969337463
  Angle 5: cl=0.19813087582588196, cd=0.10489848256111145, cm=-0.012182936072349548
  Angle 6: cl=0.30671635270118713, cd=0.10230493545532227, cm=-0.03148086369037628
  Angle 7: cl=0.4154813885688782, cd=0.10056056827306747, cm=-0.05361388623714447
  Angle 8: cl=0.5287976264953613, cd=0.09870437532663345, cm=-0.07759173214435577
  Angle 9: cl=0.6442657113075256, cd=0.09688558429479599, cm=-0.10191543400287628
  Angle 10: cl=0.7492408156394958, cd=0.09716402739286423, cm=-0.12368457019329071
