Experiment: Nash_Combination_Experiment_46
Generation: 16
Generation Type: u
Timestamp: 20231226_171452

Genotypes and their Fitness Values:
[0.0085, 0.4550376691282924, 0.13, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.089473417930591, 10.382288866576161] - Base Fitness: 0.1818763032441029, Adjusted Fitness: 0.1882426332196288
[0.0085, 0.45280092501747804, 0.12958454993847848, -0.7676011826168558, 0.2587318538070856, -0.015, 0.06412612792688173, -0.003, 0.0025, 8.054355198982183, 10.949944943485008] - Base Fitness: -0.55803709044212, Adjusted Fitness: -0.5531732639499094
[0.0085, 0.4550376691282924, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.26344961388722, 10.949944943485008] - Base Fitness: 0.09252145965110127, Adjusted Fitness: 0.09893703183934952
[0.008505306946498094, 0.46, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.054355198982183, 10.938664173997795] - Base Fitness: 0.10599356351544884, Adjusted Fitness: 0.11242253573221546
[0.0085, 0.45280092501747804, 0.12958454993847848, -0.8600840196287052, 0.22719073026754721, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.054355198982183, 10.949944943485008] - Base Fitness: -0.8329983917612992, Adjusted Fitness: -0.8296305853301029
[0.008505306946498094, 0.45280092501747804, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.18082140708079064, -0.003410385637809213, 0.0025, 8.01862710584777, 10.343892613634354] - Base Fitness: 0.015533822326609851, Adjusted Fitness: 0.021525424080620033
[0.0085, 0.41, 0.12958454993847848, -0.7573249392393396, 0.2587318538070856, -0.023, 0.18082140708079064, -0.003, 0.002920003540137805, 8.089473417930591, 10.938664173997795] - Base Fitness: -0.13930371961408283, Adjusted Fitness: -0.13388423419394124
[0.008505306946498094, 0.42466319498188865, 0.12958454993847848, -0.783462452095529, 0.26, -0.023, 0.06412612792688173, -0.003, 0.002920003540137805, 8.029575945585714, 10.938664173997795] - Base Fitness: 0.004202867885134868, Adjusted Fitness: 0.010136733928732863
[0.008505306946498094, 0.41140466987466345, 0.13, -0.7573249392393396, 0.26, -0.023, 0.06412612792688173, -0.003410385637809213, 0.0025, 8.01862710584777, 10.949944943485008] - Base Fitness: -0.0518498348538704, Adjusted Fitness: -0.04620917314648023
[0.008505306946498094, 0.448058076120807, 0.12958454993847848, -0.8020182497177695, 0.26, -0.023, 0.06412612792688173, -0.003, 0.002920003540137805, 8.054355198982183, 10.944792078107307] - Base Fitness: 0.051465831982899675, Adjusted Fitness: 0.057713173277541316
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 11.715565895630007] - Base Fitness: -0.01584712381106776, Adjusted Fitness: -0.010009345140034667
[0.008614381906666888, 0.4550376691282924, 0.12958454993847848, -0.7692775005288153, 0.21486882780924038, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.054355198982183, 10.949944943485008] - Base Fitness: -1.1358872414226955, Adjusted Fitness: -1.1348975899869767
[0.008505306946498094, 0.41, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.002920003540137805, 8.089473417930591, 10.938664173997795] - Base Fitness: -0.05011783875455844, Adjusted Fitness: -0.04452057956722676
[0.0085, 0.45280092501747804, 0.12958454993847848, -0.7695068879780959, 0.26, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.086048064930102, 10.949944943485008] - Base Fitness: 0.030039077564603306, Adjusted Fitness: 0.0361181194299371
[0.008505306946498094, 0.42466319498188865, 0.12958454993847848, -0.7094994513085496, 0.26, -0.023, 0.15149129461495803, -0.003, 0.0025, 8.182289345109023, 10.938664173997795] - Base Fitness: -0.013672951859780631, Adjusted Fitness: -0.007814699290507956
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.7692775005288153, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.1379897263811205, Adjusted Fitness: 0.14462889767288414
[0.008505306946498094, 0.42466319498188865, 0.12958454993847848, -0.8600840196287052, 0.26, -0.023, 0.18082140708079064, -0.003, 0.002920003540137805, 8.089473417930591, 10.949944943485008] - Base Fitness: -0.06289069461131293, Adjusted Fitness: -0.05680306133385698
[0.0126, 0.45280092501747804, 0.12958454993847848, -0.7573249392393396, 0.26, -0.023, 0.06412612792688173, -0.003, 0.002920003540137805, 8.089473417930591, 11.752093395682568] - Base Fitness: -0.7014442417820169, Adjusted Fitness: -0.6972991623152265
[0.0085, 0.45280092501747804, 0.13, -0.7573249392393396, 0.26, -0.023, 0.18082140708079064, -0.003, 0.005, 8.054355198982183, 10.938664173997795] - Base Fitness: -0.23351445509351187, Adjusted Fitness: -0.228846713774609
[0.008505306946498094, 0.42466319498188865, 0.12958454993847848, -0.783462452095529, 0.26, -0.023, 0.15149129461495803, -0.003, 0.002920003540137805, 8.182289345109023, 10.938664173997795] - Base Fitness: -0.05483750574961092, Adjusted Fitness: -0.0490712913334771
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.8600840196287052, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.054355198982183, 10.938664173997795] - Base Fitness: 0.11079358646689824, Adjusted Fitness: 0.1172160958094173
[0.008505306946498094, 0.45280092501747804, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.054355198982183, 11.752093395682568] - Base Fitness: 0.01212553890470378, Adjusted Fitness: 0.018097557230386845
[0.008505306946498094, 0.45280092501747804, 0.12958454993847848, -0.7094994513085496, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.938664173997795] - Base Fitness: 0.06592688570649043, Adjusted Fitness: 0.07229784318463561
[0.0085, 0.45280092501747804, 0.12958454993847848, -0.7573249392393396, 0.2587318538070856, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.089473417930591, 10.949944943485008] - Base Fitness: -0.0006247366578554045, Adjusted Fitness: 0.005278377610948848
[0.0085, 0.4550376691282924, 0.12958454993847848, -0.7676011826168558, 0.2587318538070856, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.054355198982183, 10.949944943485008] - Base Fitness: 0.0032046099192606613, Adjusted Fitness: 0.009141999766962733
[0.0085, 0.45280092501747804, 0.13, -0.7692775005288153, 0.2472573826932386, -0.023, 0.18082140708079064, -0.003410385637809213, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: -0.2777218393133396, Adjusted Fitness: -0.27305913505757495
[0.008505306946498094, 0.46, 0.13, -0.8020182497177695, 0.26, -0.023, 0.2, -0.003, 0.002920003540137805, 8.054355198982183, 10.95150335557012] - Base Fitness: -0.008830671087369006, Adjusted Fitness: -0.0029468813228142416
[0.008614381906666888, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.054355198982183, 10.949944943485008] - Base Fitness: 0.02476116064133516, Adjusted Fitness: 0.030793871694821708
[0.0085, 0.45280092501747804, 0.12958454993847848, -0.7573249392393396, 0.2587318538070856, -0.023, 0.18082140708079064, -0.003, 0.002920003540137805, 8.229492098501341, 10.949944943485008] - Base Fitness: -0.05653423362309882, Adjusted Fitness: -0.05063049069895037
[0.0085, 0.45280092501747804, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.089473417930591, 11.752093395682568] - Base Fitness: 0.011294378712926443, Adjusted Fitness: 0.023388910528727016
[0.0085, 0.46, 0.13, -0.7573249392393396, 0.26, -0.023, 0.11889720728908901, -0.003, 0.002920003540137805, 8.229492098501341, 11.752093395682568] - Base Fitness: -0.06063330888175211, Adjusted Fitness: -0.05469095206661211
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.8020182497177695, 0.26, -0.023, 0.06412612792688173, -0.003410385637809213, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.09041034328643557, Adjusted Fitness: 0.09691718012031444
[0.008505306946498094, 0.42466319498188865, 0.13, -0.7692775005288153, 0.26, -0.023, 0.18082140708079064, -0.003, 0.002920003540137805, 8.01862710584777, 10.343892613634354] - Base Fitness: 0.01412903354731514, Adjusted Fitness: 0.020115268408087868
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.7573249392393396, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.089473417930591, 11.752093395682568] - Base Fitness: 0.010808018181249116, Adjusted Fitness: 0.016769833195978336
[0.0085, 0.46, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.18082140708079064, -0.003, 0.005, 8.089473417930591, 10.938664173997795] - Base Fitness: -0.2462027066499931, Adjusted Fitness: -0.24159968090012537
[0.0085, 0.4550376691282924, 0.13, -0.7874086405030272, 0.26, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.089473417930591, 11.726029416420513] - Base Fitness: -0.03899403725622637, Adjusted Fitness: -0.033303420232254494
[0.008505306946498094, 0.46, 0.12958454993847848, -0.8020182497177695, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.054355198982183, 10.945534921044358] - Base Fitness: 0.1074169617581555, Adjusted Fitness: 0.11383291978788532
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.7094994513085496, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 11.752093395682568] - Base Fitness: -0.02375998923380397, Adjusted Fitness: -0.01799302559303184
[0.0085, 0.46, 0.12958454993847848, -0.7704561847000888, 0.26, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.054355198982183, 11.726029416420513] - Base Fitness: -0.05158214155924443, Adjusted Fitness: -0.045942793695026865
[0.0085, 0.4550376691282924, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.054355198982183, 10.949944943485008] - Base Fitness: 0.10493345580252042, Adjusted Fitness: 0.11135741447030106
[0.008505306946498094, 0.45280092501747804, 0.13, -0.8020182497177695, 0.2587318538070856, -0.023, 0.06412612792688173, -0.003, 0.002920003540137805, 8.054355198982183, 10.938664173997795] - Base Fitness: 0.04395985808335097, Adjusted Fitness: 0.050153642219394085
[0.0085, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.229492098501341, 10.949944943485008] - Base Fitness: 0.03875806929531078, Adjusted Fitness: 0.04492372604074832
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.8020182497177695, 0.2587318538070856, -0.023, 0.11889720728908901, -0.003, 0.002920003540137805, 8.054355198982183, 10.949944943485008] - Base Fitness: -0.005160682499887374, Adjusted Fitness: 0.0007067139930165408
[0.0085, 0.45280092501747804, 0.12958454993847848, -0.7411488627348132, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.01862710584777, 10.938664173997795] - Base Fitness: 0.10385391592686821, Adjusted Fitness: 0.11031611056169703
[0.008614381906666888, 0.46, 0.12958454993847848, -0.7692775005288153, 0.26, -0.023, 0.06412612792688173, -0.003, 0.002920003540137805, 8.054355198982183, 11.752093395682568] - Base Fitness: -0.05522065856220367, Adjusted Fitness: -0.04940962820461382
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.7695068879780959, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.089473417930591, 11.752093395682568] - Base Fitness: 0.011840429940801383, Adjusted Fitness: 0.017809827173958397
[0.0085, 0.45280092501747804, 0.12958454993847848, -0.8020182497177695, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.229492098501341, 11.728828289165465] - Base Fitness: -0.025411635881322406, Adjusted Fitness: -0.019645042803501052
[0.008505306946498094, 0.4550376691282924, 0.13, -0.7573249392393396, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.938664173997795] - Base Fitness: 0.0860658235961976, Adjusted Fitness: 0.0990545979839923
[0.0085, 0.45280092501747804, 0.13, -0.7573249392393396, 0.26, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.089473417930591, 10.949944943485008] - Base Fitness: 0.04427306616229769, Adjusted Fitness: 0.05045376672092739
[0.008505306946498094, 0.45280092501747804, 0.12958454993847848, -0.7573249392393396, 0.2587318538070856, -0.023, 0.18082140708079064, -0.003, 0.002920003540137805, 8.054355198982183, 10.938664173997795] - Base Fitness: -0.04632626717451213, Adjusted Fitness: -0.04069821020168262

Detailed Results for Each Genotype:
Genotype [0.0085, 0.4550376691282924, 0.13, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.089473417930591, 10.382288866576161]:
  Angle -10: cl=-0.5601028800010681, cd=0.23064126074314117, cm=-0.18894203007221222
  Angle -9: cl=-0.5896123051643372, cd=0.19793319702148438, cm=-0.18501140177249908
  Angle -8: cl=-0.6123020648956299, cd=0.16280177235603333, cm=-0.18324266374111176
  Angle -7: cl=-0.6487458944320679, cd=0.12906832993030548, cm=-0.17738397419452667
  Angle -6: cl=-0.6075937151908875, cd=0.1145755797624588, cm=-0.1624199002981186
  Angle -5: cl=-0.5024495124816895, cd=0.10389155149459839, cm=-0.14984743297100067
  Angle -4: cl=-0.40797877311706543, cd=0.09863974899053574, cm=-0.1367247849702835
  Angle -3: cl=-0.3049481511116028, cd=0.09237090498209, cm=-0.12246064841747284
  Angle -2: cl=-0.23037195205688477, cd=0.08677922189235687, cm=-0.0989082008600235
  Angle -1: cl=-0.16962966322898865, cd=0.08248843997716904, cm=-0.06955008208751678
  Angle 0: cl=-0.1024380475282669, cd=0.08199549466371536, cm=-0.041058823466300964
  Angle 1: cl=-0.01951114647090435, cd=0.08252812922000885, cm=-0.018955066800117493
  Angle 2: cl=0.06325694173574448, cd=0.08324973285198212, cm=-0.003368660807609558
  Angle 3: cl=0.3085491359233856, cd=0.06860756874084473, cm=-0.0008973628282546997
  Angle 4: cl=0.40295717120170593, cd=0.07473666965961456, cm=0.00394892692565918
  Angle 5: cl=0.5007080435752869, cd=0.08304014056921005, cm=0.007344350218772888
  Angle 6: cl=0.5945655107498169, cd=0.09007654339075089, cm=0.009586170315742493
  Angle 7: cl=0.6848996877670288, cd=0.09666616469621658, cm=0.011797457933425903
  Angle 8: cl=0.7756473422050476, cd=0.10201161354780197, cm=0.010133877396583557
  Angle 9: cl=0.8702321648597717, cd=0.10605499148368835, cm=0.0018714070320129395
  Angle 10: cl=0.9693440794944763, cd=0.11073319613933563, cm=-0.0060778409242630005
Genotype [0.0085, 0.45280092501747804, 0.12958454993847848, -0.7676011826168558, 0.2587318538070856, -0.015, 0.06412612792688173, -0.003, 0.0025, 8.054355198982183, 10.949944943485008]:
  Angle -10: cl=-0.5492284297943115, cd=0.21066196262836456, cm=-0.181043341755867
  Angle -9: cl=-0.5859028697013855, cd=0.18096531927585602, cm=-0.17538650333881378
  Angle -8: cl=-0.619642436504364, cd=0.15180140733718872, cm=-0.1689499169588089
  Angle -7: cl=-0.6475054621696472, cd=0.12506820261478424, cm=-0.16068203747272491
  Angle -6: cl=-0.6238995790481567, cd=0.1088525727391243, cm=-0.15013299882411957
  Angle -5: cl=-0.5247003436088562, cd=0.09963753819465637, cm=-0.13471241295337677
  Angle -4: cl=-0.4373686611652374, cd=0.09223849326372147, cm=-0.11396525800228119
  Angle -3: cl=-0.35193488001823425, cd=0.08450185507535934, cm=-0.09041495621204376
  Angle -2: cl=-0.2798658013343811, cd=0.07806862145662308, cm=-0.06436140835285187
  Angle -1: cl=-0.22985699772834778, cd=0.07723645120859146, cm=-0.037956759333610535
  Angle 0: cl=-0.17818745970726013, cd=0.0840597078204155, cm=-0.019922718405723572
  Angle 1: cl=-0.1133255809545517, cd=0.09209799766540527, cm=-0.0031633228063583374
  Angle 2: cl=-0.01935371197760105, cd=0.09663477540016174, cm=0.00925639271736145
  Angle 3: cl=0.1580345332622528, cd=0.09199052304029465, cm=0.01565966010093689
  Angle 4: cl=0.24087154865264893, cd=0.0977674201130867, cm=0.022922560572624207
  Angle 5: cl=0.33145982027053833, cd=0.10066170990467072, cm=0.0201825350522995
  Angle 6: cl=0.4258385896682739, cd=0.10231579840183258, cm=0.014601469039916992
  Angle 7: cl=0.5235223770141602, cd=0.10367880016565323, cm=0.008998870849609375
  Angle 8: cl=0.6208611130714417, cd=0.10519539564847946, cm=0.0026831775903701782
  Angle 9: cl=0.7315962314605713, cd=0.10467556118965149, cm=-0.015185430645942688
  Angle 10: cl=0.8484454154968262, cd=0.10590069741010666, cm=-0.03859470784664154
Genotype [0.0085, 0.4550376691282924, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.26344961388722, 10.949944943485008]:
  Angle -10: cl=-0.559897243976593, cd=0.22907856106758118, cm=-0.18829186260700226
  Angle -9: cl=-0.5910615921020508, cd=0.19667640328407288, cm=-0.18435199558734894
  Angle -8: cl=-0.6137904524803162, cd=0.1613835245370865, cm=-0.1821770817041397
  Angle -7: cl=-0.650625467300415, cd=0.12778164446353912, cm=-0.17562352120876312
  Angle -6: cl=-0.6129787564277649, cd=0.1141924113035202, cm=-0.1608167439699173
  Angle -5: cl=-0.5082351565361023, cd=0.10368077456951141, cm=-0.1482793539762497
  Angle -4: cl=-0.4123559892177582, cd=0.09820748120546341, cm=-0.13511048257350922
  Angle -3: cl=-0.3089126646518707, cd=0.09171657264232635, cm=-0.1205027848482132
  Angle -2: cl=-0.236741840839386, cd=0.08593472838401794, cm=-0.09591411054134369
  Angle -1: cl=-0.17648816108703613, cd=0.0817658081650734, cm=-0.0665002316236496
  Angle 0: cl=-0.11080574989318848, cd=0.08156171441078186, cm=-0.0381496399641037
  Angle 1: cl=-0.03125953674316406, cd=0.08198175579309464, cm=-0.015465989708900452
  Angle 2: cl=0.05186423659324646, cd=0.08355630189180374, cm=-0.0006867647171020508
  Angle 3: cl=0.2926977574825287, cd=0.07066613435745239, cm=0.000850379467010498
  Angle 4: cl=0.3849101662635803, cd=0.07617200165987015, cm=0.005885213613510132
  Angle 5: cl=0.4827483892440796, cd=0.084190234541893, cm=0.009307175874710083
  Angle 6: cl=0.577457070350647, cd=0.09110351651906967, cm=0.011432796716690063
  Angle 7: cl=0.6686270833015442, cd=0.09769324958324432, cm=0.013574108481407166
  Angle 8: cl=0.7595003247261047, cd=0.10221055895090103, cm=0.009788841009140015
  Angle 9: cl=0.8532091379165649, cd=0.10620152205228806, cm=0.0015226751565933228
  Angle 10: cl=0.952767550945282, cd=0.11078520864248276, cm=-0.006510064005851746
Genotype [0.008505306946498094, 0.46, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.06412612792688173, -0.003, 0.0025, 8.054355198982183, 10.938664173997795]:
  Angle -10: cl=-0.5626699924468994, cd=0.22987975180149078, cm=-0.18871547281742096
  Angle -9: cl=-0.5912973880767822, cd=0.19681109488010406, cm=-0.18552859127521515
  Angle -8: cl=-0.6139112710952759, cd=0.16162893176078796, cm=-0.18361829221248627
  Angle -7: cl=-0.6534667611122131, cd=0.1276474893093109, cm=-0.17729301750659943
  Angle -6: cl=-0.612335741519928, cd=0.11397046595811844, cm=-0.16200967133045197
  Angle -5: cl=-0.5104840397834778, cd=0.10388853400945663, cm=-0.14910800755023956
  Angle -4: cl=-0.4160844385623932, cd=0.09866057336330414, cm=-0.13587452471256256
  Angle -3: cl=-0.31324657797813416, cd=0.09241663664579391, cm=-0.12164373695850372
  Angle -2: cl=-0.239950031042099, cd=0.08676444739103317, cm=-0.09731544554233551
  Angle -1: cl=-0.179267019033432, cd=0.08229972422122955, cm=-0.06802831590175629
  Angle 0: cl=-0.11215195059776306, cd=0.08192077279090881, cm=-0.03987593948841095
  Angle 1: cl=-0.029990149661898613, cd=0.08230322599411011, cm=-0.01773791015148163
  Angle 2: cl=0.05355255305767059, cd=0.08310145884752274, cm=-0.002291649580001831
  Angle 3: cl=0.2939877510070801, cd=0.06966248154640198, cm=-0.0004463791847229004
  Angle 4: cl=0.3914865255355835, cd=0.07495059072971344, cm=0.0043129026889801025
  Angle 5: cl=0.4899576008319855, cd=0.08324510604143143, cm=0.007716670632362366
  Angle 6: cl=0.5852136611938477, cd=0.09011651575565338, cm=0.009779199957847595
  Angle 7: cl=0.6753429174423218, cd=0.0966876894235611, cm=0.012018769979476929
  Angle 8: cl=0.7661631107330322, cd=0.10197494924068451, cm=0.010200008749961853
  Angle 9: cl=0.8607353568077087, cd=0.10604351758956909, cm=0.0019463598728179932
  Angle 10: cl=0.959507405757904, cd=0.11061128973960876, cm=-0.006043598055839539
Genotype [0.0085, 0.45280092501747804, 0.12958454993847848, -0.8600840196287052, 0.22719073026754721, -0.023, 0.18082140708079064, -0.003, 0.0025, 8.054355198982183, 10.949944943485008]:
  Angle -10: cl=-0.5591604113578796, cd=0.19980503618717194, cm=-0.1812475174665451
  Angle -9: cl=-0.5964658260345459, cd=0.17228278517723083, cm=-0.17588748037815094
  Angle -8: cl=-0.6247575879096985, cd=0.1440207064151764, cm=-0.16940359771251678
  Angle -7: cl=-0.6562401652336121, cd=0.11881332099437714, cm=-0.1584458202123642
  Angle -6: cl=-0.6536059379577637, cd=0.10912704467773438, cm=-0.1442614644765854
  Angle -5: cl=-0.5818635821342468, cd=0.10117070376873016, cm=-0.12308220565319061
  Angle -4: cl=-0.5006217956542969, cd=0.0932357981801033, cm=-0.09901119768619537
  Angle -3: cl=-0.41527390480041504, cd=0.08552410453557968, cm=-0.07503046095371246
  Angle -2: cl=-0.33759215474128723, cd=0.07870087027549744, cm=-0.049391523003578186
  Angle -1: cl=-0.28722402453422546, cd=0.08369658887386322, cm=-0.02888263761997223
  Angle 0: cl=-0.232468843460083, cd=0.09110518544912338, cm=-0.01237727701663971
  Angle 1: cl=-0.15900501608848572, cd=0.09829540550708771, cm=0.003050372004508972
  Angle 2: cl=-0.03762694448232651, cd=0.09964755177497864, cm=0.013925045728683472
  Angle 3: cl=0.1331140100955963, cd=0.09501127898693085, cm=0.01871037483215332
  Angle 4: cl=0.21874959766864777, cd=0.09952664375305176, cm=0.024145007133483887
  Angle 5: cl=0.3167344629764557, cd=0.10181310027837753, cm=0.021766066551208496
  Angle 6: cl=0.41052135825157166, cd=0.10389537364244461, cm=0.01593036949634552
  Angle 7: cl=0.5060796141624451, cd=0.10570753365755081, cm=0.010536625981330872
  Angle 8: cl=0.6002700328826904, cd=0.10757537186145782, cm=0.003641083836555481
  Angle 9: cl=0.7154210805892944, cd=0.10577034205198288, cm=-0.019281789660453796
  Angle 10: cl=0.8282707333564758, cd=0.10149244964122772, cm=-0.03440837562084198
Genotype [0.008505306946498094, 0.45280092501747804, 0.12958454993847848, -0.7676011826168558, 0.26, -0.023, 0.18082140708079064, -0.003410385637809213, 0.0025, 8.01862710584777, 10.343892613634354]:
  Angle -10: cl=-0.5603836178779602, cd=0.22199176251888275, cm=-0.18617238104343414
  Angle -9: cl=-0.5929328799247742, cd=0.1908249855041504, cm=-0.18196327984333038
  Angle -8: cl=-0.6160510182380676, cd=0.15561813116073608, cm=-0.17943091690540314
  Angle -7: cl=-0.6550374031066895, cd=0.12174031138420105, cm=-0.17128200829029083
  Angle -6: cl=-0.60648113489151, cd=0.11244236677885056, cm=-0.15774936974048615
  Angle -5: cl=-0.5001564621925354, cd=0.10207633674144745, cm=-0.1446339637041092
  Angle -4: cl=-0.40136879682540894, cd=0.0960608720779419, cm=-0.13073031604290009
  Angle -3: cl=-0.3020341396331787, cd=0.08927617967128754, cm=-0.11421643197536469
  Angle -2: cl=-0.2385287582874298, cd=0.08338964730501175, cm=-0.08684830367565155
  Angle -1: cl=-0.17884886264801025, cd=0.08058761060237885, cm=-0.056814923882484436
  Angle 0: cl=-0.11306779086589813, cd=0.08104254305362701, cm=-0.029872223734855652
  Angle 1: cl=-0.044324345886707306, cd=0.08282256126403809, cm=-0.007507398724555969
  Angle 2: cl=0.03716955706477165, cd=0.08818782866001129, cm=0.003327995538711548
  Angle 3: cl=0.2711125612258911, cd=0.07641728967428207, cm=0.004407808184623718
  Angle 4: cl=0.3615662753582001, cd=0.08201171457767487, cm=0.009707316756248474
  Angle 5: cl=0.4582690894603729, cd=0.08819060027599335, cm=0.013026341795921326
  Angle 6: cl=0.5562764406204224, cd=0.09481155872344971, cm=0.014961108565330505
  Angle 7: cl=0.6495659351348877, cd=0.10028990358114243, cm=0.014053434133529663
  Angle 8: cl=0.741651713848114, cd=0.10347620397806168, cm=0.006785199046134949
  Angle 9: cl=0.834894061088562, cd=0.107405886054039, cm=-0.0015170425176620483
  Angle 10: cl=0.9339837431907654, cd=0.11211287975311279, cm=-0.010204806923866272
Genotype [0.0085, 0.41, 0.12958454993847848, -0.7573249392393396, 0.2587318538070856, -0.023, 0.18082140708079064, -0.003, 0.002920003540137805, 8.089473417930591, 10.938664173997795]:
  Angle -10: cl=-0.5562077760696411, cd=0.22544044256210327, cm=-0.1827201396226883
  Angle -9: cl=-0.5888016223907471, cd=0.19422121345996857, cm=-0.17589028179645538
  Angle -8: cl=-0.6250167489051819, cd=0.16308322548866272, cm=-0.16948319971561432
  Angle -7: cl=-0.6612940430641174, cd=0.13267071545124054, cm=-0.16249535977840424
  Angle -6: cl=-0.6283522844314575, cd=0.11990902572870255, cm=-0.15188731253147125
  Angle -5: cl=-0.5073878169059753, cd=0.10576549917459488, cm=-0.13998089730739594
  Angle -4: cl=-0.385023295879364, cd=0.09329595416784286, cm=-0.12674452364444733
  Angle -3: cl=-0.27790477871894836, cd=0.08477279543876648, cm=-0.11060203611850739
