Experiment: Nash_Combination_Experiment_46
Generation: 28
Generation Type: u
Timestamp: 20231226_171719

Genotypes and their Fitness Values:
[0.008505306946498094, 0.46, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.20485951788833204, Adjusted Fitness: 0.22909429475774867
[0.008505306946498094, 0.45280092501747804, 0.13, -0.80117413181128, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.047753364986537, 10.343892613634354] - Base Fitness: -0.25871901407053693, Adjusted Fitness: -0.2571187459160817
[0.008505306946498094, 0.46, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.20485951788833204, Adjusted Fitness: 0.22909429475774867
[0.008505306946498094, 0.4550376691282924, 0.13, -0.7967424820989428, 0.26, -0.015, 0.05, -0.003, 0.005, 8.067337626813115, 10.294065577688114] - Base Fitness: -0.6654521020351337, Adjusted Fitness: -0.662568828079794
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.005, 8.054355198982183, 10.343892613634354] - Base Fitness: -0.1313385799750632, Adjusted Fitness: -0.12208573723758812
[0.0085, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.20187246053907637, Adjusted Fitness: 0.21670044043627204
[0.0085, 0.46, 0.13, -0.762366922577627, 0.23230446187950923, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: -0.5133553066725022, Adjusted Fitness: -0.5129036982859424
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.15354347439488045, Adjusted Fitness: 0.20757151032521404
[0.008505306946498094, 0.45280092501747804, 0.12958454993847848, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.1843897315851038, Adjusted Fitness: 0.18943038687149102
[0.008505306946498094, 0.4525995658181583, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.2004575122211918, Adjusted Fitness: 0.21065018487949827
[0.008505306946498094, 0.46, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.19932741805735282, Adjusted Fitness: 0.214302502157192
[0.008505306946498094, 0.46, 0.13, -0.8216689208895319, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.308739213666449] - Base Fitness: 0.2047548146622653, Adjusted Fitness: 0.2098998633369946
[0.0126, 0.4550376691282924, 0.12958454993847848, -0.7807982722248484, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: -0.5592019909470515, Adjusted Fitness: -0.5564308390188486
[0.008505306946498094, 0.4448654766017817, 0.12958454993847848, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.12635742538467434, Adjusted Fitness: 0.13113465751040054
[0.0085, 0.46, 0.12958454993847848, -0.7967424820989428, 0.26, -0.023, 0.05986665685215278, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.17873938402929274, Adjusted Fitness: 0.1837617737765594
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.19517770924702205, Adjusted Fitness: 0.21079347062256862
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.047753364986537, 10.348927582841052] - Base Fitness: 0.19471077296136538, Adjusted Fitness: 0.1998307366521967
[0.008505306946498094, 0.4550376691282924, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.067337626813115, 10.392213243930316] - Base Fitness: 0.19170147309717497, Adjusted Fitness: 0.1968081349713869
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05986665685215278, -0.003, 0.0025, 8.054355198982183, 10.348927582841052] - Base Fitness: 0.18823528827586436, Adjusted Fitness: 0.19330995366443565
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.047753364986537, 10.343892613634354] - Base Fitness: 0.153604686822929, Adjusted Fitness: 0.16977225080329167
[0.0085, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.308739213666449] - Base Fitness: 0.2003230731173507, Adjusted Fitness: 0.2209901309693706
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.1820331091058828, Adjusted Fitness: 0.18707565025232142
[0.008505306946498094, 0.46, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.015440094720827, 10.383220146229748] - Base Fitness: 0.19644462076129127, Adjusted Fitness: 0.20681202966610124
[0.0085, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.308739213666449] - Base Fitness: 0.2003230731173507, Adjusted Fitness: 0.2209901309693706
[0.0085, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.308739213666449] - Base Fitness: 0.2003230731173507, Adjusted Fitness: 0.2209901309693706
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.083690128266365, 10.343892613634354] - Base Fitness: 0.1932261654019971, Adjusted Fitness: 0.20886394500825622
[0.0126, 0.44707864677860476, 0.13, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.037174814358853, 10.343892613634354] - Base Fitness: -0.5393171039721742, Adjusted Fitness: -0.5380417680631885
[0.008505306946498094, 0.45280092501747804, 0.11, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: -0.5272207250191374, Adjusted Fitness: -0.5259637696807574
[0.008505306946498094, 0.4525995658181583, 0.13, -0.7512225544713901, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.19759880227505872, Adjusted Fitness: 0.20273397326678233
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7807982722248484, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.15813474378903114, Adjusted Fitness: 0.17306600431412056
[0.008505306946498094, 0.4550376691282924, 0.12958454993847848, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.13975887870242729, Adjusted Fitness: 0.1668920869957441
[0.008505306946498094, 0.46, 0.13, -0.7512225544713901, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.1966130935088176, Adjusted Fitness: 0.2017481006747568
[0.008614381906666888, 0.4525995658181583, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.17803520771400855, Adjusted Fitness: 0.18306179778478973
[0.008505306946498094, 0.4550376691282924, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.083690128266365, 10.294065577688114] - Base Fitness: 0.2017582311176259, Adjusted Fitness: 0.2118408208660394
[0.0085, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.308739213666449] - Base Fitness: 0.15882802637497706, Adjusted Fitness: 0.16375454591537134
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7807982722248484, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.15813474378903114, Adjusted Fitness: 0.17306600431412056
[0.008505306946498094, 0.4550376691282924, 0.11, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: -0.5227300694816795, Adjusted Fitness: -0.5177286066776896
[0.008505306946498094, 0.46, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.005, 8.054355198982183, 10.343892613634354] - Base Fitness: -0.08534404552730984, Adjusted Fitness: -0.08243610951260365
[0.0085, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.1543527916085488, Adjusted Fitness: 0.15929881648557853
[0.008505306946498094, 0.4550376691282924, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114] - Base Fitness: 0.20352467952183248, Adjusted Fitness: 0.20870794966128647
[0.008505306946498094, 0.46, 0.12958454993847848, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.017304136722036, 10.294065577688114] - Base Fitness: 0.15032263308169194, Adjusted Fitness: 0.15528483925464948
[0.008505306946498094, 0.46, 0.13, -0.801746429841278, 0.26, -0.023, 0.05986665685215278, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.1938668644160899, Adjusted Fitness: 0.19898511849294948
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7512225544713901, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.1508510727159945, Adjusted Fitness: 0.1612428038091553
[0.008614381906666888, 0.46, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.083690128266365, 10.343892613634354] - Base Fitness: 0.17656122592480547, Adjusted Fitness: 0.18157952383196319
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7983026960078715, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.017304136722036, 10.348927582841052] - Base Fitness: 0.15525369870767244, Adjusted Fitness: 0.1601919328177968
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.005, 8.054355198982183, 10.343892613634354] - Base Fitness: -0.08932036053401864, Adjusted Fitness: -0.08609244379492735
[0.008505306946498094, 0.45280092501747804, 0.13, -0.762366922577627, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.083690128266365, 10.343892613634354] - Base Fitness: -0.4371850891092105, Adjusted Fitness: -0.4370982260101969
[0.0085, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.037174814358853, 10.256034292052638] - Base Fitness: 0.16532804929121586, Adjusted Fitness: 0.17024218458845414
[0.008505306946498094, 0.4550376691282924, 0.13, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.0025, 8.054355198982183, 10.343892613634354] - Base Fitness: 0.15489160313305209, Adjusted Fitness: 0.1871031509324181
[0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.047753364986537, 10.343892613634354] - Base Fitness: 0.19562309170138453, Adjusted Fitness: 0.21094597574069593

Detailed Results for Each Genotype:
Genotype [0.008505306946498094, 0.46, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114]:
  Angle -10: cl=-0.5627344846725464, cd=0.2309693545103073, cm=-0.1892668753862381
  Angle -9: cl=-0.5885453820228577, cd=0.1976042091846466, cm=-0.18627317249774933
  Angle -8: cl=-0.6114685535430908, cd=0.16270513832569122, cm=-0.18497858941555023
  Angle -7: cl=-0.6502670049667358, cd=0.12868912518024445, cm=-0.1790592223405838
  Angle -6: cl=-0.6052756905555725, cd=0.1142970621585846, cm=-0.16386176645755768
  Angle -5: cl=-0.5028443932533264, cd=0.1039917841553688, cm=-0.15070761740207672
  Angle -4: cl=-0.41092607378959656, cd=0.09910843521356583, cm=-0.1374145895242691
  Angle -3: cl=-0.3086584210395813, cd=0.09308753907680511, cm=-0.12349556386470795
  Angle -2: cl=-0.23378008604049683, cd=0.08766569942235947, cm=-0.09997682273387909
  Angle -1: cl=-0.17255620658397675, cd=0.08305294811725616, cm=-0.07071249186992645
  Angle 0: cl=-0.10111157596111298, cd=0.0824185237288475, cm=-0.042912885546684265
  Angle 1: cl=-0.01751483418047428, cd=0.0829908475279808, cm=-0.021029695868492126
  Angle 2: cl=0.06558859348297119, cd=0.0837516114115715, cm=-0.00564594566822052
  Angle 3: cl=0.3095307946205139, cd=0.06793955713510513, cm=-0.0021147429943084717
  Angle 4: cl=0.41088083386421204, cd=0.07398838549852371, cm=0.0023701488971710205
  Angle 5: cl=0.50923091173172, cd=0.08228122442960739, cm=0.005732834339141846
  Angle 6: cl=0.6036590337753296, cd=0.08920810371637344, cm=0.0077462345361709595
  Angle 7: cl=0.693156361579895, cd=0.09580916911363602, cm=0.010237783193588257
  Angle 8: cl=0.7839155793190002, cd=0.1018865704536438, cm=0.010300755500793457
  Angle 9: cl=0.8791235685348511, cd=0.10598861426115036, cm=0.0021046996116638184
  Angle 10: cl=0.9775736927986145, cd=0.11206164211034775, cm=-0.0057823508977890015
Genotype [0.008505306946498094, 0.45280092501747804, 0.13, -0.80117413181128, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.047753364986537, 10.343892613634354]:
  Angle -10: cl=-0.5640017986297607, cd=0.18854588270187378, cm=-0.17440758645534515
  Angle -9: cl=-0.6073653697967529, cd=0.16406847536563873, cm=-0.1669086068868637
  Angle -8: cl=-0.6368653774261475, cd=0.13579604029655457, cm=-0.1622265726327896
  Angle -7: cl=-0.6372659802436829, cd=0.11104017496109009, cm=-0.15743257105350494
  Angle -6: cl=-0.549410879611969, cd=0.1001603826880455, cm=-0.1382444053888321
  Angle -5: cl=-0.46629568934440613, cd=0.09263506531715393, cm=-0.11269982159137726
  Angle -4: cl=-0.3862365186214447, cd=0.08717147260904312, cm=-0.08703313767910004
  Angle -3: cl=-0.3153444230556488, cd=0.08311130851507187, cm=-0.06121815741062164
  Angle -2: cl=-0.26219314336776733, cd=0.08697852492332458, cm=-0.03983859717845917
  Angle -1: cl=-0.20748791098594666, cd=0.09389375895261765, cm=-0.022600188851356506
  Angle 0: cl=-0.14508108794689178, cd=0.10146908462047577, cm=-0.005052432417869568
  Angle 1: cl=-0.0852247104048729, cd=0.10807102173566818, cm=0.009888514876365662
  Angle 2: cl=0.0789431631565094, cd=0.1032249853014946, cm=0.015549898147583008
  Angle 3: cl=0.16263985633850098, cd=0.1055808961391449, cm=0.015093967318534851
  Angle 4: cl=0.24520261585712433, cd=0.10769960284233093, cm=0.009895920753479004
  Angle 5: cl=0.3420422673225403, cd=0.10986345261335373, cm=0.0039205849170684814
  Angle 6: cl=0.4430958926677704, cd=0.11176073551177979, cm=-0.0018327981233596802
  Angle 7: cl=0.5671993494033813, cd=0.10986080020666122, cm=-0.018243655562400818
  Angle 8: cl=0.6923611760139465, cd=0.10767175257205963, cm=-0.03705473244190216
  Angle 9: cl=0.8081248998641968, cd=0.10601493716239929, cm=-0.06016366183757782
  Angle 10: cl=0.9230424165725708, cd=0.1049688309431076, cm=-0.08365418016910553
Genotype [0.008505306946498094, 0.46, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114]:
  Angle -10: cl=-0.5627344846725464, cd=0.2309693545103073, cm=-0.1892668753862381
  Angle -9: cl=-0.5885453820228577, cd=0.1976042091846466, cm=-0.18627317249774933
  Angle -8: cl=-0.6114685535430908, cd=0.16270513832569122, cm=-0.18497858941555023
  Angle -7: cl=-0.6502670049667358, cd=0.12868912518024445, cm=-0.1790592223405838
  Angle -6: cl=-0.6052756905555725, cd=0.1142970621585846, cm=-0.16386176645755768
  Angle -5: cl=-0.5028443932533264, cd=0.1039917841553688, cm=-0.15070761740207672
  Angle -4: cl=-0.41092607378959656, cd=0.09910843521356583, cm=-0.1374145895242691
  Angle -3: cl=-0.3086584210395813, cd=0.09308753907680511, cm=-0.12349556386470795
  Angle -2: cl=-0.23378008604049683, cd=0.08766569942235947, cm=-0.09997682273387909
  Angle -1: cl=-0.17255620658397675, cd=0.08305294811725616, cm=-0.07071249186992645
  Angle 0: cl=-0.10111157596111298, cd=0.0824185237288475, cm=-0.042912885546684265
  Angle 1: cl=-0.01751483418047428, cd=0.0829908475279808, cm=-0.021029695868492126
  Angle 2: cl=0.06558859348297119, cd=0.0837516114115715, cm=-0.00564594566822052
  Angle 3: cl=0.3095307946205139, cd=0.06793955713510513, cm=-0.0021147429943084717
  Angle 4: cl=0.41088083386421204, cd=0.07398838549852371, cm=0.0023701488971710205
  Angle 5: cl=0.50923091173172, cd=0.08228122442960739, cm=0.005732834339141846
  Angle 6: cl=0.6036590337753296, cd=0.08920810371637344, cm=0.0077462345361709595
  Angle 7: cl=0.693156361579895, cd=0.09580916911363602, cm=0.010237783193588257
  Angle 8: cl=0.7839155793190002, cd=0.1018865704536438, cm=0.010300755500793457
  Angle 9: cl=0.8791235685348511, cd=0.10598861426115036, cm=0.0021046996116638184
  Angle 10: cl=0.9775736927986145, cd=0.11206164211034775, cm=-0.0057823508977890015
Genotype [0.008505306946498094, 0.4550376691282924, 0.13, -0.7967424820989428, 0.26, -0.015, 0.05, -0.003, 0.005, 8.067337626813115, 10.294065577688114]:
  Angle -10: cl=-0.5212916135787964, cd=0.2062794268131256, cm=-0.18053273856639862
  Angle -9: cl=-0.5624682903289795, cd=0.17912988364696503, cm=-0.17346812784671783
  Angle -8: cl=-0.5913823246955872, cd=0.15007741749286652, cm=-0.16785050928592682
  Angle -7: cl=-0.6133117079734802, cd=0.12599928677082062, cm=-0.15857629477977753
  Angle -6: cl=-0.6239936351776123, cd=0.1082504391670227, cm=-0.1469428986310959
  Angle -5: cl=-0.5359020233154297, cd=0.09831344336271286, cm=-0.12698881328105927
  Angle -4: cl=-0.4538910984992981, cd=0.0905701294541359, cm=-0.10332594811916351
  Angle -3: cl=-0.3701595664024353, cd=0.08273456245660782, cm=-0.0793289989233017
  Angle -2: cl=-0.30572640895843506, cd=0.0774383544921875, cm=-0.05305291712284088
  Angle -1: cl=-0.258380651473999, cd=0.08315876871347427, cm=-0.03393776714801788
  Angle 0: cl=-0.20332355797290802, cd=0.08999122679233551, cm=-0.017086759209632874
  Angle 1: cl=-0.1375321000814438, cd=0.09753311425447464, cm=-0.0020657479763031006
  Angle 2: cl=-0.02804275043308735, cd=0.10056290775537491, cm=0.009717479348182678
  Angle 3: cl=0.12438814342021942, cd=0.09911196678876877, cm=0.017706111073493958
  Angle 4: cl=0.20815317332744598, cd=0.10277700424194336, cm=0.020434439182281494
  Angle 5: cl=0.29592618346214294, cd=0.10478661209344864, cm=0.015464797616004944
  Angle 6: cl=0.39441749453544617, cd=0.10628420859575272, cm=0.010321751236915588
  Angle 7: cl=0.49023234844207764, cd=0.10764265060424805, cm=0.004630744457244873
  Angle 8: cl=0.6013839244842529, cd=0.10622390359640121, cm=-0.010282531380653381
  Angle 9: cl=0.7156288027763367, cd=0.10348886996507645, cm=-0.03503786027431488
  Angle 10: cl=0.8300117254257202, cd=0.10177208483219147, cm=-0.059869930148124695
Genotype [0.008505306946498094, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.11889720728908901, -0.003, 0.005, 8.054355198982183, 10.343892613634354]:
  Angle -10: cl=-0.5358666181564331, cd=0.220866858959198, cm=-0.1852460354566574
  Angle -9: cl=-0.5615564584732056, cd=0.18822908401489258, cm=-0.1824294477701187
  Angle -8: cl=-0.5857461094856262, cd=0.15332849323749542, cm=-0.17903028428554535
  Angle -7: cl=-0.6155703067779541, cd=0.12647423148155212, cm=-0.1693350225687027
  Angle -6: cl=-0.6028583645820618, cd=0.11059968918561935, cm=-0.15722964704036713
  Angle -5: cl=-0.5170013308525085, cd=0.10272854566574097, cm=-0.14252661168575287
  Angle -4: cl=-0.4160228669643402, cd=0.09631761908531189, cm=-0.12846709787845612
  Angle -3: cl=-0.32524049282073975, cd=0.08923688530921936, cm=-0.10900457203388214
  Angle -2: cl=-0.2631840705871582, cd=0.08335620909929276, cm=-0.08139725029468536
  Angle -1: cl=-0.2038010209798813, cd=0.07980924099683762, cm=-0.051739439368247986
  Angle 0: cl=-0.13801519572734833, cd=0.0796130821108818, cm=-0.024992093443870544
  Angle 1: cl=-0.07105810195207596, cd=0.08595501631498337, cm=-0.0074257999658584595
  Angle 2: cl=0.01066172681748867, cd=0.09116361290216446, cm=0.004329025745391846
  Angle 3: cl=0.24057617783546448, cd=0.08005280792713165, cm=0.005856335163116455
  Angle 4: cl=0.32742270827293396, cd=0.08577736467123032, cm=0.01141764223575592
  Angle 5: cl=0.42150741815567017, cd=0.09168066829442978, cm=0.014900818467140198
  Angle 6: cl=0.5206109285354614, cd=0.09742312878370285, cm=0.017795220017433167
  Angle 7: cl=0.6153726577758789, cd=0.10123670846223831, cm=0.012883394956588745
  Angle 8: cl=0.707123339176178, cd=0.10452956706285477, cm=0.005376771092414856
  Angle 9: cl=0.7999089956283569, cd=0.10853500664234161, cm=-0.002908483147621155
  Angle 10: cl=0.8916158676147461, cd=0.11579317599534988, cm=-0.012858495116233826
Genotype [0.0085, 0.45280092501747804, 0.13, -0.7967424820989428, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.294065577688114]:
  Angle -10: cl=-0.5594727396965027, cd=0.23121951520442963, cm=-0.18905992805957794
  Angle -9: cl=-0.5900201201438904, cd=0.1988217830657959, cm=-0.1845926195383072
  Angle -8: cl=-0.6128113865852356, cd=0.1636306643486023, cm=-0.1827469915151596
  Angle -7: cl=-0.6475081443786621, cd=0.12992748618125916, cm=-0.17730577290058136
  Angle -6: cl=-0.6071006655693054, cd=0.11501681059598923, cm=-0.16252367198467255
  Angle -5: cl=-0.501530110836029, cd=0.1041618138551712, cm=-0.14992551505565643
  Angle -4: cl=-0.40460705757141113, cd=0.09852216392755508, cm=-0.13702930510044098
  Angle -3: cl=-0.30175870656967163, cd=0.09226576238870621, cm=-0.12284989655017853
  Angle -2: cl=-0.22590851783752441, cd=0.08667705953121185, cm=-0.09969998896121979
  Angle -1: cl=-0.16543221473693848, cd=0.08246012777090073, cm=-0.07033522427082062
  Angle 0: cl=-0.0984344482421875, cd=0.08196312934160233, cm=-0.04162876307964325
  Angle 1: cl=-0.015442954376339912, cd=0.08256098628044128, cm=-0.019396796822547913
  Angle 2: cl=0.06674753129482269, cd=0.08323708176612854, cm=-0.003751710057258606
  Angle 3: cl=0.3116194009780884, cd=0.06833808124065399, cm=-0.0008620172739028931
  Angle 4: cl=0.40551936626434326, cd=0.07456078380346298, cm=0.003986164927482605
  Angle 5: cl=0.5033021569252014, cd=0.08291148394346237, cm=0.007356122136116028
  Angle 6: cl=0.5963887572288513, cd=0.0900142639875412, cm=0.009710833430290222
  Angle 7: cl=0.6866516470909119, cd=0.09661072492599487, cm=0.011914670467376709
  Angle 8: cl=0.7774661183357239, cd=0.10199230909347534, cm=0.010262265801429749
  Angle 9: cl=0.8716139793395996, cd=0.10597161203622818, cm=0.0020598769187927246
  Angle 10: cl=0.9712735414505005, cd=0.11055412143468857, cm=-0.005971089005470276
Genotype [0.0085, 0.46, 0.13, -0.762366922577627, 0.23230446187950923, -0.023, 0.05, -0.003, 0.0025, 8.054355198982183, 10.343892613634354]:
