Experiment: Nash_Combination_Experiment_47
Generation: 81
Generation Type: u
Timestamp: 20231226_175516

Genotypes and their Fitness Values:
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.310046207356654, 10.458910772623625] - Base Fitness: 0.22167361810274727, Adjusted Fitness: 0.2228319955219973
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.46, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2289784668778969, Adjusted Fitness: 0.39657945436214864
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.2267748364926525, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: -0.637801531414536, Adjusted Fitness: -0.628786889729717
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: -0.40953988806918035, Adjusted Fitness: -0.284311831580251
[0.0085, 0.4499814038735932, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.22319097284754633, Adjusted Fitness: 0.689159944944248
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.329753376414861, 10.458910772623625] - Base Fitness: 0.22083172641220253, Adjusted Fitness: 0.22215756163548045
[0.0126, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: -0.48151343165943133, Adjusted Fitness: -0.40107956272669826
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.12175931227140366, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.285757890471921, 10.458910772623625] - Base Fitness: -0.08715143814230214, Adjusted Fitness: -0.08715143814230214
[0.0126, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: -0.8663074019468424, Adjusted Fitness: -0.8595721144920432
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: -0.40953988806918035, Adjusted Fitness: -0.284311831580251
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0126, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: -0.48151343165943133, Adjusted Fitness: -0.40107956272669826
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: -0.40953988806918035, Adjusted Fitness: -0.284311831580251
[0.0085, 0.4499814038735932, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.22319097284754633, Adjusted Fitness: 0.689159944944248
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.46064548025554] - Base Fitness: 0.22251930226503297, Adjusted Fitness: 0.22618322341116587
[0.0085, 0.44783544142575843, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2206124236400682, Adjusted Fitness: 0.2228503846180236
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087
[0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625] - Base Fitness: 0.2227008489424576, Adjusted Fitness: 12516.322894702087

Detailed Results for Each Genotype:
Genotype [0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625]:
  Angle -10: cl=-0.5611769556999207, cd=0.23412159085273743, cm=-0.18957610428333282
  Angle -9: cl=-0.5946018695831299, cd=0.2026270180940628, cm=-0.18364720046520233
  Angle -8: cl=-0.6173117160797119, cd=0.16724048554897308, cm=-0.18175055086612701
  Angle -7: cl=-0.6500884294509888, cd=0.1328282356262207, cm=-0.17779554426670074
  Angle -6: cl=-0.6111651062965393, cd=0.11728641390800476, cm=-0.16358862817287445
  Angle -5: cl=-0.5057201385498047, cd=0.10565640777349472, cm=-0.15053771436214447
  Angle -4: cl=-0.4006154537200928, cd=0.09843948483467102, cm=-0.13867537677288055
  Angle -3: cl=-0.29794347286224365, cd=0.09226607531309128, cm=-0.12457670271396637
  Angle -2: cl=-0.216653510928154, cd=0.08671720325946808, cm=-0.10355587303638458
  Angle -1: cl=-0.1567060798406601, cd=0.08247745782136917, cm=-0.07414932548999786
  Angle 0: cl=-0.09156040102243423, cd=0.08190979808568954, cm=-0.04479245841503143
  Angle 1: cl=-0.008818646892905235, cd=0.08228084444999695, cm=-0.02207048237323761
  Angle 2: cl=0.07350029796361923, cd=0.08309301733970642, cm=-0.006366953253746033
  Angle 3: cl=0.3129901587963104, cd=0.0672110989689827, cm=-0.0013117790222167969
  Angle 4: cl=0.4107134938240051, cd=0.07323801517486572, cm=0.0033393949270248413
  Angle 5: cl=0.5087267756462097, cd=0.08156374096870422, cm=0.0067141056060791016
  Angle 6: cl=0.5993456244468689, cd=0.08903685212135315, cm=0.00955606997013092
  Angle 7: cl=0.6897835731506348, cd=0.09561517089605331, cm=0.011556163430213928
  Angle 8: cl=0.7801494002342224, cd=0.10147565603256226, cm=0.011494085192680359
  Angle 9: cl=0.8734888434410095, cd=0.10530155152082443, cm=0.0033328086137771606
  Angle 10: cl=0.9737139344215393, cd=0.10990709066390991, cm=-0.004661843180656433
Genotype [0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.310046207356654, 10.458910772623625]:
  Angle -10: cl=-0.5610918402671814, cd=0.2340754270553589, cm=-0.189610555768013
  Angle -9: cl=-0.5946779847145081, cd=0.20248199999332428, cm=-0.18371786177158356
  Angle -8: cl=-0.6171793341636658, cd=0.16711033880710602, cm=-0.18176446855068207
  Angle -7: cl=-0.6501224040985107, cd=0.1327754706144333, cm=-0.177762970328331
  Angle -6: cl=-0.6111246347427368, cd=0.1171862930059433, cm=-0.16352303326129913
  Angle -5: cl=-0.5056259036064148, cd=0.10560542345046997, cm=-0.1504911333322525
  Angle -4: cl=-0.4008335769176483, cd=0.09843584895133972, cm=-0.13857324421405792
  Angle -3: cl=-0.29794633388519287, cd=0.09226395189762115, cm=-0.12448917329311371
  Angle -2: cl=-0.21687272191047668, cd=0.0867098793387413, cm=-0.10339440405368805
  Angle -1: cl=-0.15671272575855255, cd=0.08246216922998428, cm=-0.07405586540699005
  Angle 0: cl=-0.09178011864423752, cd=0.08189650624990463, cm=-0.044658973813056946
  Angle 1: cl=-0.009047223255038261, cd=0.0822894275188446, cm=-0.021938279271125793
  Angle 2: cl=0.07337183505296707, cd=0.08309350162744522, cm=-0.006287232041358948
  Angle 3: cl=0.31337055563926697, cd=0.06720293313264847, cm=-0.0013100653886795044
  Angle 4: cl=0.4104413688182831, cd=0.07328242063522339, cm=0.0034016817808151245
  Angle 5: cl=0.5085765719413757, cd=0.08161371201276779, cm=0.006760448217391968
  Angle 6: cl=0.5991979241371155, cd=0.08906909078359604, cm=0.009571447968482971
  Angle 7: cl=0.689362645149231, cd=0.09565774351358414, cm=0.011650174856185913
  Angle 8: cl=0.7798234820365906, cd=0.10148921608924866, cm=0.011447787284851074
  Angle 9: cl=0.8732489943504333, cd=0.10531925410032272, cm=0.003324761986732483
  Angle 10: cl=0.973241925239563, cd=0.10992539674043655, cm=-0.00469718873500824
Genotype [0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625]:
  Angle -10: cl=-0.5611769556999207, cd=0.23412159085273743, cm=-0.18957610428333282
  Angle -9: cl=-0.5946018695831299, cd=0.2026270180940628, cm=-0.18364720046520233
  Angle -8: cl=-0.6173117160797119, cd=0.16724048554897308, cm=-0.18175055086612701
  Angle -7: cl=-0.6500884294509888, cd=0.1328282356262207, cm=-0.17779554426670074
  Angle -6: cl=-0.6111651062965393, cd=0.11728641390800476, cm=-0.16358862817287445
  Angle -5: cl=-0.5057201385498047, cd=0.10565640777349472, cm=-0.15053771436214447
  Angle -4: cl=-0.4006154537200928, cd=0.09843948483467102, cm=-0.13867537677288055
  Angle -3: cl=-0.29794347286224365, cd=0.09226607531309128, cm=-0.12457670271396637
  Angle -2: cl=-0.216653510928154, cd=0.08671720325946808, cm=-0.10355587303638458
  Angle -1: cl=-0.1567060798406601, cd=0.08247745782136917, cm=-0.07414932548999786
  Angle 0: cl=-0.09156040102243423, cd=0.08190979808568954, cm=-0.04479245841503143
  Angle 1: cl=-0.008818646892905235, cd=0.08228084444999695, cm=-0.02207048237323761
  Angle 2: cl=0.07350029796361923, cd=0.08309301733970642, cm=-0.006366953253746033
  Angle 3: cl=0.3129901587963104, cd=0.0672110989689827, cm=-0.0013117790222167969
  Angle 4: cl=0.4107134938240051, cd=0.07323801517486572, cm=0.0033393949270248413
  Angle 5: cl=0.5087267756462097, cd=0.08156374096870422, cm=0.0067141056060791016
  Angle 6: cl=0.5993456244468689, cd=0.08903685212135315, cm=0.00955606997013092
  Angle 7: cl=0.6897835731506348, cd=0.09561517089605331, cm=0.011556163430213928
  Angle 8: cl=0.7801494002342224, cd=0.10147565603256226, cm=0.011494085192680359
  Angle 9: cl=0.8734888434410095, cd=0.10530155152082443, cm=0.0033328086137771606
  Angle 10: cl=0.9737139344215393, cd=0.10990709066390991, cm=-0.004661843180656433
Genotype [0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625]:
  Angle -10: cl=-0.5611769556999207, cd=0.23412159085273743, cm=-0.18957610428333282
  Angle -9: cl=-0.5946018695831299, cd=0.2026270180940628, cm=-0.18364720046520233
  Angle -8: cl=-0.6173117160797119, cd=0.16724048554897308, cm=-0.18175055086612701
  Angle -7: cl=-0.6500884294509888, cd=0.1328282356262207, cm=-0.17779554426670074
  Angle -6: cl=-0.6111651062965393, cd=0.11728641390800476, cm=-0.16358862817287445
  Angle -5: cl=-0.5057201385498047, cd=0.10565640777349472, cm=-0.15053771436214447
  Angle -4: cl=-0.4006154537200928, cd=0.09843948483467102, cm=-0.13867537677288055
  Angle -3: cl=-0.29794347286224365, cd=0.09226607531309128, cm=-0.12457670271396637
  Angle -2: cl=-0.216653510928154, cd=0.08671720325946808, cm=-0.10355587303638458
  Angle -1: cl=-0.1567060798406601, cd=0.08247745782136917, cm=-0.07414932548999786
  Angle 0: cl=-0.09156040102243423, cd=0.08190979808568954, cm=-0.04479245841503143
  Angle 1: cl=-0.008818646892905235, cd=0.08228084444999695, cm=-0.02207048237323761
  Angle 2: cl=0.07350029796361923, cd=0.08309301733970642, cm=-0.006366953253746033
  Angle 3: cl=0.3129901587963104, cd=0.0672110989689827, cm=-0.0013117790222167969
  Angle 4: cl=0.4107134938240051, cd=0.07323801517486572, cm=0.0033393949270248413
  Angle 5: cl=0.5087267756462097, cd=0.08156374096870422, cm=0.0067141056060791016
  Angle 6: cl=0.5993456244468689, cd=0.08903685212135315, cm=0.00955606997013092
  Angle 7: cl=0.6897835731506348, cd=0.09561517089605331, cm=0.011556163430213928
  Angle 8: cl=0.7801494002342224, cd=0.10147565603256226, cm=0.011494085192680359
  Angle 9: cl=0.8734888434410095, cd=0.10530155152082443, cm=0.0033328086137771606
  Angle 10: cl=0.9737139344215393, cd=0.10990709066390991, cm=-0.004661843180656433
Genotype [0.0085, 0.4499814038735932, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625]:
  Angle -10: cl=-0.5611769556999207, cd=0.23412159085273743, cm=-0.18957610428333282
  Angle -9: cl=-0.5946018695831299, cd=0.2026270180940628, cm=-0.18364720046520233
  Angle -8: cl=-0.6173117160797119, cd=0.16724048554897308, cm=-0.18175055086612701
  Angle -7: cl=-0.6500884294509888, cd=0.1328282356262207, cm=-0.17779554426670074
  Angle -6: cl=-0.6111651062965393, cd=0.11728641390800476, cm=-0.16358862817287445
  Angle -5: cl=-0.5057201385498047, cd=0.10565640777349472, cm=-0.15053771436214447
  Angle -4: cl=-0.4006154537200928, cd=0.09843948483467102, cm=-0.13867537677288055
  Angle -3: cl=-0.29794347286224365, cd=0.09226607531309128, cm=-0.12457670271396637
  Angle -2: cl=-0.216653510928154, cd=0.08671720325946808, cm=-0.10355587303638458
  Angle -1: cl=-0.1567060798406601, cd=0.08247745782136917, cm=-0.07414932548999786
  Angle 0: cl=-0.09156040102243423, cd=0.08190979808568954, cm=-0.04479245841503143
  Angle 1: cl=-0.008818646892905235, cd=0.08228084444999695, cm=-0.02207048237323761
  Angle 2: cl=0.07350029796361923, cd=0.08309301733970642, cm=-0.006366953253746033
  Angle 3: cl=0.3129901587963104, cd=0.0672110989689827, cm=-0.0013117790222167969
  Angle 4: cl=0.4107134938240051, cd=0.07323801517486572, cm=0.0033393949270248413
  Angle 5: cl=0.5087267756462097, cd=0.08156374096870422, cm=0.0067141056060791016
  Angle 6: cl=0.5993456244468689, cd=0.08903685212135315, cm=0.00955606997013092
  Angle 7: cl=0.6897835731506348, cd=0.09561517089605331, cm=0.011556163430213928
  Angle 8: cl=0.7801494002342224, cd=0.10147565603256226, cm=0.011494085192680359
  Angle 9: cl=0.8734888434410095, cd=0.10530155152082443, cm=0.0033328086137771606
  Angle 10: cl=0.9737139344215393, cd=0.10990709066390991, cm=-0.004661843180656433
Genotype [0.0085, 0.46, 0.13, -0.8943081992112156, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.289741914381217, 10.458910772623625]:
  Angle -10: cl=-0.5655736327171326, cd=0.2337956726551056, cm=-0.18994276225566864
  Angle -9: cl=-0.5925965905189514, cd=0.20096758008003235, cm=-0.18610133230686188
  Angle -8: cl=-0.6152327060699463, cd=0.16600386798381805, cm=-0.18485127389431
  Angle -7: cl=-0.6540216207504272, cd=0.1311478316783905, cm=-0.18023382127285004
  Angle -6: cl=-0.6088451743125916, cd=0.11635486036539078, cm=-0.1655089408159256
  Angle -5: cl=-0.5021589398384094, cd=0.1044531911611557, cm=-0.15221945941448212
  Angle -4: cl=-0.4093545079231262, cd=0.09925858676433563, cm=-0.13910941779613495
  Angle -3: cl=-0.307684063911438, cd=0.09345720708370209, cm=-0.12557576596736908
  Angle -2: cl=-0.2273503541946411, cd=0.08808572590351105, cm=-0.10395638644695282
  Angle -1: cl=-0.16612191498279572, cd=0.08333578705787659, cm=-0.07474802434444427
  Angle 0: cl=-0.09470725804567337, cd=0.08250422775745392, cm=-0.04657302796840668
  Angle 1: cl=-0.011378733441233635, cd=0.08288481086492538, cm=-0.0243213027715683
  Angle 2: cl=0.07236921042203903, cd=0.08378470689058304, cm=-0.009093478322029114
  Angle 3: cl=0.30356401205062866, cd=0.0686628520488739, cm=-0.004114970564842224
  Angle 4: cl=0.4186970889568329, cd=0.07239410281181335, cm=0.0009898543357849121
  Angle 5: cl=0.5171955227851868, cd=0.0806688666343689, cm=0.004441156983375549
  Angle 6: cl=0.6095958352088928, cd=0.08787108212709427, cm=0.006722584366798401
