Experiment: Nash_Combination_Experiment_55
Generation: 9
Generation Type: v
Timestamp: 20231226_210210

Genotypes and their Fitness Values:
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.9, 0.2568485090091871, -0.022339791634846246, 0.13483777625712706, -0.0036912111852265995, 0.0025, 7.237795672389639, 10.0] - Base Fitness: -0.12667561160084023, Adjusted Fitness: -0.11000046602400787
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.2529756885120122, -0.021826528449263357, 0.12171586134026335, -0.003, 0.0025, 9.393650559070917, 10.510812722543264] - Base Fitness: -0.29168425475122856, Adjusted Fitness: -0.28349228293812534
[0.008640348477105259, 0.41, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.10504259942755986, -0.003, 0.005, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.41912088392905383, Adjusted Fitness: -0.4091674863525892
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.7797093975445413, 0.2568485090091871, -0.022339791634846246, 0.07152794075232749, -0.006, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.6363775806001091, Adjusted Fitness: -0.6259350426671608
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8850935848388926, 0.21544470172661312, -0.022339791634846246, 0.10638813946764163, -0.003, 0.0025, 9.02438459714609, 10.002326744999644] - Base Fitness: -1.2296881332122394, Adjusted Fitness: -1.2224883469115944
[0.0085, 0.4411351306433998, 0.12942275801526104, -0.8974782797008692, 0.26, -0.015, 0.11249221841557676, -0.003, 0.002695549295010748, 8.876324455316253, 10.002326744999644] - Base Fitness: -0.4999268735767576, Adjusted Fitness: -0.48854569780855883
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.07152794075232749, -0.00447238165456266, 0.0025, 8.876324455316253, 10.002326744999644] - Base Fitness: -0.18866519829582815, Adjusted Fitness: -0.18036900435193148
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8843727724761044, 0.2568485090091871, -0.022339791634846246, 0.12171586134026335, -0.003, 0.004149117702323339, 9.393650559070917, 10.510812722543264] - Base Fitness: -0.32323457198270694, Adjusted Fitness: -0.2975125150688765
[0.0085, 0.43402458565860014, 0.12942275801526104, -0.8037059340935282, 0.2441853707395721, -0.022339791634846246, 0.07152794075232749, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.4949426621283653, Adjusted Fitness: -0.4844744424672843
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.07152794075232749, -0.003, 0.002936007601098488, 9.02438459714609, 10.002326744999644] - Base Fitness: -0.031620729540611375, Adjusted Fitness: -0.022740074793203058
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.9, 0.2568485090091871, -0.022339791634846246, 0.13483777625712706, -0.003, 0.004149117702323339, 9.393650559070917, 10.510812722543264] - Base Fitness: -0.3290969552631268, Adjusted Fitness: -0.3204913781362632
[0.008640348477105259, 0.41, 0.12942275801526104, -0.8974782797008692, 0.26, -0.021826528449263357, 0.17059743484815032, -0.0036912111852265995, 0.0025, 7.273657504245839, 10.0] - Base Fitness: -0.14716225675719025, Adjusted Fitness: -0.1384761933912552
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.9, 0.2568485090091871, -0.022339791634846246, 0.13483777625712706, -0.0036912111852265995, 0.0025, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.3289638271892725, Adjusted Fitness: -0.32044931052838327
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.9, 0.2568485090091871, -0.022339791634846246, 0.13483777625712706, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.272166020951411, Adjusted Fitness: -0.2643605646928749
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.2568485090091871, -0.022339791634846246, 0.13483777625712706, -0.0036912111852265995, 0.0025, 7.237795672389639, 10.0] - Base Fitness: -0.12683625212251096, Adjusted Fitness: -0.09225450586649508
[0.008640348477105259, 0.4337581445294605, 0.12942275801526104, -0.8037059340935282, 0.2568485090091871, -0.023, 0.10638813946764163, -0.003, 0.002695549295010748, 9.02438459714609, 11.262135741491464] - Base Fitness: -0.16027534730485343, Adjusted Fitness: -0.15170032628355545
[0.008640348477105259, 0.41, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.10504259942755986, -0.003, 0.005, 8.876324455316253, 10.002326744999644] - Base Fitness: -0.28643788595172387, Adjusted Fitness: -0.2701310950516931
[0.008640348477105259, 0.4411351306433998, 0.11, -0.8974782797008692, 0.26, -0.022339791634846246, 0.05, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.783373679692379, Adjusted Fitness: -0.772365754295372
[0.008640348477105259, 0.4111634793809162, 0.12942275801526104, -0.9, 0.2568485090091871, -0.021826528449263357, 0.17059743484815032, -0.0036912111852265995, 0.002695549295010748, 8.876324455316253, 10.002326744999644] - Base Fitness: -0.301621766463767, Adjusted Fitness: -0.29341419572980687
[0.0085, 0.46, 0.12942275801526104, -0.8122972781969543, 0.24965063324126224, -0.022339791634846246, 0.07152794075232749, -0.00447238165456266, 0.0025, 8.876324455316253, 10.002326744999644] - Base Fitness: -0.38226854752804057, Adjusted Fitness: -0.373241894950161
[0.0126, 0.43402458565860014, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.07152794075232749, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.7360156487195338, Adjusted Fitness: -0.7250790754563082
[0.008640348477105259, 0.4337581445294605, 0.13, -0.8037059340935282, 0.2568485090091871, -0.022339791634846246, 0.12171586134026335, -0.003, 0.004149117702323339, 9.393650559070917, 10.510812722543264] - Base Fitness: -0.2885303422129604, Adjusted Fitness: -0.2806201942106628
[0.0085, 0.4411351306433998, 0.12760005342501488, -0.7797093975445413, 0.2568485090091871, -0.021826528449263357, 0.17059743484815032, -0.0036912111852265995, 0.0025, 7.273657504245839, 10.0] - Base Fitness: -0.2069315809172266, Adjusted Fitness: -0.19867921108427228
[0.008640348477105259, 0.4488039075651014, 0.12716147166611363, -0.7089645682700413, 0.26, -0.022339791634846246, 0.05, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.20598634668094465, Adjusted Fitness: -0.19777257982663685
[0.0085, 0.4411351306433998, 0.12760005342501488, -0.8974782797008692, 0.26, -0.022339791634846246, 0.07152794075232749, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.16901799040500595, Adjusted Fitness: -0.16052807939486602
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.10504259942755986, -0.003, 0.005, 8.876324455316253, 10.002326744999644] - Base Fitness: -0.25339381973312375, Adjusted Fitness: -0.2454073888299831
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.11249221841557676, -0.003, 0.0025, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.14462330945845858, Adjusted Fitness: -0.1360362080520675
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.2568485090091871, -0.022339791634846246, 0.10638813946764163, -0.003, 0.002695549295010748, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.23151894788110902, Adjusted Fitness: -0.2234061608115273
[0.0085, 0.43402458565860014, 0.12325141047461999, -0.8974782797008692, 0.2568485090091871, -0.022339791634846246, 0.12171586134026335, -0.003, 0.004149117702323339, 9.393650559070917, 10.510812722543264] - Base Fitness: -0.49950611733360467, Adjusted Fitness: -0.48020560219597813
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.9, 0.2568485090091871, -0.022339791634846246, 0.09957950575916061, -0.0036912111852265995, 0.0025, 7.237795672389639, 10.0] - Base Fitness: -0.10541982003176646, Adjusted Fitness: -0.0967053023793539
[0.008640348477105259, 0.41641541801429505, 0.12942275801526104, -0.861891162769673, 0.26, -0.021826528449263357, 0.12171586134026335, -0.003, 0.004149117702323339, 9.393650559070917, 10.510812722543264] - Base Fitness: -0.30616495337492383, Adjusted Fitness: -0.2978435161394597
[0.0085, 0.4411351306433998, 0.12942275801526104, -0.8974782797008692, 0.2568485090091871, -0.021826528449263357, 0.12171586134026335, -0.003, 0.004149117702323339, 9.393650559070917, 10.510812722543264] - Base Fitness: -0.30904803464516917, Adjusted Fitness: -0.3006255121128001
[0.0085, 0.4481141278777771, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.07152794075232749, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.0979029459334288, Adjusted Fitness: -0.08963478482975219
[0.0085, 0.4411351306433998, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.10504259942755986, -0.003, 0.005, 8.876324455316253, 10.002326744999644] - Base Fitness: -0.19812331862077845, Adjusted Fitness: -0.1898995551997943
[0.008640348477105259, 0.4337581445294605, 0.12942275801526104, -0.8037059340935282, 0.2568485090091871, -0.022339791634846246, 0.12171586134026335, -0.003, 0.004149117702323339, 9.393650559070917, 11.265617175348174] - Base Fitness: -0.3874374438140556, Adjusted Fitness: -0.378302954386637
[0.0085, 0.43402458565860014, 0.12942275801526104, -0.9, 0.26, -0.022339791634846246, 0.05, -0.003, 0.002936007601098488, 7.259789924257955, 10.0] - Base Fitness: 0.12580755938313756, Adjusted Fitness: 0.13367929599502482
[0.008640348477105259, 0.4488039075651014, 0.12716147166611363, -0.8974782797008692, 0.26, -0.022339791634846246, 0.07152794075232749, -0.003, 0.002936007601098488, 9.044766619496011, 11.265617175348174] - Base Fitness: -0.2082444901174001, Adjusted Fitness: -0.19996407923310122
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.9, 0.2486150937244706, -0.022339791634846246, 0.10638813946764163, -0.003, 0.002695549295010748, 9.02438459714609, 11.262135741491464] - Base Fitness: -0.42416509068079994, Adjusted Fitness: -0.4135203123723644
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.11249221841557676, -0.003, 0.004149117702323339, 9.393650559070917, 10.510812722543264] - Base Fitness: -0.24734206378051735, Adjusted Fitness: -0.23929844852479049
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.9, 0.2568485090091871, -0.022339791634846246, 0.13483777625712706, -0.0036912111852265995, 0.0025, 7.273657504245839, 10.0] - Base Fitness: -0.1282796619294105, Adjusted Fitness: -0.11953642602545414
[0.0085, 0.41, 0.12942275801526104, -0.8974782797008692, 0.26, -0.021826528449263357, 0.17059743484815032, -0.0036912111852265995, 0.0025, 7.273657504245839, 10.0] - Base Fitness: -0.12271609345518324, Adjusted Fitness: -0.11410462947667566
[0.0085, 0.43402458565860014, 0.12325141047461999, -0.8974782797008692, 0.2568485090091871, -0.022339791634846246, 0.07152794075232749, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.4064546849488953, Adjusted Fitness: -0.3967197556799885
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.11249221841557676, -0.003, 0.002695549295010748, 8.876324455316253, 10.002326744999644] - Base Fitness: -0.022457794395227867, Adjusted Fitness: -0.005560014657806511
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.9, 0.2568485090091871, -0.022339791634846246, 0.07152794075232749, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.23625358228199198, Adjusted Fitness: -0.22810867440661928
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8843727724761044, 0.2568485090091871, -0.022339791634846246, 0.12171586134026335, -0.003, 0.004149117702323339, 9.393650559070917, 10.510812722543264] - Base Fitness: -0.32323457198270694, Adjusted Fitness: -0.2975125150688765
[0.008640348477105259, 0.4481141278777771, 0.12760005342501488, -0.7797093975445413, 0.2568485090091871, -0.022339791634846246, 0.07152794075232749, -0.003, 0.002936007601098488, 9.02438459714609, 11.265617175348174] - Base Fitness: -0.27561901485560414, Adjusted Fitness: -0.26784504011366295
[0.008640348477105259, 0.41644686140314796, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.07152794075232749, -0.00447238165456266, 0.0025, 8.876324455316253, 10.002326744999644] - Base Fitness: -0.2060058019309064, Adjusted Fitness: -0.19778055031511665
[0.0085, 0.4481141278777771, 0.12760005342501488, -0.7797093975445413, 0.26, -0.021826528449263357, 0.17059743484815032, -0.003, 0.0025, 7.273657504245839, 10.0] - Base Fitness: 0.010837524537035728, Adjusted Fitness: 0.01985444870641617
[0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.13483777625712706, -0.003, 0.0025, 7.237795672389639, 10.0] - Base Fitness: 0.06495368717907035, Adjusted Fitness: 0.07396082072217604
[0.008640348477105259, 0.4488039075651014, 0.12716147166611363, -0.7089645682700413, 0.26, -0.022339791634846246, 0.05917636968345211, -0.003, 0.0025, 7.273657504245839, 10.0] - Base Fitness: 0.06964605089192837, Adjusted Fitness: 0.0775746426841887

Detailed Results for Each Genotype:
Genotype [0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.9, 0.2568485090091871, -0.022339791634846246, 0.13483777625712706, -0.0036912111852265995, 0.0025, 7.237795672389639, 10.0]:
  Angle -10: cl=-0.5611976981163025, cd=0.2171182930469513, cm=-0.1806841641664505
  Angle -9: cl=-0.5933865904808044, cd=0.18639211356639862, cm=-0.1755674034357071
  Angle -8: cl=-0.6333189606666565, cd=0.15658986568450928, cm=-0.16760946810245514
  Angle -7: cl=-0.6658547520637512, cd=0.12628233432769775, cm=-0.1625841110944748
  Angle -6: cl=-0.6202082633972168, cd=0.11670345813035965, cm=-0.15161572396755219
  Angle -5: cl=-0.4828532338142395, cd=0.10145629197359085, cm=-0.1395518034696579
  Angle -4: cl=-0.36693263053894043, cd=0.09097740054130554, cm=-0.1257239133119583
  Angle -3: cl=-0.2791430354118347, cd=0.08347397297620773, cm=-0.1038002222776413
  Angle -2: cl=-0.20943735539913177, cd=0.07919660955667496, cm=-0.0770421177148819
  Angle -1: cl=-0.1533195972442627, cd=0.07686061412096024, cm=-0.04793404042720795
  Angle 0: cl=-0.09613951295614243, cd=0.0781378448009491, cm=-0.019980475306510925
  Angle 1: cl=-0.03738902509212494, cd=0.08668752014636993, cm=-0.0018171072006225586
  Angle 2: cl=0.06164143234491348, cd=0.08946488797664642, cm=0.009225443005561829
  Angle 3: cl=0.23312361538410187, cd=0.08517973870038986, cm=0.01366288959980011
  Angle 4: cl=0.3157198131084442, cd=0.09147518128156662, cm=0.019085675477981567
  Angle 5: cl=0.4003608226776123, cd=0.0969109833240509, cm=0.02194581925868988
  Angle 6: cl=0.49010130763053894, cd=0.09925422817468643, cm=0.016852185130119324
  Angle 7: cl=0.5872031450271606, cd=0.10067664831876755, cm=0.010908901691436768
  Angle 8: cl=0.6819111704826355, cd=0.10414064675569534, cm=0.004582896828651428
  Angle 9: cl=0.7723410725593567, cd=0.10798192024230957, cm=-0.0035805851221084595
  Angle 10: cl=0.8670368194580078, cd=0.11231088638305664, cm=-0.012903019785881042
Genotype [0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.2529756885120122, -0.021826528449263357, 0.12171586134026335, -0.003, 0.0025, 9.393650559070917, 10.510812722543264]:
  Angle -10: cl=-0.5499475002288818, cd=0.21455997228622437, cm=-0.18111450970172882
  Angle -9: cl=-0.5834985971450806, cd=0.18342013657093048, cm=-0.1763109713792801
  Angle -8: cl=-0.6227731704711914, cd=0.15450413525104523, cm=-0.16854070127010345
  Angle -7: cl=-0.6520257592201233, cd=0.12599366903305054, cm=-0.16204442083835602
  Angle -6: cl=-0.6241663694381714, cd=0.11424306035041809, cm=-0.1499774008989334
  Angle -5: cl=-0.49705517292022705, cd=0.09974684566259384, cm=-0.13701950013637543
  Angle -4: cl=-0.39997968077659607, cd=0.09233012050390244, cm=-0.12105806171894073
  Angle -3: cl=-0.31474241614341736, cd=0.08455425500869751, cm=-0.09767524898052216
  Angle -2: cl=-0.24084386229515076, cd=0.07880781590938568, cm=-0.07169707119464874
  Angle -1: cl=-0.1835714727640152, cd=0.07661748677492142, cm=-0.04260222613811493
  Angle 0: cl=-0.13056203722953796, cd=0.0806477889418602, cm=-0.018512293696403503
  Angle 1: cl=-0.06836853176355362, cd=0.08897647261619568, cm=-0.0010697394609451294
  Angle 2: cl=0.048410266637802124, cd=0.090714231133461, cm=0.010496437549591064
  Angle 3: cl=0.20902664959430695, cd=0.08754441142082214, cm=0.015882059931755066
  Angle 4: cl=0.2890748083591461, cd=0.09379010647535324, cm=0.021978899836540222
  Angle 5: cl=0.3719751834869385, cd=0.09834539145231247, cm=0.02279597520828247
  Angle 6: cl=0.4646652042865753, cd=0.10011576861143112, cm=0.017200663685798645
  Angle 7: cl=0.5618263483047485, cd=0.10147373378276825, cm=0.011366814374923706
  Angle 8: cl=0.6574351787567139, cd=0.10431419312953949, cm=0.004775986075401306
  Angle 9: cl=0.748039186000824, cd=0.10811347514390945, cm=-0.0034873634576797485
  Angle 10: cl=0.8488587737083435, cd=0.11209829151630402, cm=-0.01743049919605255
Genotype [0.008640348477105259, 0.41, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.10504259942755986, -0.003, 0.005, 9.02438459714609, 11.265617175348174]:
  Angle -10: cl=-0.5266602039337158, cd=0.2125449776649475, cm=-0.17808549106121063
  Angle -9: cl=-0.5637735724449158, cd=0.18288575112819672, cm=-0.1727025955915451
  Angle -8: cl=-0.6063833236694336, cd=0.15674740076065063, cm=-0.16451261937618256
  Angle -7: cl=-0.6386328339576721, cd=0.12847386300563812, cm=-0.1586194783449173
  Angle -6: cl=-0.6202262043952942, cd=0.11470696330070496, cm=-0.14712898433208466
  Angle -5: cl=-0.4927901029586792, cd=0.09934854507446289, cm=-0.13419704139232635
  Angle -4: cl=-0.39583712816238403, cd=0.08928009867668152, cm=-0.11466579139232635
  Angle -3: cl=-0.3117665946483612, cd=0.08181796967983246, cm=-0.09092177450656891
  Angle -2: cl=-0.23872172832489014, cd=0.07708414644002914, cm=-0.0645407885313034
  Angle -1: cl=-0.17902825772762299, cd=0.07650188356637955, cm=-0.03776337206363678
  Angle 0: cl=-0.1313045769929886, cd=0.08411451429128647, cm=-0.018743202090263367
  Angle 1: cl=-0.0764598473906517, cd=0.09261403977870941, cm=0.0008500516414642334
  Angle 2: cl=0.03770677000284195, cd=0.09445450454950333, cm=0.012117058038711548
  Angle 3: cl=0.1756138652563095, cd=0.09397965669631958, cm=0.019037052989006042
  Angle 4: cl=0.2454054206609726, cd=0.09933155030012131, cm=0.021758675575256348
  Angle 5: cl=0.32136592268943787, cd=0.10194846987724304, cm=0.018362030386924744
  Angle 6: cl=0.4131607115268707, cd=0.10370862483978271, cm=0.01330992579460144
  Angle 7: cl=0.5089569091796875, cd=0.10503678023815155, cm=0.007602661848068237
  Angle 8: cl=0.6043959856033325, cd=0.10654710233211517, cm=0.001317143440246582
  Angle 9: cl=0.6930900812149048, cd=0.10950595885515213, cm=-0.006344988942146301
  Angle 10: cl=0.8089907169342041, cd=0.11065042018890381, cm=-0.028909578919410706
Genotype [0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.7797093975445413, 0.2568485090091871, -0.022339791634846246, 0.07152794075232749, -0.006, 0.002936007601098488, 9.02438459714609, 11.265617175348174]:
  Angle -10: cl=-0.5674502849578857, cd=0.18619227409362793, cm=-0.16529665887355804
  Angle -9: cl=-0.6133419275283813, cd=0.1637568324804306, cm=-0.15613184869289398
  Angle -8: cl=-0.6573903560638428, cd=0.1379898339509964, cm=-0.14773251116275787
  Angle -7: cl=-0.6671525835990906, cd=0.11443942785263062, cm=-0.14029879868030548
  Angle -6: cl=-0.5600553750991821, cd=0.09764238446950912, cm=-0.1158716231584549
  Angle -5: cl=-0.47988229990005493, cd=0.09055609256029129, cm=-0.08899782598018646
  Angle -4: cl=-0.40263620018959045, cd=0.08764228969812393, cm=-0.06576372683048248
  Angle -3: cl=-0.3340691328048706, cd=0.09180853515863419, cm=-0.05068902671337128
  Angle -2: cl=-0.291223406791687, cd=0.09795857965946198, cm=-0.03325103223323822
  Angle -1: cl=-0.2547137141227722, cd=0.10384100675582886, cm=-0.01701854169368744
  Angle 0: cl=-0.20307478308677673, cd=0.1086878851056099, cm=-0.0019648373126983643
  Angle 1: cl=-0.14017421007156372, cd=0.11136483401060104, cm=0.005478784441947937
  Angle 2: cl=-0.008977586403489113, cd=0.10887248069047928, cm=0.0046349018812179565
  Angle 3: cl=0.08447127044200897, cd=0.11165366321802139, cm=0.0009216070175170898
  Angle 4: cl=0.1724989116191864, cd=0.11373554915189743, cm=-0.003342553973197937
  Angle 5: cl=0.2786542475223541, cd=0.11193308979272842, cm=-0.017706409096717834
  Angle 6: cl=0.39249658584594727, cd=0.10977119952440262, cm=-0.033553346991539
  Angle 7: cl=0.5078744292259216, cd=0.10761039704084396, cm=-0.04973258078098297
  Angle 8: cl=0.62852543592453, cd=0.10628542304039001, cm=-0.07128383219242096
  Angle 9: cl=0.7451746463775635, cd=0.10519804805517197, cm=-0.09507893025875092
  Angle 10: cl=0.8614791631698608, cd=0.10424214601516724, cm=-0.11838634312152863
Genotype [0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8850935848388926, 0.21544470172661312, -0.022339791634846246, 0.10638813946764163, -0.003, 0.0025, 9.02438459714609, 10.002326744999644]:
  Angle -10: cl=-0.5630882382392883, cd=0.1950642615556717, cm=-0.17191733419895172
  Angle -9: cl=-0.6095694303512573, cd=0.1707926243543625, cm=-0.16227351129055023
  Angle -8: cl=-0.6434158086776733, cd=0.14149948954582214, cm=-0.155874565243721
  Angle -7: cl=-0.6685306429862976, cd=0.11734449118375778, cm=-0.14381609857082367
  Angle -6: cl=-0.6718555688858032, cd=0.10353501886129379, cm=-0.11952988803386688
  Angle -5: cl=-0.6132240295410156, cd=0.0948353260755539, cm=-0.09207083284854889
  Angle -4: cl=-0.5328794717788696, cd=0.0870215892791748, cm=-0.06750909984111786
  Angle -3: cl=-0.4512479901313782, cd=0.08768614381551743, cm=-0.051033005118370056
  Angle -2: cl=-0.3817102611064911, cd=0.09279242157936096, cm=-0.038888320326805115
  Angle -1: cl=-0.3427238166332245, cd=0.09938704967498779, cm=-0.020723387598991394
  Angle 0: cl=-0.293185293674469, cd=0.10504850000143051, cm=-0.0027659237384796143
  Angle 1: cl=-0.21784505248069763, cd=0.10937987267971039, cm=0.010606586933135986
  Angle 2: cl=-0.04137676954269409, cd=0.10462237894535065, cm=0.017683491110801697
  Angle 3: cl=0.0600614994764328, cd=0.10531248897314072, cm=0.01700998842716217
  Angle 4: cl=0.14227110147476196, cd=0.10649050027132034, cm=0.013497665524482727
  Angle 5: cl=0.2232222557067871, cd=0.10768608003854752, cm=0.009848177433013916
  Angle 6: cl=0.31137600541114807, cd=0.10859240591526031, cm=0.001811593770980835
  Angle 7: cl=0.42771413922309875, cd=0.10610395669937134, cm=-0.015363290905952454
  Angle 8: cl=0.5411821007728577, cd=0.10507530719041824, cm=-0.038154616951942444
  Angle 9: cl=0.6581788063049316, cd=0.10384361445903778, cm=-0.06147737801074982
  Angle 10: cl=0.7706937789916992, cd=0.10291621088981628, cm=-0.08464701473712921
Genotype [0.0085, 0.4411351306433998, 0.12942275801526104, -0.8974782797008692, 0.26, -0.015, 0.11249221841557676, -0.003, 0.002695549295010748, 8.876324455316253, 10.002326744999644]:
  Angle -10: cl=-0.54182368516922, cd=0.20863735675811768, cm=-0.17991764843463898
  Angle -9: cl=-0.5798654556274414, cd=0.17994146049022675, cm=-0.17402465641498566
  Angle -8: cl=-0.6163098216056824, cd=0.1520923674106598, cm=-0.16676105558872223
  Angle -7: cl=-0.6445401310920715, cd=0.12496818602085114, cm=-0.15921683609485626
  Angle -6: cl=-0.6222875118255615, cd=0.11010021716356277, cm=-0.14839689433574677
  Angle -5: cl=-0.5082144141197205, cd=0.09848906099796295, cm=-0.13358770310878754
  Angle -4: cl=-0.4242476224899292, cd=0.09097878634929657, cm=-0.11168967187404633
  Angle -3: cl=-0.338809609413147, cd=0.08325202018022537, cm=-0.08818526566028595
  Angle -2: cl=-0.26757174730300903, cd=0.07774617522954941, cm=-0.06174255907535553
  Angle -1: cl=-0.21804970502853394, cd=0.07849613577127457, cm=-0.03719152510166168
  Angle 0: cl=-0.16830943524837494, cd=0.08535340428352356, cm=-0.01911701261997223
  Angle 1: cl=-0.10317602753639221, cd=0.09313186258077621, cm=-0.0016344636678695679
  Angle 2: cl=0.014369268901646137, cd=0.09528644382953644, cm=0.009878337383270264
  Angle 3: cl=0.16295737028121948, cd=0.09410218894481659, cm=0.0176226943731308
  Angle 4: cl=0.2405174970626831, cd=0.09955091029405594, cm=0.022985205054283142
  Angle 5: cl=0.3276538848876953, cd=0.10170555114746094, cm=0.01840314269065857
  Angle 6: cl=0.4226821959018707, cd=0.10325920581817627, cm=0.01297806203365326
  Angle 7: cl=0.5189343690872192, cd=0.10461363941431046, cm=0.007359057664871216
  Angle 8: cl=0.6163108944892883, cd=0.10615289956331253, cm=0.0008423477411270142
  Angle 9: cl=0.7320501804351807, cd=0.10486923158168793, cm=-0.01881997287273407
  Angle 10: cl=0.8486204147338867, cd=0.10582776367664337, cm=-0.04262571036815643
Genotype [0.008640348477105259, 0.4220889620931257, 0.12942275801526104, -0.8974782797008692, 0.26, -0.022339791634846246, 0.07152794075232749, -0.00447238165456266, 0.0025, 8.876324455316253, 10.002326744999644]:
  Angle -10: cl=-0.5510466694831848, cd=0.20060588419437408, cm=-0.17759640514850616
  Angle -9: cl=-0.5920555591583252, cd=0.17427413165569305, cm=-0.17104442417621613
  Angle -8: cl=-0.635380208492279, cd=0.1484992355108261, cm=-0.1634228378534317
  Angle -7: cl=-0.6615809202194214, cd=0.12092707306146622, cm=-0.15829499065876007
  Angle -6: cl=-0.5762690305709839, cd=0.10925985872745514, cm=-0.14805151522159576
  Angle -5: cl=-0.4473239779472351, cd=0.09466433525085449, cm=-0.13355059921741486
  Angle -4: cl=-0.3668707013130188, cd=0.08794769644737244, cm=-0.10893796384334564
  Angle -3: cl=-0.28403162956237793, cd=0.08251327276229858, cm=-0.08363266289234161
  Angle -2: cl=-0.22046315670013428, cd=0.07864022254943848, cm=-0.055518314242362976
  Angle -1: cl=-0.16728653013706207, cd=0.08112192898988724, cm=-0.032659098505973816
  Angle 0: cl=-0.11366111040115356, cd=0.08913637697696686, cm=-0.013082936406135559
  Angle 1: cl=-0.052106402814388275, cd=0.09715304523706436, cm=0.004882067441940308
  Angle 2: cl=0.11821962147951126, cd=0.09232307970523834, cm=0.012848690152168274
  Angle 3: cl=0.19594399631023407, cd=0.09840697795152664, cm=0.02018582820892334
  Angle 4: cl=0.2696727216243744, cd=0.10220228135585785, cm=0.01862300932407379
  Angle 5: cl=0.35644179582595825, cd=0.10467667877674103, cm=0.013792470097541809
  Angle 6: cl=0.45449298620224, cd=0.10611718893051147, cm=0.008107215166091919
