Experiment: Nash_Combination_Experiment_56
Generation: 42
Generation Type: v
Timestamp: 20231226_212437

Genotypes and their Fitness Values:
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15725879312594665, Adjusted Fitness: 0.40007942803554025
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15725879312594665, Adjusted Fitness: 0.40007942803554025
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.9, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.16187104133845323, Adjusted Fitness: 0.29001486754113087
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.0387852000092055, 10.36177514008598] - Base Fitness: 0.1767536481186167, Adjusted Fitness: 0.2057222443015282
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.015, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 12.175155424083814] - Base Fitness: -0.6201304092759812, Adjusted Fitness: -0.6185282179945826
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.9, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.16187104133845323, Adjusted Fitness: 0.29001486754113087
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.9, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.16187104133845323, Adjusted Fitness: 0.29001486754113087
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15725879312594665, Adjusted Fitness: 0.40007942803554025
[0.0085, 0.46, 0.12973495862335244, -0.7, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.20266692786400584, Adjusted Fitness: 0.22931577718927004
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.46, 0.12973495862335244, -0.7, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.888776779597581, 10.36177514008598] - Base Fitness: 0.1854267755134147, Adjusted Fitness: 0.18855094270283407
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15725879312594665, Adjusted Fitness: 0.40007942803554025
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.13, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.16677807777819725, Adjusted Fitness: 0.2392133163807094
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.41, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.09342098691349035, Adjusted Fitness: 0.39324282665265947
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.015, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: -0.44743992128340826, Adjusted Fitness: -0.4199709148650196
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0126, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: -0.5117586499668493, Adjusted Fitness: -0.46865621241551475
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0126, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: -0.5117586499668493, Adjusted Fitness: -0.46865621241551475
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15264836290160022, Adjusted Fitness: 51.50762678270044
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.003478748308222] - Base Fitness: 0.1917823261172318, Adjusted Fitness: 0.19825628237637904
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: -0.4439518891644801, Adjusted Fitness: -0.4439518891644801
[0.0085, 0.46, 0.13, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.21855897920082004, Adjusted Fitness: 0.2485017962831178
[0.0085, 0.46, 0.12973495862335244, -0.7739851209376808, 0.2, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.003478748308222] - Base Fitness: -1.4366313087700653, Adjusted Fitness: -1.4366313087700653
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.15725879312594665, Adjusted Fitness: 0.40007942803554025
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.005, 7.508332431759012, 10.36177514008598] - Base Fitness: -0.11330689437444257, Adjusted Fitness: -0.08968382533070117
[0.0085, 0.46, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: 0.21197382957376532, Adjusted Fitness: 0.22770088047196363
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.015, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: -0.44743992128340826, Adjusted Fitness: -0.4199709148650196
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.2, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: -1.4924324157390574, Adjusted Fitness: -1.4797980827262311
[0.0085, 0.42696678112685627, 0.12973495862335244, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.265238003384834] - Base Fitness: 0.16234031383525618, Adjusted Fitness: 0.16836649932101683
[0.0085, 0.41, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.2, -0.003, 0.005, 7.508332431759012, 10.003478748308222] - Base Fitness: -0.20485390272726084, Adjusted Fitness: -0.2047178743302805
[0.0085, 0.42696678112685627, 0.11, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598] - Base Fitness: -0.515065933336098, Adjusted Fitness: -0.5121488663765106

Detailed Results for Each Genotype:
Genotype [0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598]:
  Angle -10: cl=-0.559258759021759, cd=0.23367485404014587, cm=-0.1877896636724472
  Angle -9: cl=-0.5953817963600159, cd=0.20287935435771942, cm=-0.1798742264509201
  Angle -8: cl=-0.6262578964233398, cd=0.17043890058994293, cm=-0.1755245178937912
  Angle -7: cl=-0.65305095911026, cd=0.1352027803659439, cm=-0.17095313966274261
  Angle -6: cl=-0.6209330558776855, cd=0.11981114745140076, cm=-0.15881763398647308
  Angle -5: cl=-0.5053887367248535, cd=0.10737434774637222, cm=-0.14692215621471405
  Angle -4: cl=-0.3849543333053589, cd=0.09627480059862137, cm=-0.13540054857730865
  Angle -3: cl=-0.27724510431289673, cd=0.08896216750144958, cm=-0.1211080402135849
  Angle -2: cl=-0.19406132400035858, cd=0.08293930441141129, cm=-0.10059471428394318
  Angle -1: cl=-0.1358216106891632, cd=0.0799621120095253, cm=-0.07132925093173981
  Angle 0: cl=-0.0761350616812706, cd=0.0797349363565445, cm=-0.04099704325199127
  Angle 1: cl=-0.008537279441952705, cd=0.08074697852134705, cm=-0.01490466296672821
  Angle 2: cl=0.07165798544883728, cd=0.08182905614376068, cm=0.0006567239761352539
  Angle 3: cl=0.3027767539024353, cd=0.07054100185632706, cm=0.003641366958618164
  Angle 4: cl=0.38670384883880615, cd=0.07648508995771408, cm=0.009235143661499023
  Angle 5: cl=0.47707271575927734, cd=0.08404112607240677, cm=0.013347744941711426
  Angle 6: cl=0.5672798156738281, cd=0.09162189066410065, cm=0.016171276569366455
  Angle 7: cl=0.6578637957572937, cd=0.09864506870508194, cm=0.01824188232421875
  Angle 8: cl=0.7488114833831787, cd=0.10184890031814575, cm=0.011378869414329529
  Angle 9: cl=0.8393699526786804, cd=0.1054808720946312, cm=0.0029790103435516357
  Angle 10: cl=0.9363012909889221, cd=0.10967423021793365, cm=-0.0049975961446762085
Genotype [0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598]:
  Angle -10: cl=-0.559258759021759, cd=0.23367485404014587, cm=-0.1877896636724472
  Angle -9: cl=-0.5953817963600159, cd=0.20287935435771942, cm=-0.1798742264509201
  Angle -8: cl=-0.6262578964233398, cd=0.17043890058994293, cm=-0.1755245178937912
  Angle -7: cl=-0.65305095911026, cd=0.1352027803659439, cm=-0.17095313966274261
  Angle -6: cl=-0.6209330558776855, cd=0.11981114745140076, cm=-0.15881763398647308
  Angle -5: cl=-0.5053887367248535, cd=0.10737434774637222, cm=-0.14692215621471405
  Angle -4: cl=-0.3849543333053589, cd=0.09627480059862137, cm=-0.13540054857730865
  Angle -3: cl=-0.27724510431289673, cd=0.08896216750144958, cm=-0.1211080402135849
  Angle -2: cl=-0.19406132400035858, cd=0.08293930441141129, cm=-0.10059471428394318
  Angle -1: cl=-0.1358216106891632, cd=0.0799621120095253, cm=-0.07132925093173981
  Angle 0: cl=-0.0761350616812706, cd=0.0797349363565445, cm=-0.04099704325199127
  Angle 1: cl=-0.008537279441952705, cd=0.08074697852134705, cm=-0.01490466296672821
  Angle 2: cl=0.07165798544883728, cd=0.08182905614376068, cm=0.0006567239761352539
  Angle 3: cl=0.3027767539024353, cd=0.07054100185632706, cm=0.003641366958618164
  Angle 4: cl=0.38670384883880615, cd=0.07648508995771408, cm=0.009235143661499023
  Angle 5: cl=0.47707271575927734, cd=0.08404112607240677, cm=0.013347744941711426
  Angle 6: cl=0.5672798156738281, cd=0.09162189066410065, cm=0.016171276569366455
  Angle 7: cl=0.6578637957572937, cd=0.09864506870508194, cm=0.01824188232421875
  Angle 8: cl=0.7488114833831787, cd=0.10184890031814575, cm=0.011378869414329529
  Angle 9: cl=0.8393699526786804, cd=0.1054808720946312, cm=0.0029790103435516357
  Angle 10: cl=0.9363012909889221, cd=0.10967423021793365, cm=-0.0049975961446762085
Genotype [0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598]:
  Angle -10: cl=-0.559258759021759, cd=0.23367485404014587, cm=-0.1877896636724472
  Angle -9: cl=-0.5953817963600159, cd=0.20287935435771942, cm=-0.1798742264509201
  Angle -8: cl=-0.6262578964233398, cd=0.17043890058994293, cm=-0.1755245178937912
  Angle -7: cl=-0.65305095911026, cd=0.1352027803659439, cm=-0.17095313966274261
  Angle -6: cl=-0.6209330558776855, cd=0.11981114745140076, cm=-0.15881763398647308
  Angle -5: cl=-0.5053887367248535, cd=0.10737434774637222, cm=-0.14692215621471405
  Angle -4: cl=-0.3849543333053589, cd=0.09627480059862137, cm=-0.13540054857730865
  Angle -3: cl=-0.27724510431289673, cd=0.08896216750144958, cm=-0.1211080402135849
  Angle -2: cl=-0.19406132400035858, cd=0.08293930441141129, cm=-0.10059471428394318
  Angle -1: cl=-0.1358216106891632, cd=0.0799621120095253, cm=-0.07132925093173981
  Angle 0: cl=-0.0761350616812706, cd=0.0797349363565445, cm=-0.04099704325199127
  Angle 1: cl=-0.008537279441952705, cd=0.08074697852134705, cm=-0.01490466296672821
  Angle 2: cl=0.07165798544883728, cd=0.08182905614376068, cm=0.0006567239761352539
  Angle 3: cl=0.3027767539024353, cd=0.07054100185632706, cm=0.003641366958618164
  Angle 4: cl=0.38670384883880615, cd=0.07648508995771408, cm=0.009235143661499023
  Angle 5: cl=0.47707271575927734, cd=0.08404112607240677, cm=0.013347744941711426
  Angle 6: cl=0.5672798156738281, cd=0.09162189066410065, cm=0.016171276569366455
  Angle 7: cl=0.6578637957572937, cd=0.09864506870508194, cm=0.01824188232421875
  Angle 8: cl=0.7488114833831787, cd=0.10184890031814575, cm=0.011378869414329529
  Angle 9: cl=0.8393699526786804, cd=0.1054808720946312, cm=0.0029790103435516357
  Angle 10: cl=0.9363012909889221, cd=0.10967423021793365, cm=-0.0049975961446762085
Genotype [0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598]:
  Angle -10: cl=-0.5592110753059387, cd=0.2338191717863083, cm=-0.18780361115932465
  Angle -9: cl=-0.5952641367912292, cd=0.20300957560539246, cm=-0.1799084097146988
  Angle -8: cl=-0.6261754035949707, cd=0.17056229710578918, cm=-0.17554958164691925
  Angle -7: cl=-0.65299391746521, cd=0.13534606993198395, cm=-0.17102821171283722
  Angle -6: cl=-0.6208319664001465, cd=0.11992829293012619, cm=-0.15890462696552277
  Angle -5: cl=-0.5053287744522095, cd=0.10746197402477264, cm=-0.14701981842517853
  Angle -4: cl=-0.3846973478794098, cd=0.09630188345909119, cm=-0.13554318249225616
  Angle -3: cl=-0.2768993377685547, cd=0.08897454291582108, cm=-0.12122081220149994
  Angle -2: cl=-0.19366581737995148, cd=0.08297058939933777, cm=-0.10078753530979156
  Angle -1: cl=-0.13554753363132477, cd=0.07999005913734436, cm=-0.07153962552547455
  Angle 0: cl=-0.07577691972255707, cd=0.07975944131612778, cm=-0.04114149510860443
  Angle 1: cl=-0.007762787863612175, cd=0.08076447993516922, cm=-0.015144005417823792
  Angle 2: cl=0.0723593458533287, cd=0.08172907680273056, cm=0.0005675554275512695
  Angle 3: cl=0.30346792936325073, cd=0.0704115554690361, cm=0.003594443202018738
  Angle 4: cl=0.38755279779434204, cd=0.07635518908500671, cm=0.00912599265575409
  Angle 5: cl=0.478304922580719, cd=0.08397044986486435, cm=0.013222873210906982
  Angle 6: cl=0.5682657361030579, cd=0.09153752028942108, cm=0.016119182109832764
  Angle 7: cl=0.658602237701416, cd=0.09863828867673874, cm=0.018277034163475037
  Angle 8: cl=0.749594509601593, cd=0.10183284431695938, cm=0.011419609189033508
  Angle 9: cl=0.8402811884880066, cd=0.10546178370714188, cm=0.0030395090579986572
  Angle 10: cl=0.9371834397315979, cd=0.10965929925441742, cm=-0.0049775391817092896
Genotype [0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598]:
  Angle -10: cl=-0.559258759021759, cd=0.23367485404014587, cm=-0.1877896636724472
  Angle -9: cl=-0.5953817963600159, cd=0.20287935435771942, cm=-0.1798742264509201
  Angle -8: cl=-0.6262578964233398, cd=0.17043890058994293, cm=-0.1755245178937912
  Angle -7: cl=-0.65305095911026, cd=0.1352027803659439, cm=-0.17095313966274261
  Angle -6: cl=-0.6209330558776855, cd=0.11981114745140076, cm=-0.15881763398647308
  Angle -5: cl=-0.5053887367248535, cd=0.10737434774637222, cm=-0.14692215621471405
  Angle -4: cl=-0.3849543333053589, cd=0.09627480059862137, cm=-0.13540054857730865
  Angle -3: cl=-0.27724510431289673, cd=0.08896216750144958, cm=-0.1211080402135849
  Angle -2: cl=-0.19406132400035858, cd=0.08293930441141129, cm=-0.10059471428394318
  Angle -1: cl=-0.1358216106891632, cd=0.0799621120095253, cm=-0.07132925093173981
  Angle 0: cl=-0.0761350616812706, cd=0.0797349363565445, cm=-0.04099704325199127
  Angle 1: cl=-0.008537279441952705, cd=0.08074697852134705, cm=-0.01490466296672821
  Angle 2: cl=0.07165798544883728, cd=0.08182905614376068, cm=0.0006567239761352539
  Angle 3: cl=0.3027767539024353, cd=0.07054100185632706, cm=0.003641366958618164
  Angle 4: cl=0.38670384883880615, cd=0.07648508995771408, cm=0.009235143661499023
  Angle 5: cl=0.47707271575927734, cd=0.08404112607240677, cm=0.013347744941711426
  Angle 6: cl=0.5672798156738281, cd=0.09162189066410065, cm=0.016171276569366455
  Angle 7: cl=0.6578637957572937, cd=0.09864506870508194, cm=0.01824188232421875
  Angle 8: cl=0.7488114833831787, cd=0.10184890031814575, cm=0.011378869414329529
  Angle 9: cl=0.8393699526786804, cd=0.1054808720946312, cm=0.0029790103435516357
  Angle 10: cl=0.9363012909889221, cd=0.10967423021793365, cm=-0.0049975961446762085
Genotype [0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05730479453902301, -0.003, 0.0025, 7.508332431759012, 10.36177514008598]:
  Angle -10: cl=-0.559258759021759, cd=0.23367485404014587, cm=-0.1877896636724472
  Angle -9: cl=-0.5953817963600159, cd=0.20287935435771942, cm=-0.1798742264509201
  Angle -8: cl=-0.6262578964233398, cd=0.17043890058994293, cm=-0.1755245178937912
  Angle -7: cl=-0.65305095911026, cd=0.1352027803659439, cm=-0.17095313966274261
  Angle -6: cl=-0.6209330558776855, cd=0.11981114745140076, cm=-0.15881763398647308
  Angle -5: cl=-0.5053887367248535, cd=0.10737434774637222, cm=-0.14692215621471405
  Angle -4: cl=-0.3849543333053589, cd=0.09627480059862137, cm=-0.13540054857730865
  Angle -3: cl=-0.27724510431289673, cd=0.08896216750144958, cm=-0.1211080402135849
  Angle -2: cl=-0.19406132400035858, cd=0.08293930441141129, cm=-0.10059471428394318
  Angle -1: cl=-0.1358216106891632, cd=0.0799621120095253, cm=-0.07132925093173981
  Angle 0: cl=-0.0761350616812706, cd=0.0797349363565445, cm=-0.04099704325199127
  Angle 1: cl=-0.008537279441952705, cd=0.08074697852134705, cm=-0.01490466296672821
  Angle 2: cl=0.07165798544883728, cd=0.08182905614376068, cm=0.0006567239761352539
  Angle 3: cl=0.3027767539024353, cd=0.07054100185632706, cm=0.003641366958618164
  Angle 4: cl=0.38670384883880615, cd=0.07648508995771408, cm=0.009235143661499023
  Angle 5: cl=0.47707271575927734, cd=0.08404112607240677, cm=0.013347744941711426
  Angle 6: cl=0.5672798156738281, cd=0.09162189066410065, cm=0.016171276569366455
  Angle 7: cl=0.6578637957572937, cd=0.09864506870508194, cm=0.01824188232421875
  Angle 8: cl=0.7488114833831787, cd=0.10184890031814575, cm=0.011378869414329529
  Angle 9: cl=0.8393699526786804, cd=0.1054808720946312, cm=0.0029790103435516357
  Angle 10: cl=0.9363012909889221, cd=0.10967423021793365, cm=-0.0049975961446762085
Genotype [0.0085, 0.42696678112685627, 0.12973495862335244, -0.7739851209376808, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.508332431759012, 10.36177514008598]:
  Angle -10: cl=-0.5592110753059387, cd=0.2338191717863083, cm=-0.18780361115932465
  Angle -9: cl=-0.5952641367912292, cd=0.20300957560539246, cm=-0.1799084097146988
  Angle -8: cl=-0.6261754035949707, cd=0.17056229710578918, cm=-0.17554958164691925
