Experiment: Nash_Combination_Experiment_6
Generation: 87
Generation Type: u
Timestamp: 20231226_043359

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.11, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: -0.5247172960512655, Adjusted Fitness: -0.5247172960512655
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.2, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: -1.465107487997161, Adjusted Fitness: -1.465107487997161
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0126, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: -0.5109729480766665, Adjusted Fitness: -0.5109729480766665
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.0] - Base Fitness: 0.21593757890465787, Adjusted Fitness: 0.2543783590868461
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 7.441616222413112, 10.184843207592412] - Base Fitness: 0.2427157233549315, Adjusted Fitness: 0.2427157233549315
[0.0085, 0.41, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.0801387334895354, Adjusted Fitness: 0.08771922665494886
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.281115518439026, Adjusted Fitness: 0.28429363195891516
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.2, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.11176959734878199, Adjusted Fitness: 0.12663679930901522
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.2, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: -1.465107487997161, Adjusted Fitness: -1.465107487997161
[0.0085, 0.41, 0.13, -0.7, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.06601768136476913, Adjusted Fitness: 0.06601768136476913
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.11, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: -0.5341065748310944, Adjusted Fitness: -0.5341065748310944
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.20565564404122252, Adjusted Fitness: 0.2150792354756883
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.0] - Base Fitness: 0.21593757890465787, Adjusted Fitness: 0.2543783590868461
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0126, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: -0.5025121732264997, Adjusted Fitness: -0.5025121732264997
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: -0.43951259349617183, Adjusted Fitness: -0.43951259349617183
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.281115518439026, Adjusted Fitness: 0.28429363195891516
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.19473695315789513, Adjusted Fitness: 3103119.5816157334
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.015, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: -0.44002562512139043, Adjusted Fitness: -0.44002562512139043
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 11.295726388227283] - Base Fitness: 0.06776959337478565, Adjusted Fitness: 0.06776959337478565
[0.0126, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: -0.4391552845099826, Adjusted Fitness: -0.4391552845099826
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.2, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.11176959734878199, Adjusted Fitness: 0.12663679930901522
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: 0.2050122672691423, Adjusted Fitness: 0.512879221478929
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.2, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412] - Base Fitness: -1.465107487997161, Adjusted Fitness: -1.465107487997161
[0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.281115518439026, Adjusted Fitness: 0.28429363195891516
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.2816856929003459, Adjusted Fitness: 0.2818523923621683

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.11, -0.8894076205479857, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.422821736029984, 10.184843207592412]:
  Angle -10: cl=-0.6135309338569641, cd=0.22886981070041656, cm=-0.18824289739131927
  Angle -9: cl=-0.6513125896453857, cd=0.19839340448379517, cm=-0.180680051445961
  Angle -8: cl=-0.6929288506507874, cd=0.16749191284179688, cm=-0.1750265210866928
  Angle -7: cl=-0.7111310362815857, cd=0.1352919042110443, cm=-0.17023666203022003
  Angle -6: cl=-0.662155032157898, cd=0.12260594964027405, cm=-0.15612171590328217
  Angle -5: cl=-0.5680646896362305, cd=0.10813705623149872, cm=-0.14335520565509796
  Angle -4: cl=-0.45458751916885376, cd=0.09646783024072647, cm=-0.13099412620067596
  Angle -3: cl=-0.3313361406326294, cd=0.08626234531402588, cm=-0.11829991638660431
  Angle -2: cl=-0.24113821983337402, cd=0.0791613981127739, cm=-0.0961858481168747
  Angle -1: cl=-0.18195053935050964, cd=0.07545414566993713, cm=-0.06793896853923798
  Angle 0: cl=-0.12412388622760773, cd=0.07521407306194305, cm=-0.037913188338279724
  Angle 1: cl=-0.06630100309848785, cd=0.07763798534870148, cm=-0.012966588139533997
  Angle 2: cl=0.004760032519698143, cd=0.08319750428199768, cm=0.000546768307685852
  Angle 3: cl=0.17573614418506622, cd=0.07673192769289017, cm=0.0048094242811203
  Angle 4: cl=0.30244266986846924, cd=0.07687976956367493, cm=0.00994671881198883
  Angle 5: cl=0.384646475315094, cd=0.08240410685539246, cm=0.014895141124725342
  Angle 6: cl=0.47025343775749207, cd=0.08889037370681763, cm=0.017917409539222717
  Angle 7: cl=0.5567867755889893, cd=0.09594051539897919, cm=0.020678505301475525
  Angle 8: cl=0.6459782123565674, cd=0.10072717815637589, cm=0.018795818090438843
  Angle 9: cl=0.7359588146209717, cd=0.10383393615484238, cm=0.011356621980667114
  Angle 10: cl=0.8321148157119751, cd=0.10807152092456818, cm=0.0032949298620224
Genotype [0.0085, 0.46, 0.13, -0.8894076205479857, 0.2, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412]:
  Angle -10: cl=-0.571213960647583, cd=0.19005391001701355, cm=-0.1723758727312088
  Angle -9: cl=-0.6000894904136658, cd=0.1607898324728012, cm=-0.16757018864154816
  Angle -8: cl=-0.6264528632164001, cd=0.14653313159942627, cm=-0.15346740186214447
  Angle -7: cl=-0.6565151214599609, cd=0.1343374252319336, cm=-0.1306527704000473
  Angle -6: cl=-0.6943981647491455, cd=0.11622065305709839, cm=-0.10715748369693756
  Angle -5: cl=-0.6862926483154297, cd=0.09912457317113876, cm=-0.08037136495113373
  Angle -4: cl=-0.6133087277412415, cd=0.0903000459074974, cm=-0.055267199873924255
  Angle -3: cl=-0.5373891592025757, cd=0.09417186677455902, cm=-0.04320211708545685
  Angle -2: cl=-0.4776208996772766, cd=0.09747346490621567, cm=-0.03246729075908661
  Angle -1: cl=-0.4226602017879486, cd=0.10207372903823853, cm=-0.015808269381523132
  Angle 0: cl=-0.3553447723388672, cd=0.10624762624502182, cm=-0.0013555437326431274
  Angle 1: cl=-0.2806476652622223, cd=0.11004842072725296, cm=0.009924739599227905
  Angle 2: cl=-0.1291675865650177, cd=0.10825099796056747, cm=0.01888836920261383
  Angle 3: cl=0.03747639060020447, cd=0.10525306314229965, cm=0.01708628237247467
  Angle 4: cl=0.12584298849105835, cd=0.10659732669591904, cm=0.013306424021720886
  Angle 5: cl=0.21495597064495087, cd=0.1075117364525795, cm=0.00906488299369812
  Angle 6: cl=0.32857516407966614, cd=0.10416918992996216, cm=-0.007991299033164978
  Angle 7: cl=0.4405037760734558, cd=0.10199999064207077, cm=-0.028907373547554016
  Angle 8: cl=0.5599381923675537, cd=0.10041479766368866, cm=-0.05334086716175079
  Angle 9: cl=0.6739025712013245, cd=0.09878958761692047, cm=-0.07780914008617401
  Angle 10: cl=0.785283088684082, cd=0.09804634004831314, cm=-0.10220746695995331
Genotype [0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412]:
  Angle -10: cl=-0.561150848865509, cd=0.22929896414279938, cm=-0.1889108270406723
  Angle -9: cl=-0.586162805557251, cd=0.19573821127414703, cm=-0.18641142547130585
  Angle -8: cl=-0.6090109944343567, cd=0.1608087122440338, cm=-0.18506883084774017
  Angle -7: cl=-0.6477649807929993, cd=0.12731310725212097, cm=-0.17838530242443085
  Angle -6: cl=-0.6029226183891296, cd=0.11344368010759354, cm=-0.16308005154132843
  Angle -5: cl=-0.5040251016616821, cd=0.10393572598695755, cm=-0.1497809737920761
  Angle -4: cl=-0.4114721715450287, cd=0.09905780851840973, cm=-0.1364792436361313
  Angle -3: cl=-0.3089157044887543, cd=0.09292778372764587, cm=-0.12242992222309113
  Angle -2: cl=-0.23685669898986816, cd=0.08746670931577682, cm=-0.09783415496349335
  Angle -1: cl=-0.17601653933525085, cd=0.08296218514442444, cm=-0.06846009194850922
  Angle 0: cl=-0.10459515452384949, cd=0.08245731890201569, cm=-0.04103381931781769
  Angle 1: cl=-0.020983556285500526, cd=0.08299317955970764, cm=-0.01925201714038849
  Angle 2: cl=0.06250708550214767, cd=0.08378010988235474, cm=-0.003859207034111023
  Angle 3: cl=0.31114959716796875, cd=0.06850751489400864, cm=-0.001590639352798462
  Angle 4: cl=0.4075329005718231, cd=0.07489151507616043, cm=0.0030537545680999756
  Angle 5: cl=0.505564272403717, cd=0.08318884670734406, cm=0.0063771456480026245
  Angle 6: cl=0.6011547446250916, cd=0.08996403962373734, cm=0.008320868015289307
  Angle 7: cl=0.6910960078239441, cd=0.09656954556703568, cm=0.010695680975914001
  Angle 8: cl=0.7818732261657715, cd=0.10222005844116211, cm=0.009581893682479858
  Angle 9: cl=0.877098560333252, cd=0.10636817663908005, cm=0.0013449639081954956
  Angle 10: cl=0.9752857089042664, cd=0.11294765770435333, cm=-0.006489291787147522
Genotype [0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412]:
  Angle -10: cl=-0.561150848865509, cd=0.22929896414279938, cm=-0.1889108270406723
  Angle -9: cl=-0.586162805557251, cd=0.19573821127414703, cm=-0.18641142547130585
  Angle -8: cl=-0.6090109944343567, cd=0.1608087122440338, cm=-0.18506883084774017
  Angle -7: cl=-0.6477649807929993, cd=0.12731310725212097, cm=-0.17838530242443085
  Angle -6: cl=-0.6029226183891296, cd=0.11344368010759354, cm=-0.16308005154132843
  Angle -5: cl=-0.5040251016616821, cd=0.10393572598695755, cm=-0.1497809737920761
  Angle -4: cl=-0.4114721715450287, cd=0.09905780851840973, cm=-0.1364792436361313
  Angle -3: cl=-0.3089157044887543, cd=0.09292778372764587, cm=-0.12242992222309113
  Angle -2: cl=-0.23685669898986816, cd=0.08746670931577682, cm=-0.09783415496349335
  Angle -1: cl=-0.17601653933525085, cd=0.08296218514442444, cm=-0.06846009194850922
  Angle 0: cl=-0.10459515452384949, cd=0.08245731890201569, cm=-0.04103381931781769
  Angle 1: cl=-0.020983556285500526, cd=0.08299317955970764, cm=-0.01925201714038849
  Angle 2: cl=0.06250708550214767, cd=0.08378010988235474, cm=-0.003859207034111023
  Angle 3: cl=0.31114959716796875, cd=0.06850751489400864, cm=-0.001590639352798462
  Angle 4: cl=0.4075329005718231, cd=0.07489151507616043, cm=0.0030537545680999756
  Angle 5: cl=0.505564272403717, cd=0.08318884670734406, cm=0.0063771456480026245
  Angle 6: cl=0.6011547446250916, cd=0.08996403962373734, cm=0.008320868015289307
  Angle 7: cl=0.6910960078239441, cd=0.09656954556703568, cm=0.010695680975914001
  Angle 8: cl=0.7818732261657715, cd=0.10222005844116211, cm=0.009581893682479858
  Angle 9: cl=0.877098560333252, cd=0.10636817663908005, cm=0.0013449639081954956
  Angle 10: cl=0.9752857089042664, cd=0.11294765770435333, cm=-0.006489291787147522
Genotype [0.0126, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412]:
  Angle -10: cl=-0.5389994978904724, cd=0.20052286982536316, cm=-0.182735875248909
  Angle -9: cl=-0.5705887079238892, cd=0.1706588715314865, cm=-0.1782216578722
  Angle -8: cl=-0.5947937965393066, cd=0.1450214684009552, cm=-0.17021028697490692
  Angle -7: cl=-0.6238638162612915, cd=0.12402810156345367, cm=-0.15852774679660797
  Angle -6: cl=-0.6441710591316223, cd=0.10992106795310974, cm=-0.14444927871227264
  Angle -5: cl=-0.558286726474762, cd=0.10213349759578705, cm=-0.1256989985704422
  Angle -4: cl=-0.47397714853286743, cd=0.09429778158664703, cm=-0.10193140804767609
  Angle -3: cl=-0.38863012194633484, cd=0.08653467893600464, cm=-0.07816611230373383
  Angle -2: cl=-0.3165690302848816, cd=0.0804976224899292, cm=-0.051227882504463196
  Angle -1: cl=-0.26478615403175354, cd=0.08340166509151459, cm=-0.030264362692832947
  Angle 0: cl=-0.20486968755722046, cd=0.09130729734897614, cm=-0.013839557766914368
  Angle 1: cl=-0.12934714555740356, cd=0.09823203086853027, cm=0.0007240474224090576
  Angle 2: cl=0.02971038967370987, cd=0.0956365242600441, cm=0.01000434160232544
  Angle 3: cl=0.16672372817993164, cd=0.0955919399857521, cm=0.016678228974342346
  Angle 4: cl=0.2582780122756958, cd=0.10065170377492905, cm=0.021487146615982056
  Angle 5: cl=0.35698607563972473, cd=0.10313107073307037, cm=0.016933590173721313
  Angle 6: cl=0.45341113209724426, cd=0.10438579320907593, cm=0.011726319789886475
  Angle 7: cl=0.5522279143333435, cd=0.10564309358596802, cm=0.00632832944393158
  Angle 8: cl=0.6563998460769653, cd=0.1054912582039833, cm=-0.0054203420877456665
  Angle 9: cl=0.7702869176864624, cd=0.10496661067008972, cm=-0.029231324791908264
  Angle 10: cl=0.8843799829483032, cd=0.10820219665765762, cm=-0.053362295031547546
Genotype [0.0085, 0.46, 0.13, -0.8894076205479857, 0.26, -0.023, 0.0669119078967754, -0.003, 0.0025, 8.422821736029984, 10.184843207592412]:
  Angle -10: cl=-0.561150848865509, cd=0.22929896414279938, cm=-0.1889108270406723
  Angle -9: cl=-0.586162805557251, cd=0.19573821127414703, cm=-0.18641142547130585
  Angle -8: cl=-0.6090109944343567, cd=0.1608087122440338, cm=-0.18506883084774017
  Angle -7: cl=-0.6477649807929993, cd=0.12731310725212097, cm=-0.17838530242443085
  Angle -6: cl=-0.6029226183891296, cd=0.11344368010759354, cm=-0.16308005154132843
  Angle -5: cl=-0.5040251016616821, cd=0.10393572598695755, cm=-0.1497809737920761
  Angle -4: cl=-0.4114721715450287, cd=0.09905780851840973, cm=-0.1364792436361313
  Angle -3: cl=-0.3089157044887543, cd=0.09292778372764587, cm=-0.12242992222309113
  Angle -2: cl=-0.23685669898986816, cd=0.08746670931577682, cm=-0.09783415496349335
  Angle -1: cl=-0.17601653933525085, cd=0.08296218514442444, cm=-0.06846009194850922
  Angle 0: cl=-0.10459515452384949, cd=0.08245731890201569, cm=-0.04103381931781769
  Angle 1: cl=-0.020983556285500526, cd=0.08299317955970764, cm=-0.01925201714038849
  Angle 2: cl=0.06250708550214767, cd=0.08378010988235474, cm=-0.003859207034111023
  Angle 3: cl=0.31114959716796875, cd=0.06850751489400864, cm=-0.001590639352798462
  Angle 4: cl=0.4075329005718231, cd=0.07489151507616043, cm=0.0030537545680999756
