Experiment: Nash_Combination_Experiment_61
Generation: 25
Generation Type: v
Timestamp: 20231226_225132

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: -0.013250680453489868, Adjusted Fitness: 0.41215764903349605
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.538292949410097] - Base Fitness: 0.055845548196068164, Adjusted Fitness: 0.06658965165188105
[0.0126, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.5975795832962902, Adjusted Fitness: -0.5879711879307435
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: 0.05731366047654849, Adjusted Fitness: 0.1248626704529819
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 0.35623098966659517
[0.0085, 0.43926100672228924, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.13315311173222316, -0.003, 0.0025, 9.09479006788544, 10.457529337695798] - Base Fitness: 0.035404414266144636, Adjusted Fitness: 0.046000559021711865
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.015, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.48114768946772] - Base Fitness: -0.5348288436419708, Adjusted Fitness: -0.5295469809283747
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.10506781831173098, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.09074602193050285, Adjusted Fitness: 0.10100760523102909
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: 0.07436861101506519, Adjusted Fitness: 0.23934586795781396
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: -0.013250680453489868, Adjusted Fitness: 0.41215764903349605
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.12060827175748606, -0.003, 0.0025, 9.076783085113906, 10.459067209855055] - Base Fitness: -0.005123549449587015, Adjusted Fitness: 0.005101403472198155
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.503021432426644] - Base Fitness: 0.07690834395952449, Adjusted Fitness: 0.10998115806456735
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.25920220445390413, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: 0.03913018136143426, Adjusted Fitness: 0.08334618413441953
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 0.35623098966659517
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.104061797025206, 10.525458167368818] - Base Fitness: -0.013803785152515943, Adjusted Fitness: -0.003566648632736714
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.509233914358965] - Base Fitness: -0.01135758133056384, Adjusted Fitness: -0.0011480500131938378
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.25920220445390413, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: 0.03913018136143426, Adjusted Fitness: 0.08334618413441953
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.25920220445390413, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.023860791534404003, Adjusted Fitness: -0.0025253840569702153
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: 0.05731366047654849, Adjusted Fitness: 0.1248626704529819
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.06464646920658304, Adjusted Fitness: 0.1562581679305571
[0.0126, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.1184825397629, 10.459067209855055] - Base Fitness: -0.5981272140769748, Adjusted Fitness: -0.5933175999911893
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.25920220445390413, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.503021432426644] - Base Fitness: 0.04203825679621623, Adjusted Fitness: 0.05264832230487347
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.47140552051544] - Base Fitness: 0.08034240755267849, Adjusted Fitness: 0.09120112976817693
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.523880034842907] - Base Fitness: 0.07449673616591758, Adjusted Fitness: 0.0853330143901337
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 0.35623098966659517
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.503021432426644] - Base Fitness: -0.01059256386933743, Adjusted Fitness: 0.010155646101815088
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.08261295228709284, -0.003, 0.0025, 9.051444568025708, 10.525458167368818] - Base Fitness: 0.01229746437792454, Adjusted Fitness: 0.02267040455128748
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 0.35623098966659517
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.006, 0.0025, 9.09479006788544, 10.457529337695798] - Base Fitness: -0.42378474539380334, Adjusted Fitness: -0.4176029014896606
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.501160869577893] - Base Fitness: 0.07705297542083353, Adjusted Fitness: 0.08789243684627274
[0.0085, 0.4220277269228076, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.11058181484785162, -0.003, 0.0025, 9.09479006788544, 10.509233914358965] - Base Fitness: 0.0029565536596668626, Adjusted Fitness: 0.013248808886679567
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.006, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: -0.42982477614841946, Adjusted Fitness: -0.4092778021270561
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: -0.013250680453489868, Adjusted Fitness: 0.41215764903349605
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.457529337695798] - Base Fitness: -0.005759002663775959, Adjusted Fitness: 0.0044761631605187095
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 0.35623098966659517
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 0.35623098966659517
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: 0.07436861101506519, Adjusted Fitness: 0.23934586795781396
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.1556799645860702, -0.003, 0.0025, 9.08400725490805, 10.477930433321715] - Base Fitness: 0.04156028098422614, Adjusted Fitness: 0.06294799310884787
[0.0085, 0.41286299810921506, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.00798285592128056, Adjusted Fitness: 0.0022469260467492137
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.25920220445390413, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.509233914358965] - Base Fitness: 0.041288792816907574, Adjusted Fitness: 0.08475204712974065
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.005, 9.09479006788544, 10.47127951162036] - Base Fitness: -0.19875712605813525, Adjusted Fitness: -0.19032725308449527
[0.0085, 0.46, 0.11, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: -0.6413009595861732, Adjusted Fitness: -0.6358159835480546
[0.0085, 0.4220277269228076, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.143361584066016, 10.525458167368818] - Base Fitness: -0.006216968481897595, Adjusted Fitness: 0.004020639514397409
[0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.006, 0.0025, 9.09479006788544, 10.503021432426644] - Base Fitness: -0.4279468383186632, Adjusted Fitness: -0.42169877146353374
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.07837170917826872, -0.003, 0.0025, 9.12069520082469, 10.525458167368818] - Base Fitness: 0.08126182972914708, Adjusted Fitness: 0.10290961323705915
[0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.25920220445390413, -0.015, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.530438469971946] - Base Fitness: -0.5817186034944827, Adjusted Fitness: -0.5768345470323241
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: 0.07436861101506519, Adjusted Fitness: 0.23934586795781396
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818] - Base Fitness: 0.07436861101506519, Adjusted Fitness: 0.23934586795781396
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 0.35623098966659517
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.457529337695798] - Base Fitness: 0.0819434384527738, Adjusted Fitness: 0.09222909914577411

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.12769066354565903, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818]:
  Angle -10: cl=-0.5648007988929749, cd=0.22504191100597382, cm=-0.18834610283374786
  Angle -9: cl=-0.5936357378959656, cd=0.19237658381462097, cm=-0.1849946826696396
  Angle -8: cl=-0.6162011027336121, cd=0.15713050961494446, cm=-0.1827874630689621
  Angle -7: cl=-0.656336784362793, cd=0.12403254956007004, cm=-0.17444147169589996
  Angle -6: cl=-0.6161741018295288, cd=0.11270634084939957, cm=-0.15929634869098663
  Angle -5: cl=-0.5183579325675964, cd=0.10343403369188309, cm=-0.1459781676530838
  Angle -4: cl=-0.4212450087070465, cd=0.0979599729180336, cm=-0.13291041553020477
  Angle -3: cl=-0.3174014389514923, cd=0.09121452271938324, cm=-0.1179654449224472
  Angle -2: cl=-0.25014573335647583, cd=0.08530275523662567, cm=-0.09092752635478973
  Angle -1: cl=-0.19043415784835815, cd=0.08114928752183914, cm=-0.06148649752140045
  Angle 0: cl=-0.12439976632595062, cd=0.08129796385765076, cm=-0.03392116725444794
  Angle 1: cl=-0.04705016314983368, cd=0.08153369277715683, cm=-0.011509105563163757
  Angle 2: cl=0.03671190142631531, cd=0.08574894815683365, cm=0.0008806437253952026
  Angle 3: cl=0.2766879200935364, cd=0.07291392236948013, cm=0.0018968433141708374
  Angle 4: cl=0.3687792718410492, cd=0.07846934348344803, cm=0.00708337128162384
  Angle 5: cl=0.46609577536582947, cd=0.08562654256820679, cm=0.010599061846733093
  Angle 6: cl=0.5628805756568909, cd=0.09216678887605667, cm=0.012261226773262024
  Angle 7: cl=0.6536961197853088, cd=0.09873998165130615, cm=0.014549657702445984
  Angle 8: cl=0.744788646697998, cd=0.10268926620483398, cm=0.009145617485046387
  Angle 9: cl=0.8390863537788391, cd=0.10679084062576294, cm=0.0008660405874252319
  Angle 10: cl=0.9374080896377563, cd=0.11134596914052963, cm=-0.007351145148277283
Genotype [0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.538292949410097]:
  Angle -10: cl=-0.5592634677886963, cd=0.22501146793365479, cm=-0.1885582059621811
  Angle -9: cl=-0.5854539275169373, cd=0.19157665967941284, cm=-0.18569232523441315
  Angle -8: cl=-0.6078500747680664, cd=0.15633876621723175, cm=-0.1836881786584854
  Angle -7: cl=-0.6477048397064209, cd=0.12388573586940765, cm=-0.17522741854190826
  Angle -6: cl=-0.6075361371040344, cd=0.1120133176445961, cm=-0.16023780405521393
  Angle -5: cl=-0.5149942636489868, cd=0.10371525585651398, cm=-0.14625073969364166
  Angle -4: cl=-0.41867795586586, cd=0.09845507144927979, cm=-0.13314111530780792
  Angle -3: cl=-0.3151024281978607, cd=0.09182766824960709, cm=-0.11830063164234161
  Angle -2: cl=-0.25005096197128296, cd=0.08610580116510391, cm=-0.09100325405597687
  Angle -1: cl=-0.18962210416793823, cd=0.08182729780673981, cm=-0.06161417067050934
  Angle 0: cl=-0.12091398239135742, cd=0.08188460767269135, cm=-0.03465403616428375
  Angle 1: cl=-0.041491009294986725, cd=0.08215804398059845, cm=-0.012473151087760925
  Angle 2: cl=0.042663779109716415, cd=0.08562763035297394, cm=0.0005496591329574585
  Angle 3: cl=0.28504621982574463, cd=0.07265514880418777, cm=0.0014363974332809448
  Angle 4: cl=0.3797047436237335, cd=0.07817619293928146, cm=0.0063809603452682495
  Angle 5: cl=0.47774115204811096, cd=0.08566030859947205, cm=0.009600862860679626
  Angle 6: cl=0.575016438961029, cd=0.09220249950885773, cm=0.011349707841873169
  Angle 7: cl=0.6659948825836182, cd=0.09878265112638474, cm=0.013604000210762024
  Angle 8: cl=0.757490873336792, cd=0.10283023864030838, cm=0.008265599608421326
  Angle 9: cl=0.8524964451789856, cd=0.10704369843006134, cm=-9.861588478088379e-05
  Angle 10: cl=0.9493238925933838, cd=0.11307954788208008, cm=-0.00829024612903595
Genotype [0.0126, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055]:
  Angle -10: cl=-0.5371583104133606, cd=0.19811619818210602, cm=-0.18280722200870514
  Angle -9: cl=-0.5691020488739014, cd=0.16938282549381256, cm=-0.1772470623254776
  Angle -8: cl=-0.5925950407981873, cd=0.14433014392852783, cm=-0.16855718195438385
  Angle -7: cl=-0.6210319399833679, cd=0.1262853890657425, cm=-0.1561530977487564
  Angle -6: cl=-0.6475725173950195, cd=0.11057110130786896, cm=-0.14215286076068878
  Angle -5: cl=-0.5707592368125916, cd=0.10140138864517212, cm=-0.1197158545255661
  Angle -4: cl=-0.48678189516067505, cd=0.093525730073452, cm=-0.09593696892261505
  Angle -3: cl=-0.40120354294776917, cd=0.0857943668961525, cm=-0.07206244766712189
  Angle -2: cl=-0.33026397228240967, cd=0.07980808615684509, cm=-0.04578836262226105
  Angle -1: cl=-0.27882057428359985, cd=0.08658149838447571, cm=-0.02808915078639984
  Angle 0: cl=-0.21922840178012848, cd=0.09442737698554993, cm=-0.011789128184318542
  Angle 1: cl=-0.14305268228054047, cd=0.10114824026823044, cm=0.002152159810066223
  Angle 2: cl=0.02780015394091606, cd=0.09751172363758087, cm=0.01126834750175476
  Angle 3: cl=0.15139640867710114, cd=0.09896132349967957, cm=0.01817876100540161
  Angle 4: cl=0.24110949039459229, cd=0.1026310846209526, cm=0.02052551507949829
  Angle 5: cl=0.3380664587020874, cd=0.1045399084687233, cm=0.015003383159637451
  Angle 6: cl=0.43298038840293884, cd=0.10608720779418945, cm=0.01015491783618927
  Angle 7: cl=0.5315114259719849, cd=0.10743796080350876, cm=0.004899933934211731
  Angle 8: cl=0.6483383178710938, cd=0.10516956448554993, cm=-0.014166697859764099
  Angle 9: cl=0.7619834542274475, cd=0.10292679816484451, cm=-0.038939520716667175
  Angle 10: cl=0.8765548467636108, cd=0.10577976703643799, cm=-0.06360520422458649
Genotype [0.0085, 0.46, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.525458167368818]:
  Angle -10: cl=-0.5592275857925415, cd=0.2250497043132782, cm=-0.18856067955493927
  Angle -9: cl=-0.5854268670082092, cd=0.19160030782222748, cm=-0.185733363032341
  Angle -8: cl=-0.6078805923461914, cd=0.15636803209781647, cm=-0.18368364870548248
  Angle -7: cl=-0.647711992263794, cd=0.1238941103219986, cm=-0.17526094615459442
  Angle -6: cl=-0.6073572039604187, cd=0.11201845854520798, cm=-0.16029100120067596
  Angle -5: cl=-0.5149504542350769, cd=0.10371532291173935, cm=-0.14628495275974274
  Angle -4: cl=-0.4186517000198364, cd=0.09847082197666168, cm=-0.13317792117595673
  Angle -3: cl=-0.3150296211242676, cd=0.09184611588716507, cm=-0.1183338612318039
  Angle -2: cl=-0.24999475479125977, cd=0.08611451834440231, cm=-0.09103833138942719
  Angle -1: cl=-0.1895376741886139, cd=0.08184549957513809, cm=-0.06166850030422211
  Angle 0: cl=-0.1208914965391159, cd=0.08188782632350922, cm=-0.034694984555244446
  Angle 1: cl=-0.04131052643060684, cd=0.08214704692363739, cm=-0.012523636221885681
  Angle 2: cl=0.042884331196546555, cd=0.08560363948345184, cm=0.0005361735820770264
  Angle 3: cl=0.28536438941955566, cd=0.07262300699949265, cm=0.001393631100654602
  Angle 4: cl=0.37992924451828003, cd=0.07815209776163101, cm=0.006361082196235657
  Angle 5: cl=0.4781239926815033, cd=0.08563164621591568, cm=0.009587973356246948
  Angle 6: cl=0.5753004550933838, cd=0.09219802170991898, cm=0.011316746473312378
  Angle 7: cl=0.6663205623626709, cd=0.09875664860010147, cm=0.013607114553451538
  Angle 8: cl=0.7577798366546631, cd=0.10283857583999634, cm=0.008262380957603455
  Angle 9: cl=0.8527082800865173, cd=0.10702472925186157, cm=-8.058547973632812e-05
  Angle 10: cl=0.9497112035751343, cd=0.1130785346031189, cm=-0.008264467120170593
Genotype [0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055]:
  Angle -10: cl=-0.558304488658905, cd=0.2251780480146408, cm=-0.18864761292934418
  Angle -9: cl=-0.5833348035812378, cd=0.19150236248970032, cm=-0.18598447740077972
  Angle -8: cl=-0.6060572862625122, cd=0.15637412667274475, cm=-0.1841249018907547
  Angle -7: cl=-0.644978404045105, cd=0.12403179705142975, cm=-0.17559774219989777
  Angle -6: cl=-0.6049588918685913, cd=0.111866295337677, cm=-0.1605960577726364
  Angle -5: cl=-0.5136149525642395, cd=0.10378763824701309, cm=-0.1464618593454361
  Angle -4: cl=-0.4176064133644104, cd=0.09862157702445984, cm=-0.1333865374326706
  Angle -3: cl=-0.3140923082828522, cd=0.0920523852109909, cm=-0.11865569651126862
  Angle -2: cl=-0.2493951916694641, cd=0.08638813346624374, cm=-0.09140489995479584
  Angle -1: cl=-0.18875953555107117, cd=0.0820443406701088, cm=-0.061934903264045715
  Angle 0: cl=-0.11939387023448944, cd=0.08206848800182343, cm=-0.03508894145488739
  Angle 1: cl=-0.0388924703001976, cd=0.0823449194431305, cm=-0.01303832232952118
  Angle 2: cl=0.04520252346992493, cd=0.08546102792024612, cm=0.0003506988286972046
  Angle 3: cl=0.28871434926986694, cd=0.07239125669002533, cm=0.0010939687490463257
  Angle 4: cl=0.384101927280426, cd=0.07790320366621017, cm=0.005999565124511719
  Angle 5: cl=0.48265406489372253, cd=0.08555954694747925, cm=0.009208694100379944
  Angle 6: cl=0.579886794090271, cd=0.09212607890367508, cm=0.010916382074356079
  Angle 7: cl=0.6707573533058167, cd=0.09871064871549606, cm=0.013234555721282959
  Angle 8: cl=0.762250542640686, cd=0.10284589976072311, cm=0.008087784051895142
  Angle 9: cl=0.8573022484779358, cd=0.10709885507822037, cm=-0.0003156214952468872
  Angle 10: cl=0.9540899991989136, cd=0.11387244611978531, cm=-0.008342280983924866
Genotype [0.0085, 0.43926100672228924, 0.12955230442887022, -0.7304864539047129, 0.26, -0.023, 0.13315311173222316, -0.003, 0.0025, 9.09479006788544, 10.457529337695798]:
  Angle -10: cl=-0.5551548004150391, cd=0.22511114180088043, cm=-0.18609778583049774
  Angle -9: cl=-0.5892311930656433, cd=0.1945011168718338, cm=-0.18106286227703094
  Angle -8: cl=-0.6128870844841003, cd=0.15962684154510498, cm=-0.178549662232399
  Angle -7: cl=-0.6415488719940186, cd=0.12727926671504974, cm=-0.16989295184612274
  Angle -6: cl=-0.6143384575843811, cd=0.11450628191232681, cm=-0.15684644877910614
  Angle -5: cl=-0.49939775466918945, cd=0.10266339033842087, cm=-0.14460493624210358
  Angle -4: cl=-0.39950254559516907, cd=0.0960237979888916, cm=-0.13100291788578033
  Angle -3: cl=-0.29552412033081055, cd=0.08931443095207214, cm=-0.11613275110721588
  Angle -2: cl=-0.22843578457832336, cd=0.08313419669866562, cm=-0.0898333340883255
  Angle -1: cl=-0.16961485147476196, cd=0.07994560897350311, cm=-0.06008453667163849
  Angle 0: cl=-0.10605570673942566, cd=0.08027156442403793, cm=-0.03154455125331879
  Angle 1: cl=-0.03720279037952423, cd=0.08129142969846725, cm=-0.007607296109199524
  Angle 2: cl=0.04469091445207596, cd=0.08685298264026642, cm=0.003595411777496338
  Angle 3: cl=0.2765403389930725, cd=0.07559407502412796, cm=0.00547260046005249
  Angle 4: cl=0.3628462553024292, cd=0.0812750905752182, cm=0.011055916547775269
  Angle 5: cl=0.456958144903183, cd=0.08765552937984467, cm=0.014798298478126526
  Angle 6: cl=0.5506635904312134, cd=0.09466662257909775, cm=0.017061665654182434
  Angle 7: cl=0.6451194882392883, cd=0.09993232786655426, cm=0.015483826398849487
  Angle 8: cl=0.737008810043335, cd=0.10312812775373459, cm=0.008180201053619385
  Angle 9: cl=0.828773558139801, cd=0.10688653588294983, cm=-0.0001394897699356079
  Angle 10: cl=0.9270572662353516, cd=0.11153410375118256, cm=-0.008772209286689758
Genotype [0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.015, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.48114768946772]:
