Experiment: Nash_Combination_Experiment_61
Generation: 45
Generation Type: v
Timestamp: 20231226_225441

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.444180066446217] - Base Fitness: 0.083519025956324, Adjusted Fitness: 0.09145886557611145
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.447532291603517] - Base Fitness: 0.08314947008876326, Adjusted Fitness: 0.09925024493193421
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.056396679832623, 10.459067209855055] - Base Fitness: 0.0841613720665467, Adjusted Fitness: 0.10798096954070935
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.14190596498410732, -0.003, 0.0025, 9.08670761331594, 10.459067209855055] - Base Fitness: 0.06905976921165226, Adjusted Fitness: 0.07720154076258695
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.006, 0.0025, 9.09479006788544, 10.426323315944405] - Base Fitness: -0.3461160987638444, Adjusted Fitness: -0.34207696173976426
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7257393366874364, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.080465087260798, 10.459067209855055] - Base Fitness: 0.08234136175977258, Adjusted Fitness: 0.1150509965021788
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7257393366874364, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.08131342532482182, Adjusted Fitness: 0.5938313809434482
[0.0085, 0.46, 0.13, -0.7257393366874364, 0.26, -0.023, 0.1199525662815776, -0.003, 0.005, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.1976258000854005, Adjusted Fitness: -0.1621416281783569
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.445925016777501] - Base Fitness: 0.08336372838825026, Adjusted Fitness: 0.0913104184998024
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.480248192258667] - Base Fitness: 0.07926480314259172, Adjusted Fitness: 0.087502660265283
[0.0085, 0.46, 0.11, -0.7304864539047129, 0.26, -0.023, 0.11424991834361094, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.6313544180926787, Adjusted Fitness: -0.6291670999139098
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7257393366874364, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.08131342532482182, Adjusted Fitness: 0.5938313809434482
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.01782835418823684, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.3324410863990168, Adjusted Fitness: -0.3282773625349154
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.438491663762678] - Base Fitness: 0.0840690527428312, Adjusted Fitness: 0.0920140100393431
[0.0085, 0.46, 0.13, -0.7257393366874364, 0.23572019334442484, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.5350322960023555, Adjusted Fitness: -0.5327784128363761
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.006, 0.0025, 9.09479006788544, 10.447532291603517] - Base Fitness: -0.34817432832816075, Adjusted Fitness: -0.3441317757488836
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.056396679832623, 10.503942642760697] - Base Fitness: 0.07855365154809706, Adjusted Fitness: 0.08678729168936761
[0.0085, 0.46, 0.13, -0.7427355675585496, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.08260586264533588, Adjusted Fitness: 0.11557606410400618
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0126, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.5975795832962902, Adjusted Fitness: -0.558567934106327
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.006, 0.004623456750169416, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.5623089350270704, Adjusted Fitness: -0.5602406781754009
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7167675273419433, 0.26, -0.023, 0.09340981442515733, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.09697818884883784, Adjusted Fitness: 0.11268864444172119
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.056396679832623, 10.459067209855055] - Base Fitness: 0.0841613720665467, Adjusted Fitness: 0.10798096954070935
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.015, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: -0.5327741661256467, Adjusted Fitness: -0.49704688957581966
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.13225051602053, 10.459067209855055] - Base Fitness: 0.07971704181346415, Adjusted Fitness: 0.08795447230139551
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536
[0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055] - Base Fitness: 0.081669039769496, Adjusted Fitness: 17.90355550364536

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055]:
  Angle -10: cl=-0.558304488658905, cd=0.2251780480146408, cm=-0.18864761292934418
  Angle -9: cl=-0.5833348035812378, cd=0.19150236248970032, cm=-0.18598447740077972
  Angle -8: cl=-0.6060572862625122, cd=0.15637412667274475, cm=-0.1841249018907547
  Angle -7: cl=-0.644978404045105, cd=0.12403179705142975, cm=-0.17559774219989777
  Angle -6: cl=-0.6049588918685913, cd=0.111866295337677, cm=-0.1605960577726364
  Angle -5: cl=-0.5136149525642395, cd=0.10378763824701309, cm=-0.1464618593454361
  Angle -4: cl=-0.4176064133644104, cd=0.09862157702445984, cm=-0.1333865374326706
  Angle -3: cl=-0.3140923082828522, cd=0.0920523852109909, cm=-0.11865569651126862
  Angle -2: cl=-0.2493951916694641, cd=0.08638813346624374, cm=-0.09140489995479584
  Angle -1: cl=-0.18875953555107117, cd=0.0820443406701088, cm=-0.061934903264045715
  Angle 0: cl=-0.11939387023448944, cd=0.08206848800182343, cm=-0.03508894145488739
  Angle 1: cl=-0.0388924703001976, cd=0.0823449194431305, cm=-0.01303832232952118
  Angle 2: cl=0.04520252346992493, cd=0.08546102792024612, cm=0.0003506988286972046
  Angle 3: cl=0.28871434926986694, cd=0.07239125669002533, cm=0.0010939687490463257
  Angle 4: cl=0.384101927280426, cd=0.07790320366621017, cm=0.005999565124511719
  Angle 5: cl=0.48265406489372253, cd=0.08555954694747925, cm=0.009208694100379944
  Angle 6: cl=0.579886794090271, cd=0.09212607890367508, cm=0.010916382074356079
  Angle 7: cl=0.6707573533058167, cd=0.09871064871549606, cm=0.013234555721282959
  Angle 8: cl=0.762250542640686, cd=0.10284589976072311, cm=0.008087784051895142
  Angle 9: cl=0.8573022484779358, cd=0.10709885507822037, cm=-0.0003156214952468872
  Angle 10: cl=0.9540899991989136, cd=0.11387244611978531, cm=-0.008342280983924866
Genotype [0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055]:
  Angle -10: cl=-0.558304488658905, cd=0.2251780480146408, cm=-0.18864761292934418
  Angle -9: cl=-0.5833348035812378, cd=0.19150236248970032, cm=-0.18598447740077972
  Angle -8: cl=-0.6060572862625122, cd=0.15637412667274475, cm=-0.1841249018907547
  Angle -7: cl=-0.644978404045105, cd=0.12403179705142975, cm=-0.17559774219989777
  Angle -6: cl=-0.6049588918685913, cd=0.111866295337677, cm=-0.1605960577726364
  Angle -5: cl=-0.5136149525642395, cd=0.10378763824701309, cm=-0.1464618593454361
  Angle -4: cl=-0.4176064133644104, cd=0.09862157702445984, cm=-0.1333865374326706
  Angle -3: cl=-0.3140923082828522, cd=0.0920523852109909, cm=-0.11865569651126862
  Angle -2: cl=-0.2493951916694641, cd=0.08638813346624374, cm=-0.09140489995479584
  Angle -1: cl=-0.18875953555107117, cd=0.0820443406701088, cm=-0.061934903264045715
  Angle 0: cl=-0.11939387023448944, cd=0.08206848800182343, cm=-0.03508894145488739
  Angle 1: cl=-0.0388924703001976, cd=0.0823449194431305, cm=-0.01303832232952118
  Angle 2: cl=0.04520252346992493, cd=0.08546102792024612, cm=0.0003506988286972046
  Angle 3: cl=0.28871434926986694, cd=0.07239125669002533, cm=0.0010939687490463257
  Angle 4: cl=0.384101927280426, cd=0.07790320366621017, cm=0.005999565124511719
  Angle 5: cl=0.48265406489372253, cd=0.08555954694747925, cm=0.009208694100379944
  Angle 6: cl=0.579886794090271, cd=0.09212607890367508, cm=0.010916382074356079
  Angle 7: cl=0.6707573533058167, cd=0.09871064871549606, cm=0.013234555721282959
  Angle 8: cl=0.762250542640686, cd=0.10284589976072311, cm=0.008087784051895142
  Angle 9: cl=0.8573022484779358, cd=0.10709885507822037, cm=-0.0003156214952468872
  Angle 10: cl=0.9540899991989136, cd=0.11387244611978531, cm=-0.008342280983924866
Genotype [0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.459067209855055]:
  Angle -10: cl=-0.558304488658905, cd=0.2251780480146408, cm=-0.18864761292934418
  Angle -9: cl=-0.5833348035812378, cd=0.19150236248970032, cm=-0.18598447740077972
  Angle -8: cl=-0.6060572862625122, cd=0.15637412667274475, cm=-0.1841249018907547
  Angle -7: cl=-0.644978404045105, cd=0.12403179705142975, cm=-0.17559774219989777
  Angle -6: cl=-0.6049588918685913, cd=0.111866295337677, cm=-0.1605960577726364
  Angle -5: cl=-0.5136149525642395, cd=0.10378763824701309, cm=-0.1464618593454361
  Angle -4: cl=-0.4176064133644104, cd=0.09862157702445984, cm=-0.1333865374326706
  Angle -3: cl=-0.3140923082828522, cd=0.0920523852109909, cm=-0.11865569651126862
  Angle -2: cl=-0.2493951916694641, cd=0.08638813346624374, cm=-0.09140489995479584
  Angle -1: cl=-0.18875953555107117, cd=0.0820443406701088, cm=-0.061934903264045715
  Angle 0: cl=-0.11939387023448944, cd=0.08206848800182343, cm=-0.03508894145488739
  Angle 1: cl=-0.0388924703001976, cd=0.0823449194431305, cm=-0.01303832232952118
  Angle 2: cl=0.04520252346992493, cd=0.08546102792024612, cm=0.0003506988286972046
  Angle 3: cl=0.28871434926986694, cd=0.07239125669002533, cm=0.0010939687490463257
  Angle 4: cl=0.384101927280426, cd=0.07790320366621017, cm=0.005999565124511719
  Angle 5: cl=0.48265406489372253, cd=0.08555954694747925, cm=0.009208694100379944
  Angle 6: cl=0.579886794090271, cd=0.09212607890367508, cm=0.010916382074356079
  Angle 7: cl=0.6707573533058167, cd=0.09871064871549606, cm=0.013234555721282959
  Angle 8: cl=0.762250542640686, cd=0.10284589976072311, cm=0.008087784051895142
  Angle 9: cl=0.8573022484779358, cd=0.10709885507822037, cm=-0.0003156214952468872
  Angle 10: cl=0.9540899991989136, cd=0.11387244611978531, cm=-0.008342280983924866
Genotype [0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.444180066446217]:
  Angle -10: cl=-0.5583009123802185, cd=0.22518162429332733, cm=-0.18863828480243683
  Angle -9: cl=-0.5833336710929871, cd=0.19148387014865875, cm=-0.18600566685199738
  Angle -8: cl=-0.6060352325439453, cd=0.15639519691467285, cm=-0.18412818014621735
  Angle -7: cl=-0.6449496150016785, cd=0.12406866997480392, cm=-0.1756342500448227
  Angle -6: cl=-0.6047563552856445, cd=0.11187076568603516, cm=-0.16061656177043915
  Angle -5: cl=-0.5134372711181641, cd=0.10378814488649368, cm=-0.14648650586605072
  Angle -4: cl=-0.4175857901573181, cd=0.0986318439245224, cm=-0.13338996469974518
  Angle -3: cl=-0.313953697681427, cd=0.09205564856529236, cm=-0.11869119107723236
  Angle -2: cl=-0.24918514490127563, cd=0.08639637380838394, cm=-0.09141679108142853
  Angle -1: cl=-0.18857410550117493, cd=0.08204451948404312, cm=-0.06198938190937042
  Angle 0: cl=-0.1193380206823349, cd=0.0820745900273323, cm=-0.035119399428367615
  Angle 1: cl=-0.03855506330728531, cd=0.08235299587249756, cm=-0.013108059763908386
  Angle 2: cl=0.04533751308917999, cd=0.085415780544281, cm=0.00031310319900512695
  Angle 3: cl=0.28920337557792664, cd=0.07233378291130066, cm=0.0010524988174438477
  Angle 4: cl=0.3845006823539734, cd=0.07787630707025528, cm=0.005944252014160156
  Angle 5: cl=0.48276379704475403, cd=0.08555519580841064, cm=0.0092020183801651
  Angle 6: cl=0.5801374316215515, cd=0.09209287911653519, cm=0.01085624098777771
  Angle 7: cl=0.6711211204528809, cd=0.09868545085191727, cm=0.01320156455039978
  Angle 8: cl=0.7626655697822571, cd=0.10284978151321411, cm=0.008111134171485901
  Angle 9: cl=0.857749879360199, cd=0.10709361732006073, cm=-0.000271722674369812
  Angle 10: cl=0.9542931914329529, cd=0.11390262097120285, cm=-0.008342549204826355
Genotype [0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.09479006788544, 10.447532291603517]:
  Angle -10: cl=-0.5582861304283142, cd=0.22516220808029175, cm=-0.18863321840763092
  Angle -9: cl=-0.5833290815353394, cd=0.19148850440979004, cm=-0.18600435554981232
  Angle -8: cl=-0.6060184836387634, cd=0.15639090538024902, cm=-0.18412436544895172
  Angle -7: cl=-0.6449969410896301, cd=0.12405414879322052, cm=-0.17562679946422577
  Angle -6: cl=-0.6047408580780029, cd=0.11186040192842484, cm=-0.1606030911207199
  Angle -5: cl=-0.5134755373001099, cd=0.10378701984882355, cm=-0.14646746218204498
  Angle -4: cl=-0.4175845980644226, cd=0.09863664954900742, cm=-0.13339094817638397
  Angle -3: cl=-0.3139062225818634, cd=0.09205007553100586, cm=-0.11868132650852203
  Angle -2: cl=-0.24916476011276245, cd=0.08639193326234818, cm=-0.09143085777759552
  Angle -1: cl=-0.188576340675354, cd=0.08204403519630432, cm=-0.06198059022426605
  Angle 0: cl=-0.11933721601963043, cd=0.08207468688488007, cm=-0.03511910140514374
  Angle 1: cl=-0.03861328214406967, cd=0.08235961943864822, cm=-0.013080760836601257
  Angle 2: cl=0.04526251554489136, cd=0.08543098717927933, cm=0.0003151893615722656
  Angle 3: cl=0.2890012264251709, cd=0.07236345112323761, cm=0.0010766685009002686
  Angle 4: cl=0.3844817578792572, cd=0.0778791531920433, cm=0.005962073802947998
  Angle 5: cl=0.4827173352241516, cd=0.08556239306926727, cm=0.00921003520488739
  Angle 6: cl=0.5800991058349609, cd=0.09210612624883652, cm=0.010871738195419312
  Angle 7: cl=0.6710872650146484, cd=0.09869568794965744, cm=0.013183623552322388
  Angle 8: cl=0.7625672221183777, cd=0.10284429788589478, cm=0.00810907781124115
  Angle 9: cl=0.8574919104576111, cd=0.10708495229482651, cm=-0.00028711557388305664
  Angle 10: cl=0.9542509913444519, cd=0.11390500515699387, cm=-0.008352711796760559
Genotype [0.0085, 0.46, 0.13, -0.7304864539047129, 0.26, -0.023, 0.1199525662815776, -0.003, 0.0025, 9.056396679832623, 10.459067209855055]:
  Angle -10: cl=-0.5584397315979004, cd=0.22531338036060333, cm=-0.18860919773578644
  Angle -9: cl=-0.5834596753120422, cd=0.19168108701705933, cm=-0.18598203361034393
  Angle -8: cl=-0.6062955260276794, cd=0.15656806528568268, cm=-0.18411652743816376
  Angle -7: cl=-0.6454823017120361, cd=0.12410885095596313, cm=-0.17570306360721588
  Angle -6: cl=-0.6049827337265015, cd=0.1119493767619133, cm=-0.16064603626728058
  Angle -5: cl=-0.5134292840957642, cd=0.10378671437501907, cm=-0.14654813706874847
  Angle -4: cl=-0.4174347519874573, cd=0.09861842542886734, cm=-0.13340957462787628
  Angle -3: cl=-0.31400638818740845, cd=0.09206826239824295, cm=-0.11876149475574493
  Angle -2: cl=-0.24879860877990723, cd=0.08639483898878098, cm=-0.09163354337215424
  Angle -1: cl=-0.18849517405033112, cd=0.08205973356962204, cm=-0.06215800344944
  Angle 0: cl=-0.11910411715507507, cd=0.08205343782901764, cm=-0.03527681529521942
  Angle 1: cl=-0.03837907314300537, cd=0.08236467838287354, cm=-0.013253405690193176
  Angle 2: cl=0.04575445502996445, cd=0.08534137904644012, cm=0.00022074580192565918
  Angle 3: cl=0.2893047630786896, cd=0.07225058227777481, cm=0.0010692477226257324
  Angle 4: cl=0.38464421033859253, cd=0.07778698951005936, cm=0.005913957953453064
  Angle 5: cl=0.48306161165237427, cd=0.08548203855752945, cm=0.009136110544204712
  Angle 6: cl=0.5803661942481995, cd=0.09203280508518219, cm=0.01087959110736847
  Angle 7: cl=0.6713056564331055, cd=0.09860898554325104, cm=0.01314505934715271
