Experiment: Nash_Combination_Experiment_64
Generation: 71
Generation Type: v
Timestamp: 20231226_234955

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.05393254379989] - Base Fitness: 0.2592412092708768, Adjusted Fitness: 0.262523630657907
[0.0085, 0.46, 0.13, -0.828456979051809, 0.256866861761414, -0.023, 0.06005887368805072, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.19816326481551277, Adjusted Fitness: 0.20329407989286705
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.096616562787277] - Base Fitness: 0.25363138376462374, Adjusted Fitness: 0.4072654147897674
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.11, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.47409164313252317, Adjusted Fitness: -0.4007206320968063
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.05393254379989] - Base Fitness: 0.2580688807246796, Adjusted Fitness: 0.26134174305904573
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.11873893217982741, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.22972944919349683, Adjusted Fitness: 0.23440820660354716
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.242510424205686, 10.096616562787277] - Base Fitness: 0.25182554111426564, Adjusted Fitness: 0.25528688132047916
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.22942270303079898, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.260508760108237, 10.096616562787277] - Base Fitness: -0.549756130214693, Adjusted Fitness: -0.5476515787163093
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0126, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.005, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.6705057425247294, Adjusted Fitness: -0.669163908822891
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.015, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.096616562787277] - Base Fitness: -0.3866249508200254, Adjusted Fitness: -0.38034295867951595
[0.0085, 0.46, 0.13, -0.8107740160368753, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.238856031707133, 10.096616562787277] - Base Fitness: 0.25127325509976667, Adjusted Fitness: 0.2556587833394721
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.096616562787277] - Base Fitness: 0.25363138376462374, Adjusted Fitness: 0.4072654147897674
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.05369801964851954, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.26618606512083554, Adjusted Fitness: 0.26946283112441444
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.242510424205686, 10.05393254379989] - Base Fitness: 0.25660842572782766, Adjusted Fitness: 0.263183864351154
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.096616562787277] - Base Fitness: 0.25363138376462374, Adjusted Fitness: 0.4072654147897674
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.096616562787277] - Base Fitness: 0.25363138376462374, Adjusted Fitness: 0.4072654147897674
[0.0126, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.46493431009317, Adjusted Fitness: -0.4062353922782804
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.8737615320403604, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25741107959537135, Adjusted Fitness: 0.26069400857923347
[0.0085, 0.46, 0.13, -0.828456979051809, 0.24765940906731987, -0.023, 0.07493827168653341, -0.003, 0.005, 7.193551023091083, 10.064842836015043] - Base Fitness: -0.30771136263673343, Adjusted Fitness: -0.30592481056072585
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.8617786481184444, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.2565659971230131, Adjusted Fitness: 0.2598484436788481
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.096616562787277] - Base Fitness: 0.25363138376462374, Adjusted Fitness: 0.4072654147897674
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.105479633198106] - Base Fitness: 0.2534348986641745, Adjusted Fitness: 0.2569104800150786
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.005, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.02089377690205428, Adjusted Fitness: 0.13874936542293545
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.096616562787277] - Base Fitness: 0.25363138376462374, Adjusted Fitness: 0.4072654147897674
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.8569843934603995, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.1629810229770685, 10.096616562787277] - Base Fitness: 0.25765421947413714, Adjusted Fitness: 0.26093339430969087
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.06005887368805072, -0.003, 0.005, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.012084656897070058, Adjusted Fitness: -0.008915669172992087
[0.0085, 0.46, 0.11, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.47409164313252317, Adjusted Fitness: -0.4007206320968063
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.096616562787277] - Base Fitness: 0.25363138376462374, Adjusted Fitness: 0.4072654147897674
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 6308.368182919441

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.05393254379989]:
  Angle -10: cl=-0.5664339661598206, cd=0.23435679078102112, cm=-0.1901298612356186
  Angle -9: cl=-0.5927289724349976, cd=0.20138736069202423, cm=-0.18633310496807098
  Angle -8: cl=-0.6155481338500977, cd=0.16656428575515747, cm=-0.18523167073726654
  Angle -7: cl=-0.6541703343391418, cd=0.13147076964378357, cm=-0.18079720437526703
  Angle -6: cl=-0.6075530648231506, cd=0.1168833076953888, cm=-0.16614894568920135
  Angle -5: cl=-0.5005945563316345, cd=0.10462385416030884, cm=-0.15276022255420685
  Angle -4: cl=-0.40777134895324707, cd=0.09940721839666367, cm=-0.13974140584468842
  Angle -3: cl=-0.3063381612300873, cd=0.09368353337049484, cm=-0.12634597718715668
  Angle -2: cl=-0.22466307878494263, cd=0.08838829398155212, cm=-0.10510112345218658
  Angle -1: cl=-0.16370539367198944, cd=0.08357474207878113, cm=-0.07594351470470428
  Angle 0: cl=-0.09107095003128052, cd=0.08268773555755615, cm=-0.04795925319194794
  Angle 1: cl=-0.007368618622422218, cd=0.08299888670444489, cm=-0.02564467489719391
  Angle 2: cl=0.07684583961963654, cd=0.08398261666297913, cm=-0.010596230626106262
  Angle 3: cl=0.30824559926986694, cd=0.06883897632360458, cm=-0.005596444010734558
  Angle 4: cl=0.4253118336200714, cd=0.07188738882541656, cm=0.00020906329154968262
  Angle 5: cl=0.5239202976226807, cd=0.08013158291578293, cm=0.0036195963621139526
  Angle 6: cl=0.6156238317489624, cd=0.0873958170413971, cm=0.0059560686349868774
  Angle 7: cl=0.705363392829895, cd=0.0939888283610344, cm=0.008476197719573975
  Angle 8: cl=0.7954206466674805, cd=0.10056902468204498, cm=0.010131552815437317
  Angle 9: cl=0.8905497789382935, cd=0.10526825487613678, cm=0.003666326403617859
  Angle 10: cl=0.990109384059906, cd=0.1110682338476181, cm=-0.0042295902967453
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.256866861761414, -0.023, 0.06005887368805072, -0.003, 0.0025, 7.193551023091083, 10.096616562787277]:
  Angle -10: cl=-0.5651503801345825, cd=0.23258164525032043, cm=-0.18946100771427155
  Angle -9: cl=-0.5929301381111145, cd=0.1996200680732727, cm=-0.18583686649799347
  Angle -8: cl=-0.6157541871070862, cd=0.16460081934928894, cm=-0.18442483246326447
  Angle -7: cl=-0.6549817323684692, cd=0.12997516989707947, cm=-0.17933295667171478
  Angle -6: cl=-0.6098182201385498, cd=0.11544334888458252, cm=-0.16450421512126923
  Angle -5: cl=-0.5036143064498901, cd=0.10403254628181458, cm=-0.15134964883327484
  Angle -4: cl=-0.4123387932777405, cd=0.09916774928569794, cm=-0.13806472718715668
  Angle -3: cl=-0.3103640675544739, cd=0.0932810828089714, cm=-0.12441183626651764
  Angle -2: cl=-0.2315809428691864, cd=0.08788657188415527, cm=-0.10207124054431915
  Angle -1: cl=-0.17100834846496582, cd=0.0830005630850792, cm=-0.07304303348064423
  Angle 0: cl=-0.09984053671360016, cd=0.08217887580394745, cm=-0.04472436010837555
  Angle 1: cl=-0.016482694074511528, cd=0.08270895481109619, cm=-0.022800609469413757
  Angle 2: cl=0.0665912851691246, cd=0.08352216333150864, cm=-0.007554695010185242
  Angle 3: cl=0.30172455310821533, cd=0.0679309219121933, cm=-0.00261765718460083
  Angle 4: cl=0.4129473865032196, cd=0.07288062572479248, cm=0.0016455352306365967
  Angle 5: cl=0.5114924311637878, cd=0.08112262934446335, cm=0.005085274577140808
  Angle 6: cl=0.6048385500907898, cd=0.08820775151252747, cm=0.007227376103401184
  Angle 7: cl=0.6944991946220398, cd=0.09479490667581558, cm=0.009716704487800598
  Angle 8: cl=0.7846495509147644, cd=0.10143213719129562, cm=0.011416077613830566
  Angle 9: cl=0.879976212978363, cd=0.10549462586641312, cm=0.00325930118560791
  Angle 10: cl=0.9791665077209473, cd=0.11119183897972107, cm=-0.004663363099098206
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277]:
  Angle -10: cl=-0.566358208656311, cd=0.23429107666015625, cm=-0.19007401168346405
  Angle -9: cl=-0.5926657319068909, cd=0.20134752988815308, cm=-0.18626956641674042
  Angle -8: cl=-0.6156697273254395, cd=0.16654540598392487, cm=-0.18513937294483185
  Angle -7: cl=-0.6543418169021606, cd=0.1314639151096344, cm=-0.18073482811450958
  Angle -6: cl=-0.607819676399231, cd=0.11683288216590881, cm=-0.16604875028133392
  Angle -5: cl=-0.5008856058120728, cd=0.10460055619478226, cm=-0.15264298021793365
  Angle -4: cl=-0.4080590307712555, cd=0.09939143806695938, cm=-0.13969330489635468
  Angle -3: cl=-0.30662405490875244, cd=0.09365713596343994, cm=-0.12622888386249542
  Angle -2: cl=-0.22518327832221985, cd=0.08834445476531982, cm=-0.10496760904788971
  Angle -1: cl=-0.1641005575656891, cd=0.0835392102599144, cm=-0.07578174769878387
  Angle 0: cl=-0.09154055267572403, cd=0.08266456425189972, cm=-0.047792598605155945
  Angle 1: cl=-0.00791352428495884, cd=0.08295734226703644, cm=-0.0254906564950943
  Angle 2: cl=0.07622707635164261, cd=0.08394337445497513, cm=-0.010418310761451721
  Angle 3: cl=0.3070701062679291, cd=0.06884413212537766, cm=-0.005388572812080383
  Angle 4: cl=0.4244636297225952, cd=0.07195322215557098, cm=0.00030541419982910156
  Angle 5: cl=0.5228476524353027, cd=0.08020371943712234, cm=0.003769919276237488
  Angle 6: cl=0.6146487593650818, cd=0.08745301514863968, cm=0.006054326891899109
  Angle 7: cl=0.7046210765838623, cd=0.0940503180027008, cm=0.008576154708862305
  Angle 8: cl=0.7946018576622009, cd=0.10064142942428589, cm=0.010232001543045044
  Angle 9: cl=0.8896607160568237, cd=0.10526834428310394, cm=0.0036480873823165894
  Angle 10: cl=0.9892525672912598, cd=0.11102242022752762, cm=-0.004274263978004456
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.2140811785254275, 10.096616562787277]:
  Angle -10: cl=-0.5661694407463074, cd=0.2342003881931305, cm=-0.19007696211338043
  Angle -9: cl=-0.5926833748817444, cd=0.20125991106033325, cm=-0.18629415333271027
  Angle -8: cl=-0.6154339909553528, cd=0.16640904545783997, cm=-0.18516875803470612
  Angle -7: cl=-0.654123067855835, cd=0.1313856989145279, cm=-0.18066610395908356
  Angle -6: cl=-0.6076398491859436, cd=0.11671528220176697, cm=-0.1660030335187912
  Angle -5: cl=-0.5008860230445862, cd=0.10459638386964798, cm=-0.15266184508800507
  Angle -4: cl=-0.4082801938056946, cd=0.09939412027597427, cm=-0.13960839807987213
  Angle -3: cl=-0.30652302503585815, cd=0.09365413337945938, cm=-0.12618301808834076
  Angle -2: cl=-0.22536346316337585, cd=0.08834182471036911, cm=-0.10484375059604645
  Angle -1: cl=-0.16420336067676544, cd=0.083540178835392, cm=-0.07566867768764496
  Angle 0: cl=-0.09174724668264389, cd=0.08265836536884308, cm=-0.047672197222709656
  Angle 1: cl=-0.008094428107142448, cd=0.08296498656272888, cm=-0.025388434529304504
  Angle 2: cl=0.07612276077270508, cd=0.08395767956972122, cm=-0.010334447026252747
  Angle 3: cl=0.3072162866592407, cd=0.06882069259881973, cm=-0.005326852202415466
  Angle 4: cl=0.4240996241569519, cd=0.07199013233184814, cm=0.00035594403743743896
  Angle 5: cl=0.5227173566818237, cd=0.0802423432469368, cm=0.003737509250640869
  Angle 6: cl=0.6144453883171082, cd=0.08748473227024078, cm=0.006115183234214783
  Angle 7: cl=0.7042867541313171, cd=0.09408740699291229, cm=0.008598953485488892
  Angle 8: cl=0.7943136692047119, cd=0.10068073868751526, cm=0.010244205594062805
  Angle 9: cl=0.8894588351249695, cd=0.10528633743524551, cm=0.003599002957344055
  Angle 10: cl=0.9889647960662842, cd=0.11099821329116821, cm=-0.0042891353368759155
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277]:
  Angle -10: cl=-0.566358208656311, cd=0.23429107666015625, cm=-0.19007401168346405
  Angle -9: cl=-0.5926657319068909, cd=0.20134752988815308, cm=-0.18626956641674042
  Angle -8: cl=-0.6156697273254395, cd=0.16654540598392487, cm=-0.18513937294483185
  Angle -7: cl=-0.6543418169021606, cd=0.1314639151096344, cm=-0.18073482811450958
  Angle -6: cl=-0.607819676399231, cd=0.11683288216590881, cm=-0.16604875028133392
  Angle -5: cl=-0.5008856058120728, cd=0.10460055619478226, cm=-0.15264298021793365
  Angle -4: cl=-0.4080590307712555, cd=0.09939143806695938, cm=-0.13969330489635468
  Angle -3: cl=-0.30662405490875244, cd=0.09365713596343994, cm=-0.12622888386249542
  Angle -2: cl=-0.22518327832221985, cd=0.08834445476531982, cm=-0.10496760904788971
  Angle -1: cl=-0.1641005575656891, cd=0.0835392102599144, cm=-0.07578174769878387
  Angle 0: cl=-0.09154055267572403, cd=0.08266456425189972, cm=-0.047792598605155945
  Angle 1: cl=-0.00791352428495884, cd=0.08295734226703644, cm=-0.0254906564950943
  Angle 2: cl=0.07622707635164261, cd=0.08394337445497513, cm=-0.010418310761451721
  Angle 3: cl=0.3070701062679291, cd=0.06884413212537766, cm=-0.005388572812080383
  Angle 4: cl=0.4244636297225952, cd=0.07195322215557098, cm=0.00030541419982910156
  Angle 5: cl=0.5228476524353027, cd=0.08020371943712234, cm=0.003769919276237488
  Angle 6: cl=0.6146487593650818, cd=0.08745301514863968, cm=0.006054326891899109
  Angle 7: cl=0.7046210765838623, cd=0.0940503180027008, cm=0.008576154708862305
  Angle 8: cl=0.7946018576622009, cd=0.10064142942428589, cm=0.010232001543045044
  Angle 9: cl=0.8896607160568237, cd=0.10526834428310394, cm=0.0036480873823165894
  Angle 10: cl=0.9892525672912598, cd=0.11102242022752762, cm=-0.004274263978004456
Genotype [0.0085, 0.46, 0.11, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277]:
  Angle -10: cl=-0.6170471906661987, cd=0.23381023108959198, cm=-0.18925990164279938
  Angle -9: cl=-0.6521807312965393, cd=0.20334593951702118, cm=-0.1810842901468277
  Angle -8: cl=-0.696574866771698, cd=0.17239056527614594, cm=-0.17519830167293549
  Angle -7: cl=-0.7174314856529236, cd=0.13988882303237915, cm=-0.1712750643491745
  Angle -6: cl=-0.6668758988380432, cd=0.126593679189682, cm=-0.15815795958042145
  Angle -5: cl=-0.5730404853820801, cd=0.11133600026369095, cm=-0.1444353312253952
  Angle -4: cl=-0.46148696541786194, cd=0.09899874031543732, cm=-0.13335882127285004
  Angle -3: cl=-0.32935622334480286, cd=0.08692553639411926, cm=-0.12179882824420929
  Angle -2: cl=-0.23116031289100647, cd=0.079923614859581, cm=-0.10274480283260345
  Angle -1: cl=-0.17108862102031708, cd=0.07582586258649826, cm=-0.07495085895061493
  Angle 0: cl=-0.11122250556945801, cd=0.07539989799261093, cm=-0.045006558299064636
  Angle 1: cl=-0.052502602338790894, cd=0.07609578967094421, cm=-0.017996177077293396
  Angle 2: cl=0.014554431661963463, cd=0.07996662706136703, cm=-0.0018320828676223755
  Angle 3: cl=0.166277214884758, cd=0.07580779492855072, cm=0.0032256096601486206
  Angle 4: cl=0.31755805015563965, cd=0.07310567051172256, cm=0.007579594850540161
  Angle 5: cl=0.40041983127593994, cd=0.07849425077438354, cm=0.012425974011421204
  Angle 6: cl=0.48473045229911804, cd=0.08605898916721344, cm=0.015339568257331848
