Experiment: Nash_Combination_Experiment_64
Generation: 80
Generation Type: v
Timestamp: 20231226_235123

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.1452125789722, 10.096616562787277] - Base Fitness: 0.25637424610772114, Adjusted Fitness: 0.2826518562481297
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.006, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.20990763844374596, Adjusted Fitness: -0.12283997592266829
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.005, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.02089377690205428, Adjusted Fitness: 0.17345769069493727
[0.0126, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.073605008282742] - Base Fitness: -0.46263462009497125, Adjusted Fitness: -0.4597047811087911
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0126, 0.46, 0.13, -0.828456979051809, 0.23067646157138738, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.269026154966, 10.073605008282742] - Base Fitness: -1.4671697139876763, Adjusted Fitness: -1.4671697139876763
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.4276160123493683, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.20265188466069084, Adjusted Fitness: 0.20661282513485318
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.05040731224659128, -0.003, 0.0025, 7.1601682576801435, 10.096616562787277] - Base Fitness: 0.269464918933717, Adjusted Fitness: 0.2727278796571414
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.073605008282742] - Base Fitness: 0.25677255995001463, Adjusted Fitness: 0.26963632501025175
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.19721758819710955, Adjusted Fitness: -0.1911517576860414
[0.0085, 0.46, 0.13, -0.8207018565634011, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25403568823432787, Adjusted Fitness: 0.2578697750522013
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.066801498192921] - Base Fitness: 0.2575646194594223, Adjusted Fitness: 0.2607149246767963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.1572090994250255, 10.096616562787277] - Base Fitness: 0.2558676608742733, Adjusted Fitness: 0.2654496384085016
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.232128953059637, 10.096616562787277] - Base Fitness: 0.25249397173397997, Adjusted Fitness: 0.25632034813477755
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.209423777817504, 10.096616562787277] - Base Fitness: 0.2537807521575614, Adjusted Fitness: 0.25761714870004243
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.1452125789722, 10.096616562787277] - Base Fitness: 0.25637424610772114, Adjusted Fitness: 0.2826518562481297
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.1572090994250255, 10.096616562787277] - Base Fitness: 0.2558676608742733, Adjusted Fitness: 0.2654496384085016
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.10809328250267139, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.2358181612839075, Adjusted Fitness: 0.23994648849454012
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.24627826077991033, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: -0.06670216983840974, Adjusted Fitness: -0.06499343672897641
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.141628521403169] - Base Fitness: 0.24927346409382253, Adjusted Fitness: 0.2532688814321197
[0.0126, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.225567761161298, 10.073605008282742] - Base Fitness: -0.4635342227384817, Adjusted Fitness: -0.4605943354219638
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.05040731224659128, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.2682546051911939, Adjusted Fitness: 0.28834289007418834
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963
[0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277] - Base Fitness: 0.25435910410208457, Adjusted Fitness: 70797.39045390963

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.1452125789722, 10.096616562787277]:
  Angle -10: cl=-0.5664405822753906, cd=0.23446489870548248, cm=-0.19007830321788788
  Angle -9: cl=-0.5928819179534912, cd=0.20156969130039215, cm=-0.18625031411647797
  Angle -8: cl=-0.6159070730209351, cd=0.16671299934387207, cm=-0.18517355620861053
  Angle -7: cl=-0.6547207236289978, cd=0.1316252499818802, cm=-0.18082009255886078
  Angle -6: cl=-0.6077961325645447, cd=0.11695486307144165, cm=-0.16618548333644867
  Angle -5: cl=-0.5009546875953674, cd=0.10465846210718155, cm=-0.15273569524288177
  Angle -4: cl=-0.4082261323928833, cd=0.09940008819103241, cm=-0.1397850662469864
  Angle -3: cl=-0.30643340945243835, cd=0.09368621557950974, cm=-0.1263492852449417
  Angle -2: cl=-0.22450104355812073, cd=0.08839099854230881, cm=-0.10527364909648895
  Angle -1: cl=-0.16346204280853271, cd=0.0835660919547081, cm=-0.076114222407341
  Angle 0: cl=-0.09097512066364288, cd=0.08266177773475647, cm=-0.0480436235666275
  Angle 1: cl=-0.007601046934723854, cd=0.08294837921857834, cm=-0.025686010718345642
  Angle 2: cl=0.07668003439903259, cd=0.08395511656999588, cm=-0.010684862732887268
  Angle 3: cl=0.30647915601730347, cd=0.06898654252290726, cm=-0.0055653005838394165
  Angle 4: cl=0.42505383491516113, cd=0.07183658331632614, cm=0.00016933679580688477
  Angle 5: cl=0.5235987901687622, cd=0.08008242398500443, cm=0.0036515891551971436
  Angle 6: cl=0.615250825881958, cd=0.08733733743429184, cm=0.006011098623275757
  Angle 7: cl=0.7050995826721191, cd=0.09396198391914368, cm=0.008449435234069824
  Angle 8: cl=0.7950995564460754, cd=0.10052057355642319, cm=0.01013500988483429
  Angle 9: cl=0.8901374936103821, cd=0.10524342209100723, cm=0.00371357798576355
  Angle 10: cl=0.9894577860832214, cd=0.11089017987251282, cm=-0.004176214337348938
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277]:
  Angle -10: cl=-0.566358208656311, cd=0.23429107666015625, cm=-0.19007401168346405
  Angle -9: cl=-0.5926657319068909, cd=0.20134752988815308, cm=-0.18626956641674042
  Angle -8: cl=-0.6156697273254395, cd=0.16654540598392487, cm=-0.18513937294483185
  Angle -7: cl=-0.6543418169021606, cd=0.1314639151096344, cm=-0.18073482811450958
  Angle -6: cl=-0.607819676399231, cd=0.11683288216590881, cm=-0.16604875028133392
  Angle -5: cl=-0.5008856058120728, cd=0.10460055619478226, cm=-0.15264298021793365
  Angle -4: cl=-0.4080590307712555, cd=0.09939143806695938, cm=-0.13969330489635468
  Angle -3: cl=-0.30662405490875244, cd=0.09365713596343994, cm=-0.12622888386249542
  Angle -2: cl=-0.22518327832221985, cd=0.08834445476531982, cm=-0.10496760904788971
  Angle -1: cl=-0.1641005575656891, cd=0.0835392102599144, cm=-0.07578174769878387
  Angle 0: cl=-0.09154055267572403, cd=0.08266456425189972, cm=-0.047792598605155945
  Angle 1: cl=-0.00791352428495884, cd=0.08295734226703644, cm=-0.0254906564950943
  Angle 2: cl=0.07622707635164261, cd=0.08394337445497513, cm=-0.010418310761451721
  Angle 3: cl=0.3070701062679291, cd=0.06884413212537766, cm=-0.005388572812080383
  Angle 4: cl=0.4244636297225952, cd=0.07195322215557098, cm=0.00030541419982910156
  Angle 5: cl=0.5228476524353027, cd=0.08020371943712234, cm=0.003769919276237488
  Angle 6: cl=0.6146487593650818, cd=0.08745301514863968, cm=0.006054326891899109
  Angle 7: cl=0.7046210765838623, cd=0.0940503180027008, cm=0.008576154708862305
  Angle 8: cl=0.7946018576622009, cd=0.10064142942428589, cm=0.010232001543045044
  Angle 9: cl=0.8896607160568237, cd=0.10526834428310394, cm=0.0036480873823165894
  Angle 10: cl=0.9892525672912598, cd=0.11102242022752762, cm=-0.004274263978004456
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.096616562787277]:
  Angle -10: cl=-0.566358208656311, cd=0.23429107666015625, cm=-0.19007401168346405
  Angle -9: cl=-0.5926657319068909, cd=0.20134752988815308, cm=-0.18626956641674042
  Angle -8: cl=-0.6156697273254395, cd=0.16654540598392487, cm=-0.18513937294483185
  Angle -7: cl=-0.6543418169021606, cd=0.1314639151096344, cm=-0.18073482811450958
  Angle -6: cl=-0.607819676399231, cd=0.11683288216590881, cm=-0.16604875028133392
  Angle -5: cl=-0.5008856058120728, cd=0.10460055619478226, cm=-0.15264298021793365
  Angle -4: cl=-0.4080590307712555, cd=0.09939143806695938, cm=-0.13969330489635468
  Angle -3: cl=-0.30662405490875244, cd=0.09365713596343994, cm=-0.12622888386249542
  Angle -2: cl=-0.22518327832221985, cd=0.08834445476531982, cm=-0.10496760904788971
  Angle -1: cl=-0.1641005575656891, cd=0.0835392102599144, cm=-0.07578174769878387
  Angle 0: cl=-0.09154055267572403, cd=0.08266456425189972, cm=-0.047792598605155945
  Angle 1: cl=-0.00791352428495884, cd=0.08295734226703644, cm=-0.0254906564950943
  Angle 2: cl=0.07622707635164261, cd=0.08394337445497513, cm=-0.010418310761451721
  Angle 3: cl=0.3070701062679291, cd=0.06884413212537766, cm=-0.005388572812080383
  Angle 4: cl=0.4244636297225952, cd=0.07195322215557098, cm=0.00030541419982910156
  Angle 5: cl=0.5228476524353027, cd=0.08020371943712234, cm=0.003769919276237488
  Angle 6: cl=0.6146487593650818, cd=0.08745301514863968, cm=0.006054326891899109
  Angle 7: cl=0.7046210765838623, cd=0.0940503180027008, cm=0.008576154708862305
  Angle 8: cl=0.7946018576622009, cd=0.10064142942428589, cm=0.010232001543045044
  Angle 9: cl=0.8896607160568237, cd=0.10526834428310394, cm=0.0036480873823165894
  Angle 10: cl=0.9892525672912598, cd=0.11102242022752762, cm=-0.004274263978004456
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.006, 0.0025, 7.193551023091083, 10.096616562787277]:
  Angle -10: cl=-0.5656020641326904, cd=0.18978004157543182, cm=-0.17591597139835358
  Angle -9: cl=-0.6080983281135559, cd=0.1643759161233902, cm=-0.16870950162410736
  Angle -8: cl=-0.6370791792869568, cd=0.1355801522731781, cm=-0.16439707577228546
  Angle -7: cl=-0.6395650506019592, cd=0.11157520860433578, cm=-0.1598200649023056
  Angle -6: cl=-0.5476666688919067, cd=0.10142018646001816, cm=-0.14345009624958038
  Angle -5: cl=-0.4645176827907562, cd=0.09290459007024765, cm=-0.11838878691196442
  Angle -4: cl=-0.38437893986701965, cd=0.08736415952444077, cm=-0.09281556308269501
  Angle -3: cl=-0.31326085329055786, cd=0.08320140838623047, cm=-0.06643052399158478
  Angle -2: cl=-0.2606026828289032, cd=0.08408602327108383, cm=-0.0421077162027359
  Angle -1: cl=-0.2032947987318039, cd=0.09103420376777649, cm=-0.02416868507862091
  Angle 0: cl=-0.14098992943763733, cd=0.09872043877840042, cm=-0.006303831934928894
  Angle 1: cl=-0.08368963748216629, cd=0.1061844453215599, cm=0.008337274193763733
  Angle 2: cl=0.08977611362934113, cd=0.09995760023593903, cm=0.013256743550300598
  Angle 3: cl=0.1729142963886261, cd=0.10424835234880447, cm=0.017983391880989075
  Angle 4: cl=0.2608093023300171, cd=0.10630814731121063, cm=0.012735366821289062
  Angle 5: cl=0.35873761773109436, cd=0.10859823226928711, cm=0.006465911865234375
  Angle 6: cl=0.460733026266098, cd=0.11047690361738205, cm=0.0007579177618026733
  Angle 7: cl=0.5743303894996643, cd=0.1103593185544014, cm=-0.01056663691997528
  Angle 8: cl=0.6998699307441711, cd=0.10817664116621017, cm=-0.029344871640205383
  Angle 9: cl=0.8167914152145386, cd=0.10587741434574127, cm=-0.051974937319755554
  Angle 10: cl=0.9312718510627747, cd=0.1032228097319603, cm=-0.0716104656457901
Genotype [0.0085, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.005, 7.193551023091083, 10.096616562787277]:
  Angle -10: cl=-0.543834924697876, cd=0.22568686306476593, cm=-0.18606232106685638
  Angle -9: cl=-0.5649651288986206, cd=0.1922054886817932, cm=-0.184342160820961
  Angle -8: cl=-0.5871150493621826, cd=0.15726089477539062, cm=-0.18320484459400177
  Angle -7: cl=-0.6200157999992371, cd=0.1270914226770401, cm=-0.1735161989927292
  Angle -6: cl=-0.6025434136390686, cd=0.11174342036247253, cm=-0.16069428622722626
  Angle -5: cl=-0.517445981502533, cd=0.1038108766078949, cm=-0.14609797298908234
  Angle -4: cl=-0.4185529053211212, cd=0.09799718111753464, cm=-0.13316883146762848
  Angle -3: cl=-0.31866371631622314, cd=0.09106393903493881, cm=-0.11697275936603546
  Angle -2: cl=-0.25763484835624695, cd=0.08540480583906174, cm=-0.08885802328586578
  Angle -1: cl=-0.19737514853477478, cd=0.08082419633865356, cm=-0.059453025460243225
  Angle 0: cl=-0.12829053401947021, cd=0.0810467004776001, cm=-0.03241954743862152
  Angle 1: cl=-0.05728121101856232, cd=0.08230798691511154, cm=-0.01064927875995636
  Angle 2: cl=0.027453811839222908, cd=0.08721243590116501, cm=0.0007345974445343018
  Angle 3: cl=0.26446372270584106, cd=0.07486697286367416, cm=0.001756712794303894
  Angle 4: cl=0.35445883870124817, cd=0.08046220988035202, cm=0.007212013006210327
  Angle 5: cl=0.44829171895980835, cd=0.08703776448965073, cm=0.010657280683517456
  Angle 6: cl=0.5496956706047058, cd=0.09415773302316666, cm=0.013163343071937561
  Angle 7: cl=0.6408992409706116, cd=0.1004047691822052, cm=0.014689669013023376
  Angle 8: cl=0.7323591113090515, cd=0.10363157093524933, cm=0.00724184513092041
  Angle 9: cl=0.826867938041687, cd=0.10777270048856735, cm=-0.0010147690773010254
  Angle 10: cl=0.9214106798171997, cd=0.11663167178630829, cm=-0.009627118706703186
Genotype [0.0126, 0.46, 0.13, -0.828456979051809, 0.26, -0.023, 0.07493827168653341, -0.003, 0.0025, 7.193551023091083, 10.073605008282742]:
  Angle -10: cl=-0.5445279479026794, cd=0.20566901564598083, cm=-0.1832503229379654
  Angle -9: cl=-0.5751670598983765, cd=0.1735299676656723, cm=-0.1788560003042221
  Angle -8: cl=-0.6012858152389526, cd=0.14617322385311127, cm=-0.17178957164287567
  Angle -7: cl=-0.6306079626083374, cd=0.12172096222639084, cm=-0.16094423830509186
  Angle -6: cl=-0.6403164267539978, cd=0.10994759202003479, cm=-0.14695511758327484
  Angle -5: cl=-0.5498061776161194, cd=0.10270074754953384, cm=-0.13129155337810516
  Angle -4: cl=-0.4636206328868866, cd=0.0950593575835228, cm=-0.10858307778835297
  Angle -3: cl=-0.3782202899456024, cd=0.08724897354841232, cm=-0.08493830263614655
  Angle -2: cl=-0.3071056008338928, cd=0.08102432638406754, cm=-0.05810604989528656
  Angle -1: cl=-0.25211402773857117, cd=0.07977435737848282, cm=-0.032758161425590515
  Angle 0: cl=-0.19228418171405792, cd=0.08773930370807648, cm=-0.016247764229774475
  Angle 1: cl=-0.1186998039484024, cd=0.09503883868455887, cm=-0.0008794814348220825
  Angle 2: cl=0.019818684086203575, cd=0.09433688968420029, cm=0.008855476975440979
  Angle 3: cl=0.17907127737998962, cd=0.09180693328380585, cm=0.01456761360168457
  Angle 4: cl=0.27159929275512695, cd=0.09690016508102417, cm=0.019480213522911072
  Angle 5: cl=0.3707961142063141, cd=0.10100860148668289, cm=0.01941084861755371
  Angle 6: cl=0.46762311458587646, cd=0.1025252714753151, cm=0.013574972748756409
