Experiment: Nash_Combination_Experiment_67
Generation: 89
Generation Type: v
Timestamp: 20231227_005511

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2506028794559626, Adjusted Fitness: 0.3551765046299686
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.06726023537716264, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.24093957134461616, Adjusted Fitness: 0.24101046912359006
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.262634338988768] - Base Fitness: 0.24731292799634144, Adjusted Fitness: 0.24733136245116272
[0.0085, 0.44586152546615887, 0.13, -0.8140065305809319, 0.2565260369229234, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.16140373066118524, Adjusted Fitness: 0.16140373066118524
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.015, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: -0.39231408622931035, Adjusted Fitness: -0.33386532037108685
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.2346317196751781, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.25679038996907] - Base Fitness: -0.38738213791882214, Adjusted Fitness: -0.38648750989288055
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.2549683414233605, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.1448284541819921, Adjusted Fitness: 0.1448284541819921
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.005, 7.070887380453773, 10.281148805746977] - Base Fitness: -0.02591116624027918, Adjusted Fitness: -0.02574181975647404
[0.0085, 0.46, 0.13, -0.8553788200303608, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: -0.3848225401003315, Adjusted Fitness: -0.3840011040681789
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.104931479272307, 10.281148805746977] - Base Fitness: 0.24593160828609942, Adjusted Fitness: 0.2459720005030707
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.070887380453773, 10.259992131653142] - Base Fitness: 0.2496915885982413, Adjusted Fitness: 0.24972704006096513
[0.0085, 0.46, 0.11, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: -0.4759815231138405, Adjusted Fitness: -0.4662302162508833
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2506028794559626, Adjusted Fitness: 0.3551765046299686
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2506028794559626, Adjusted Fitness: 0.3551765046299686
[0.0085, 0.46, 0.11, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.104931479272307, 10.281148805746977] - Base Fitness: -0.48071703561771056, Adjusted Fitness: -0.46949533724746517
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.45919586919799227, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.25050065484060546, Adjusted Fitness: 0.25054278553118897
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.005, 7.115430625067994, 10.281148805746977] - Base Fitness: -0.022698959465001653, Adjusted Fitness: -0.01911312886696527
[0.0085, 0.46, 0.13, -0.805523179032096, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.24491017212683108, Adjusted Fitness: 0.24506109058869105
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.015, 0.06294003864088862, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: -0.3945378353404561, Adjusted Fitness: -0.3839851767576349
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2506028794559626, Adjusted Fitness: 0.3551765046299686
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.070887380453773, 10.281148805746977] - Base Fitness: 0.24720689511930602, Adjusted Fitness: 0.25061242859868216
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.070887380453773, 10.281148805746977] - Base Fitness: 0.24720689511930602, Adjusted Fitness: 0.25061242859868216
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.005, 7.115430625067994, 10.281148805746977] - Base Fitness: -0.022698959465001653, Adjusted Fitness: -0.01911312886696527
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.07156238115901961, -0.003, 0.0025, 7.070887380453773, 10.281148805746977] - Base Fitness: 0.2402888985124514, Adjusted Fitness: 0.240442628254629
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.2549683414233605, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.1448284541819921, Adjusted Fitness: 0.1448284541819921
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2506028794559626, Adjusted Fitness: 0.3551765046299686
[0.0085, 0.46, 0.13, -0.8367369743434074, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.24704255476451545, Adjusted Fitness: 0.24706529525645288
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.24542200764996794, -0.023, 0.07156238115901961, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: -0.10431273227473893, Adjusted Fitness: -0.10068982599593874
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.25371797831717374, -0.023, 0.05, -0.003, 0.0025, 7.126754105916565, 10.281148805746977] - Base Fitness: 0.11599736576029362, Adjusted Fitness: 0.11629832898553062
[0.0085, 0.46, 0.13, -0.8033966198703677, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.070887380453773, 10.281148805746977] - Base Fitness: 0.2466935974290893, Adjusted Fitness: 0.2467146416616629
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.005, 7.115430625067994, 10.281148805746977] - Base Fitness: -0.02807359864320472, Adjusted Fitness: 0.043387452041220034
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.002718392705694813, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.22232439844519586, Adjusted Fitness: 0.22232439844519586
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.259992131653142] - Base Fitness: 0.24757608487740404, Adjusted Fitness: 0.24762715539588168
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2506028794559626, Adjusted Fitness: 0.3551765046299686
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.4234482087026442, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.163141987772353, 10.281148805746977] - Base Fitness: 0.17850678370131742, Adjusted Fitness: 0.17850678370131742
[0.0085, 0.46, 0.13, -0.805523179032096, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.24491017212683108, Adjusted Fitness: 0.24506109058869105
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2455574696281696, Adjusted Fitness: 20662.646341125816
[0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977] - Base Fitness: 0.2506028794559626, Adjusted Fitness: 0.3551765046299686

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977]:
  Angle -10: cl=-0.5665796995162964, cd=0.2345588505268097, cm=-0.19006918370723724
  Angle -9: cl=-0.5936383605003357, cd=0.20180539786815643, cm=-0.18617363274097443
  Angle -8: cl=-0.6163737773895264, cd=0.16689932346343994, cm=-0.18501581251621246
  Angle -7: cl=-0.6551806926727295, cd=0.13174669444561005, cm=-0.1807415634393692
  Angle -6: cl=-0.6087775826454163, cd=0.11704419553279877, cm=-0.16609494388103485
  Angle -5: cl=-0.5021480917930603, cd=0.10475680232048035, cm=-0.15265275537967682
  Angle -4: cl=-0.40836602449417114, cd=0.09933538734912872, cm=-0.1397540420293808
  Angle -3: cl=-0.30699965357780457, cd=0.093614362180233, cm=-0.12631575763225555
  Angle -2: cl=-0.2249567210674286, cd=0.08829528838396072, cm=-0.10525213181972504
  Angle -1: cl=-0.16375812888145447, cd=0.08349278569221497, cm=-0.07608546316623688
  Angle 0: cl=-0.09185148775577545, cd=0.08261784166097641, cm=-0.04792414605617523
  Angle 1: cl=-0.00848139263689518, cd=0.0828675627708435, cm=-0.02556435763835907
  Angle 2: cl=0.07587554305791855, cd=0.08386427164077759, cm=-0.010489776730537415
  Angle 3: cl=0.30374079942703247, cd=0.0690792128443718, cm=-0.005253151059150696
  Angle 4: cl=0.4228112995624542, cd=0.07181552052497864, cm=0.0003619939088821411
  Angle 5: cl=0.5217019319534302, cd=0.08008429408073425, cm=0.0038166344165802
  Angle 6: cl=0.6132526397705078, cd=0.0873669981956482, cm=0.006187111139297485
  Angle 7: cl=0.7030496597290039, cd=0.09394333511590958, cm=0.008665904402732849
  Angle 8: cl=0.7929764986038208, cd=0.10054754465818405, cm=0.010345667600631714
  Angle 9: cl=0.8881552815437317, cd=0.10518714040517807, cm=0.0037993043661117554
  Angle 10: cl=0.987768292427063, cd=0.11064453423023224, cm=-0.00415407121181488
Genotype [0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.115430625067994, 10.281148805746977]:
  Angle -10: cl=-0.5667542815208435, cd=0.2347223311662674, cm=-0.19016875326633453
  Angle -9: cl=-0.5935150384902954, cd=0.20194944739341736, cm=-0.18618468940258026
  Angle -8: cl=-0.6162808537483215, cd=0.1670948565006256, cm=-0.18509037792682648
  Angle -7: cl=-0.655074417591095, cd=0.13189725577831268, cm=-0.18086104094982147
  Angle -6: cl=-0.6085870862007141, cd=0.11716660112142563, cm=-0.16624455153942108
  Angle -5: cl=-0.5020750761032104, cd=0.10481158643960953, cm=-0.15275387465953827
  Angle -4: cl=-0.4081032872200012, cd=0.09936144202947617, cm=-0.13990066945552826
  Angle -3: cl=-0.30671051144599915, cd=0.09365693479776382, cm=-0.12647505104541779
  Angle -2: cl=-0.22438257932662964, cd=0.08834389597177505, cm=-0.1055183857679367
  Angle -1: cl=-0.16314487159252167, cd=0.08354856073856354, cm=-0.07636599242687225
  Angle 0: cl=-0.09125545620918274, cd=0.08266986906528473, cm=-0.048251256346702576
  Angle 1: cl=-0.007828185334801674, cd=0.08288868516683578, cm=-0.025774702429771423
  Angle 2: cl=0.07642611861228943, cd=0.08390714973211288, cm=-0.0107603520154953
  Angle 3: cl=0.30435287952423096, cd=0.06918754428625107, cm=-0.005563780665397644
  Angle 4: cl=0.4242880940437317, cd=0.07171906530857086, cm=0.00022073090076446533
  Angle 5: cl=0.5228481292724609, cd=0.07998482137918472, cm=0.003678932785987854
  Angle 6: cl=0.6140894889831543, cd=0.08730633556842804, cm=0.006105899810791016
  Angle 7: cl=0.7040107250213623, cd=0.09388698637485504, cm=0.008525058627128601
  Angle 8: cl=0.7939096093177795, cd=0.10046183317899704, cm=0.010213509202003479
  Angle 9: cl=0.8889771103858948, cd=0.10517093539237976, cm=0.0038288235664367676
  Angle 10: cl=0.9887763857841492, cd=0.11060764640569687, cm=-0.0040817707777023315
Genotype [0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.06726023537716264, -0.003, 0.0025, 7.115430625067994, 10.281148805746977]:
  Angle -10: cl=-0.5664883255958557, cd=0.2344547063112259, cm=-0.19007401168346405
  Angle -9: cl=-0.5935831665992737, cd=0.2016335427761078, cm=-0.18616341054439545
  Angle -8: cl=-0.6163404583930969, cd=0.1667393445968628, cm=-0.1849736124277115
  Angle -7: cl=-0.6551525592803955, cd=0.13159844279289246, cm=-0.1806192845106125
  Angle -6: cl=-0.6088635921478271, cd=0.11693590879440308, cm=-0.16598989069461823
  Angle -5: cl=-0.5024098753929138, cd=0.10471992939710617, cm=-0.15253911912441254
  Angle -4: cl=-0.4088020324707031, cd=0.09934579581022263, cm=-0.13963063061237335
  Angle -3: cl=-0.3073524832725525, cd=0.09360949695110321, cm=-0.1261759251356125
  Angle -2: cl=-0.22535353899002075, cd=0.08826106041669846, cm=-0.1050257533788681
  Angle -1: cl=-0.16445063054561615, cd=0.08344252407550812, cm=-0.07585747539997101
  Angle 0: cl=-0.0924827829003334, cd=0.08258773386478424, cm=-0.047743216156959534
  Angle 1: cl=-0.009120134636759758, cd=0.08284340798854828, cm=-0.025343939661979675
  Angle 2: cl=0.07496394962072372, cd=0.08382268995046616, cm=-0.010240241885185242
  Angle 3: cl=0.30323168635368347, cd=0.06899824738502502, cm=-0.005058392882347107
  Angle 4: cl=0.42219051718711853, cd=0.07189296931028366, cm=0.0004600733518600464
  Angle 5: cl=0.5207737684249878, cd=0.08016059547662735, cm=0.003942623734474182
  Angle 6: cl=0.6123923659324646, cd=0.08742756396532059, cm=0.006268635392189026
  Angle 7: cl=0.702102541923523, cd=0.09402158856391907, cm=0.008752673864364624
  Angle 8: cl=0.79216468334198, cd=0.10059719532728195, cm=0.010460808873176575
  Angle 9: cl=0.8872856497764587, cd=0.10520453006029129, cm=0.003754720091819763
  Angle 10: cl=0.986781120300293, cd=0.11060355603694916, cm=-0.004194274544715881
Genotype [0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977]:
  Angle -10: cl=-0.5665796995162964, cd=0.2345588505268097, cm=-0.19006918370723724
  Angle -9: cl=-0.5936383605003357, cd=0.20180539786815643, cm=-0.18617363274097443
  Angle -8: cl=-0.6163737773895264, cd=0.16689932346343994, cm=-0.18501581251621246
  Angle -7: cl=-0.6551806926727295, cd=0.13174669444561005, cm=-0.1807415634393692
  Angle -6: cl=-0.6087775826454163, cd=0.11704419553279877, cm=-0.16609494388103485
  Angle -5: cl=-0.5021480917930603, cd=0.10475680232048035, cm=-0.15265275537967682
  Angle -4: cl=-0.40836602449417114, cd=0.09933538734912872, cm=-0.1397540420293808
  Angle -3: cl=-0.30699965357780457, cd=0.093614362180233, cm=-0.12631575763225555
  Angle -2: cl=-0.2249567210674286, cd=0.08829528838396072, cm=-0.10525213181972504
  Angle -1: cl=-0.16375812888145447, cd=0.08349278569221497, cm=-0.07608546316623688
  Angle 0: cl=-0.09185148775577545, cd=0.08261784166097641, cm=-0.04792414605617523
  Angle 1: cl=-0.00848139263689518, cd=0.0828675627708435, cm=-0.02556435763835907
  Angle 2: cl=0.07587554305791855, cd=0.08386427164077759, cm=-0.010489776730537415
  Angle 3: cl=0.30374079942703247, cd=0.0690792128443718, cm=-0.005253151059150696
  Angle 4: cl=0.4228112995624542, cd=0.07181552052497864, cm=0.0003619939088821411
  Angle 5: cl=0.5217019319534302, cd=0.08008429408073425, cm=0.0038166344165802
  Angle 6: cl=0.6132526397705078, cd=0.0873669981956482, cm=0.006187111139297485
  Angle 7: cl=0.7030496597290039, cd=0.09394333511590958, cm=0.008665904402732849
  Angle 8: cl=0.7929764986038208, cd=0.10054754465818405, cm=0.010345667600631714
  Angle 9: cl=0.8881552815437317, cd=0.10518714040517807, cm=0.0037993043661117554
  Angle 10: cl=0.987768292427063, cd=0.11064453423023224, cm=-0.00415407121181488
Genotype [0.0085, 0.46, 0.13, -0.8140065305809319, 0.26, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.262634338988768]:
  Angle -10: cl=-0.5666121244430542, cd=0.23457197844982147, cm=-0.19009529054164886
  Angle -9: cl=-0.5936012268066406, cd=0.20184141397476196, cm=-0.18616320192813873
  Angle -8: cl=-0.6163495182991028, cd=0.16693830490112305, cm=-0.18504752218723297
  Angle -7: cl=-0.6551992893218994, cd=0.13176502287387848, cm=-0.1807718425989151
  Angle -6: cl=-0.6086191534996033, cd=0.11706367135047913, cm=-0.16612626612186432
  Angle -5: cl=-0.5022159218788147, cd=0.1047825962305069, cm=-0.152664914727211
  Angle -4: cl=-0.40831953287124634, cd=0.09935710579156876, cm=-0.13973872363567352
  Angle -3: cl=-0.3068239986896515, cd=0.09363561868667603, cm=-0.12637604773044586
  Angle -2: cl=-0.2247580885887146, cd=0.08831709623336792, cm=-0.1053486317396164
  Angle -1: cl=-0.16372568905353546, cd=0.08349842578172684, cm=-0.07614882290363312
  Angle 0: cl=-0.09174004197120667, cd=0.08262622356414795, cm=-0.04800094664096832
  Angle 1: cl=-0.0082527045160532, cd=0.08287754654884338, cm=-0.025654122233390808
  Angle 2: cl=0.07598060369491577, cd=0.08386904001235962, cm=-0.010543450713157654
  Angle 3: cl=0.30424267053604126, cd=0.06909298896789551, cm=-0.0053471773862838745
  Angle 4: cl=0.42326849699020386, cd=0.07179010659456253, cm=0.00032258033752441406
  Angle 5: cl=0.5220422148704529, cd=0.08004499226808548, cm=0.003755733370780945
  Angle 6: cl=0.6134889721870422, cd=0.08733392506837845, cm=0.006173387169837952
  Angle 7: cl=0.703345775604248, cd=0.09395502507686615, cm=0.008605226874351501
  Angle 8: cl=0.79341059923172, cd=0.10054207593202591, cm=0.010297626256942749
  Angle 9: cl=0.8886116743087769, cd=0.10519564896821976, cm=0.003776177763938904
  Angle 10: cl=0.9881024360656738, cd=0.11061610281467438, cm=-0.004126057028770447
Genotype [0.0085, 0.44586152546615887, 0.13, -0.8140065305809319, 0.2565260369229234, -0.023, 0.05947733819020813, -0.003, 0.0025, 7.115430625067994, 10.281148805746977]:
  Angle -10: cl=-0.5608165264129639, cd=0.23296912014484406, cm=-0.18877102434635162
  Angle -9: cl=-0.5971221923828125, cd=0.20198924839496613, cm=-0.18220357596874237
  Angle -8: cl=-0.6197647452354431, cd=0.16660188138484955, cm=-0.1800871044397354
  Angle -7: cl=-0.6504591107368469, cd=0.13228541612625122, cm=-0.1754702776670456
  Angle -6: cl=-0.615373969078064, cd=0.11669014394283295, cm=-0.16150908172130585
  Angle -5: cl=-0.5071105360984802, cd=0.10533273220062256, cm=-0.14884339272975922
  Angle -4: cl=-0.4015171229839325, cd=0.09788720309734344, cm=-0.13699252903461456
  Angle -3: cl=-0.29813843965530396, cd=0.09145031124353409, cm=-0.1225694864988327
  Angle -2: cl=-0.21822121739387512, cd=0.08570060133934021, cm=-0.10089121758937836
  Angle -1: cl=-0.15889741480350494, cd=0.08153761923313141, cm=-0.07159732282161713
  Angle 0: cl=-0.09590665996074677, cd=0.08109964430332184, cm=-0.041889652609825134
  Angle 1: cl=-0.016367850825190544, cd=0.0817798376083374, cm=-0.01872093975543976
  Angle 2: cl=0.06507071107625961, cd=0.08241331577301025, cm=-0.002993866801261902
  Angle 3: cl=0.30635613203048706, cd=0.06839622557163239, cm=0.00029946863651275635
  Angle 4: cl=0.3965288996696472, cd=0.07425994426012039, cm=0.005512207746505737
  Angle 5: cl=0.49421024322509766, cd=0.08256874233484268, cm=0.008896306157112122
  Angle 6: cl=0.5848497152328491, cd=0.09004531055688858, cm=0.011669844388961792
