Experiment: Nash_Combination_Experiment_70
Generation: 71
Generation Type: v
Timestamp: 20231227_014220

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.380113060716033] - Base Fitness: 0.22237591265951048, Adjusted Fitness: 0.2539600302693097
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.21635372918458, 10.338910091924891] - Base Fitness: 0.2283682373172847, Adjusted Fitness: 0.23592464266144586
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.380113060716033] - Base Fitness: 0.22237591265951048, Adjusted Fitness: 0.2539600302693097
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.232510019665984, 10.338910091924891] - Base Fitness: 0.22786869295805065, Adjusted Fitness: 0.2509943282466728
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.307501123207654, 10.338910091924891] - Base Fitness: 0.22440334030585826, Adjusted Fitness: 0.23214582897037586
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.226882381426087, 10.338910091924891] - Base Fitness: 0.22796553102761982, Adjusted Fitness: 0.2355202476217106
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.250150913693376, 10.338910091924891] - Base Fitness: 0.22701113659157315, Adjusted Fitness: 0.2345682359780204
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.307875740559457] - Base Fitness: 0.2299447404167108, Adjusted Fitness: 0.23749361072850617
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.11, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: -0.4999701073037856, Adjusted Fitness: -0.427243278170871
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.29215975033037] - Base Fitness: 0.23153095975651672, Adjusted Fitness: 0.2390389188288331
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.23173025010261725, Adjusted Fitness: 2.5245412603374535
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0126, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: -0.49058174579357483, Adjusted Fitness: -0.3633360967441776
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.02283322258299584, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.21380731603160225, Adjusted Fitness: 0.2215103933783663
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.31203495350573] - Base Fitness: 0.22959681118775574, Adjusted Fitness: 0.23715261303862836
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.003220921834579183, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.14893914848890627, Adjusted Fitness: 0.15603482619403505
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.4178607855785542, 0.13, -0.7165297857585458, 0.26, -0.023, 0.08090460431357653, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.12949728369543656, Adjusted Fitness: 0.13639895823406215
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.005, 7.260151895319298, 10.338910091924891] - Base Fitness: -0.048754929181274054, Adjusted Fitness: 0.30071889769101195
[0.0085, 0.46, 0.11, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: -0.4999701073037856, Adjusted Fitness: -0.427243278170871
[0.0126, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.342759866752342] - Base Fitness: -0.4908709954341747, Adjusted Fitness: -0.4897983639982903
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.23173025010261725, Adjusted Fitness: 2.5245412603374535
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.380113060716033] - Base Fitness: 0.22237591265951048, Adjusted Fitness: 0.2539600302693097
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.301232207324631] - Base Fitness: 0.23047479984369604, Adjusted Fitness: 0.23802897074976123
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.11420391989989515, -0.7165297857585458, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: -0.3519845195696007, Adjusted Fitness: -0.34986164557687144
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361
[0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891] - Base Fitness: 0.2266523552043376, Adjusted Fitness: 1286909.30090361

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891]:
  Angle -10: cl=-0.5661444067955017, cd=0.23395510017871857, cm=-0.18995599448680878
  Angle -9: cl=-0.5931460857391357, cd=0.20108774304389954, cm=-0.18607379496097565
  Angle -8: cl=-0.6159608364105225, cd=0.16614292562007904, cm=-0.1848699301481247
  Angle -7: cl=-0.6550014615058899, cd=0.13114222884178162, cm=-0.18028201162815094
  Angle -6: cl=-0.6097227931022644, cd=0.1165706217288971, cm=-0.16555912792682648
  Angle -5: cl=-0.5027164220809937, cd=0.10455473512411118, cm=-0.1522829681634903
  Angle -4: cl=-0.40948808193206787, cd=0.09926634281873703, cm=-0.13921965658664703
  Angle -3: cl=-0.3077395260334015, cd=0.09346678107976913, cm=-0.12570498883724213
  Angle -2: cl=-0.22712698578834534, cd=0.08810774981975555, cm=-0.1041947454214096
  Angle -1: cl=-0.16593042016029358, cd=0.08333875238895416, cm=-0.07499025762081146
  Angle 0: cl=-0.09455326944589615, cd=0.0824773833155632, cm=-0.04674519598484039
  Angle 1: cl=-0.011310981586575508, cd=0.08281364291906357, cm=-0.024543508887290955
  Angle 2: cl=0.07250896841287613, cd=0.083735391497612, cm=-0.00938253104686737
  Angle 3: cl=0.30219388008117676, cd=0.06875307112932205, cm=-0.00425662100315094
  Angle 4: cl=0.4186690151691437, cd=0.07224202901124954, cm=0.0008615404367446899
  Angle 5: cl=0.5173794031143188, cd=0.08051052689552307, cm=0.004310443997383118
  Angle 6: cl=0.6092869639396667, cd=0.08773130178451538, cm=0.0066524893045425415
  Angle 7: cl=0.6992470622062683, cd=0.09431621432304382, cm=0.009070232510566711
  Angle 8: cl=0.7893959879875183, cd=0.10094144940376282, cm=0.010857805609703064
  Angle 9: cl=0.8846705555915833, cd=0.10531025379896164, cm=0.0035057514905929565
  Angle 10: cl=0.9838650822639465, cd=0.11063200980424881, cm=-0.004379048943519592
Genotype [0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891]:
  Angle -10: cl=-0.5661444067955017, cd=0.23395510017871857, cm=-0.18995599448680878
  Angle -9: cl=-0.5931460857391357, cd=0.20108774304389954, cm=-0.18607379496097565
  Angle -8: cl=-0.6159608364105225, cd=0.16614292562007904, cm=-0.1848699301481247
  Angle -7: cl=-0.6550014615058899, cd=0.13114222884178162, cm=-0.18028201162815094
  Angle -6: cl=-0.6097227931022644, cd=0.1165706217288971, cm=-0.16555912792682648
  Angle -5: cl=-0.5027164220809937, cd=0.10455473512411118, cm=-0.1522829681634903
  Angle -4: cl=-0.40948808193206787, cd=0.09926634281873703, cm=-0.13921965658664703
  Angle -3: cl=-0.3077395260334015, cd=0.09346678107976913, cm=-0.12570498883724213
  Angle -2: cl=-0.22712698578834534, cd=0.08810774981975555, cm=-0.1041947454214096
  Angle -1: cl=-0.16593042016029358, cd=0.08333875238895416, cm=-0.07499025762081146
  Angle 0: cl=-0.09455326944589615, cd=0.0824773833155632, cm=-0.04674519598484039
  Angle 1: cl=-0.011310981586575508, cd=0.08281364291906357, cm=-0.024543508887290955
  Angle 2: cl=0.07250896841287613, cd=0.083735391497612, cm=-0.00938253104686737
  Angle 3: cl=0.30219388008117676, cd=0.06875307112932205, cm=-0.00425662100315094
  Angle 4: cl=0.4186690151691437, cd=0.07224202901124954, cm=0.0008615404367446899
  Angle 5: cl=0.5173794031143188, cd=0.08051052689552307, cm=0.004310443997383118
  Angle 6: cl=0.6092869639396667, cd=0.08773130178451538, cm=0.0066524893045425415
  Angle 7: cl=0.6992470622062683, cd=0.09431621432304382, cm=0.009070232510566711
  Angle 8: cl=0.7893959879875183, cd=0.10094144940376282, cm=0.010857805609703064
  Angle 9: cl=0.8846705555915833, cd=0.10531025379896164, cm=0.0035057514905929565
  Angle 10: cl=0.9838650822639465, cd=0.11063200980424881, cm=-0.004379048943519592
Genotype [0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.380113060716033]:
  Angle -10: cl=-0.5659998059272766, cd=0.23391123116016388, cm=-0.18989969789981842
  Angle -9: cl=-0.593203604221344, cd=0.20101790130138397, cm=-0.18605975806713104
  Angle -8: cl=-0.616155207157135, cd=0.16617551445960999, cm=-0.18479667603969574
  Angle -7: cl=-0.655147910118103, cd=0.13117480278015137, cm=-0.1802348643541336
  Angle -6: cl=-0.6097951531410217, cd=0.11649903655052185, cm=-0.1654580682516098
  Angle -5: cl=-0.5030286908149719, cd=0.10452815145254135, cm=-0.15222592651844025
  Angle -4: cl=-0.4097796678543091, cd=0.09924386441707611, cm=-0.13913966715335846
  Angle -3: cl=-0.3079606294631958, cd=0.09343808144330978, cm=-0.1256081908941269
  Angle -2: cl=-0.2275087535381317, cd=0.08807650953531265, cm=-0.10403044521808624
  Angle -1: cl=-0.1662924736738205, cd=0.08328711986541748, cm=-0.07482139766216278
  Angle 0: cl=-0.09513039141893387, cd=0.08245530724525452, cm=-0.04660402238368988
  Angle 1: cl=-0.01170983724296093, cd=0.08279621601104736, cm=-0.024424389004707336
  Angle 2: cl=0.07208110392093658, cd=0.08371391147375107, cm=-0.00922219455242157
  Angle 3: cl=0.3018651306629181, cd=0.06868197023868561, cm=-0.004082188010215759
  Angle 4: cl=0.41770416498184204, cd=0.0722723975777626, cm=0.001009628176689148
  Angle 5: cl=0.5164644718170166, cd=0.08055151998996735, cm=0.004415184259414673
  Angle 6: cl=0.6086361408233643, cd=0.08776729553937912, cm=0.006683453917503357
  Angle 7: cl=0.6985358595848083, cd=0.09437701851129532, cm=0.009169846773147583
  Angle 8: cl=0.7883785963058472, cd=0.10099165141582489, cm=0.01098625361919403
  Angle 9: cl=0.8835060000419617, cd=0.10531213134527206, cm=0.0035106241703033447
  Angle 10: cl=0.9830739498138428, cd=0.11054665595293045, cm=-0.004423752427101135
Genotype [0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.21635372918458, 10.338910091924891]:
  Angle -10: cl=-0.5663131475448608, cd=0.2341746836900711, cm=-0.18999172747135162
  Angle -9: cl=-0.5934445261955261, cd=0.20132258534431458, cm=-0.18608646094799042
  Angle -8: cl=-0.6164309978485107, cd=0.16642551124095917, cm=-0.18480561673641205
  Angle -7: cl=-0.6552597880363464, cd=0.13128192722797394, cm=-0.1803693324327469
  Angle -6: cl=-0.6097047924995422, cd=0.11669032275676727, cm=-0.1656726747751236
  Angle -5: cl=-0.5030162334442139, cd=0.10461386293172836, cm=-0.15237222611904144
  Angle -4: cl=-0.4094429016113281, cd=0.09927313774824142, cm=-0.13933049142360687
  Angle -3: cl=-0.3078034818172455, cd=0.093487448990345, cm=-0.12583519518375397
  Angle -2: cl=-0.22672665119171143, cd=0.08812213689088821, cm=-0.10440696775913239
  Angle -1: cl=-0.16561400890350342, cd=0.08333614468574524, cm=-0.07528285682201385
  Angle 0: cl=-0.09411206841468811, cd=0.08249610662460327, cm=-0.047055408358573914
  Angle 1: cl=-0.010861197486519814, cd=0.08281118422746658, cm=-0.02472992241382599
  Angle 2: cl=0.073122039437294, cd=0.0837632566690445, cm=-0.009621009230613708
  Angle 3: cl=0.3020786941051483, cd=0.06883367151021957, cm=-0.004459932446479797
  Angle 4: cl=0.4192776679992676, cd=0.07212655991315842, cm=0.0007916539907455444
  Angle 5: cl=0.517844021320343, cd=0.08040869981050491, cm=0.0042266398668289185
  Angle 6: cl=0.6099855303764343, cd=0.08764911442995071, cm=0.0065295398235321045
  Angle 7: cl=0.6999097466468811, cd=0.09423790127038956, cm=0.008983463048934937
  Angle 8: cl=0.7897828817367554, cd=0.10084819793701172, cm=0.01075756549835205
  Angle 9: cl=0.8845909833908081, cd=0.10524184256792068, cm=0.003639012575149536
  Angle 10: cl=0.984576940536499, cd=0.11055918782949448, cm=-0.004335477948188782
Genotype [0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.338910091924891]:
  Angle -10: cl=-0.5661444067955017, cd=0.23395510017871857, cm=-0.18995599448680878
  Angle -9: cl=-0.5931460857391357, cd=0.20108774304389954, cm=-0.18607379496097565
  Angle -8: cl=-0.6159608364105225, cd=0.16614292562007904, cm=-0.1848699301481247
  Angle -7: cl=-0.6550014615058899, cd=0.13114222884178162, cm=-0.18028201162815094
  Angle -6: cl=-0.6097227931022644, cd=0.1165706217288971, cm=-0.16555912792682648
  Angle -5: cl=-0.5027164220809937, cd=0.10455473512411118, cm=-0.1522829681634903
  Angle -4: cl=-0.40948808193206787, cd=0.09926634281873703, cm=-0.13921965658664703
  Angle -3: cl=-0.3077395260334015, cd=0.09346678107976913, cm=-0.12570498883724213
  Angle -2: cl=-0.22712698578834534, cd=0.08810774981975555, cm=-0.1041947454214096
  Angle -1: cl=-0.16593042016029358, cd=0.08333875238895416, cm=-0.07499025762081146
  Angle 0: cl=-0.09455326944589615, cd=0.0824773833155632, cm=-0.04674519598484039
  Angle 1: cl=-0.011310981586575508, cd=0.08281364291906357, cm=-0.024543508887290955
  Angle 2: cl=0.07250896841287613, cd=0.083735391497612, cm=-0.00938253104686737
  Angle 3: cl=0.30219388008117676, cd=0.06875307112932205, cm=-0.00425662100315094
  Angle 4: cl=0.4186690151691437, cd=0.07224202901124954, cm=0.0008615404367446899
  Angle 5: cl=0.5173794031143188, cd=0.08051052689552307, cm=0.004310443997383118
  Angle 6: cl=0.6092869639396667, cd=0.08773130178451538, cm=0.0066524893045425415
  Angle 7: cl=0.6992470622062683, cd=0.09431621432304382, cm=0.009070232510566711
  Angle 8: cl=0.7893959879875183, cd=0.10094144940376282, cm=0.010857805609703064
  Angle 9: cl=0.8846705555915833, cd=0.10531025379896164, cm=0.0035057514905929565
  Angle 10: cl=0.9838650822639465, cd=0.11063200980424881, cm=-0.004379048943519592
Genotype [0.0085, 0.46, 0.13, -0.7165297857585458, 0.26, -0.023, 0.05935960823747877, -0.003, 0.0025, 7.260151895319298, 10.380113060716033]:
  Angle -10: cl=-0.5659998059272766, cd=0.23391123116016388, cm=-0.18989969789981842
  Angle -9: cl=-0.593203604221344, cd=0.20101790130138397, cm=-0.18605975806713104
  Angle -8: cl=-0.616155207157135, cd=0.16617551445960999, cm=-0.18479667603969574
  Angle -7: cl=-0.655147910118103, cd=0.13117480278015137, cm=-0.1802348643541336
  Angle -6: cl=-0.6097951531410217, cd=0.11649903655052185, cm=-0.1654580682516098
  Angle -5: cl=-0.5030286908149719, cd=0.10452815145254135, cm=-0.15222592651844025
  Angle -4: cl=-0.4097796678543091, cd=0.09924386441707611, cm=-0.13913966715335846
  Angle -3: cl=-0.3079606294631958, cd=0.09343808144330978, cm=-0.1256081908941269
  Angle -2: cl=-0.2275087535381317, cd=0.08807650953531265, cm=-0.10403044521808624
  Angle -1: cl=-0.1662924736738205, cd=0.08328711986541748, cm=-0.07482139766216278
  Angle 0: cl=-0.09513039141893387, cd=0.08245530724525452, cm=-0.04660402238368988
  Angle 1: cl=-0.01170983724296093, cd=0.08279621601104736, cm=-0.024424389004707336
  Angle 2: cl=0.07208110392093658, cd=0.08371391147375107, cm=-0.00922219455242157
  Angle 3: cl=0.3018651306629181, cd=0.06868197023868561, cm=-0.004082188010215759
  Angle 4: cl=0.41770416498184204, cd=0.0722723975777626, cm=0.001009628176689148
  Angle 5: cl=0.5164644718170166, cd=0.08055151998996735, cm=0.004415184259414673
  Angle 6: cl=0.6086361408233643, cd=0.08776729553937912, cm=0.006683453917503357
  Angle 7: cl=0.6985358595848083, cd=0.09437701851129532, cm=0.009169846773147583
