Experiment: Nash_Combination_Experiment_71
Generation: 65
Generation Type: v
Timestamp: 20231227_015501

Genotypes and their Fitness Values:
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.2, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.12296935794486302, Adjusted Fitness: 0.6174568239919008
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.005, 7.0, 10.620748404464443] - Base Fitness: -0.06374960359809995, Adjusted Fitness: 0.2269990184211563
[0.0085, 0.45569875420903166, 0.13, -0.9, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.2848500153546615, Adjusted Fitness: 0.3123522383233071
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.2, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.12296935794486302, Adjusted Fitness: 0.6174568239919008
[0.0085, 0.45569875420903166, 0.13, -0.9, 0.26, -0.022938767504549297, 0.05, -0.006, 0.0025, 7.0, 10.620748404464443] - Base Fitness: -0.2386568732522289, Adjusted Fitness: -0.22727532840070935
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.2, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: -1.4648218411604288, Adjusted Fitness: -1.4648218411604288
[0.0085, 0.46, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20962601022424238, Adjusted Fitness: 2.4215196960171745
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.2122399838821331, Adjusted Fitness: 0.5646356949376955
[0.0085, 0.41, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.09874854270418763, Adjusted Fitness: 0.5516043263046778
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.46, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20962601022424238, Adjusted Fitness: 2.4215196960171745
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.46, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20962601022424238, Adjusted Fitness: 2.4215196960171745
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 11.549370253075827] - Base Fitness: 0.10673363300928133, Adjusted Fitness: 0.11382227423768439
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.006, 0.0025, 7.0, 10.620748404464443] - Base Fitness: -0.24704014481026088, Adjusted Fitness: -0.019423847092207784
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.41, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.09874854270418763, Adjusted Fitness: 0.5516043263046778
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.9, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.21742382196789353, Adjusted Fitness: 1.2715047590863986
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.41, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 8.62901788383909, 10.620748404464443] - Base Fitness: 0.02006603067735528, Adjusted Fitness: 0.026335582493562798
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.963994804452257, 10.620748404464443] - Base Fitness: -0.460560752031299, Adjusted Fitness: -0.4588530985952922
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.2, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: -1.4787607245824903, Adjusted Fitness: -1.4787607245824903
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 11.08071152011875] - Base Fitness: 0.15737635837744826, Adjusted Fitness: 0.16492894874570313
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.632209394754245] - Base Fitness: 0.2066332875167726, Adjusted Fitness: 0.21466922583262102
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.2757029927669187, Adjusted Fitness: 0.981202478082183
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.2, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.12296935794486302, Adjusted Fitness: 0.6174568239919008
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.9, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.2848500153546615, Adjusted Fitness: 0.3123522383233071
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.2757029927669187, Adjusted Fitness: 0.981202478082183
[0.0085, 0.41, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 11.06855766675581] - Base Fitness: 0.05231174355729079, Adjusted Fitness: 0.058890839156852455
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395
[0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443] - Base Fitness: 0.20804642991919006, Adjusted Fitness: 38385.297464146395

Detailed Results for Each Genotype:
Genotype [0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.620748404464443]:
  Angle -10: cl=-0.5649576187133789, cd=0.23485982418060303, cm=-0.18986232578754425
  Angle -9: cl=-0.5955123901367188, cd=0.20271454751491547, cm=-0.1848273128271103
  Angle -8: cl=-0.6183480024337769, cd=0.16754035651683807, cm=-0.1831250637769699
  Angle -7: cl=-0.6544714570045471, cd=0.13249991834163666, cm=-0.1792886108160019
  Angle -6: cl=-0.6123743057250977, cd=0.11737219244241714, cm=-0.1647474318742752
  Angle -5: cl=-0.5071194767951965, cd=0.10535994172096252, cm=-0.15143103897571564
  Angle -4: cl=-0.4066164195537567, cd=0.09886620193719864, cm=-0.13926582038402557
  Angle -3: cl=-0.3041146695613861, cd=0.09291236847639084, cm=-0.12550057470798492
  Angle -2: cl=-0.22207053005695343, cd=0.08745049685239792, cm=-0.10462100803852081
  Angle -1: cl=-0.16147753596305847, cd=0.08285395056009293, cm=-0.07536973059177399
  Angle 0: cl=-0.09405612200498581, cd=0.08215201646089554, cm=-0.046464934945106506
  Angle 1: cl=-0.01100124605000019, cd=0.08237406611442566, cm=-0.023806288838386536
  Angle 2: cl=0.0722157433629036, cd=0.08327899128198624, cm=-0.008396580815315247
  Angle 3: cl=0.300625205039978, cd=0.0684066116809845, cm=-0.002890065312385559
  Angle 4: cl=0.4127120077610016, cd=0.07234591990709305, cm=0.0020231306552886963
  Angle 5: cl=0.5114259123802185, cd=0.08064263314008713, cm=0.005452558398246765
  Angle 6: cl=0.6028568148612976, cd=0.08805140107870102, cm=0.008011013269424438
  Angle 7: cl=0.692696750164032, cd=0.0946291908621788, cm=0.010277882218360901
  Angle 8: cl=0.7826439142227173, cd=0.1011674553155899, cm=0.011994928121566772
  Angle 9: cl=0.8767989873886108, cd=0.10507563501596451, cm=0.003810599446296692
  Angle 10: cl=0.9766161441802979, cd=0.10966542363166809, cm=-0.004151508212089539
Genotype [0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.2, -0.003, 0.0025, 7.0, 10.620748404464443]:
  Angle -10: cl=-0.5631101727485657, cd=0.23231197893619537, cm=-0.18895356357097626
  Angle -9: cl=-0.5953779816627502, cd=0.20010237395763397, cm=-0.1841432899236679
  Angle -8: cl=-0.6179651618003845, cd=0.16470448672771454, cm=-0.18205086886882782
  Angle -7: cl=-0.6549654006958008, cd=0.1302562803030014, cm=-0.17697389423847198
  Angle -6: cl=-0.6154948472976685, cd=0.11531996726989746, cm=-0.16217760741710663
  Angle -5: cl=-0.5102000832557678, cd=0.10437887907028198, cm=-0.14954017102718353
  Angle -4: cl=-0.411920428276062, cd=0.09846538305282593, cm=-0.1368715614080429
  Angle -3: cl=-0.3091602325439453, cd=0.092290960252285, cm=-0.12277673184871674
  Angle -2: cl=-0.23144003748893738, cd=0.08661698549985886, cm=-0.1001177579164505
  Angle -1: cl=-0.17121633887290955, cd=0.08205341547727585, cm=-0.07102714478969574
  Angle 0: cl=-0.10608121752738953, cd=0.08150249719619751, cm=-0.04187701642513275
  Angle 1: cl=-0.024219339713454247, cd=0.0819896012544632, cm=-0.01955471932888031
  Angle 2: cl=0.05798675864934921, cd=0.08271020650863647, cm=-0.004003211855888367
  Angle 3: cl=0.29337960481643677, cd=0.06897755712270737, cm=-0.0005803853273391724
  Angle 4: cl=0.394453227519989, cd=0.0738617405295372, cm=0.004114747047424316
  Angle 5: cl=0.49324116110801697, cd=0.08215723186731339, cm=0.007605880498886108
  Angle 6: cl=0.586505115032196, cd=0.08932691067457199, cm=0.009931832551956177
  Angle 7: cl=0.6767935156822205, cd=0.09589961916208267, cm=0.0120278000831604
  Angle 8: cl=0.7670848369598389, cd=0.10146772861480713, cm=0.011212572455406189
  Angle 9: cl=0.8610829710960388, cd=0.10540767014026642, cm=0.0029953718185424805
  Angle 10: cl=0.9609696865081787, cd=0.11000114679336548, cm=-0.005006417632102966
Genotype [0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.05, -0.003, 0.005, 7.0, 10.620748404464443]:
  Angle -10: cl=-0.5426655411720276, cd=0.2259664386510849, cm=-0.18554581701755524
  Angle -9: cl=-0.5678776502609253, cd=0.1933491826057434, cm=-0.18289636075496674
  Angle -8: cl=-0.5899229049682617, cd=0.15819202363491058, cm=-0.18116037547588348
  Angle -7: cl=-0.6227971911430359, cd=0.12754306197166443, cm=-0.17205022275447845
  Angle -6: cl=-0.6063054203987122, cd=0.11232530325651169, cm=-0.1596413403749466
  Angle -5: cl=-0.5150206685066223, cd=0.10337481647729874, cm=-0.14580409228801727
  Angle -4: cl=-0.41617539525032043, cd=0.09724850207567215, cm=-0.13240869343280792
  Angle -3: cl=-0.3170258104801178, cd=0.0902772843837738, cm=-0.11595286428928375
  Angle -2: cl=-0.2548389434814453, cd=0.08447051048278809, cm=-0.0884171575307846
  Angle -1: cl=-0.1943640261888504, cd=0.08014678955078125, cm=-0.05880941450595856
  Angle 0: cl=-0.1277473121881485, cd=0.08039289712905884, cm=-0.03135968744754791
  Angle 1: cl=-0.06026657670736313, cd=0.08261853456497192, cm=-0.009868517518043518
  Angle 2: cl=0.02324356511235237, cd=0.08769885450601578, cm=0.0016697049140930176
  Angle 3: cl=0.25618672370910645, cd=0.07585357874631882, cm=0.003061547875404358
  Angle 4: cl=0.3444458544254303, cd=0.08145583420991898, cm=0.008623525500297546
  Angle 5: cl=0.43610069155693054, cd=0.08774884045124054, cm=0.012454837560653687
  Angle 6: cl=0.536803126335144, cd=0.09475699067115784, cm=0.015131264925003052
  Angle 7: cl=0.6289933323860168, cd=0.10036507248878479, cm=0.01483948528766632
  Angle 8: cl=0.7206008434295654, cd=0.10356718301773071, cm=0.007447540760040283
  Angle 9: cl=0.8137662410736084, cd=0.10752953588962555, cm=-0.0009301304817199707
  Angle 10: cl=0.9089733362197876, cd=0.11366155743598938, cm=-0.00995616614818573
Genotype [0.0085, 0.45569875420903166, 0.13, -0.9, 0.26, -0.022938767504549297, 0.05, -0.003, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.5654467940330505, cd=0.23558646440505981, cm=-0.1903662532567978
  Angle -9: cl=-0.5944372415542603, cd=0.20334313809871674, cm=-0.1853901892900467
  Angle -8: cl=-0.6170316934585571, cd=0.16838189959526062, cm=-0.18413375318050385
  Angle -7: cl=-0.6529223322868347, cd=0.13330970704555511, cm=-0.18055392801761627
  Angle -6: cl=-0.6080161333084106, cd=0.11821100860834122, cm=-0.1662331074476242
  Angle -5: cl=-0.5014603137969971, cd=0.10555724799633026, cm=-0.15266625583171844
  Angle -4: cl=-0.4024207890033722, cd=0.09918580204248428, cm=-0.14042682945728302
  Angle -3: cl=-0.3005415201187134, cd=0.09341193735599518, cm=-0.12692861258983612
  Angle -2: cl=-0.21729253232479095, cd=0.08806736022233963, cm=-0.10641111433506012
  Angle -1: cl=-0.15572145581245422, cd=0.08343011885881424, cm=-0.07750637829303741
  Angle 0: cl=-0.08499708771705627, cd=0.08263562619686127, cm=-0.04916249215602875
  Angle 1: cl=-0.0017573051154613495, cd=0.0827217847108841, cm=-0.026297882199287415
  Angle 2: cl=0.08249089866876602, cd=0.08380748331546783, cm=-0.011206164956092834
  Angle 3: cl=0.31372830271720886, cd=0.06876050680875778, cm=-0.005993828177452087
  Angle 4: cl=0.4285941421985626, cd=0.07156781107187271, cm=0.0004419684410095215
  Angle 5: cl=0.5269404053688049, cd=0.07981967180967331, cm=0.0038209110498428345
  Angle 6: cl=0.6170411705970764, cd=0.08730238676071167, cm=0.006433948874473572
  Angle 7: cl=0.7070576548576355, cd=0.09389037638902664, cm=0.00881899893283844
  Angle 8: cl=0.7969803214073181, cd=0.10047101974487305, cm=0.010607317090034485
  Angle 9: cl=0.8914735913276672, cd=0.10503216087818146, cm=0.004049241542816162
  Angle 10: cl=0.9912356734275818, cd=0.10968557745218277, cm=-0.0038962513208389282
Genotype [0.0085, 0.45569875420903166, 0.13, -0.7545411749923364, 0.26, -0.022938767504549297, 0.2, -0.003, 0.0025, 7.0, 10.620748404464443]:
  Angle -10: cl=-0.5631101727485657, cd=0.23231197893619537, cm=-0.18895356357097626
  Angle -9: cl=-0.5953779816627502, cd=0.20010237395763397, cm=-0.1841432899236679
  Angle -8: cl=-0.6179651618003845, cd=0.16470448672771454, cm=-0.18205086886882782
  Angle -7: cl=-0.6549654006958008, cd=0.1302562803030014, cm=-0.17697389423847198
  Angle -6: cl=-0.6154948472976685, cd=0.11531996726989746, cm=-0.16217760741710663
  Angle -5: cl=-0.5102000832557678, cd=0.10437887907028198, cm=-0.14954017102718353
  Angle -4: cl=-0.411920428276062, cd=0.09846538305282593, cm=-0.1368715614080429
  Angle -3: cl=-0.3091602325439453, cd=0.092290960252285, cm=-0.12277673184871674
  Angle -2: cl=-0.23144003748893738, cd=0.08661698549985886, cm=-0.1001177579164505
  Angle -1: cl=-0.17121633887290955, cd=0.08205341547727585, cm=-0.07102714478969574
  Angle 0: cl=-0.10608121752738953, cd=0.08150249719619751, cm=-0.04187701642513275
  Angle 1: cl=-0.024219339713454247, cd=0.0819896012544632, cm=-0.01955471932888031
  Angle 2: cl=0.05798675864934921, cd=0.08271020650863647, cm=-0.004003211855888367
  Angle 3: cl=0.29337960481643677, cd=0.06897755712270737, cm=-0.0005803853273391724
  Angle 4: cl=0.394453227519989, cd=0.0738617405295372, cm=0.004114747047424316
  Angle 5: cl=0.49324116110801697, cd=0.08215723186731339, cm=0.007605880498886108
  Angle 6: cl=0.586505115032196, cd=0.08932691067457199, cm=0.009931832551956177
  Angle 7: cl=0.6767935156822205, cd=0.09589961916208267, cm=0.0120278000831604
  Angle 8: cl=0.7670848369598389, cd=0.10146772861480713, cm=0.011212572455406189
  Angle 9: cl=0.8610829710960388, cd=0.10540767014026642, cm=0.0029953718185424805
  Angle 10: cl=0.9609696865081787, cd=0.11000114679336548, cm=-0.005006417632102966
Genotype [0.0085, 0.45569875420903166, 0.13, -0.9, 0.26, -0.022938767504549297, 0.05, -0.006, 0.0025, 7.0, 10.620748404464443]:
  Angle -10: cl=-0.5656692385673523, cd=0.19052714109420776, cm=-0.17498157918453217
  Angle -9: cl=-0.6083255410194397, cd=0.16516785323619843, cm=-0.16789744794368744
  Angle -8: cl=-0.6403743028640747, cd=0.1372927725315094, cm=-0.16294266283512115
  Angle -7: cl=-0.6471746563911438, cd=0.11311603337526321, cm=-0.15829141438007355
  Angle -6: cl=-0.5443097949028015, cd=0.10102072358131409, cm=-0.1433200091123581
  Angle -5: cl=-0.4617809057235718, cd=0.09278446435928345, cm=-0.11794953048229218
  Angle -4: cl=-0.38206231594085693, cd=0.08728087693452835, cm=-0.09232987463474274
  Angle -3: cl=-0.30901309847831726, cd=0.08293677121400833, cm=-0.06615673005580902
  Angle -2: cl=-0.2564580738544464, cd=0.08444105833768845, cm=-0.042186424136161804
  Angle -1: cl=-0.20202264189720154, cd=0.09135004878044128, cm=-0.02434040606021881
  Angle 0: cl=-0.13960431516170502, cd=0.09901117533445358, cm=-0.006538853049278259
  Angle 1: cl=-0.08277854323387146, cd=0.10634111613035202, cm=0.008681118488311768
  Angle 2: cl=0.08527481555938721, cd=0.1008194163441658, cm=0.014328524470329285
  Angle 3: cl=0.16708281636238098, cd=0.10456246882677078, cm=0.017379537224769592
  Angle 4: cl=0.25123968720436096, cd=0.10659977048635483, cm=0.012351900339126587
  Angle 5: cl=0.3491813540458679, cd=0.10885485261678696, cm=0.006142422556877136
  Angle 6: cl=0.45031335949897766, cd=0.11077943444252014, cm=0.0003236234188079834
  Angle 7: cl=0.5641762018203735, cd=0.11043154448270798, cm=-0.011559948325157166
